ReadDateTime,merchantId,PV,FV,Total
2023-05-31,380027,532,140,672
2023-06-30,380027,87704,19120,106824
2023-07-31,380027,71172,17720,88892
2023-08-31,380027,68558,18035,86593
2023-09-30,380027,63161,15790,78951
2023-10-31,380027,74187,17350,91537
2023-11-30,380027,77514,15927,93441
2023-12-31,380027,84687,19498,104185
2024-01-31,380027,72155,17056,89211
2024-02-29,380027,79028,19336,98364
2024-03-31,380027,78594,18662,97256
2024-04-30,380027,81098,18816,99914
2024-05-31,380027,85177,19301,104478
2023-06-30,380026,31601,17488,49089
2023-07-31,380026,27092,17054,44146
2023-08-31,380026,29607,21567,51174
2023-09-30,380026,21296,15223,36519
2023-10-31,380026,23148,14007,37155
2023-11-30,380026,32812,15819,48631
2023-12-31,380026,37507,19888,57395
2024-01-31,380026,27436,13707,41143
2024-02-29,380026,32109,12262,44371
2024-03-31,380026,32164,12683,44847
2024-04-30,380026,36358,12061,48419
2024-05-31,380026,27346,15127,42473
2023-06-30,380018,118196,41071,159267
2023-07-31,380018,97814,33383,131197
2023-08-31,380018,98126,26420,124546
2023-09-30,380018,83190,23819,107009
2023-10-31,380018,93820,28287,122107
2023-11-30,380018,117947,30540,148487
2023-12-31,380018,121160,40365,161525
2024-01-31,380018,92496,31516,124012
2024-02-29,380018,104724,37152,141876
2024-03-31,380018,112785,37261,150046
2024-04-30,380018,118007,41017,159024
2024-05-31,380018,98341,37712,136053
2023-05-31,380020,1,1,2
2023-06-30,380020,101954,65342,167296
2023-07-31,380020,62752,48860,111612
2023-08-31,380020,62253,44711,106964
2023-09-30,380020,59123,45673,104796
2023-10-31,380020,72992,55141,128133
2023-11-30,380020,84744,54322,139066
2023-12-31,380020,84945,56677,141622
2024-01-31,380020,64706,48881,113587
2024-02-29,380020,75502,56717,132219
2024-03-31,380020,78161,67625,145786
2024-04-30,380020,72274,76704,148978
2024-05-31,380020,72104,78622,150726
2023-05-31,380024,3,1,4
2023-06-30,380024,38894,54489,93383
2023-07-31,380024,32534,50103,82637
2023-08-31,380024,31471,41158,72629
2023-09-30,380024,30585,32401,62986
2023-10-31,380024,33306,37937,71243
2023-11-30,380024,44868,50633,95501
2023-12-31,380024,50445,62993,113438
2024-01-31,380024,34500,50649,85149
2024-02-29,380024,37585,56551,94136
2024-03-31,380024,36098,56570,92668
2024-04-30,380024,37105,56725,93830
2024-05-31,380024,26782,50932,77714
2023-05-31,380015,2,0,2
2023-06-30,380015,66049,53827,119876
2023-07-31,380015,63163,45808,108971
2023-08-31,380015,60790,44746,105536
2023-09-30,380015,50661,45618,96279
2023-10-31,380015,58140,51033,109173
2023-11-30,380015,61160,48588,109748
2023-12-31,380015,63381,52897,116278
2024-01-31,380015,51236,49430,100666
2024-02-29,380015,53841,52940,106781
2024-03-31,380015,54718,56511,111229
2024-04-30,380015,47344,55614,102958
2024-05-31,380015,54442,55603,110045
2023-05-31,540012,161,108,269
2023-06-30,540012,1295240,298935,1594175
2023-07-31,540012,1208672,199060,1407732
2023-08-31,540012,1266834,236455,1503289
2023-09-30,540012,1114082,205056,1319138
2023-10-31,540012,1205953,230569,1436522
2023-11-30,540012,1240219,209563,1449782
2023-12-31,540012,1325231,246542,1571773
2024-01-31,540012,1267955,215846,1483801
2024-02-29,540012,1232616,208207,1440823
2024-03-31,540012,1246902,214138,1461040
2024-04-30,540012,1205162,187447,1392609
2024-05-31,540012,1297449,184085,1481534
2023-05-31,540511,2,2,4
2023-06-30,540511,16052,11574,27626
2023-07-31,540511,17669,8428,26097
2023-08-31,540511,18245,8260,26505
2023-09-30,540511,15162,7683,22845
2023-10-31,540511,19194,9062,28256
2023-11-30,540511,17630,8915,26545
2023-12-31,540511,17915,11959,29874
2024-01-31,540511,14206,12084,26290
2024-02-29,540511,15795,10465,26260
2024-03-31,540511,14689,9439,24128
2024-04-30,540511,14566,8299,22865
2024-05-31,540511,16057,9629,25686
2023-06-30,517000,78118,389,78507
2023-07-31,517000,8140,75,8215
2023-08-31,517000,0,0,0
2023-09-30,517000,0,0,0
2023-10-31,517000,0,0,0
2023-11-30,517000,0,0,0
2023-12-31,517000,0,0,0
2024-01-31,517000,7,0,7
2024-02-29,517000,0,0,0
2024-03-31,517000,0,0,0
2024-04-30,517000,8279,22,8301
2024-05-31,517000,45438,127,45565
2023-05-31,540027,8,12,20
2023-06-30,540027,4203,11868,16071
2023-07-31,540027,3825,9494,13319
2023-08-31,540027,3885,10700,14585
2023-09-30,540027,3579,8302,11881
2023-10-31,540027,4841,7835,12676
2023-11-30,540027,5242,7237,12479
2023-12-31,540027,5632,9304,14936
2024-01-31,540027,5840,9277,15117
2024-02-29,540027,6664,8432,15096
2024-03-31,540027,7842,8689,16531
2024-04-30,540027,7097,7333,14430
2024-05-31,540027,7033,8875,15908
2023-05-31,536032,7,26,33
2023-06-30,536032,110265,210111,320376
2023-07-31,536032,111363,216854,328217
2023-08-31,536032,112339,223305,335644
2023-09-30,536032,102502,202256,304758
2023-10-31,536032,120210,239167,359377
2023-11-30,536032,115003,194368,309371
2023-12-31,536032,127677,238522,366199
2024-01-31,536032,124041,229915,353956
2024-02-29,536032,136489,251297,387786
2024-03-31,536032,140574,262267,402841
2024-04-30,536032,132280,246828,379108
2024-05-31,536032,137896,254774,392670
