Index,Plaza Name,City,Geo Codes,Longitude,Latitudes,,,,,,,,
1,"11 miles Toll
Plaza",Bhopal,"23.1415030,77.4854990",23.141503,77.485499,,,,,,,,
2,18th Mile Toll Plaza,Farakka,"24.82246724101024,87.9669623136514",24.82246724,87.96696231,,,,,,,,
3,6 ML Toll Plaza,"Hanumanga
rh","29.5198926,74.3359579",29.5198926,74.3359579,,,,,,,,
4,Aaini Toll Plaza,Bahraich,"27.2970385,81.54163697",27.2970385,81.54163697,,,,,,,,
5,"Aaspur Toll
Plaza",Etah,"27.48692,78.79217",27.48692,78.79217,,,,,,,,
6,Abul Khurana,Malout,"30.139674114139783,74.5377001522389",30.13967411,74.53770015,,,,,,,,
7,Adalaj Toll Plaza,Adalaj,"23.186490, 72.560200",23.18649,72.5602,,,,,,,,
8,"Adityapur Toll
Bridge",Adityapur,"22.7998439, 86.1444717",22.7998439,86.1444717,,,,,,,,
9,"Agnampadi Toll
Plaza","Vishakhapat
nam","17.685435,83.149931",17.685435,83.149931,,,,,,,,
10,Agra Toll Plaza,Agra,"27.303578,78.003327",27.303578,78.003327,,,,,,,,
11,"Ahmadpur Toll
Plaza",Barabanki,"26.858351,81.422451",26.858351,81.422451,,,,,,,,
12,"Ahmedabad Toll
Plaza",Ahmedabad,"22.975793,72.650335",22.975793,72.650335,,,,,,,,
13,"Ahmedabad
(Ring Road) Toll",Ahmedabad,"22.973846,72.473028",22.973846,72.473028,,,,,,,,
14,"Ahmedabad
Ring Road 2",Ahmedabad,"22.9713406, 72.6613226",22.9713406,72.6613226,,,,,,,,
15,Aihar Toll Plaza,Raebareli,"26.198251,81.032982",26.198251,81.032982,,,,,,,,
16,"Aindhi TOLL
PLAZA",Amethi,"26.235591,81.609372",26.235591,81.609372,,,,,,,,
17,Ainoli Toll Plaza,Chincholi,"17.503027,77.431011",17.503027,77.431011,,,,,,,,
18,Airoli,Mumbai,"19.153364,72.965778",19.153364,72.965778,,,,,,,,
19,"Airport - Sewri
Section","Navi
Mumbai","18.970378,73.008119",18.970378,73.008119,,,,,,,,
20,AIT Toll Plaza,Jalaun,"25.87995,79.210312",25.87995,79.210312,,,,,,,,
21,Akhepura,Sikar,"27.508121,75.344381",27.508121,75.344381,,,,,,,,
22,"Akshardham
Plaza DME KM",New Delhi,"28.612334,77.281911",28.612334,77.281911,,,,,,,,
23,"Akshda TOLL
PLAZA",Gorakhpur,"26.7288131,83.2754187",26.7288131,83.2754187,,,,,,,,
24,Akwabad Toll,Unnao,"26.3395, 80.7057",26.3395,80.7057,,,,,,,,
25,"ALEP Main Plaza
21",Fatehabad,"27.053626,78.277169",27.053626,78.277169,,,,,,,,
26,"ALEP Main Plaza
290",Lucknow,"26.845635,80.710711",26.845635,80.710711,,,,,,,,
27,"ALEP Ramp
Plaza 101",Saifai,"27.0033012,78.9769078",27.0033012,78.9769078,,,,,,,,
28,"ALEP Ramp
Plaza 108",Etawah,"26.949591,79.076293",26.949591,79.076293,,,,,,,,
29,"ALEP Ramp
Plaza 116",Etawah,"26.913797,79.158391",26.913797,79.158391,,,,,,,,
30,"ALEP Ramp
Plaza 133","Sahakar
Global Ltd","26.909319,79.331535",26.909319,79.331535,,,,,,,,
31,"ALEP Ramp
Plaza 154",Saurikh,"26.913619,79.160199",26.913619,79.160199,,,,,,,,
32,"ALEP Ramp
Plaza 171",Taki Gram,"27.070904,79.653549",27.070904,79.653549,,,,,,,,
33,"ALEP Ramp
Plaza 193",Kannauj,"26.98693,79.814441",26.98693,79.814441,,,,,,,,
34,"ALEP Ramp
Plaza 204",Kannauj,"26.929426,79.88097",26.929426,79.88097,,,,,,,,
35,"ALEP Ramp
Plaza 238",Unnao,"26.926112,80.200743",26.926112,80.200743,,,,,,,,
36,"ALEP Ramp
Plaza 269",Sandila,"26.9047203,80.48483",26.9047203,80.48483,,,,,,,,
37,"ALEP Ramp
Plaza 27",Fatehabad,"27.038767,78.335211",27.038767,78.335211,,,,,,,,
38,"ALEP Ramp
Plaza 284",Lucknow,"26.8506024,80.6686972",26.8506024,80.6686972,,,,,,,,
39,"ALEP Ramp
Plaza 54",Shikohabad,"26.998814,78.58165",26.998814,78.58165,,,,,,,,
40,"ALEP Ramp
Plaza 77",Etawah,"26.966501,78.812958",26.966501,78.812958,,,,,,,,
41,"ALEP Ramp
Plaza 92",Saifai,"27.015798,78.946526",27.015798,78.946526,,,,,,,,
42,"ALEP Ramp
Plaza220",Kanpur,"26.912105,80.027101",26.912105,80.027101,,,,,,,,
43,"Aliyapur Toll
Plaza","Kanpur
Nagar","26.06978,80.163008",26.06978,80.163008,,,,,,,,
44,"Allonia Toll
Plaza",Seoni,"22.269666,79.545141",22.269666,79.545141,,,,,,,,
45,Alooground Manali,Manali,"32.1998010,77.1880080",32.199801,77.188008,,,,,,,,
46,Alva Toll Plaza,Bayad,"23.2730374,73.2044535",23.2730374,73.2044535,,,,,,,,
47,"Amakthadu Toll
Plaza",Kurnool,"15.486433,77.901078",15.486433,77.901078,,,,,,,,
48,"Amarpura Toll
Plaza","Hanumagar
h","29.085436, 75.320028",29.085436,75.320028,,,,,,,,
49,"Ambala
Chandigarh","Sahibzada
Ajit Singh","30.527449,76.813037",30.527449,76.813037,,,,,,,,Completed nld
50,"Amdi TOLL
PLAZA",Lohra,"26.369652,82.886172",26.369652,82.886172,,,,,,,,Completed
51,"Aminbhavi Toll
Plaza",Dharwad,"15.528545, 75.049936",15.528545,75.049936,,,,,,,,aditya 51 to 100
52,"Amlaha toll
plaza",Sehore,"23.1021426,76.875811",23.1021426,76.875811,,,,,,,,
53,Amoli Toll Plaza,Bharatpur,"27.101301,77.090874",27.101301,77.090874,,,,,,,,
54,"Amora
Moiddinpur Kala",Azamgarh,"25.98111111, 83.05694444",25.98111111,83.05694444,,,,,,,,
55,"Amrawali Khera
Toll Plaza","Amrawali
Khera","29.366693, 76.481095",29.366693,76.481095,,,,,,,,
56,"AMTL-TP-01
Vasna-Iyava",Vasna-Iyava,"23.0073, 72.3477",23.0073,72.3477,,,,,,,,
57,"AMTL-TP02-
Malvan",Malvan,"23.0709, 71.7850",23.0709,71.785,,,,,,,,
58,"AMTL-TP03-
Soldi",Soldi,"23.0009, 71.3728",23.0009,71.3728,,,,,,,,
59,"AMTL-TP04-
Aniyari",Aniyari,"23.0725, 70.8583",23.0725,70.8583,,,,,,,,
60,Anand Toll Plaza,Anand,"22.594556,72.981298",22.594556,72.981298,,,,,,,,
61,"Anantram Toll
Plaza",Auraiya,"26.594931,79.268034",26.594931,79.268034,,,,,,,,
62,Andiyari,Prayagraj,"25.6123510,81.6420360",25.612351,81.642036,,,,,,,,
63,"Anewadi Toll
Plaza",Satara,"17.810312,73.971381",17.810312,73.971381,,,,,,,,
64,Ankadhal,Solapur,"17.35945,75.079423",17.35945,75.079423,,,,,,,,
65,"Annampalli Toll
Plaza",Annampalli,"16.672222, 82.147222",16.672222,82.147222,,,,,,,,
66,"ANTARVELIYA
Toll Plaza",Ratlam,"22.865400, 74.551900",22.8654,74.5519,,,,,,,,
67,Anumandhai,Chennai,"12.1239228,79.9107642",12.1239228,79.9107642,,,,,,,,
68,ARAMBHA TOLL PLAZA,Arambha,"20.553225,78.971649",20.553225,78.971649,,,,,,,,
69,"Arjunalli toll
plaza",Thane,"19.361481,73.165874",19.361481,73.165874,,,,,,,,
70,Aroli,Bhilwara,"25.091152,75.198814",25.091152,75.198814,,,,,,,,
71,"Asanpur  Toll
Plaza",Supaul,"26.297778,86.632891",26.297778,86.632891,,,,,,,,
72,"Ashiv TOLL
PLAZA",Ausa,"18.1278333,76.3583021",18.1278333,76.3583021,,,,,,,,
73,Ashta Toll Plaza,Ashta,"18.470159, 76.751146",18.470159,76.751146,,,,,,,,
74,Asoda,Asoda,"28.725089,76.846528",28.725089,76.846528,,,,,,,,
75,"Asroga Toll
Plaza",Sultanpur,"26.301062,81.9459196",26.301062,81.9459196,,,,,,,,
76,Atal Tunnel Toll,Manali,"32.44013,77.16510",32.44013,77.1651,,,,,,,,
77,Athur Toll Plaza,"Kanchipura
m","12.346862,79.779856",12.346862,79.779856,,,,,,,,
78,"ATRAILA SHIV
GULAM Toll",Lalganj,"24.960572,82.276151",24.960572,82.276151,,,,,,,,
79,ATTIBELLE,"Bangalore
Urban","12.776883,77.777119",12.776883,77.777119,,,,,,,,
80,Baberu Km 43,Banda,"25.4913,80.4700",25.4913,80.47,,,,,,,,
81,"Babhaniyawan
Toll Plaza",Patna,"25.498322, 84.488333",25.498322,84.488333,,,,,,,,
82,Babina Toll Plaza,Jhansi,"25.216966,78.464471",25.216966,78.464471,,,,,,,,
83,Bachhwan,Balachaur,"31.0114039,76.3898170",31.0114039,76.389817,,,,,,,,
84,"Badagaon Toll
Plaza",Balrampur,"27.5055780,82.3748240",27.505578,82.374824,,,,,,,,
85,Badaiyiguda,Jagdalpur,"19.223505,81.932872",19.223505,81.932872,,,,,,,,
86,"Badarpur
faridabad Toll",Faridabad,"28.476208,77.305485",28.476208,77.305485,,,,,,,,
87,"Badauri Toll
Plaza",Fatehpur,"26.065386,80.657641",26.065386,80.657641,,,,,,,,
88,"Badava Toll
Plaza",Mylavaram,"16.8503326,80.6335241",16.8503326,80.6335241,,,,,,,,
89,Badbar,Sangrur,"30.2476529,75.6396108",30.2476529,75.6396108,,,,,,,,
90,"Badewadi TOLL
PLAZA","Ahmednaga
r","19.172077,75.346182",19.172077,75.346182,,,,,,,,
91,"Badgaon Toll
Plaza",Khandwa,"21.298056,76.321111",21.298056,76.321111,,,,,,,,
92,"Badi Baktara
Toll Plaza",Shahganj,"22.879111,77.830472",22.879111,77.830472,,,,,,,,
93,"Badi Ghati Toll
Plaza",Pushkar,"26.5475364,74.5069619",26.5475364,74.5069619,,,,,,,,
94,"Badkapara Fee
Plaza",Dausa,"26.527359, 76.250052",26.527359,76.250052,,,,,,,,
95,Badli,Badli,"28.575254,76.820849",28.575254,76.820849,,,,,,,,
96,Badopatti,Bado patti,"29.298647,75.8199341",29.298647,75.8199341,,,,,,,,
97,"Bagaliya Toll
Plaza",Beawar,"25.8843501,74.1608431",25.8843501,74.1608431,,,,,,,,
98,"Bagdi KM 14 Toll
Plaza",Dausa,"26.431950, 76.373506",26.43195,76.373506,,,,,,,,
99,"Bagepalli Toll
Plaza",Chikballapur,"13.79295,77.764358",13.79295,77.764358,,,,,,,,
100,"Baggar Toll
Plaza",Gomti,"25.5903343,73.9028527",25.5903343,73.9028527,,,,,,,,completed and nlp
101,"Bagodara TOLL
PLAZA",Ahmedabad,"22.6307,72.1793",22.6307,72.1793,,,,,,,,
102,"Bagwada Fee
Plaza",Sehore,"22.781523,77.733774",22.781523,77.733774,,,,,,,,
103,Bahala Toll Plaza,Alwar,"27.527300, 76.716900",27.5273,76.7169,,,,,,,,
104,"Baharagaon Toll
Plaza",HARDA,"22.315154, 77.250122",22.315154,77.250122,,,,,,,,
105,"Bahoripar TOLL
PLAZA",Jabalpur,"23.04675,79.9073666",23.04675,79.9073666,,,,,,,,
106,Bahri Toll Plaza,Bahri,"29.485337, 76.512439",29.485337,76.512439,,,,,,,,
107,Bainsi Toll Plaza,Bainsi,"29.026614, 76.399856",29.026614,76.399856,,,,,,,,
108,Baiti Kala Plaza,Sultanpur,"26.054337 ,82.339392",26.054337,82.339392,,,,,,,,
109,"Bajna Ramp Toll
Plaza",Mathura,"27.883269, 77.666004",27.883269,77.666004,,,,,,,,
