Index,Plaza Code,Plaza Name,"Concessio naire
Type",Plaza Type,Plaza Sub Typ,Sate,City,Concessionaire,Geo Codes,Longitude,Latitudes,,
1,545096,"11 miles Toll
Plaza",Conc.,TOLL,STATE,Madhya Pradesh,Bhopal,"Banco
Constructions","23.1415030,77.4854990",23.141503,77.485499,,
2,244000,18th Mile Toll Plaza,Conc.,TOLL,NATIONAL,West Bengal,Farakka,Farakka Raiganj Highways Ltd.,"24.82246724101024,87.9669623136514",24.82246724,87.96696231,,
3,330113,6 ML Toll Plaza,PF,TOLL,NATIONAL,Rajasthan,"Hanumanga
rh",NHAI,"29.5198926,74.3359579",29.5198926,74.3359579,,
4,320053,Aaini Toll Plaza,PF,TOLL,NATIONAL,Uttar Pradesh,Bahraich,NHAI,"27.2970385,81.54163697",27.2970385,81.54163697,,
5,320109,"Aaspur Toll
Plaza",PF,TOLL,NATIONAL,Uttar Pradesh,Etah,NHAI,"27.48692,78.79217",27.48692,78.79217,,
6,350045,Abul Khurana,PF,TOLL,NATIONAL,Punjab,Malout,Mahendra Godara,"30.139674114139783,74.5377001522389",30.13967411,74.53770015,,
7,536020,Adalaj Toll Plaza,Conc.,TOLL,STATE,Gujarat,Adalaj,"Gujarat Road
and Infra Co Ltd","23.186490, 72.560200",23.18649,72.5602,,
8,392022,"Adityapur Toll
Bridge",BOT,TOLL,STATE,Jharkhand,Adityapur,"Adityapur Toll
Bridge Comp","22.7998439, 86.1444717",22.7998439,86.1444717,,
9,352028,"Agnampadi Toll
Plaza",PF,TOLL,NATIONAL,Andhra Pradesh,"Vishakhapat
nam",NHAI,"17.685435,83.149931",17.685435,83.149931,,
10,520006,Agra Toll Plaza,BOT,TOLL,STATE,Uttar Pradesh,Agra,"Jaypee
Infratech Ltd","27.303578,78.003327",27.303578,78.003327,,
11,187002,"Ahmadpur Toll
Plaza",Conc.,TOLL,NATIONAL,Uttar Pradesh,Barabanki,"PNC Kanpur-
Ayodhya","26.858351,81.422451",26.858351,81.422451,,
12,2005,"Ahmedabad Toll
Plaza",Conc.,TOLL,NATIONAL,Gujarat,Ahmedabad,IRB,"22.975793,72.650335",22.975793,72.650335,,
13,2006,"Ahmedabad
(Ring Road) Toll",Conc.,TOLL,NATIONAL,Gujarat,Ahmedabad,IRB,"22.973846,72.473028",22.973846,72.473028,,
14,2010,"Ahmedabad
Ring Road 2",Conc.,TOLL,NATIONAL,Gujarat,Ahmedabad,IRB,"22.9713406, 72.6613226",22.9713406,72.6613226,,
15,320065,Aihar Toll Plaza,PF,TOLL,NATIONAL,Uttar Pradesh,Raebareli,NHAI,"26.198251,81.032982",26.198251,81.032982,,
16,320094,"Aindhi TOLL
PLAZA",PF,TOLL,NATIONAL,Uttar Pradesh,Amethi,NHAI,"26.235591,81.609372",26.235591,81.609372,,
17,556021,Ainoli Toll Plaza,PF,TOLL,STATE,Karnataka,Chincholi,JKL Stone,"17.503027,77.431011",17.503027,77.431011,,
18,540011,Airoli,Conc.,TOLL,STATE,Maharashtra,Mumbai,"MEP
Infrastructure","19.153364,72.965778",19.153364,72.965778,,
19,546033,"Airport - Sewri
Section",Conc.,TOLL,STATE,Maharashtra,"Navi
Mumbai",MMRDA,"18.970378,73.008119",18.970378,73.008119,,
20,189001,AIT Toll Plaza,Conc.,TOLL,NATIONAL,Uttar Pradesh,Jalaun,"M/s Welcome
Infra","25.87995,79.210312",25.87995,79.210312,,
21,330100,Akhepura,PF,TOLL,NATIONAL,Rajasthan,Sikar,NHAI,"27.508121,75.344381",27.508121,75.344381,,
22,311001,"Akshardham
Plaza DME KM",PF,TOLL,NATIONAL,Delhi,New Delhi,NHAI,"28.612334,77.281911",28.612334,77.281911,,
23,320090,"Akshda TOLL
PLAZA",PF,TOLL,NATIONAL,Uttar Pradesh,Gorakhpur,NHAI,"26.7288131,83.2754187",26.7288131,83.2754187,,
24,536078,Akwabad Toll,PF,TOLL,NATIONAL,Uttar Pradesh,Unnao,Vinod Kumar,"26.3395, 80.7057",26.3395,80.7057,,
25,320013,"ALEP Main Plaza
21",PF,TOLL,STATE,Uttar Pradesh,Fatehabad,"Eagle Infra India
Ltd","27.053626,78.277169",27.053626,78.277169,,
26,320025,"ALEP Main Plaza
290",PF,TOLL,STATE,Uttar Pradesh,Lucknow,"Eagle Infra India
Ltd","26.845635,80.710711",26.845635,80.710711,,
27,520004,"ALEP Ramp
Plaza 101",PF,TOLL,STATE,Uttar Pradesh,Saifai,"Eagle Infra India
Ltd","27.0033012,78.9769078",27.0033012,78.9769078,,
28,320018,"ALEP Ramp
Plaza 108",PF,TOLL,STATE,Uttar Pradesh,Etawah,"Eagle Infra India
Ltd","26.949591,79.076293",26.949591,79.076293,,
29,320019,"ALEP Ramp
Plaza 116",PF,TOLL,STATE,Uttar Pradesh,Etawah,"Eagle Infra India
Ltd","26.913797,79.158391",26.913797,79.158391,,
30,520030,"ALEP Ramp
Plaza 133",Conc.,TOLL,STATE,Uttar Pradesh,"Sahakar
Global Ltd","Sahakar Global
Ltd","26.909319,79.331535",26.909319,79.331535,,
31,320020,"ALEP Ramp
Plaza 154",PF,TOLL,STATE,Uttar Pradesh,Saurikh,"Eagle Infra India
Ltd","26.913619,79.160199",26.913619,79.160199,,
32,320021,"ALEP Ramp
Plaza 171",PF,TOLL,STATE,Uttar Pradesh,Taki Gram,"Eagle Infra India
Ltd","27.070904,79.653549",27.070904,79.653549,,
33,320022,"ALEP Ramp
Plaza 193",PF,TOLL,STATE,Uttar Pradesh,Kannauj,"Eagle Infra India
Ltd","26.98693,79.814441",26.98693,79.814441,,
34,520003,"ALEP Ramp
Plaza 204",PF,TOLL,STATE,Uttar Pradesh,Kannauj,"Eagle Infra India
Ltd","26.929426,79.88097",26.929426,79.88097,,
35,320024,"ALEP Ramp
Plaza 238",PF,TOLL,STATE,Uttar Pradesh,Unnao,"Eagle Infra India
Ltd","26.926112,80.200743",26.926112,80.200743,,
36,520001,"ALEP Ramp
Plaza 269",PF,TOLL,STATE,Uttar Pradesh,Sandila,"Eagle Infra India
Ltd","26.9047203,80.48483",26.9047203,80.48483,,
37,320014,"ALEP Ramp
Plaza 27",PF,TOLL,STATE,Uttar Pradesh,Fatehabad,"Eagle Infra India
Ltd","27.038767,78.335211",27.038767,78.335211,,
38,520002,"ALEP Ramp
Plaza 284",PF,TOLL,STATE,Uttar Pradesh,Lucknow,"Eagle Infra India
Ltd","26.8506024,80.6686972",26.8506024,80.6686972,,
39,320015,"ALEP Ramp
Plaza 54",PF,TOLL,STATE,Uttar Pradesh,Shikohabad,"Eagle Infra India
Ltd","26.998814,78.58165",26.998814,78.58165,,
40,320016,"ALEP Ramp
Plaza 77",PF,TOLL,STATE,Uttar Pradesh,Etawah,"Eagle Infra India
Ltd","26.966501,78.812958",26.966501,78.812958,,
41,320017,"ALEP Ramp
Plaza 92",PF,TOLL,STATE,Uttar Pradesh,Saifai,"Eagle Infra India
Ltd","27.015798,78.946526",27.015798,78.946526,,
42,320023,"ALEP Ramp
Plaza220",PF,TOLL,STATE,Uttar Pradesh,Kanpur,"Eagle Infra India
Ltd","26.912105,80.027101",26.912105,80.027101,,
43,215001,"Aliyapur Toll
Plaza",Conc.,TOLL,NATIONAL,Uttar Pradesh,"Kanpur
Nagar","PNC Kanpur
Highways Ltd.","26.06978,80.163008",26.06978,80.163008,,
44,345049,"Allonia Toll
Plaza",PF,TOLL,NATIONAL,Madhya Pradesh,Seoni,NHAI,"22.269666,79.545141",22.269666,79.545141,,
45,517000,Alooground Manali,Conc.,TOLL,STATE,Himachal Pradesh,Manali,"Tourism
Development Manali","32.1998010,77.1880080",32.199801,77.188008,,
46,536022,Alva Toll Plaza,Conc.,TOLL,STATE,Gujarat,Bayad,"Ashirwad Smart
Infralink","23.2730374,73.2044535",23.2730374,73.2044535,,
47,352026,"Amakthadu Toll
Plaza",PF,TOLL,NATIONAL,Andhra Pradesh,Kurnool,"MEP Infra
Projects","15.486433,77.901078",15.486433,77.901078,,
48,570038,"Amarpura Toll
Plaza",Conc.,TOLL,STATE,Rajasthan,"Hanumagar
h","RIDCOR Infra
Project Ltd","29.085436, 75.320028",29.085436,75.320028,,
49,14001,"Ambala
Chandigarh",Conc.,TOLL,NATIONAL,Punjab,"Sahibzada
Ajit Singh",GMR,"30.527449,76.813037",30.527449,76.813037,,Completed nld
50,320093,"Amdi TOLL
PLAZA",PF,TOLL,NATIONAL,Uttar Pradesh,Lohra,NHAI,"26.369652,82.886172",26.369652,82.886172,,Completed
51,556042,"Aminbhavi Toll
Plaza",Conc.,TOLL,STATE,Karnataka,Dharwad,NG INFOTECH,"15.528545, 75.049936",15.528545,75.049936,,aditya 51 to 100
52,545005,"Amlaha toll
plaza",Conc.,TOLL,STATE,Madhya Pradesh,Sehore,MPRDC,"23.1021426,76.875811",23.1021426,76.875811,,
53,163002,Amoli Toll Plaza,Conc.,TOLL,NATIONAL,Rajasthan,Bharatpur,Madhucon Infra,"27.101301,77.090874",27.101301,77.090874,,
54,536081,"Amora
Moiddinpur Kala",PF,TOLL,NATIONAL,Uttar Pradesh,Azamgarh,NHAI,"25.98111111, 83.05694444",25.98111111,83.05694444,,
55,312055,"Amrawali Khera
Toll Plaza",PF,TOLL,NATIONAL,Haryana,"Amrawali
Khera",NHAI,"29.366693, 76.481095",29.366693,76.481095,,
56,536008,"AMTL-TP-01
Vasna-Iyava",Conc.,TOLL,STATE,Gujarat,Vasna-Iyava,"L&T
Ahmedabad-","23.0073, 72.3477",23.0073,72.3477,,
57,536009,"AMTL-TP02-
Malvan",Conc.,TOLL,STATE,Gujarat,Malvan,"L&T
Ahmedabad-","23.0709, 71.7850",23.0709,71.785,,
58,536010,"AMTL-TP03-
Soldi",Conc.,TOLL,STATE,Gujarat,Soldi,"L&T
Ahmedabad-","23.0009, 71.3728",23.0009,71.3728,,
59,536011,"AMTL-TP04-
Aniyari",Conc.,TOLL,STATE,Gujarat,Aniyari,"L&T
Ahmedabad-","23.0725, 70.8583",23.0725,70.8583,,
60,2008,Anand Toll Plaza,Conc.,TOLL,NATIONAL,Gujarat,Anand,IRB,"22.594556,72.981298",22.594556,72.981298,,
61,28002,"Anantram Toll
Plaza",Conc.,TOLL,NATIONAL,Uttar Pradesh,Auraiya,NHAI,"26.594931,79.268034",26.594931,79.268034,,
62,320028,Andiyari,Conc.,TOLL,NATIONAL,Uttar Pradesh,Prayagraj,"Raebareilly
Allahabad","25.6123510,81.6420360",25.612351,81.642036,,
63,61001,"Anewadi Toll
Plaza",Conc.,TOLL,NATIONAL,Maharashtra,Satara,Reliance,"17.810312,73.971381",17.810312,73.971381,,
64,340046,Ankadhal,PF,TOLL,NATIONAL,Maharashtra,Solapur,NHAI,"17.35945,75.079423",17.35945,75.079423,,
65,352067,"Annampalli Toll
Plaza",Conc.,TOLL,NATIONAL,Andhra Pradesh,Annampalli,MCD,"16.672222, 82.147222",16.672222,82.147222,,
