Index,City,Geo Codes,Longitude,Latitudes,Road Width (pixels),Road Width (m),2023,2024
1,Bhopal,"23.1415030,77.4854990",23.141503,77.485499,652,40.18,17.46333313,15.90181828
2,Farakka,"24.82246724101024,87.9669623136514",24.82246724,87.96696231,713,44.49,12.94916725,10.09727287
3,"Hanumanga
rh","29.5198926,74.3359579",29.5198926,74.3359579,718,44.84,2.634166718,2.74000001
4,Bahraich,"27.2970385,81.54163697",27.2970385,81.54163697,803,50.85,1.850833297,1.359090924
5,Etah,"27.48692,78.79217",27.48692,78.79217,742,46.54,17.04750061,15.97999954
6,Malout,"30.139674114139783,74.5377001522389",30.13967411,74.53770015,716,44.7,6.000833511,13.82636356
7,Adalaj,"23.186490, 72.560200",23.18649,72.5602,725,45.34,13.2966671,12.22000027
8,Adityapur,"22.7998439, 86.1444717",22.7998439,86.1444717,831,52.83,19.88750076,21.04363632
9,"Vishakhapat
nam","17.685435,83.149931",17.685435,83.149931,798,50.49,7.114166737,6.860908985
10,Agra,"27.303578,78.003327",27.303578,78.003327,515,30.49,15.49749947,15.12181854
11,Barabanki,"26.858351,81.422451",26.858351,81.422451,725,45.34,6.619166851,7.453636169
12,Ahmedabad,"22.975793,72.650335",22.975793,72.650335,704,43.85,21.74083328,21.8572731
13,Ahmedabad,"22.973846,72.473028",22.973846,72.473028,920,59.12,11.42916679,11.29272747
14,Ahmedabad,"22.9713406, 72.6613226",22.9713406,72.6613226,791,50,14.99666691,16.47908974
15,Raebareli,"26.198251,81.032982",26.198251,81.032982,845,53.82,2.573333263,3.019090891
16,Amethi,"26.235591,81.609372",26.235591,81.609372,880,56.29,2.475833416,2.081818104
17,Chincholi,"17.503027,77.431011",17.503027,77.431011,800,50.64,1.274999976,1.139999986
18,Mumbai,"19.153364,72.965778",19.153364,72.965778,876,56.01,14.41166687,14.33454609
19,"Navi
Mumbai","18.970378,73.008119",18.970378,73.008119,570,34.38,17.77000046,29.69181824
20,Jalaun,"25.87995,79.210312",25.87995,79.210312,603,36.71,6.334166527,6.352727413
21,Sikar,"27.508121,75.344381",27.508121,75.344381,922,59.26,8.464166641,7.908181667
22,New Delhi,"28.612334,77.281911",28.612334,77.281911,1022,66.33,43.06333542,43.97999954
23,Gorakhpur,"26.7288131,83.2754187",26.7288131,83.2754187,642,39.47,6.404999733,6.903636456
24,Unnao,"26.3395, 80.7057",26.3395,80.7057,792,50.07,2.206666708,17.95909119
25,Fatehabad,"27.053626,78.277169",27.053626,78.277169,693,43.07,10.52250004,9.170908928
26,Lucknow,"26.845635,80.710711",26.845635,80.710711,678,42.01,34.45666504,25.54181862
27,Saifai,"27.0033012,78.9769078",27.0033012,78.9769078,727,45.48,2.557499886,2.415454626
28,Etawah,"26.949591,79.076293",26.949591,79.076293,653,40.25,10.3125,10.59636402
29,Etawah,"26.913797,79.158391",26.913797,79.158391,577,34.88,9.472499847,8.166363716
30,"Sahakar
Global Ltd","26.909319,79.331535",26.909319,79.331535,671,41.52,8.09916687,5.856363773
31,Saurikh,"26.913619,79.160199",26.913619,79.160199,574,34.66,7.327499866,6.692727566
32,Taki Gram,"27.070904,79.653549",27.070904,79.653549,680,42.16,3.078333378,5.029090881
33,Kannauj,"26.98693,79.814441",26.98693,79.814441,537,32.05,1.617499948,1.807272792
34,Kannauj,"26.929426,79.88097",26.929426,79.88097,572,34.52,3.696666718,3.579999924
35,Unnao,"26.926112,80.200743",26.926112,80.200743,700,43.57,10.56166649,9.240908623
36,Sandila,"26.9047203,80.48483",26.9047203,80.48483,511,30.21,2.094166756,2.135454655
37,Fatehabad,"27.038767,78.335211",27.038767,78.335211,810,51.34,7.151666641,6.838181973
38,Lucknow,"26.8506024,80.6686972",26.8506024,80.6686972,715,44.63,3.859999895,3.483636379
39,Shikohabad,"26.998814,78.58165",26.998814,78.58165,598,36.36,6.767499924,6.147272587
40,Etawah,"26.966501,78.812958",26.966501,78.812958,852,54.31,12.55999947,11.60909081
41,Saifai,"27.015798,78.946526",27.015798,78.946526,789,49.86,14.79500008,13.1072731
42,Kanpur,"26.912105,80.027101",26.912105,80.027101,735,46.04,12.89750004,14.68727303
43,"Kanpur
Nagar","26.06978,80.163008",26.06978,80.163008,966,62.37,3.804999828,4.369091034
44,Seoni,"22.269666,79.545141",22.269666,79.545141,625,38.27,1,1
45,,,,,,,1.664999962,1.202727318
46,Bayad,"23.2730374,73.2044535",23.2730374,73.2044535,492,28.87,1,1
47,Kurnool,"15.486433,77.901078",15.486433,77.901078,933,60.04,1.676666617,1.2590909
48,"Hanumagar
h","29.085436, 75.320028",29.085436,75.320028,1003,64.98,1.975833297,1.547272682
49,"Sahibzada
Ajit Singh","30.527449,76.813037",30.527449,76.813037,629,38.55,13.72666645,14.8381815
50,Lohra,"26.369652,82.886172",26.369652,82.886172,875,55.94,2.920833349,2.450909138
51,Dharwad,"15.528545, 75.049936",15.528545,75.049936,930,59.82,2.291666746,2.334545374
52,Sehore,"23.1021426,76.875811",23.1021426,76.875811,580,35.09,2.735000134,5.676363468
53,Bharatpur,"27.101301,77.090874",27.101301,77.090874,808,51.2,5.852499962,6.171818256
54,Azamgarh,"25.98111111, 83.05694444",25.98111111,83.05694444,738,46.25,1.905833364,4.357272625
55,,,,,,,16.15166664,14.18181801
56,Vasna-Iyava,"23.0073, 72.3477",23.0073,72.3477,854,54.45,14.3241663,13.39727306
57,Malvan,"23.0709, 71.7850",23.0709,71.785,677,41.94,6.465000153,5.704545498
58,Soldi,"23.0009, 71.3728",23.0009,71.3728,630,38.62,8.739999771,7.758182049
59,Aniyari,"23.0725, 70.8583",23.0725,70.8583,607,37,3.832499981,4.650908947
60,Anand,"22.594556,72.981298",22.594556,72.981298,550,32.97,8.817500114,10.27090931
61,Auraiya,"26.594931,79.268034",26.594931,79.268034,659,40.67,14.27499962,12.0163641
62,Prayagraj,"25.6123510,81.6420360",25.612351,81.642036,587,35.58,5.065833569,5.371818066
63,Satara,"17.810312,73.971381",17.810312,73.971381,663,40.95,8.261666298,8.827272415
64,Solapur,"17.35945,75.079423",17.35945,75.079423,681,42.23,14.58083344,12.5363636
65,Annampalli,"16.672222, 82.147222",16.672222,82.147222,877,56.08,2.458333254,2.295454502
66,Ratlam,"22.865400, 74.551900",22.8654,74.5519,783,49.43,1.551666737,1.640909076
