Index,Plaza Name,Sate,City,Geo Codes,Longitude,Latitudes,Road Width (pixels),Road Width (m),Congestion_Level,lat,lon,2023,2024
1,"11 miles Toll
Plaza",Madhya Pradesh,Bhopal,"23.1415030,77.4854990",23.141503,77.485499,652.0,40.18,2.428363283147159,23.141503,77.485499,17.46333313,15.90181828
2,18th Mile Toll Plaza,West Bengal,Farakka,"24.82246724101024,87.9669623136514",24.82246724,87.96696231,713.0,44.49,2.198285337436799,24.822467,87.966962,12.94916725,10.09727287
3,6 ML Toll Plaza,Rajasthan,"Hanumanga
rh","29.5198926,74.3359579",29.5198926,74.3359579,718.0,44.84,2.181500872600349,29.519892,74.335958,2.634166718,2.74000001
4,Aaini Toll Plaza,Uttar Pradesh,Bahraich,"27.2970385,81.54163697",27.2970385,81.54163697,803.0,50.85,1.928640308582449,27.297038,81.541637,1.850833297,1.359090924
5,"Aaspur Toll
Plaza",Uttar Pradesh,Etah,"27.48692,78.79217",27.48692,78.79217,742.0,46.54,2.103491796381994,27.48692,78.79217,17.04750061,15.97999954
6,Abul Khurana,Punjab,Malout,"30.139674114139783,74.5377001522389",30.13967411,74.53770015,716.0,44.7,2.188183807439825,30.139674,74.5377,6.000833511,13.82636356
7,Adalaj Toll Plaza,Gujarat,Adalaj,"23.186490, 72.560200",23.18649,72.5602,725.0,45.34,2.157962883038412,23.18649,72.5602,13.2966671,12.22000027
8,"Adityapur Toll
Bridge",Jharkhand,Adityapur,"22.7998439, 86.1444717",22.7998439,86.1444717,831.0,52.83,1.857700167193015,22.7998439,86.1444717,19.88750076,21.04363632
9,"Agnampadi Toll
Plaza",Andhra Pradesh,"Vishakhapat
nam","17.685435,83.149931",17.685435,83.149931,798.0,50.49,1.942124684404739,17.685435,83.149931,7.114166737,6.860908985
10,Agra Toll Plaza,Uttar Pradesh,Agra,"27.303578,78.003327",27.303578,78.003327,515.0,30.49,3.175611305176246,27.303578,78.003327,15.49749947,15.12181854
11,"Ahmadpur Toll
Plaza",Uttar Pradesh,Barabanki,"26.858351,81.422451",26.858351,81.422451,725.0,45.34,2.157962883038412,26.858351,81.422451,6.619166851,7.453636169
12,"Ahmedabad Toll
Plaza",Gujarat,Ahmedabad,"22.975793,72.650335",22.975793,72.650335,704.0,43.85,2.229654403567447,22.975793,72.650335,21.74083328,21.8572731
13,"Ahmedabad
(Ring Road) Toll",Gujarat,Ahmedabad,"22.973846,72.473028",22.973846,72.473028,920.0,59.12,1.66333998669328,22.973846,72.473028,11.42916679,11.29272747
14,"Ahmedabad
Ring Road 2",Gujarat,Ahmedabad,"22.9713406, 72.6613226",22.9713406,72.6613226,791.0,50.0,1.96078431372549,22.9713406,72.6613226,14.99666691,16.47908974
15,Aihar Toll Plaza,Uttar Pradesh,Raebareli,"26.198251,81.032982",26.198251,81.032982,845.0,53.82,1.824151769427216,26.198251,81.032982,2.573333263,3.019090891
16,"Aindhi TOLL
PLAZA",Uttar Pradesh,Amethi,"26.235591,81.609372",26.235591,81.609372,880.0,56.29,1.745505323791238,26.235591,81.609372,2.475833416,2.081818104
17,Ainoli Toll Plaza,Karnataka,Chincholi,"17.503027,77.431011",17.503027,77.431011,800.0,50.64,1.936483346243222,17.503027,77.431011,1.274999976,1.139999986
18,Airoli,Maharashtra,Mumbai,"19.153364,72.965778",19.153364,72.965778,876.0,56.01,1.754078231889142,19.153364,72.965778,14.41166687,14.33454609
19,"Airport - Sewri
Section",Maharashtra,"Navi
Mumbai","18.970378,73.008119",18.970378,73.008119,570.0,34.38,2.826455624646693,18.970378,73.008119,17.77000046,29.69181824
20,AIT Toll Plaza,Uttar Pradesh,Jalaun,"25.87995,79.210312",25.87995,79.210312,603.0,36.71,2.651816494298595,25.87995,79.210312,6.334166527,6.352727413
21,Akhepura,Rajasthan,Sikar,"27.508121,75.344381",27.508121,75.344381,922.0,59.26,1.659475605708596,27.508121,75.344381,8.464166641,7.908181667
22,"Akshardham
Plaza DME KM",Delhi,New Delhi,"28.612334,77.281911",28.612334,77.281911,1022.0,66.33,1.485222040695084,28.612334,77.281911,43.06333542,43.97999954
23,"Akshda TOLL
PLAZA",Uttar Pradesh,Gorakhpur,"26.7288131,83.2754187",26.7288131,83.2754187,642.0,39.47,2.470966147763776,26.7288131,83.2754187,6.404999733,6.903636456
24,Akwabad Toll,Uttar Pradesh,Unnao,"26.3395, 80.7057",26.3395,80.7057,792.0,50.07,1.958096729978461,26.3395,80.7057,2.206666708,17.95909119
25,"ALEP Main Plaza
21",Uttar Pradesh,Fatehabad,"27.053626,78.277169",27.053626,78.277169,693.0,43.07,2.269117313365101,27.053626,78.277169,10.52250004,9.170908928
26,"ALEP Main Plaza
290",Uttar Pradesh,Lucknow,"26.845635,80.710711",26.845635,80.710711,678.0,42.01,2.325040688212044,26.845635,80.710711,34.45666504,25.54181862
27,"ALEP Ramp
Plaza 101",Uttar Pradesh,Saifai,"27.0033012,78.9769078",27.0033012,78.9769078,727.0,45.48,2.151462994836489,27.0033012,78.9769078,2.557499886,2.415454626
28,"ALEP Ramp
Plaza 108",Uttar Pradesh,Etawah,"26.949591,79.076293",26.949591,79.076293,653.0,40.25,2.424242424242424,26.949591,79.076293,10.3125,10.59636402
29,"ALEP Ramp
Plaza 116",Uttar Pradesh,Etawah,"26.913797,79.158391",26.913797,79.158391,577.0,34.88,2.787068004459309,26.913797,79.158391,9.472499847,8.166363716
30,"ALEP Ramp
Plaza 133",Uttar Pradesh,"Sahakar
Global Ltd","26.909319,79.331535",26.909319,79.331535,671.0,41.52,2.351834430856067,26.909319,79.331535,8.09916687,5.856363773
31,"ALEP Ramp
Plaza 154",Uttar Pradesh,Saurikh,"26.913619,79.160199",26.913619,79.160199,574.0,34.66,2.804262478968031,26.913619,79.160199,7.327499866,6.692727566
32,"ALEP Ramp
Plaza 171",Uttar Pradesh,Taki Gram,"27.070904,79.653549",27.070904,79.653549,680.0,42.16,2.31696014828545,27.070904,79.653549,3.078333378,5.029090881
33,"ALEP Ramp
Plaza 193",Uttar Pradesh,Kannauj,"26.98693,79.814441",26.98693,79.814441,537.0,32.05,3.02571860816944,26.98693,79.814441,1.617499948,1.807272792
34,"ALEP Ramp
Plaza 204",Uttar Pradesh,Kannauj,"26.929426,79.88097",26.929426,79.88097,572.0,34.52,2.815315315315315,26.929426,79.88097,3.696666718,3.579999924
35,"ALEP Ramp
Plaza 238",Uttar Pradesh,Unnao,"26.926112,80.200743",26.926112,80.200743,700.0,43.57,2.243661655822302,26.926112,80.200743,10.56166649,9.240908623
36,"ALEP Ramp
Plaza 269",Uttar Pradesh,Sandila,"26.9047203,80.48483",26.9047203,80.48483,511.0,30.21,3.204101249599487,26.9047203,80.48483,2.094166756,2.135454655
37,"ALEP Ramp
Plaza 27",Uttar Pradesh,Fatehabad,"27.038767,78.335211",27.038767,78.335211,810.0,51.34,1.910584638899503,27.038767,78.335211,7.151666641,6.838181973
38,"ALEP Ramp
Plaza 284",Uttar Pradesh,Lucknow,"26.8506024,80.6686972",26.8506024,80.6686972,715.0,44.63,2.191540653079115,26.8506024,80.6686972,3.859999895,3.483636379
39,"ALEP Ramp
Plaza 54",Uttar Pradesh,Shikohabad,"26.998814,78.58165",26.998814,78.58165,598.0,36.36,2.676659528907923,26.998814,78.58165,6.767499924,6.147272587
