Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,6.287,5.387,93.96558,Sunny
2023-01-01 01:00:00+00:00,5.537,4.987,96.25079,Sunny
2023-01-01 02:00:00+00:00,5.187,4.687,96.57695,Sunny
2023-01-01 03:00:00+00:00,7.787,6.187,89.61593,Sunny
2023-01-01 04:00:00+00:00,11.637,6.987,73.13875,Cloudy
2023-01-01 05:00:00+00:00,15.087001,7.337,59.829815,Cloudy
2023-01-01 06:00:00+00:00,17.337,6.737,49.749763,Cloudy
2023-01-01 07:00:00+00:00,18.187,5.887,44.47444,Cloudy
2023-01-01 08:00:00+00:00,18.987,5.237,40.439137,Cloudy
2023-01-01 09:00:00+00:00,19.437,4.637,37.711864,Cloudy
2023-01-01 10:00:00+00:00,19.087,4.837,39.084263,Rainy
2023-01-01 11:00:00+00:00,18.786999,4.437,38.726055,Cloudy
2023-01-01 12:00:00+00:00,16.437,5.687,48.992683,Sunny
2023-01-01 13:00:00+00:00,13.037001,6.037,62.49327,Sunny
2023-01-01 14:00:00+00:00,11.737,6.087,68.29684,Sunny
2023-01-01 15:00:00+00:00,11.387,6.237,70.621796,Sunny
2023-01-01 16:00:00+00:00,12.037001,6.537,69.068016,Sunny
2023-01-01 17:00:00+00:00,11.737,6.837,71.91407,Sunny
2023-01-01 18:00:00+00:00,11.387,6.987,74.35756,Sunny
2023-01-01 19:00:00+00:00,10.887,6.837,76.077484,Sunny
2023-01-01 20:00:00+00:00,7.387,5.787,89.58443,Sunny
2023-01-01 21:00:00+00:00,7.387,6.037,91.14579,Sunny
2023-01-01 22:00:00+00:00,7.087,5.887,92.07586,Sunny
2023-01-01 23:00:00+00:00,6.787,5.687,92.69744,Sunny
2023-01-02 00:00:00+00:00,5.937,4.887,92.972725,Sunny
2023-01-02 01:00:00+00:00,5.537,4.637,93.930176,Sunny
2023-01-02 02:00:00+00:00,4.937,4.187,94.894585,Sunny
2023-01-02 03:00:00+00:00,7.287,5.437,88.03775,Sunny
2023-01-02 04:00:00+00:00,10.737,6.237,73.733795,Sunny
2023-01-02 05:00:00+00:00,14.237,6.837,61.074654,Sunny
2023-01-02 06:00:00+00:00,16.737,6.137,49.58598,Sunny
2023-01-02 07:00:00+00:00,18.237,4.737,40.931866,Sunny
2023-01-02 08:00:00+00:00,19.036999,3.387,35.41567,Sunny
2023-01-02 09:00:00+00:00,19.387,2.537,32.62861,Sunny
2023-01-02 10:00:00+00:00,19.337,2.137,31.811956,Sunny
2023-01-02 11:00:00+00:00,18.837,2.337,33.28989,Sunny
2023-01-02 12:00:00+00:00,14.587001,4.587,51.096405,Sunny
2023-01-02 13:00:00+00:00,13.187,5.687,60.404644,Sunny
2023-01-02 14:00:00+00:00,11.487,6.937,73.61463,Sunny
2023-01-02 15:00:00+00:00,9.887,7.437,84.73367,Sunny
2023-01-02 16:00:00+00:00,9.037001,7.187,88.19365,Sunny
2023-01-02 17:00:00+00:00,8.187,6.737,90.5759,Sunny
2023-01-02 18:00:00+00:00,7.587,6.337,91.78964,Sunny
2023-01-02 19:00:00+00:00,7.037,5.937,92.71151,Sunny
2023-01-02 20:00:00+00:00,6.787,5.687,92.69744,Sunny
2023-01-02 21:00:00+00:00,6.337,5.287,92.99449,Sunny
2023-01-02 22:00:00+00:00,5.737,4.887,94.26761,Sunny
2023-01-02 23:00:00+00:00,5.437,4.737,95.246376,Sunny
2023-01-03 00:00:00+00:00,4.987,4.387,95.89843,Sunny
2023-01-03 01:00:00+00:00,4.937,4.337,95.89681,Sunny
2023-01-03 02:00:00+00:00,5.437,4.587,94.25414,Sunny
