Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,10.685499,7.7855,82.26741,Sunny
2023-01-01 01:00:00+00:00,10.485499,8.0855,85.08877,Sunny
2023-01-01 02:00:00+00:00,10.5855,8.2855,85.67897,Sunny
2023-01-01 03:00:00+00:00,12.8855,8.435499,74.36526,Sunny
2023-01-01 04:00:00+00:00,15.3355,8.1355,62.17373,Sunny
2023-01-01 05:00:00+00:00,17.7355,8.1355,53.37549,Sunny
2023-01-01 06:00:00+00:00,19.6855,7.8355002,46.295242,Sunny
2023-01-01 07:00:00+00:00,21.0355,7.6355,42.01662,Sunny
2023-01-01 08:00:00+00:00,21.8855,7.4855,39.479813,Sunny
2023-01-01 09:00:00+00:00,22.3855,7.4355,38.16496,Sunny
2023-01-01 10:00:00+00:00,22.4355,7.3855,37.919426,Sunny
2023-01-01 11:00:00+00:00,21.9855,7.2355,38.57517,Sunny
2023-01-01 12:00:00+00:00,19.835499,7.7355,45.55529,Sunny
2023-01-01 13:00:00+00:00,17.6355,7.5355,51.56367,Sunny
2023-01-01 14:00:00+00:00,16.585499,7.1355,53.6211,Sunny
2023-01-01 15:00:00+00:00,15.8855,7.1855,56.259174,Sunny
2023-01-01 16:00:00+00:00,14.985499,7.6355,61.461124,Sunny
2023-01-01 17:00:00+00:00,14.0855,7.0855002,62.736195,Sunny
2023-01-01 18:00:00+00:00,13.5355,6.2855,61.54075,Sunny
2023-01-01 19:00:00+00:00,12.7855,6.0355,63.522884,Sunny
2023-01-01 20:00:00+00:00,11.935499,6.1355,67.63471,Sunny
2023-01-01 21:00:00+00:00,11.185499,6.3355002,72.05795,Sunny
2023-01-01 22:00:00+00:00,10.685499,6.4855,75.263916,Sunny
2023-01-01 23:00:00+00:00,10.0855,6.6855,79.4214,Sunny
2023-01-02 00:00:00+00:00,9.2855,6.9355,85.24899,Sunny
2023-01-02 01:00:00+00:00,8.685499,7.0355,89.37963,Sunny
2023-01-02 02:00:00+00:00,8.985499,7.3355002,89.40359,Sunny
2023-01-02 03:00:00+00:00,11.685499,8.1355,78.84581,Sunny
2023-01-02 04:00:00+00:00,14.435499,8.985499,69.7838,Sunny
2023-01-02 05:00:00+00:00,17.3855,9.0355,57.992714,Sunny
2023-01-02 06:00:00+00:00,19.335499,8.485499,49.44757,Sunny
2023-01-02 07:00:00+00:00,20.6355,7.8355002,43.654037,Sunny
2023-01-02 08:00:00+00:00,21.5355,7.4355,40.195934,Sunny
2023-01-02 09:00:00+00:00,22.085499,7.1355,38.079315,Sunny
2023-01-02 10:00:00+00:00,22.1355,6.9355,37.446964,Sunny
2023-01-02 11:00:00+00:00,21.6355,6.8855,38.47519,Sunny
2023-01-02 12:00:00+00:00,19.2855,8.2855,48.934,Sunny
2023-01-02 13:00:00+00:00,17.0355,8.0355,55.41062,Sunny
2023-01-02 14:00:00+00:00,15.8855,7.6855,58.212948,Sunny
