Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,7.796,7.296,96.64665,Sunny
2023-01-01 01:00:00+00:00,7.446,6.946,96.63742,Sunny
2023-01-01 02:00:00+00:00,6.946,6.546,97.291176,Sunny
2023-01-01 03:00:00+00:00,9.346,8.096,91.89921,Sunny
2023-01-01 04:00:00+00:00,11.846,9.246,84.09717,Sunny
2023-01-01 05:00:00+00:00,14.596,10.346,75.66359,Sunny
2023-01-01 06:00:00+00:00,16.546,9.996,65.236305,Sunny
2023-01-01 07:00:00+00:00,17.646,9.496,58.842716,Sunny
2023-01-01 08:00:00+00:00,18.396,9.246,55.197628,Sunny
2023-01-01 09:00:00+00:00,18.696,8.746,52.374638,Sunny
2023-01-01 10:00:00+00:00,18.646,8.346,51.13551,Sunny
2023-01-01 11:00:00+00:00,17.796,9.446,58.093822,Sunny
2023-01-01 12:00:00+00:00,13.696,9.746,77.05013,Sunny
2023-01-01 13:00:00+00:00,12.246,9.546,83.580185,Sunny
2023-01-01 14:00:00+00:00,12.496,9.246,80.57789,Sunny
2023-01-01 15:00:00+00:00,14.096,9.496,73.82712,Sunny
2023-01-01 16:00:00+00:00,13.596,9.396,75.751854,Sunny
2023-01-01 17:00:00+00:00,13.096,9.296,77.73619,Sunny
2023-01-01 18:00:00+00:00,12.596,9.146,79.51407,Sunny
2023-01-01 19:00:00+00:00,12.146,9.196,82.17491,Sunny
2023-01-01 20:00:00+00:00,8.196,7.546,95.67373,Sunny
2023-01-01 21:00:00+00:00,7.8459997,7.496,97.643,Sunny
2023-01-01 22:00:00+00:00,7.796,7.496,97.97588,Sunny
2023-01-01 23:00:00+00:00,6.996,6.896,99.316895,Sunny
2023-01-02 00:00:00+00:00,7.546,7.3459997,98.643845,Cloudy
2023-01-02 01:00:00+00:00,8.446,8.096,97.65411,Cloudy
2023-01-02 02:00:00+00:00,8.096,7.9960003,99.32284,Cloudy
2023-01-02 03:00:00+00:00,8.996,8.596,97.3345,Cloudy
2023-01-02 04:00:00+00:00,11.946,10.146,88.74237,Sunny
2023-01-02 05:00:00+00:00,14.646,10.646,76.942825,Sunny
2023-01-02 06:00:00+00:00,16.346,9.996,66.07164,Sunny
2023-01-02 07:00:00+00:00,17.296,9.396,59.75423,Sunny
2023-01-02 08:00:00+00:00,17.896,9.146,56.575912,Sunny
2023-01-02 09:00:00+00:00,18.196,9.096,55.33263,Sunny
2023-01-02 10:00:00+00:00,18.146,9.096,55.5066,Sunny
2023-01-02 11:00:00+00:00,17.746,8.446,54.475246,Sunny
2023-01-02 12:00:00+00:00,15.096,9.746,70.38403,Sunny
2023-01-02 13:00:00+00:00,12.046,9.446,84.120125,Sunny
2023-01-02 14:00:00+00:00,10.946,9.096,88.36037,Sunny
2023-01-02 15:00:00+00:00,10.246,8.646,89.80657,Sunny
2023-01-02 16:00:00+00:00,9.746,8.146,89.76823,Sunny
2023-01-02 17:00:00+00:00,9.196,7.8459997,91.26697,Sunny
2023-01-02 18:00:00+00:00,8.996,7.8459997,92.505226,Sunny
2023-01-02 19:00:00+00:00,9.096,8.146,93.776665,Sunny
2023-01-02 20:00:00+00:00,8.346,7.5959997,95.02883,Sunny
2023-01-02 21:00:00+00:00,7.296,6.746,96.302376,Sunny
2023-01-02 22:00:00+00:00,6.896,6.446,96.95596,Sunny
2023-01-02 23:00:00+00:00,6.5959997,6.246,97.6196,Sunny
2023-01-03 00:00:00+00:00,6.496,6.246,98.2932,Sunny
2023-01-03 01:00:00+00:00,6.696,6.396,97.95818,Sunny
2023-01-03 02:00:00+00:00,7.646,7.246,97.30608,Sunny
2023-01-03 03:00:00+00:00,8.896,8.146,95.049995,Sunny
2023-01-03 04:00:00+00:00,11.396,9.496,88.10283,Sunny
2023-01-03 05:00:00+00:00,13.846,10.396,79.69243,Sunny
2023-01-03 06:00:00+00:00,15.496,9.796,68.830246,Sunny
2023-01-03 07:00:00+00:00,16.496,8.746,60.16867,Sunny
2023-01-03 08:00:00+00:00,17.146,8.246,55.816414,Sunny
2023-01-03 09:00:00+00:00,17.446,8.096,54.213253,Sunny
2023-01-03 10:00:00+00:00,17.296,8.146,54.9155,Sunny
2023-01-03 11:00:00+00:00,16.496,8.596,59.561565,Sunny
2023-01-03 12:00:00+00:00,13.046,8.896,75.91648,Sunny
2023-01-03 13:00:00+00:00,11.146,8.546,84.01645,Sunny
2023-01-03 14:00:00+00:00,10.246,8.296,87.70312,Sunny
2023-01-03 15:00:00+00:00,9.646,8.096,90.06594,Sunny
2023-01-03 16:00:00+00:00,8.546,7.496,93.1129,Sunny
2023-01-03 17:00:00+00:00,8.046,7.246,94.69298,Sunny
2023-01-03 18:00:00+00:00,7.396,6.996,97.30078,Sunny
2023-01-03 19:00:00+00:00,7.396,7.196,98.64224,Cloudy
2023-01-03 20:00:00+00:00,6.996,6.796,98.63792,Cloudy
2023-01-03 21:00:00+00:00,6.646,6.496,98.97404,Cloudy
2023-01-03 22:00:00+00:00,6.796,6.546,98.29726,Cloudy
2023-01-03 23:00:00+00:00,6.696,6.296,97.28582,Sunny
2023-01-04 00:00:00+00:00,6.146,5.646,96.60283,Sunny
2023-01-04 01:00:00+00:00,6.046,5.5959997,96.935455,Sunny
2023-01-04 02:00:00+00:00,5.546,5.196,97.599686,Sunny
2023-01-04 03:00:00+00:00,7.3459997,6.446,94.015045,Sunny
2023-01-04 04:00:00+00:00,9.546,7.546,87.340675,Sunny
2023-01-04 05:00:00+00:00,11.496,8.546,82.09195,Sunny
2023-01-04 06:00:00+00:00,13.296,8.646,73.43726,Sunny
2023-01-04 07:00:00+00:00,14.746,8.246,65.062225,Sunny
2023-01-04 08:00:00+00:00,15.696,8.196,61.004017,Sunny
2023-01-04 09:00:00+00:00,16.196,8.396,59.893623,Sunny
2023-01-04 10:00:00+00:00,16.196,8.446,60.09684,Sunny
2023-01-04 11:00:00+00:00,15.546,8.396,62.433735,Sunny
2023-01-04 12:00:00+00:00,10.746,8.096,83.685455,Sunny
2023-01-04 13:00:00+00:00,9.146,7.496,89.41637,Sunny
2023-01-04 14:00:00+00:00,8.396,7.0959997,91.52651,Sunny
2023-01-04 15:00:00+00:00,7.646,6.746,94.028946,Sunny
2023-01-04 16:00:00+00:00,6.796,6.246,96.28782,Sunny
2023-01-04 17:00:00+00:00,6.246,6.0959997,98.97076,Sunny
2023-01-04 18:00:00+00:00,5.8459997,5.8459997,100.0,Cloudy
2023-01-04 19:00:00+00:00,5.746,5.746,100.0,Cloudy
2023-01-04 20:00:00+00:00,5.646,5.5959997,99.654205,Cloudy
2023-01-04 21:00:00+00:00,4.946,4.946,100.0,Cloudy
2023-01-04 22:00:00+00:00,4.896,4.896,100.0,Cloudy
2023-01-04 23:00:00+00:00,5.396,5.3459997,99.65352,Cloudy
2023-01-05 00:00:00+00:00,4.646,4.546,99.30391,Cloudy
2023-01-05 01:00:00+00:00,5.0959997,4.8459997,98.27405,Cloudy
2023-01-05 02:00:00+00:00,5.546,5.046,96.58667,Cloudy
2023-01-05 03:00:00+00:00,6.396,5.696,95.28203,Cloudy
2023-01-05 04:00:00+00:00,7.546,7.046,96.64007,Cloudy
2023-01-05 05:00:00+00:00,8.546,8.046,96.666306,Cloudy
2023-01-05 06:00:00+00:00,10.746,8.196,84.25554,Cloudy
2023-01-05 07:00:00+00:00,12.346,8.546,77.62024,Cloudy
2023-01-05 08:00:00+00:00,13.846,9.346,74.28115,Cloudy
2023-01-05 09:00:00+00:00,14.796,9.696,71.51607,Sunny
2023-01-05 10:00:00+00:00,15.096,9.746,70.38403,Sunny
2023-01-05 11:00:00+00:00,14.696,9.646,71.73755,Sunny
2023-01-05 12:00:00+00:00,11.746,8.546,80.74752,Sunny
2023-01-05 13:00:00+00:00,8.646,7.3459997,91.54265,Sunny
2023-01-05 14:00:00+00:00,7.8459997,6.946,94.03819,Sunny
2023-01-05 15:00:00+00:00,7.8459997,6.8459997,93.39555,Sunny
2023-01-05 16:00:00+00:00,7.946,6.946,93.40065,Sunny
2023-01-05 17:00:00+00:00,8.746,7.5959997,92.49087,Sunny
2023-01-05 18:00:00+00:00,7.196,6.5959997,95.96914,Sunny
2023-01-05 19:00:00+00:00,5.396,5.3459997,99.65352,Sunny
2023-01-05 20:00:00+00:00,5.296,5.246,99.65323,Cloudy
2023-01-05 21:00:00+00:00,5.296,5.146,98.962906,Cloudy
2023-01-05 22:00:00+00:00,5.496,5.396,99.308655,Cloudy
2023-01-05 23:00:00+00:00,4.946,4.896,99.65227,Cloudy
2023-01-06 00:00:00+00:00,5.646,4.796,94.26353,Cloudy
2023-01-06 01:00:00+00:00,5.5959997,5.046,96.252556,Cloudy
2023-01-06 02:00:00+00:00,5.696,5.296,97.264244,Cloudy
2023-01-06 03:00:00+00:00,6.746,5.896,94.31256,Cloudy
2023-01-06 04:00:00+00:00,7.696,7.296,97.307144,Cloudy
2023-01-06 05:00:00+00:00,8.796,7.3459997,90.61934,Cloudy
2023-01-06 06:00:00+00:00,10.546,7.396,80.85855,Cloudy
2023-01-06 07:00:00+00:00,12.196,7.896,75.007065,Cloudy
2023-01-06 08:00:00+00:00,13.346,8.446,72.21424,Sunny
2023-01-06 09:00:00+00:00,14.046,8.496,69.23673,Sunny
2023-01-06 10:00:00+00:00,14.246,8.346,67.65476,Sunny
2023-01-06 11:00:00+00:00,13.746,8.146,68.94219,Sunny
2023-01-06 12:00:00+00:00,11.096,8.896,86.31314,Sunny
2023-01-06 13:00:00+00:00,9.096,7.8459997,91.88376,Sunny
2023-01-06 14:00:00+00:00,8.146,7.296,94.37407,Sunny
2023-01-06 15:00:00+00:00,7.196,6.646,96.29948,Sunny
2023-01-06 16:00:00+00:00,6.446,6.146,97.95413,Sunny
2023-01-06 17:00:00+00:00,6.5959997,6.396,98.633575,Sunny
2023-01-06 18:00:00+00:00,8.096,7.8459997,98.314705,Cloudy
2023-01-06 19:00:00+00:00,7.796,7.5959997,98.64653,Cloudy
2023-01-06 20:00:00+00:00,4.946,4.946,100.0,Cloudy
2023-01-06 21:00:00+00:00,4.896,4.8459997,99.652115,Cloudy
2023-01-06 22:00:00+00:00,4.946,4.8459997,99.30559,Cloudy
2023-01-06 23:00:00+00:00,4.5959997,4.496,99.303635,Cloudy
2023-01-07 00:00:00+00:00,4.746,3.796,93.56309,Cloudy
2023-01-07 01:00:00+00:00,4.646,4.446,98.612114,Cloudy
2023-01-07 02:00:00+00:00,5.196,5.0959997,99.30698,Cloudy
2023-01-07 03:00:00+00:00,5.896,5.646,98.285034,Cloudy
2023-01-07 04:00:00+00:00,6.946,6.496,96.95717,Cloudy
2023-01-07 05:00:00+00:00,8.896,7.046,88.181206,Cloudy
2023-01-07 06:00:00+00:00,11.096,7.9960003,81.2089,Cloudy
2023-01-07 07:00:00+00:00,12.996,8.646,74.889336,Sunny
2023-01-07 08:00:00+00:00,14.546,8.796,68.40702,Sunny
2023-01-07 09:00:00+00:00,15.746,7.446,57.782745,Sunny
2023-01-07 10:00:00+00:00,15.996,6.946,54.954792,Sunny
2023-01-07 11:00:00+00:00,15.396,7.8459997,60.72604,Sunny
2023-01-07 12:00:00+00:00,14.046,7.8459997,66.24836,Sunny
2023-01-07 13:00:00+00:00,12.896,7.5959997,70.19295,Sunny
2023-01-07 14:00:00+00:00,11.996,7.396,73.4542,Sunny
2023-01-07 15:00:00+00:00,8.896,6.446,84.62256,Sunny
2023-01-07 16:00:00+00:00,6.646,5.496,92.36871,Sunny
2023-01-07 17:00:00+00:00,6.146,5.196,93.633,Cloudy
2023-01-07 18:00:00+00:00,6.396,5.396,93.32103,Sunny
2023-01-07 19:00:00+00:00,6.3459997,5.296,92.99498,Sunny
2023-01-07 20:00:00+00:00,5.546,4.696,94.259026,Sunny
2023-01-07 21:00:00+00:00,5.196,4.496,95.23735,Sunny
2023-01-07 22:00:00+00:00,4.8459997,4.296,96.23025,Sunny
2023-01-07 23:00:00+00:00,4.296,3.846,96.89258,Sunny
2023-01-08 00:00:00+00:00,4.546,4.196,97.58047,Cloudy
2023-01-08 01:00:00+00:00,4.396,3.9959998,97.235794,Cloudy
2023-01-08 02:00:00+00:00,4.546,4.0959997,96.898766,Sunny
2023-01-08 03:00:00+00:00,6.496,5.446,93.00311,Sunny
2023-01-08 04:00:00+00:00,9.096,6.996,86.702415,Sunny
2023-01-08 05:00:00+00:00,11.996,8.396,78.62497,Sunny
2023-01-08 06:00:00+00:00,14.396,8.446,67.45715,Sunny
2023-01-08 07:00:00+00:00,16.296,7.896,57.526897,Sunny
2023-01-08 08:00:00+00:00,17.596,7.646,52.08322,Sunny
2023-01-08 09:00:00+00:00,18.346,7.296,48.51121,Sunny
2023-01-08 10:00:00+00:00,18.446,7.646,49.373714,Sunny
2023-01-08 11:00:00+00:00,17.546,10.346,62.682026,Sunny
2023-01-08 12:00:00+00:00,16.646,8.046,56.837063,Sunny
2023-01-08 13:00:00+00:00,15.096,7.896,62.11811,Sunny
2023-01-08 14:00:00+00:00,13.846,7.696,66.43132,Sunny
2023-01-08 15:00:00+00:00,12.696,7.5959997,71.11776,Sunny
2023-01-08 16:00:00+00:00,9.696,7.246,84.71235,Sunny
2023-01-08 17:00:00+00:00,7.896,6.946,93.71881,Sunny
2023-01-08 18:00:00+00:00,7.5959997,7.046,96.311066,Sunny
2023-01-08 19:00:00+00:00,9.246,8.496,95.0634,Sunny
2023-01-08 20:00:00+00:00,9.346,8.796,96.36116,Sunny
2023-01-08 21:00:00+00:00,8.146,7.9960003,98.98619,Cloudy
2023-01-08 22:00:00+00:00,5.946,5.946,100.0,Cloudy
2023-01-08 23:00:00+00:00,5.496,5.496,100.0,Cloudy
2023-01-09 00:00:00+00:00,6.446,6.3459997,99.313896,Cloudy
2023-01-09 01:00:00+00:00,6.146,5.996,98.96993,Cloudy
2023-01-09 02:00:00+00:00,5.8459997,5.696,98.96745,Cloudy
2023-01-09 03:00:00+00:00,7.046,6.446,95.96439,Cloudy
2023-01-09 04:00:00+00:00,8.096,7.0959997,93.40827,Cloudy
2023-01-09 05:00:00+00:00,10.296,8.896,91.03182,Cloudy
2023-01-09 06:00:00+00:00,12.346,10.796,90.26496,Cloudy
2023-01-09 07:00:00+00:00,15.346,11.796,79.37843,Sunny
2023-01-09 08:00:00+00:00,17.296,11.746,69.87808,Sunny
2023-01-09 09:00:00+00:00,18.346,11.646,64.97833,Sunny
2023-01-09 10:00:00+00:00,18.696,11.646,63.569874,Sunny
2023-01-09 11:00:00+00:00,18.246,11.996,66.91397,Sunny
2023-01-09 12:00:00+00:00,16.446,11.396,72.06176,Cloudy
2023-01-09 13:00:00+00:00,15.346,11.296,76.798225,Cloudy
2023-01-09 14:00:00+00:00,14.596,11.146,79.79839,Cloudy
2023-01-09 15:00:00+00:00,13.946,10.896,81.85636,Sunny
2023-01-09 16:00:00+00:00,13.596,10.646,82.35794,Sunny
2023-01-09 17:00:00+00:00,13.146,10.496,83.96533,Cloudy
2023-01-09 18:00:00+00:00,10.596,9.446,92.596115,Sunny
2023-01-09 19:00:00+00:00,9.596,8.946,95.72057,Sunny
2023-01-09 20:00:00+00:00,9.096,8.646,97.008095,Sunny
2023-01-09 21:00:00+00:00,8.796,8.446,97.66056,Sunny
2023-01-09 22:00:00+00:00,8.196,7.896,97.98226,Sunny
2023-01-09 23:00:00+00:00,8.046,7.796,98.31404,Sunny
2023-01-10 00:00:00+00:00,8.246,8.046,98.65135,Cloudy
2023-01-10 01:00:00+00:00,7.546,7.496,99.65943,Cloudy
2023-01-10 02:00:00+00:00,7.696,7.646,99.659836,Cloudy
2023-01-10 03:00:00+00:00,9.046,8.846,98.65984,Cloudy
2023-01-10 04:00:00+00:00,10.796,10.496,98.023,Cloudy
2023-01-10 05:00:00+00:00,13.296,11.796,90.63207,Sunny
2023-01-10 06:00:00+00:00,16.496,11.696,73.2714,Sunny
2023-01-10 07:00:00+00:00,18.446,11.396,63.514034,Sunny
2023-01-10 08:00:00+00:00,19.596,11.996,61.506218,Sunny
2023-01-10 09:00:00+00:00,20.196,12.646,61.846844,Sunny
2023-01-10 10:00:00+00:00,20.296,12.896,62.48,Sunny
2023-01-10 11:00:00+00:00,19.596,13.396,67.4128,Sunny
2023-01-10 12:00:00+00:00,15.396,13.296,87.302704,Sunny
2023-01-10 13:00:00+00:00,13.646,12.046,90.06182,Sunny
2023-01-10 14:00:00+00:00,13.946,12.096,88.61544,Sunny
2023-01-10 15:00:00+00:00,12.096,11.046,93.297066,Sunny
2023-01-10 16:00:00+00:00,10.546,9.946,96.07295,Sunny
2023-01-10 17:00:00+00:00,10.096,9.246,94.45812,Sunny
2023-01-10 18:00:00+00:00,9.696,8.496,92.232506,Sunny
2023-01-10 19:00:00+00:00,8.996,7.896,92.820465,Sunny
2023-01-10 20:00:00+00:00,7.946,7.146,94.688866,Sunny
2023-01-10 21:00:00+00:00,7.496,6.946,96.308174,Sunny
2023-01-10 22:00:00+00:00,7.296,6.8459997,96.96555,Sunny
2023-01-10 23:00:00+00:00,6.5959997,6.296,97.95657,Sunny
2023-01-11 00:00:00+00:00,6.446,6.196,98.29252,Sunny
2023-01-11 01:00:00+00:00,5.746,5.546,98.62428,Cloudy
2023-01-11 02:00:00+00:00,5.796,5.496,97.94353,Cloudy
2023-01-11 03:00:00+00:00,8.696,7.8459997,94.39797,Cloudy
2023-01-11 04:00:00+00:00,11.446,9.696,88.99852,Sunny
2023-01-11 05:00:00+00:00,14.146,10.846,80.53419,Sunny
2023-01-11 06:00:00+00:00,16.496,11.046,70.18625,Sunny
2023-01-11 07:00:00+00:00,18.346,10.696,61.012726,Sunny
2023-01-11 08:00:00+00:00,19.696,10.746,56.272366,Sunny
2023-01-11 09:00:00+00:00,20.446,11.446,56.27346,Sunny
2023-01-11 10:00:00+00:00,20.496,12.046,58.365818,Sunny
2023-01-11 11:00:00+00:00,19.846,13.246,65.72951,Sunny
2023-01-11 12:00:00+00:00,16.446,13.346,81.90584,Sunny
2023-01-11 13:00:00+00:00,15.046,12.846,86.70157,Sunny
2023-01-11 14:00:00+00:00,14.196,12.296,88.34567,Sunny
2023-01-11 15:00:00+00:00,13.546,11.646,88.28995,Sunny
2023-01-11 16:00:00+00:00,13.546,11.246,85.9847,Sunny
2023-01-11 17:00:00+00:00,13.196,11.196,87.677025,Sunny
2023-01-11 18:00:00+00:00,12.746,11.196,90.29394,Sunny
2023-01-11 19:00:00+00:00,12.346,10.996,91.472206,Sunny
2023-01-11 20:00:00+00:00,11.996,10.846,92.67429,Sunny
2023-01-11 21:00:00+00:00,11.846,10.796,93.28434,Sunny
2023-01-11 22:00:00+00:00,11.546,10.546,93.58023,Cloudy
2023-01-11 23:00:00+00:00,11.596,10.346,92.03623,Cloudy
2023-01-12 00:00:00+00:00,11.246,9.596,89.58159,Cloudy
2023-01-12 01:00:00+00:00,11.146,9.446,89.27343,Cloudy
2023-01-12 02:00:00+00:00,10.696,9.496,92.29133,Sunny
2023-01-12 03:00:00+00:00,11.896,9.946,87.852295,Sunny
2023-01-12 04:00:00+00:00,13.846,10.396,79.69243,Cloudy
2023-01-12 05:00:00+00:00,15.246,10.946,75.5195,Cloudy
2023-01-12 06:00:00+00:00,16.346,11.596,73.48718,Cloudy
2023-01-12 07:00:00+00:00,18.446,12.596,68.737175,Sunny
2023-01-12 08:00:00+00:00,19.896,13.096,64.88791,Sunny
2023-01-12 09:00:00+00:00,20.596,13.346,63.16258,Sunny
