Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,14.624,6.174,56.91074,Sunny
2023-01-01 01:00:00+00:00,14.474,6.374,58.262047,Sunny
2023-01-01 02:00:00+00:00,14.474,6.774,59.886467,Sunny
2023-01-01 03:00:00+00:00,16.374,7.174,54.49064,Sunny
2023-01-01 04:00:00+00:00,19.174002,7.324,46.152912,Sunny
2023-01-01 05:00:00+00:00,21.974,7.674,39.77527,Sunny
2023-01-01 06:00:00+00:00,24.524,8.124,35.156544,Sunny
2023-01-01 07:00:00+00:00,26.224,8.524,32.65025,Sunny
2023-01-01 08:00:00+00:00,27.074001,8.424,30.846392,Sunny
2023-01-01 09:00:00+00:00,27.574001,7.924,28.956095,Sunny
2023-01-01 10:00:00+00:00,27.624,7.574,28.191465,Sunny
2023-01-01 11:00:00+00:00,27.224,7.474,28.66336,Sunny
2023-01-01 12:00:00+00:00,25.224,7.524,32.36884,Sunny
2023-01-01 13:00:00+00:00,21.724,7.674,40.386982,Sunny
2023-01-01 14:00:00+00:00,20.474,7.874,44.20651,Sunny
2023-01-01 15:00:00+00:00,19.374,8.074,47.971638,Sunny
2023-01-01 16:00:00+00:00,18.324001,8.274,51.923115,Sunny
2023-01-01 17:00:00+00:00,17.424002,8.374,55.32222,Sunny
2023-01-01 18:00:00+00:00,16.674002,8.374,58.013004,Sunny
2023-01-01 19:00:00+00:00,16.074001,8.224,59.661552,Sunny
2023-01-01 20:00:00+00:00,15.374,8.124,61.971943,Sunny
2023-01-01 21:00:00+00:00,14.624,7.924,64.15746,Sunny
2023-01-01 22:00:00+00:00,13.974,7.724,66.00772,Sunny
2023-01-01 23:00:00+00:00,13.674,7.274,65.270454,Sunny
2023-01-02 00:00:00+00:00,13.074,6.674,65.13828,Sunny
2023-01-02 01:00:00+00:00,12.974,6.074,62.91154,Sunny
2023-01-02 02:00:00+00:00,12.924,5.724,61.60881,Sunny
2023-01-02 03:00:00+00:00,14.874,6.274,56.388416,Sunny
2023-01-02 04:00:00+00:00,18.174002,7.074,48.298374,Sunny
2023-01-02 05:00:00+00:00,21.424002,7.674,41.13504,Sunny
2023-01-02 06:00:00+00:00,24.174002,8.324,36.39204,Sunny
2023-01-02 07:00:00+00:00,25.974,8.074,32.14068,Sunny
2023-01-02 08:00:00+00:00,26.974,7.474,29.087091,Sunny
2023-01-02 09:00:00+00:00,27.524,7.024,27.310606,Sunny
2023-01-02 10:00:00+00:00,27.624,6.724,26.598385,Sunny
2023-01-02 11:00:00+00:00,27.274,6.424,26.594843,Cloudy
2023-01-02 12:00:00+00:00,25.524,7.774,32.343067,Sunny
2023-01-02 13:00:00+00:00,22.274,7.824,39.455936,Sunny
2023-01-02 14:00:00+00:00,20.674002,8.174,44.564198,Sunny
2023-01-02 15:00:00+00:00,19.324001,8.424,49.27729,Sunny
2023-01-02 16:00:00+00:00,18.674002,8.224,50.62543,Sunny
2023-01-02 17:00:00+00:00,17.824001,7.924,52.321457,Sunny
2023-01-02 18:00:00+00:00,16.724,7.824,55.708805,Sunny
2023-01-02 19:00:00+00:00,16.074001,7.724,57.6676,Sunny
2023-01-02 20:00:00+00:00,16.024,7.524,57.068447,Sunny
2023-01-02 21:00:00+00:00,15.674,7.224,57.17559,Sunny
