Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,8.51,5.71,82.557076,Sunny
2023-01-01 01:00:00+00:00,7.96,5.51,84.51653,Sunny
2023-01-01 02:00:00+00:00,7.71,5.41,85.37263,Sunny
2023-01-01 03:00:00+00:00,10.860001,6.0600004,72.24579,Sunny
2023-01-01 04:00:00+00:00,13.81,5.46,57.098846,Sunny
2023-01-01 05:00:00+00:00,15.81,3.86,44.89022,Sunny
2023-01-01 06:00:00+00:00,17.36,2.26,36.326694,Sunny
2023-01-01 07:00:00+00:00,18.56,1.11,31.026493,Sunny
2023-01-01 08:00:00+00:00,19.51,0.51,28.004627,Sunny
2023-01-01 09:00:00+00:00,20.01,0.16,26.470901,Sunny
2023-01-01 10:00:00+00:00,20.11,0.31,26.594772,Sunny
2023-01-01 11:00:00+00:00,19.710001,0.26,27.163614,Sunny
2023-01-01 12:00:00+00:00,18.91,1.66,31.576008,Sunny
2023-01-01 13:00:00+00:00,14.31,3.21,47.22293,Sunny
2023-01-01 14:00:00+00:00,14.01,3.91,50.58292,Sunny
2023-01-01 15:00:00+00:00,13.21,4.3599997,54.992138,Sunny
2023-01-01 16:00:00+00:00,12.26,4.8100004,60.390396,Sunny
2023-01-01 17:00:00+00:00,11.31,5.01,65.19831,Sunny
2023-01-01 18:00:00+00:00,11.01,5.26,67.67441,Sunny
2023-01-01 19:00:00+00:00,10.51,5.66,71.930855,Sunny
2023-01-01 20:00:00+00:00,9.860001,6.1099997,77.49673,Sunny
2023-01-01 21:00:00+00:00,9.31,6.41,82.091034,Sunny
2023-01-01 22:00:00+00:00,8.81,6.21,83.742775,Sunny
2023-01-01 23:00:00+00:00,8.56,6.0600004,84.29322,Sunny
2023-01-02 00:00:00+00:00,8.76,6.91,88.169174,Sunny
2023-01-02 01:00:00+00:00,8.56,6.8100004,88.758675,Sunny
2023-01-02 02:00:00+00:00,8.46,7.01,90.59543,Sunny
2023-01-02 03:00:00+00:00,10.06,7.51,84.17681,Sunny
2023-01-02 04:00:00+00:00,12.66,7.5600004,71.11087,Sunny
2023-01-02 05:00:00+00:00,15.16,7.51,60.2574,Sunny
2023-01-02 06:00:00+00:00,17.16,6.71,50.216454,Sunny
2023-01-02 07:00:00+00:00,18.61,5.5600004,42.34159,Sunny
2023-01-02 08:00:00+00:00,19.56,4.46,36.964653,Sunny
2023-01-02 09:00:00+00:00,20.01,4.01,34.831825,Sunny
2023-01-02 10:00:00+00:00,20.06,3.71,33.999847,Sunny
2023-01-02 11:00:00+00:00,19.56,4.01,35.81751,Sunny
2023-01-02 12:00:00+00:00,17.210001,5.8100004,47.047104,Sunny
2023-01-02 13:00:00+00:00,15.110001,6.26,55.485146,Sunny
2023-01-02 14:00:00+00:00,14.21,6.51,59.822475,Sunny
2023-01-02 15:00:00+00:00,13.31,6.96,65.41418,Sunny
2023-01-02 16:00:00+00:00,12.46,7.51,71.80416,Sunny
2023-01-02 17:00:00+00:00,11.96,8.06,77.03532,Sunny
2023-01-02 18:00:00+00:00,11.46,8.31,80.9826,Sunny
2023-01-02 19:00:00+00:00,10.71,8.360001,85.402176,Sunny
2023-01-02 20:00:00+00:00,10.01,8.11,87.97986,Sunny
2023-01-02 21:00:00+00:00,9.41,7.76,89.437355,Sunny
2023-01-02 22:00:00+00:00,9.26,7.6099997,89.42543,Sunny
2023-01-02 23:00:00+00:00,8.76,7.51,91.86294,Sunny
2023-01-03 00:00:00+00:00,8.16,7.0600004,92.774284,Sunny
2023-01-03 01:00:00+00:00,7.71,6.71,93.388626,Sunny
2023-01-03 02:00:00+00:00,7.51,6.6099997,94.02265,Sunny
2023-01-03 03:00:00+00:00,9.41,7.1099997,85.55486,Sunny
2023-01-03 04:00:00+00:00,12.21,7.3100004,72.00279,Sunny
2023-01-03 05:00:00+00:00,14.66,7.01,60.137165,Sunny
2023-01-03 06:00:00+00:00,16.56,6.21,50.39974,Sunny
2023-01-03 07:00:00+00:00,17.960001,5.3599997,43.49596,Sunny
