Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,16.3065,12.4065,77.71138,Sunny
2023-01-01 01:00:00+00:00,15.2065,12.4065,83.37553,Sunny
2023-01-01 02:00:00+00:00,15.7565,12.8065,82.625694,Sunny
2023-01-01 03:00:00+00:00,18.3065,12.606501,69.3886,Sunny
2023-01-01 04:00:00+00:00,20.6565,12.6565,60.155426,Sunny
2023-01-01 05:00:00+00:00,22.9065,12.7065,52.603043,Sunny
2023-01-01 06:00:00+00:00,24.8565,12.4565,46.0231,Sunny
2023-01-01 07:00:00+00:00,26.1565,12.4065,42.4635,Sunny
2023-01-01 08:00:00+00:00,26.956501,12.606501,41.04278,Sunny
2023-01-01 09:00:00+00:00,27.3565,12.6565,40.22231,Sunny
2023-01-01 10:00:00+00:00,27.4065,12.606501,39.9735,Sunny
2023-01-01 11:00:00+00:00,26.8065,13.4565,43.77056,Sunny
2023-01-01 12:00:00+00:00,24.3565,15.9065,59.28851,Sunny
2023-01-01 13:00:00+00:00,22.5565,13.4565,56.428528,Sunny
2023-01-01 14:00:00+00:00,21.6065,13.1565,58.633945,Sunny
2023-01-01 15:00:00+00:00,21.1065,12.1565,56.6241,Sunny
2023-01-01 16:00:00+00:00,19.7565,11.9065,60.538597,Sunny
2023-01-01 17:00:00+00:00,18.3565,12.106501,66.936966,Sunny
2023-01-01 18:00:00+00:00,17.3565,12.7065,74.14859,Sunny
2023-01-01 19:00:00+00:00,18.456501,12.0065,66.08238,Sunny
2023-01-01 20:00:00+00:00,18.1565,11.9565,67.11608,Sunny
2023-01-01 21:00:00+00:00,16.1065,12.1565,77.42587,Sunny
2023-01-01 22:00:00+00:00,15.9565,11.9565,77.14826,Sunny
2023-01-01 23:00:00+00:00,16.3065,11.7065,74.211815,Sunny
2023-01-02 00:00:00+00:00,16.0065,12.0565,77.41048,Sunny
2023-01-02 01:00:00+00:00,13.9565,12.0565,88.325195,Sunny
2023-01-02 02:00:00+00:00,14.9565,12.2565,83.895775,Sunny
2023-01-02 03:00:00+00:00,17.456501,12.8065,74.16577,Sunny
2023-01-02 04:00:00+00:00,19.956501,13.2065,65.11306,Sunny
2023-01-02 05:00:00+00:00,22.3565,13.5565,57.49149,Sunny
2023-01-02 06:00:00+00:00,24.3065,13.7565,51.77528,Sunny
2023-01-02 07:00:00+00:00,25.7565,13.9565,48.108643,Sunny
2023-01-02 08:00:00+00:00,26.706501,14.106501,45.92732,Sunny
2023-01-02 09:00:00+00:00,27.2565,14.2065,44.75589,Sunny
2023-01-02 10:00:00+00:00,27.3565,14.2065,44.49434,Sunny
2023-01-02 11:00:00+00:00,26.706501,14.5065,47.131046,Sunny
2023-01-02 12:00:00+00:00,23.5565,17.8065,70.17422,Sunny
2023-01-02 13:00:00+00:00,21.8065,14.9565,65.0882,Sunny
2023-01-02 14:00:00+00:00,21.206501,14.6565,66.23032,Sunny
2023-01-02 15:00:00+00:00,20.1565,14.4065,69.52369,Sunny
2023-01-02 16:00:00+00:00,19.456501,14.2565,71.906624,Sunny
2023-01-02 17:00:00+00:00,18.0565,13.7565,75.97873,Sunny
2023-01-02 18:00:00+00:00,19.3065,12.8065,66.04556,Sunny
2023-01-02 19:00:00+00:00,19.0065,12.7565,67.071884,Sunny
2023-01-02 20:00:00+00:00,18.6065,12.7065,68.54436,Sunny
2023-01-02 21:00:00+00:00,17.1565,13.1565,77.334114,Sunny
