Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,8.812,6.362,84.61309,Sunny
2023-01-01 01:00:00+00:00,8.612,6.312,85.46973,Sunny
2023-01-01 02:00:00+00:00,8.762,6.362,84.89934,Sunny
2023-01-01 03:00:00+00:00,11.112,6.862,75.0784,Sunny
2023-01-01 04:00:00+00:00,14.462,7.612,63.4691,Sunny
2023-01-01 05:00:00+00:00,16.312,7.962,57.72684,Sunny
2023-01-01 06:00:00+00:00,17.512001,7.6619997,52.41705,Sunny
2023-01-01 07:00:00+00:00,18.512001,7.362,48.226284,Sunny
2023-01-01 08:00:00+00:00,19.262001,6.862,44.471516,Sunny
2023-01-01 09:00:00+00:00,19.712,6.5119996,42.217705,Sunny
2023-01-01 10:00:00+00:00,19.662,6.2619996,41.626183,Sunny
2023-01-01 11:00:00+00:00,19.012001,6.0119996,42.603107,Sunny
2023-01-01 12:00:00+00:00,16.112,7.6619997,57.285465,Sunny
2023-01-01 13:00:00+00:00,13.812,7.862,67.33492,Sunny
2023-01-01 14:00:00+00:00,12.812,8.062,72.85421,Sunny
2023-01-01 15:00:00+00:00,11.762,8.212,78.857124,Sunny
2023-01-01 16:00:00+00:00,13.412001,8.012,69.818,Sunny
2023-01-01 17:00:00+00:00,12.912001,8.012,72.13372,Sunny
2023-01-01 18:00:00+00:00,11.662001,7.7619996,76.9879,Sunny
2023-01-01 19:00:00+00:00,12.212,7.7619996,74.24793,Sunny
2023-01-01 20:00:00+00:00,11.962,7.7619996,75.479614,Sunny
2023-01-01 21:00:00+00:00,10.162001,7.362,82.76429,Sunny
2023-01-01 22:00:00+00:00,9.662001,7.2619996,84.99869,Sunny
2023-01-01 23:00:00+00:00,9.462,7.1619997,85.560394,Sunny
2023-01-02 00:00:00+00:00,8.912001,7.062,88.18262,Sunny
2023-01-02 01:00:00+00:00,9.112,7.1619997,87.59904,Sunny
2023-01-02 02:00:00+00:00,9.812,7.462,85.30588,Sunny
2023-01-02 03:00:00+00:00,11.812,8.462,79.94082,Sunny
2023-01-02 04:00:00+00:00,13.912001,9.062,72.56294,Sunny
2023-01-02 05:00:00+00:00,15.712,9.062,64.61747,Sunny
