Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,16.654,11.154,69.9845,Sunny
2023-01-01 01:00:00+00:00,16.454,11.004,70.178116,Sunny
2023-01-01 02:00:00+00:00,16.754,11.004,68.85305,Sunny
2023-01-01 03:00:00+00:00,18.854,11.604,62.770924,Sunny
2023-01-01 04:00:00+00:00,21.604,12.004,54.375435,Sunny
2023-01-01 05:00:00+00:00,24.054,11.704,45.954903,Sunny
2023-01-01 06:00:00+00:00,25.604,11.454,41.207043,Sunny
2023-01-01 07:00:00+00:00,26.554,11.704,39.604374,Sunny
2023-01-01 08:00:00+00:00,27.254,11.854,38.385746,Sunny
2023-01-01 09:00:00+00:00,27.604,11.854,37.60704,Sunny
2023-01-01 10:00:00+00:00,27.504,11.504,36.963623,Sunny
2023-01-01 11:00:00+00:00,26.804,11.104,37.50673,Sunny
2023-01-01 12:00:00+00:00,25.904,12.704,43.951702,Sunny
2023-01-01 13:00:00+00:00,24.954,12.704,46.504612,Sunny
2023-01-01 14:00:00+00:00,21.604,13.304,59.209827,Sunny
2023-01-01 15:00:00+00:00,20.504,12.304,59.335308,Sunny
2023-01-01 16:00:00+00:00,20.154,11.754,58.475445,Sunny
2023-01-01 17:00:00+00:00,19.004,11.604,62.185974,Sunny
2023-01-01 18:00:00+00:00,18.154,11.804,66.455215,Sunny
2023-01-01 19:00:00+00:00,17.654,12.004,69.48867,Sunny
2023-01-01 20:00:00+00:00,17.204,12.304,72.91604,Sunny
2023-01-01 21:00:00+00:00,16.854,12.304,74.550385,Sunny
2023-01-01 22:00:00+00:00,16.504,12.204,75.726585,Sunny
2023-01-01 23:00:00+00:00,16.154,12.104,76.92555,Sunny
2023-01-02 00:00:00+00:00,15.804,12.304,79.705185,Sunny
2023-01-02 01:00:00+00:00,15.704,12.254,79.95346,Sunny
2023-01-02 02:00:00+00:00,15.904,12.204,78.67861,Sunny
2023-01-02 03:00:00+00:00,18.054,12.354,69.339005,Sunny
2023-01-02 04:00:00+00:00,20.704,12.304,58.60846,Sunny
2023-01-02 05:00:00+00:00,23.054,12.104,50.113647,Sunny
2023-01-02 06:00:00+00:00,24.754,12.204,45.54398,Sunny
2023-01-02 07:00:00+00:00,25.854,12.554,43.650867,Sunny
2023-01-02 08:00:00+00:00,26.654,12.904,42.601383,Sunny
2023-01-02 09:00:00+00:00,27.054,13.154,42.296154,Sunny
2023-01-02 10:00:00+00:00,27.104,13.054,41.89773,Sunny
2023-01-02 11:00:00+00:00,26.754,13.004,42.62906,Sunny
2023-01-02 12:00:00+00:00,24.154,15.754,59.430553,Sunny
2023-01-02 13:00:00+00:00,22.754,14.004,57.77533,Sunny
2023-01-02 14:00:00+00:00,21.354,13.854,62.312912,Sunny
2023-01-02 15:00:00+00:00,20.704,13.754,64.43158,Sunny
2023-01-02 16:00:00+00:00,20.354,14.054,67.1313,Sunny
2023-01-02 17:00:00+00:00,19.604,14.104,70.55063,Sunny
2023-01-02 18:00:00+00:00,18.704,14.154,74.86217,Sunny
2023-01-02 19:00:00+00:00,18.104,14.104,77.47935,Sunny
2023-01-02 20:00:00+00:00,17.504,14.104,80.462074,Sunny
2023-01-02 21:00:00+00:00,17.154,13.854,80.938545,Sunny
2023-01-02 22:00:00+00:00,16.704,13.454,81.1426,Sunny
