Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,6.5545,5.6545,93.97813,Sunny
2023-01-01 01:00:00+00:00,5.8545003,4.9545,93.945206,Sunny
2023-01-01 02:00:00+00:00,6.1045003,4.9045,92.01566,Sunny
2023-01-01 03:00:00+00:00,7.3545003,6.3545003,93.370445,Cloudy
2023-01-01 04:00:00+00:00,9.804501,6.8545003,81.8735,Cloudy
2023-01-01 05:00:00+00:00,12.304501,7.5045004,72.513794,Cloudy
2023-01-01 06:00:00+00:00,14.2045,8.1545,66.9612,Cloudy
2023-01-01 07:00:00+00:00,15.6545,8.2545,61.409527,Cloudy
2023-01-01 08:00:00+00:00,16.404501,8.0045,57.553936,Cloudy
2023-01-01 09:00:00+00:00,16.904501,7.5545,54.07241,Cloudy
2023-01-01 10:00:00+00:00,16.7045,7.5545,54.76289,Cloudy
2023-01-01 11:00:00+00:00,15.5045,11.8545,78.8795,Cloudy
2023-01-01 12:00:00+00:00,12.9545,9.304501,78.503,Sunny
2023-01-01 13:00:00+00:00,13.1045,8.8545,75.41547,Sunny
2023-01-01 14:00:00+00:00,12.4045,8.7045,78.15601,Sunny
2023-01-01 15:00:00+00:00,11.804501,8.6545,81.02904,Sunny
2023-01-01 16:00:00+00:00,10.9545,8.3545,83.99427,Sunny
2023-01-01 17:00:00+00:00,10.2545,8.1045,86.52163,Sunny
2023-01-01 18:00:00+00:00,7.9045,6.7545004,92.44227,Sunny
2023-01-01 19:00:00+00:00,5.8545003,5.3545003,96.59499,Sunny
2023-01-01 20:00:00+00:00,7.6545,6.9045,95.002014,Sunny
2023-01-01 21:00:00+00:00,6.5545,6.5045004,99.65672,Cloudy
2023-01-01 22:00:00+00:00,3.7545,3.7045,99.648895,Cloudy
2023-01-01 23:00:00+00:00,2.0045,1.9045,99.28888,Cloudy
2023-01-02 00:00:00+00:00,2.7045,2.4045,97.89199,Cloudy
2023-01-02 01:00:00+00:00,3.5045,3.3545,98.94785,Cloudy
2023-01-02 02:00:00+00:00,3.7045,3.6045,99.298615,Cloudy
2023-01-02 03:00:00+00:00,4.6045003,4.2545004,97.58162,Cloudy
2023-01-02 04:00:00+00:00,5.9545,4.7545004,92.006424,Cloudy
2023-01-02 05:00:00+00:00,7.6045003,6.7545004,94.3504,Cloudy
2023-01-02 06:00:00+00:00,9.1545,8.6045,96.35572,Cloudy
2023-01-02 07:00:00+00:00,11.8545,9.6545,86.38901,Cloudy
2023-01-02 08:00:00+00:00,14.0045,10.304501,78.39719,Sunny
2023-01-02 09:00:00+00:00,15.0045,10.2045,73.005196,Sunny
2023-01-02 10:00:00+00:00,15.2045,9.9045,70.64116,Sunny
2023-01-02 11:00:00+00:00,14.4545,12.0045,85.23105,Sunny
2023-01-02 12:00:00+00:00,13.9045,9.9045,76.82543,Sunny
2023-01-02 13:00:00+00:00,12.7045,9.6045,81.42244,Sunny
2023-01-02 14:00:00+00:00,11.7045,9.3545,85.50774,Sunny
2023-01-02 15:00:00+00:00,10.9545,9.304501,89.558876,Sunny
2023-01-02 16:00:00+00:00,7.8545003,7.5545,97.97682,Sunny
2023-01-02 17:00:00+00:00,7.0545,7.0545,99.99999,Cloudy
2023-01-02 18:00:00+00:00,7.7045,7.6545,99.65987,Cloudy
2023-01-02 19:00:00+00:00,4.8545003,4.8045,99.65201,Cloudy
2023-01-02 20:00:00+00:00,3.4545,3.2545,98.59875,Cloudy
2023-01-02 21:00:00+00:00,4.2045,3.9045,97.91724,Cloudy
2023-01-02 22:00:00+00:00,5.2545004,4.9545,97.93464,Cloudy
2023-01-02 23:00:00+00:00,5.1045003,5.0545,99.6527,Cloudy
2023-01-03 00:00:00+00:00,5.3045,5.0545,98.276924,Cloudy
2023-01-03 01:00:00+00:00,5.4045,4.6045003,94.58248,Cloudy
2023-01-03 02:00:00+00:00,5.6545,4.5545,92.63315,Cloudy
2023-01-03 03:00:00+00:00,6.4045,5.2545004,92.35449,Cloudy
2023-01-03 04:00:00+00:00,7.0045004,6.0545,93.67531,Cloudy
2023-01-03 05:00:00+00:00,8.3545,7.3045,93.10276,Cloudy
2023-01-03 06:00:00+00:00,9.304501,8.7545,96.35999,Cloudy
2023-01-03 07:00:00+00:00,12.2045,9.304501,82.45928,Cloudy
2023-01-03 08:00:00+00:00,13.6545,10.1545,79.3996,Sunny
2023-01-03 09:00:00+00:00,14.554501,9.9045,73.66062,Sunny
2023-01-03 10:00:00+00:00,14.8545,9.554501,70.573814,Sunny
2023-01-03 11:00:00+00:00,14.1545,9.6045,74.08563,Sunny
2023-01-03 12:00:00+00:00,12.4545,9.6545,83.046036,Sunny
2023-01-03 13:00:00+00:00,11.9545,9.5045,84.96178,Sunny
2023-01-03 14:00:00+00:00,11.2045,9.2045,87.495155,Sunny
2023-01-03 15:00:00+00:00,10.1045,8.8545,91.94578,Sunny
2023-01-03 16:00:00+00:00,9.2045,8.5045,95.38419,Sunny
