Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,14.637,8.187,65.2594,Sunny
2023-01-01 01:00:00+00:00,14.387,8.887,69.539215,Sunny
2023-01-01 02:00:00+00:00,14.287001,9.537001,73.12093,Sunny
2023-01-01 03:00:00+00:00,16.237,9.937,66.26979,Sunny
2023-01-01 04:00:00+00:00,18.987,9.837001,55.34829,Sunny
2023-01-01 05:00:00+00:00,21.737,9.937,47.018986,Sunny
2023-01-01 06:00:00+00:00,24.187,10.637,42.476524,Sunny
2023-01-01 07:00:00+00:00,26.036999,11.437,40.118027,Sunny
2023-01-01 08:00:00+00:00,27.137,10.837001,36.133804,Sunny
2023-01-01 09:00:00+00:00,27.687,10.387,33.955772,Sunny
2023-01-01 10:00:00+00:00,27.687,9.987,33.060467,Sunny
2023-01-01 11:00:00+00:00,27.137,9.987,34.142677,Sunny
2023-01-01 12:00:00+00:00,24.987,9.287001,36.994267,Sunny
2023-01-01 13:00:00+00:00,21.687,9.387,45.45457,Sunny
2023-01-01 14:00:00+00:00,20.687,9.387,48.330795,Sunny
2023-01-01 15:00:00+00:00,19.887,9.237,50.26956,Sunny
2023-01-01 16:00:00+00:00,19.387,9.187,51.68019,Sunny
2023-01-01 17:00:00+00:00,18.687,8.987,53.263638,Sunny
2023-01-01 18:00:00+00:00,17.887,8.037001,52.516308,Sunny
2023-01-01 19:00:00+00:00,16.987,7.487,53.543278,Sunny
2023-01-01 20:00:00+00:00,16.187,7.387,55.952427,Sunny
2023-01-01 21:00:00+00:00,15.487,7.287,58.11426,Sunny
2023-01-01 22:00:00+00:00,14.937,7.087,59.385708,Sunny
2023-01-01 23:00:00+00:00,14.587001,6.937,60.119556,Sunny
2023-01-02 00:00:00+00:00,13.837001,7.337,64.86169,Sunny
2023-01-02 01:00:00+00:00,13.437,7.537,67.48596,Sunny
2023-01-02 02:00:00+00:00,13.237,8.137,71.22111,Sunny
2023-01-02 03:00:00+00:00,15.137,9.287001,68.06795,Sunny
2023-01-02 04:00:00+00:00,18.187,10.487,60.772686,Sunny
2023-01-02 05:00:00+00:00,21.337,11.187,52.36741,Sunny
2023-01-02 06:00:00+00:00,23.987,11.637,45.936535,Sunny
2023-01-02 07:00:00+00:00,25.987,11.187,39.576336,Sunny
2023-01-02 08:00:00+00:00,27.036999,10.387,35.273758,Sunny
2023-01-02 09:00:00+00:00,27.587,9.637,32.48358,Sunny
2023-01-02 10:00:00+00:00,27.687,9.037001,31.01704,Sunny
2023-01-02 11:00:00+00:00,27.187,8.937,31.723864,Sunny
2023-01-02 12:00:00+00:00,25.187,10.287001,39.08972,Sunny
2023-01-02 13:00:00+00:00,22.187,10.237,46.672684,Sunny
2023-01-02 14:00:00+00:00,20.937,10.337001,50.719543,Sunny
2023-01-02 15:00:00+00:00,20.036999,10.637,54.69752,Sunny
2023-01-02 16:00:00+00:00,19.187,10.487,57.088757,Sunny
2023-01-02 17:00:00+00:00,18.437,9.487,55.955383,Sunny
2023-01-02 18:00:00+00:00,17.737,8.537001,54.843,Sunny
2023-01-02 19:00:00+00:00,17.087,8.187,55.801388,Sunny
2023-01-02 20:00:00+00:00,16.437,8.687,60.15457,Sunny
2023-01-02 21:00:00+00:00,15.737,9.537001,66.609024,Sunny
2023-01-02 22:00:00+00:00,15.087001,9.987,71.57065,Sunny
2023-01-02 23:00:00+00:00,14.787001,10.087001,73.4557,Sunny
2023-01-03 00:00:00+00:00,14.487,10.437,76.661804,Sunny
2023-01-03 01:00:00+00:00,14.237,10.437,77.91095,Sunny
2023-01-03 02:00:00+00:00,14.037001,10.387,78.66399,Sunny
2023-01-03 03:00:00+00:00,15.737,10.587001,71.45382,Sunny
2023-01-03 04:00:00+00:00,18.387,10.687,60.819706,Sunny
2023-01-03 05:00:00+00:00,21.087,10.637,51.269135,Sunny
2023-01-03 06:00:00+00:00,23.587,10.487,43.59895,Sunny
2023-01-03 07:00:00+00:00,25.687,9.787001,36.697372,Sunny
2023-01-03 08:00:00+00:00,26.887,8.887,32.178974,Sunny
2023-01-03 09:00:00+00:00,27.387,7.937,29.300682,Sunny
2023-01-03 10:00:00+00:00,27.286999,6.687,27.059523,Sunny
2023-01-03 11:00:00+00:00,26.637,5.837,26.513363,Sunny
2023-01-03 12:00:00+00:00,24.337,6.987,32.899258,Sunny
