Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,11.037001,10.987,99.66872,Cloudy
2023-01-01 01:00:00+00:00,11.937,11.937,100.0,Cloudy
2023-01-01 02:00:00+00:00,12.087001,11.987,99.34381,Cloudy
2023-01-01 03:00:00+00:00,13.287001,12.937,97.740944,Cloudy
2023-01-01 04:00:00+00:00,15.737,13.937,89.052246,Sunny
2023-01-01 05:00:00+00:00,18.437,14.787001,79.300964,Sunny
2023-01-01 06:00:00+00:00,20.187,14.937,71.80809,Sunny
2023-01-01 07:00:00+00:00,21.187,14.837001,67.08565,Sunny
2023-01-01 08:00:00+00:00,21.737,14.737,64.44747,Sunny
2023-01-01 09:00:00+00:00,21.837,14.537001,63.23386,Sunny
2023-01-01 10:00:00+00:00,21.587,14.537001,64.20737,Sunny
2023-01-01 11:00:00+00:00,21.036999,14.637,66.83892,Sunny
2023-01-01 12:00:00+00:00,19.536999,14.837001,74.28007,Sunny
2023-01-01 13:00:00+00:00,18.587,14.587001,77.55288,Sunny
2023-01-01 14:00:00+00:00,18.237,14.337001,78.0026,Sunny
2023-01-01 15:00:00+00:00,16.786999,13.687,81.949005,Rainy
2023-01-01 16:00:00+00:00,15.787001,13.687,87.33865,Sunny
2023-01-01 17:00:00+00:00,14.937,13.437,90.74554,Sunny
2023-01-01 18:00:00+00:00,14.337001,13.187,92.802345,Sunny
2023-01-01 19:00:00+00:00,13.587001,12.737,94.60398,Sunny
2023-01-01 20:00:00+00:00,12.637,12.087001,96.45266,Sunny
2023-01-01 21:00:00+00:00,12.387,11.887,96.76427,Sunny
2023-01-01 22:00:00+00:00,12.987,12.287001,95.516685,Sunny
2023-01-01 23:00:00+00:00,13.587001,12.787001,94.91415,Sunny
2023-01-02 00:00:00+00:00,11.837001,11.487,97.715454,Sunny
2023-01-02 01:00:00+00:00,10.887,10.887,100.0,Sunny
2023-01-02 02:00:00+00:00,11.637,11.587001,99.67026,Cloudy
2023-01-02 03:00:00+00:00,13.537001,13.037001,96.79278,Sunny
2023-01-02 04:00:00+00:00,16.487,14.087001,85.72212,Sunny
2023-01-02 05:00:00+00:00,18.937,14.587001,75.87491,Sunny
2023-01-02 06:00:00+00:00,20.536999,14.737,69.373535,Sunny
2023-01-02 07:00:00+00:00,21.487,14.387,63.978493,Rainy
2023-01-02 08:00:00+00:00,21.937,13.587001,59.096626,Rainy
2023-01-02 09:00:00+00:00,21.987,13.337001,57.96545,Sunny
2023-01-02 10:00:00+00:00,21.536999,13.687,60.95378,Sunny
2023-01-02 11:00:00+00:00,18.937,14.987,77.85605,Sunny
2023-01-02 12:00:00+00:00,16.437,13.487,82.708824,Sunny
2023-01-02 13:00:00+00:00,15.837001,13.337001,85.09924,Sunny
2023-01-02 14:00:00+00:00,14.987,13.237,89.28268,Sunny
