Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,19.708,19.658,99.69018,Cloudy
2023-01-01 01:00:00+00:00,20.208,20.058,99.07657,Cloudy
2023-01-01 02:00:00+00:00,20.808,20.408,97.565125,Cloudy
2023-01-01 03:00:00+00:00,22.358,21.408,94.3667,Cloudy
2023-01-01 04:00:00+00:00,25.158,21.458,79.97755,Sunny
2023-01-01 05:00:00+00:00,26.808,20.808,69.69918,Cloudy
2023-01-01 06:00:00+00:00,28.258,19.658,59.636974,Cloudy
2023-01-01 07:00:00+00:00,29.158,18.658,53.184177,Sunny
2023-01-01 08:00:00+00:00,29.558,18.058,50.051605,Sunny
2023-01-01 09:00:00+00:00,29.658,18.008,49.607883,Sunny
2023-01-01 10:00:00+00:00,29.408,18.308,51.285076,Sunny
2023-01-01 11:00:00+00:00,28.808,18.258,52.929726,Sunny
2023-01-01 12:00:00+00:00,27.758,19.058,59.151424,Sunny
2023-01-01 13:00:00+00:00,25.708,19.008,66.52938,Sunny
2023-01-01 14:00:00+00:00,24.708,19.908,74.67338,Sunny
2023-01-01 15:00:00+00:00,23.458,20.258,82.254585,Sunny
2023-01-01 16:00:00+00:00,22.708,20.408,86.87285,Sunny
2023-01-01 17:00:00+00:00,22.108,20.708,91.78195,Sunny
2023-01-01 18:00:00+00:00,21.758,20.858,94.63251,Sunny
2023-01-01 19:00:00+00:00,21.408,20.758,96.08734,Sunny
2023-01-01 20:00:00+00:00,21.008,20.608,97.56879,Sunny
2023-01-01 21:00:00+00:00,20.658,20.458,98.774605,Sunny
2023-01-01 22:00:00+00:00,20.508,20.358,99.078674,Cloudy
2023-01-01 23:00:00+00:00,20.208,20.158,99.69136,Cloudy
2023-01-02 00:00:00+00:00,21.558,21.358,98.782875,Cloudy
2023-01-02 01:00:00+00:00,22.308,21.508,95.23547,Cloudy
2023-01-02 02:00:00+00:00,23.308,21.008,86.92812,Cloudy
2023-01-02 03:00:00+00:00,24.408,20.658,79.630936,Cloudy
2023-01-02 04:00:00+00:00,25.908,20.208,70.831635,Cloudy
2023-01-02 05:00:00+00:00,27.258,19.758,63.61788,Cloudy
2023-01-02 06:00:00+00:00,28.558,19.208,56.988827,Sunny
2023-01-02 07:00:00+00:00,29.258,18.758,53.209347,Cloudy
2023-01-02 08:00:00+00:00,29.608,18.308,50.69699,Cloudy
2023-01-02 09:00:00+00:00,29.908,18.058,49.05317,Sunny
2023-01-02 10:00:00+00:00,29.708,17.608,48.23516,Sunny
2023-01-02 11:00:00+00:00,28.908,17.158,49.100376,Sunny
2023-01-02 12:00:00+00:00,27.158,18.608,59.56798,Sunny
2023-01-02 13:00:00+00:00,25.258,18.608,66.6455,Cloudy
2023-01-02 14:00:00+00:00,24.408,19.308,73.24516,Cloudy
2023-01-02 15:00:00+00:00,23.558,20.108,81.00546,Sunny
2023-01-02 16:00:00+00:00,22.908,20.458,86.09137,Sunny
2023-01-02 17:00:00+00:00,22.208,20.558,90.3854,Sunny
2023-01-02 18:00:00+00:00,21.608,20.508,93.46742,Sunny
2023-01-02 19:00:00+00:00,21.058,20.258,95.19131,Sunny
2023-01-02 20:00:00+00:00,20.758,20.108,96.06843,Sunny
2023-01-02 21:00:00+00:00,20.608,20.158,97.26036,Sunny
2023-01-02 22:00:00+00:00,20.558,20.008,96.65932,Sunny
2023-01-02 23:00:00+00:00,20.358,19.808,96.65432,Sunny
2023-01-03 00:00:00+00:00,20.458,20.008,97.25726,Sunny
2023-01-03 01:00:00+00:00,21.108,20.308,95.19307,Sunny
