Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,10.813,10.813,100.0,Cloudy
2023-01-01 01:00:00+00:00,9.912999,9.912999,100.0,Cloudy
2023-01-01 02:00:00+00:00,10.912999,10.863,99.66838,Cloudy
2023-01-01 03:00:00+00:00,12.212999,12.013,98.69268,Cloudy
2023-01-01 04:00:00+00:00,15.063,13.513,90.459366,Sunny
2023-01-01 05:00:00+00:00,17.863,13.813,77.191574,Sunny
2023-01-01 06:00:00+00:00,19.863,13.813,68.128136,Sunny
2023-01-01 07:00:00+00:00,20.963001,13.662999,63.039204,Sunny
2023-01-01 08:00:00+00:00,21.563,13.513,60.172085,Sunny
2023-01-01 09:00:00+00:00,21.713001,13.313,58.851078,Sunny
2023-01-01 10:00:00+00:00,21.263,13.063,59.516033,Sunny
2023-01-01 11:00:00+00:00,19.263,15.412999,78.40622,Sunny
2023-01-01 12:00:00+00:00,15.712999,13.063,84.257034,Sunny
2023-01-01 13:00:00+00:00,15.412999,12.513,82.85485,Sunny
2023-01-01 14:00:00+00:00,14.462999,12.363,87.21633,Sunny
2023-01-01 15:00:00+00:00,14.013,12.263,89.2056,Sunny
2023-01-01 16:00:00+00:00,13.662999,12.013,89.7671,Sunny
2023-01-01 17:00:00+00:00,13.113,11.712999,91.21962,Sunny
2023-01-01 18:00:00+00:00,12.763,11.563,92.41085,Sunny
2023-01-01 19:00:00+00:00,12.162999,11.263,94.232635,Sunny
2023-01-01 20:00:00+00:00,11.462999,10.912999,96.420425,Sunny
2023-01-01 21:00:00+00:00,10.763,10.412999,97.69629,Sunny
2023-01-01 22:00:00+00:00,12.212999,11.662999,96.44106,Sunny
2023-01-01 23:00:00+00:00,12.212999,11.912999,98.044685,Sunny
2023-01-02 00:00:00+00:00,10.363,10.363,100.0,Cloudy
2023-01-02 01:00:00+00:00,10.013,10.013,100.0,Cloudy
2023-01-02 02:00:00+00:00,11.212999,11.212999,100.0,Cloudy
