Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,11.1935,6.8935003,74.83534,Sunny
2023-01-01 01:00:00+00:00,10.9935,7.2435,77.674164,Sunny
2023-01-01 02:00:00+00:00,11.2935,7.5435004,77.7208,Sunny
2023-01-01 03:00:00+00:00,13.6935,8.3435,70.11087,Sunny
2023-01-01 04:00:00+00:00,16.293499,8.7935,61.14503,Sunny
2023-01-01 05:00:00+00:00,18.793499,9.1935,53.651608,Sunny
2023-01-01 06:00:00+00:00,20.5935,9.3435,48.468037,Sunny
2023-01-01 07:00:00+00:00,21.7435,9.5435,45.776688,Sunny
2023-01-01 08:00:00+00:00,22.3935,9.5935,44.14656,Sunny
2023-01-01 09:00:00+00:00,22.6935,9.4935,43.059444,Sunny
2023-01-01 10:00:00+00:00,22.543499,9.393499,43.162266,Sunny
2023-01-01 11:00:00+00:00,21.7435,9.1935,44.712025,Sunny
2023-01-01 12:00:00+00:00,18.8935,11.5435,62.36648,Sunny
2023-01-01 13:00:00+00:00,16.793499,10.1935,65.07242,Sunny
2023-01-01 14:00:00+00:00,16.293499,10.2935,67.62401,Sunny
2023-01-01 15:00:00+00:00,15.4435,10.0435,70.21605,Sunny
2023-01-01 16:00:00+00:00,14.6935,9.6935,71.97807,Sunny
2023-01-01 17:00:00+00:00,14.1935,9.643499,74.09243,Sunny
2023-01-01 18:00:00+00:00,13.6935,9.6935,76.79186,Sunny
2023-01-01 19:00:00+00:00,13.143499,9.6935,79.59248,Sunny
2023-01-01 20:00:00+00:00,12.643499,9.643499,81.96267,Sunny
2023-01-01 21:00:00+00:00,11.9935,9.4935,84.68122,Sunny
2023-01-01 22:00:00+00:00,11.2435,9.3435,88.08939,Sunny
2023-01-01 23:00:00+00:00,10.7935,9.0435,88.944954,Sunny
2023-01-02 00:00:00+00:00,10.1935,8.6935,90.4119,Sunny
2023-01-02 01:00:00+00:00,9.7435,8.393499,91.303154,Sunny
2023-01-02 02:00:00+00:00,9.9435,8.4935,90.70041,Sunny
2023-01-02 03:00:00+00:00,12.5935,9.3435,80.59125,Sunny
2023-01-02 04:00:00+00:00,15.8435,10.0935,68.67015,Sunny
2023-01-02 05:00:00+00:00,18.6935,9.3435,54.53568,Sunny
2023-01-02 06:00:00+00:00,20.293499,8.5935,46.938034,Sunny
2023-01-02 07:00:00+00:00,21.3935,8.3435,43.130566,Sunny
2023-01-02 08:00:00+00:00,22.1435,8.0435,40.36881,Sunny
2023-01-02 09:00:00+00:00,22.543499,7.8435,38.866337,Sunny
2023-01-02 10:00:00+00:00,22.4935,7.7435,38.720043,Sunny
2023-01-02 11:00:00+00:00,21.6935,7.7935004,40.793026,Sunny
2023-01-02 12:00:00+00:00,18.9435,9.0435,52.61698,Sunny
2023-01-02 13:00:00+00:00,16.7435,9.2435,61.250774,Sunny
2023-01-02 14:00:00+00:00,15.643499,9.393499,66.36582,Sunny
2023-01-02 15:00:00+00:00,14.8435,9.4935,70.3351,Sunny
2023-01-02 16:00:00+00:00,14.0435,9.4935,74.06627,Sunny
2023-01-02 17:00:00+00:00,13.2435,9.4435,77.758896,Sunny
2023-01-02 18:00:00+00:00,12.6935,9.4435,80.604935,Sunny
2023-01-02 19:00:00+00:00,12.1935,9.393499,83.01429,Sunny
2023-01-02 20:00:00+00:00,11.643499,9.393499,86.07822,Sunny
2023-01-02 21:00:00+00:00,11.0435,9.4935,90.16969,Sunny
2023-01-02 22:00:00+00:00,10.643499,9.393499,91.978645,Sunny
2023-01-02 23:00:00+00:00,10.3435,9.2435,92.894005,Sunny
2023-01-03 00:00:00+00:00,9.5935,8.2935,91.60339,Sunny
2023-01-03 01:00:00+00:00,9.0935,8.143499,93.77656,Sunny
2023-01-03 02:00:00+00:00,9.0435,8.1935,94.412994,Sunny
2023-01-03 03:00:00+00:00,11.1935,8.8435,85.45363,Sunny
2023-01-03 04:00:00+00:00,13.9435,9.393499,74.048805,Sunny
2023-01-03 05:00:00+00:00,16.8935,9.9435,63.589115,Sunny
2023-01-03 06:00:00+00:00,19.0935,9.9935,55.56097,Sunny
2023-01-03 07:00:00+00:00,20.4935,8.893499,47.311535,Sunny
2023-01-03 08:00:00+00:00,21.293499,7.2935004,40.40233,Sunny
2023-01-03 09:00:00+00:00,21.543499,6.4935,37.664436,Sunny
2023-01-03 10:00:00+00:00,21.293499,6.1935,37.463436,Sunny
2023-01-03 11:00:00+00:00,20.4435,5.9435,38.798676,Sunny
2023-01-03 12:00:00+00:00,17.5935,8.3435,54.62066,Sunny
2023-01-03 13:00:00+00:00,15.643499,8.5435,62.667957,Sunny
2023-01-03 14:00:00+00:00,14.8435,8.7435,66.86958,Sunny
2023-01-03 15:00:00+00:00,14.0435,8.7435,70.41691,Sunny
2023-01-03 16:00:00+00:00,13.0435,8.7935,75.40524,Sunny
2023-01-03 17:00:00+00:00,12.393499,8.893499,79.21726,Sunny
2023-01-03 18:00:00+00:00,11.893499,8.6935,80.76763,Sunny
2023-01-03 19:00:00+00:00,11.143499,8.5935,84.300896,Sunny
2023-01-03 20:00:00+00:00,10.4935,8.5435,87.72568,Sunny
2023-01-03 21:00:00+00:00,9.9435,8.643499,91.62566,Sunny
2023-01-03 22:00:00+00:00,9.5435,8.643499,94.11579,Sunny
2023-01-03 23:00:00+00:00,9.2935,8.5935,95.387375,Sunny
2023-01-04 00:00:00+00:00,8.643499,7.9435,95.36406,Sunny
2023-01-04 01:00:00+00:00,8.3435,7.7435,96.00516,Sunny
2023-01-04 02:00:00+00:00,8.1935,7.5935,96.00047,Sunny
2023-01-04 03:00:00+00:00,9.9435,7.9935,87.67548,Sunny
2023-01-04 04:00:00+00:00,12.2435,8.4935,77.86754,Sunny
2023-01-04 05:00:00+00:00,14.6935,8.7435,67.51918,Sunny
2023-01-04 06:00:00+00:00,16.793499,8.4935,58.042557,Sunny
2023-01-04 07:00:00+00:00,18.3935,7.6435003,49.527973,Sunny
2023-01-04 08:00:00+00:00,19.293499,6.8935003,44.48039,Sunny
2023-01-04 09:00:00+00:00,19.793499,5.5435004,39.287567,Sunny
2023-01-04 10:00:00+00:00,19.6435,4.8435,37.771435,Sunny
2023-01-04 11:00:00+00:00,18.8435,4.2435,38.070454,Sunny
2023-01-04 12:00:00+00:00,15.7435,6.0935,52.668182,Sunny
