Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,9.537001,8.437,92.850136,Sunny
2023-01-01 01:00:00+00:00,9.187,8.287001,94.099625,Sunny
2023-01-01 02:00:00+00:00,10.037001,9.137,94.13807,Sunny
2023-01-01 03:00:00+00:00,12.887,10.387,84.7799,Sunny
2023-01-01 04:00:00+00:00,15.537001,11.137,75.06845,Sunny
2023-01-01 05:00:00+00:00,17.387,10.487,63.91238,Sunny
2023-01-01 06:00:00+00:00,18.786999,9.487,54.74334,Sunny
2023-01-01 07:00:00+00:00,19.786999,8.787001,49.070427,Sunny
2023-01-01 08:00:00+00:00,20.437,8.337001,45.722874,Sunny
2023-01-01 09:00:00+00:00,20.687,8.287001,44.87124,Sunny
2023-01-01 10:00:00+00:00,20.587,8.387,45.455643,Sunny
2023-01-01 11:00:00+00:00,19.887,8.187,46.825756,Sunny
2023-01-01 12:00:00+00:00,17.237,8.737,57.37193,Sunny
2023-01-01 13:00:00+00:00,15.387,8.087001,61.764893,Sunny
2023-01-01 14:00:00+00:00,14.387,8.187,66.32151,Sunny
2023-01-01 15:00:00+00:00,13.437,8.687,72.96768,Sunny
2023-01-01 16:00:00+00:00,12.787001,9.187,78.74264,Sunny
2023-01-01 17:00:00+00:00,12.387,9.537001,82.75957,Sunny
2023-01-01 18:00:00+00:00,11.987,9.887,86.98291,Sunny
2023-01-01 19:00:00+00:00,11.387,9.987,91.105255,Sunny
2023-01-01 20:00:00+00:00,10.787001,9.637,92.60685,Sunny
2023-01-01 21:00:00+00:00,9.887,9.137,95.0878,Sunny
2023-01-01 22:00:00+00:00,9.237,8.687,96.35808,Sunny
2023-01-01 23:00:00+00:00,8.787001,8.387,97.33013,Sunny
2023-01-02 00:00:00+00:00,8.387,8.037001,97.65302,Sunny
2023-01-02 01:00:00+00:00,8.187,7.837,97.649315,Sunny
2023-01-02 02:00:00+00:00,9.237,8.737,96.68425,Sunny
2023-01-02 03:00:00+00:00,11.987,10.037001,87.86045,Sunny
2023-01-02 04:00:00+00:00,14.587001,10.537001,76.67773,Sunny
2023-01-02 05:00:00+00:00,16.637,10.137,65.47455,Sunny
2023-01-02 06:00:00+00:00,17.987,9.687,58.33609,Sunny
2023-01-02 07:00:00+00:00,18.987,9.487,54.06397,Sunny
2023-01-02 08:00:00+00:00,19.737,9.387,51.25377,Sunny
2023-01-02 09:00:00+00:00,20.087,9.537001,50.662395,Sunny
2023-01-02 10:00:00+00:00,19.987,9.587001,51.148323,Sunny
2023-01-02 11:00:00+00:00,19.337,9.737,53.792664,Sunny
2023-01-02 12:00:00+00:00,16.487,10.937,69.72015,Cloudy
2023-01-02 13:00:00+00:00,14.737,10.087001,73.6928,Sunny
2023-01-02 14:00:00+00:00,13.787001,9.437,75.023796,Sunny
2023-01-02 15:00:00+00:00,12.937,9.337001,78.76484,Sunny
2023-01-02 16:00:00+00:00,12.037001,9.387,83.83687,Sunny
2023-01-02 17:00:00+00:00,11.137,9.137,87.488914,Sunny
2023-01-02 18:00:00+00:00,10.287001,8.587001,89.204414,Sunny
2023-01-02 19:00:00+00:00,9.437,7.937,90.357056,Sunny
2023-01-02 20:00:00+00:00,8.687,7.387,91.54529,Sunny
2023-01-02 21:00:00+00:00,8.287001,7.187,92.78132,Sunny
2023-01-02 22:00:00+00:00,8.587001,7.637,93.75223,Sunny
2023-01-02 23:00:00+00:00,8.537001,7.837,95.360214,Sunny
2023-01-03 00:00:00+00:00,7.787,7.337,96.977234,Sunny
2023-01-03 01:00:00+00:00,7.237,6.837,97.29738,Sunny
2023-01-03 02:00:00+00:00,8.287001,7.687,96.003395,Sunny
2023-01-03 03:00:00+00:00,10.887,8.887,87.4658,Sunny
2023-01-03 04:00:00+00:00,13.837001,9.537001,75.28464,Sunny
2023-01-03 05:00:00+00:00,16.137,9.387,64.27784,Sunny
2023-01-03 06:00:00+00:00,17.687,9.287001,57.872036,Sunny
2023-01-03 07:00:00+00:00,18.737,9.337001,54.363804,Sunny
2023-01-03 08:00:00+00:00,19.437,8.987,50.830063,Sunny
2023-01-03 09:00:00+00:00,19.536999,8.287001,48.179504,Sunny
2023-01-03 10:00:00+00:00,19.036999,8.187,49.36656,Sunny
2023-01-03 11:00:00+00:00,17.987,8.487,53.804523,Sunny
2023-01-03 12:00:00+00:00,14.937,10.187,73.23731,Sunny
2023-01-03 13:00:00+00:00,13.187,10.087001,81.48582,Sunny
