Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,14.896,13.996,94.35094,Sunny
2023-01-01 01:00:00+00:00,14.896,14.096,94.96442,Sunny
2023-01-01 02:00:00+00:00,16.246,14.696,90.54222,Sunny
2023-01-01 03:00:00+00:00,19.696,15.496,76.731384,Sunny
2023-01-01 04:00:00+00:00,22.746,13.696,56.65921,Sunny
2023-01-01 05:00:00+00:00,24.546,12.196,46.08955,Sunny
2023-01-01 06:00:00+00:00,25.846,11.546,40.86773,Sunny
2023-01-01 07:00:00+00:00,26.746,11.296,38.11687,Sunny
2023-01-01 08:00:00+00:00,27.196,11.546,37.741344,Sunny
2023-01-01 09:00:00+00:00,27.346,11.646,37.65888,Sunny
2023-01-01 10:00:00+00:00,27.146,11.896,38.736782,Sunny
2023-01-01 11:00:00+00:00,26.446,12.096,40.900524,Sunny
2023-01-01 12:00:00+00:00,24.996,11.696,43.41342,Sunny
2023-01-01 13:00:00+00:00,22.346,11.746,51.093113,Cloudy
2023-01-01 14:00:00+00:00,21.146,11.646,54.618076,Sunny
2023-01-01 15:00:00+00:00,19.796,11.546,58.97063,Sunny
2023-01-01 16:00:00+00:00,18.846,11.996,64.447266,Sunny
2023-01-01 17:00:00+00:00,18.396,12.046,66.50611,Sunny
2023-01-01 18:00:00+00:00,17.996,12.296,69.327576,Sunny
2023-01-01 19:00:00+00:00,17.546,12.746,73.45663,Sunny
2023-01-01 20:00:00+00:00,17.046,13.546,79.878815,Sunny
2023-01-01 21:00:00+00:00,16.446,14.096,85.9961,Sunny
2023-01-01 22:00:00+00:00,15.846,14.396,91.101494,Sunny
2023-01-01 23:00:00+00:00,15.446,14.346,93.16263,Sunny
2023-01-02 00:00:00+00:00,15.446,14.796,95.90832,Sunny
2023-01-02 01:00:00+00:00,15.396,14.646,95.29034,Sunny
2023-01-02 02:00:00+00:00,16.496,14.696,89.11278,Sunny
2023-01-02 03:00:00+00:00,19.296,14.396,73.28632,Sunny
2023-01-02 04:00:00+00:00,21.896,12.146,53.91555,Sunny
2023-01-02 05:00:00+00:00,23.996,10.146,41.58211,Sunny
2023-01-02 06:00:00+00:00,25.196,9.346,36.681736,Sunny
2023-01-02 07:00:00+00:00,26.046,9.546,35.3491,Sunny
2023-01-02 08:00:00+00:00,26.596,9.646,34.450134,Sunny
2023-01-02 09:00:00+00:00,26.546,9.996,35.371548,Sunny
2023-01-02 10:00:00+00:00,26.096,9.996,36.32387,Sunny
2023-01-02 11:00:00+00:00,25.246,10.146,38.58759,Sunny
2023-01-02 12:00:00+00:00,23.896,11.346,45.308258,Sunny
2023-01-02 13:00:00+00:00,21.646,11.246,51.587467,Sunny
2023-01-02 14:00:00+00:00,20.646,11.796,56.883778,Sunny
2023-01-02 15:00:00+00:00,19.746,12.896,64.64376,Sunny
2023-01-02 16:00:00+00:00,18.746,13.646,72.24488,Sunny
2023-01-02 17:00:00+00:00,17.896,14.046,78.20462,Sunny
2023-01-02 18:00:00+00:00,17.196,14.446,83.87858,Sunny
2023-01-02 19:00:00+00:00,16.496,14.746,89.40051,Sunny
2023-01-02 20:00:00+00:00,15.896,14.796,93.18558,Sunny
2023-01-02 21:00:00+00:00,15.396,14.646,95.29034,Sunny
2023-01-02 22:00:00+00:00,14.996,14.496,96.8284,Sunny
2023-01-02 23:00:00+00:00,14.796,14.396,97.45165,Sunny
2023-01-03 00:00:00+00:00,14.996,14.696,98.08625,Sunny
2023-01-03 01:00:00+00:00,15.096,14.946,99.03979,Cloudy
2023-01-03 02:00:00+00:00,15.846,15.646,98.7289,Cloudy
2023-01-03 03:00:00+00:00,17.746,16.346,91.5161,Cloudy
2023-01-03 04:00:00+00:00,20.646,15.046,70.293755,Sunny
2023-01-03 05:00:00+00:00,23.146,11.946,49.31985,Sunny
2023-01-03 06:00:00+00:00,24.446,12.046,45.910873,Sunny
2023-01-03 07:00:00+00:00,25.596,11.396,41.06873,Sunny
2023-01-03 08:00:00+00:00,26.146,11.196,39.229263,Sunny
2023-01-03 09:00:00+00:00,26.346,11.196,38.768513,Sunny
2023-01-03 10:00:00+00:00,26.296,10.896,38.11681,Sunny
2023-01-03 11:00:00+00:00,25.396,10.696,39.673443,Sunny
2023-01-03 12:00:00+00:00,23.896,9.896,41.139027,Sunny
2023-01-03 13:00:00+00:00,21.446,10.596,50.016155,Sunny
2023-01-03 14:00:00+00:00,20.046,11.496,57.872803,Sunny
2023-01-03 15:00:00+00:00,19.446,12.296,63.31946,Cloudy
2023-01-03 16:00:00+00:00,18.896,13.146,69.277565,Sunny
2023-01-03 17:00:00+00:00,17.596,14.846,83.92404,Sunny
2023-01-03 18:00:00+00:00,16.696,15.646,93.52505,Cloudy
2023-01-03 19:00:00+00:00,16.446,15.896,96.554344,Cloudy
2023-01-03 20:00:00+00:00,16.346,16.096,98.41941,Cloudy
2023-01-03 21:00:00+00:00,16.546,16.446,99.36609,Cloudy
2023-01-03 22:00:00+00:00,16.696,16.396,98.11099,Cloudy
2023-01-03 23:00:00+00:00,16.696,15.945999,95.3363,Cloudy
2023-01-04 00:00:00+00:00,15.996,15.596,97.47491,Cloudy
2023-01-04 01:00:00+00:00,15.896,15.696,98.72939,Cloudy
2023-01-04 02:00:00+00:00,16.796,15.346,91.16367,Sunny
2023-01-04 03:00:00+00:00,18.596,14.896,79.068565,Sunny
2023-01-04 04:00:00+00:00,21.146,13.246,60.664997,Sunny
2023-01-04 05:00:00+00:00,23.096,11.546,48.180534,Sunny
