Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,7.7655,7.4655004,97.975395,Sunny
2023-01-01 01:00:00+00:00,7.1155,6.9155,98.639206,Sunny
2023-01-01 02:00:00+00:00,7.2155004,7.0655003,98.97866,Cloudy
2023-01-01 03:00:00+00:00,9.7155,8.815499,94.123566,Cloudy
2023-01-01 04:00:00+00:00,11.8654995,9.8654995,87.55595,Sunny
2023-01-01 05:00:00+00:00,14.1154995,10.9155,81.06688,Sunny
2023-01-01 06:00:00+00:00,16.1655,11.7655,75.17369,Sunny
2023-01-01 07:00:00+00:00,17.5655,11.7655,68.78756,Sunny
2023-01-01 08:00:00+00:00,18.365501,11.5155,64.34177,Sunny
2023-01-01 09:00:00+00:00,18.8155,11.2155,61.32534,Sunny
2023-01-01 10:00:00+00:00,18.8155,10.7655,59.52059,Sunny
2023-01-01 11:00:00+00:00,17.4655,13.5155,77.63389,Sunny
2023-01-01 12:00:00+00:00,14.6655,11.315499,80.33855,Cloudy
2023-01-01 13:00:00+00:00,12.7155,10.6655,87.342445,Cloudy
2023-01-01 14:00:00+00:00,13.7155,10.8654995,82.92227,Sunny
2023-01-01 15:00:00+00:00,13.0155,10.7155,85.93061,Sunny
2023-01-01 16:00:00+00:00,12.5155,10.7655,89.085495,Sunny
2023-01-01 17:00:00+00:00,11.9655,10.7655,92.36505,Sunny
2023-01-01 18:00:00+00:00,11.0155,10.4655,96.40801,Sunny
2023-01-01 19:00:00+00:00,9.9655,9.9155,99.66589,Sunny
2023-01-01 20:00:00+00:00,7.9655004,7.9655004,100.0,Cloudy
2023-01-01 21:00:00+00:00,7.3155003,7.2655,99.658806,Cloudy
2023-01-01 22:00:00+00:00,7.0155,6.9655004,99.65799,Cloudy
2023-01-01 23:00:00+00:00,7.5655003,7.4155,98.98151,Cloudy
2023-01-02 00:00:00+00:00,6.9155,6.9155,100.0,Cloudy
2023-01-02 01:00:00+00:00,7.4655004,7.3655,99.31944,Cloudy
2023-01-02 02:00:00+00:00,8.0155,7.7655,98.31364,Cloudy
2023-01-02 03:00:00+00:00,8.315499,7.9655004,97.65172,Cloudy
2023-01-02 04:00:00+00:00,9.7155,9.1655,96.37161,Cloudy
2023-01-02 05:00:00+00:00,11.4155,9.9655,90.802895,Cloudy
2023-01-02 06:00:00+00:00,13.065499,11.4655,90.01892,Cloudy
2023-01-02 07:00:00+00:00,15.6655,11.9655,78.64356,Sunny
2023-01-02 08:00:00+00:00,17.115501,11.3654995,68.92524,Sunny
2023-01-02 09:00:00+00:00,17.615501,10.565499,63.327724,Sunny
2023-01-02 10:00:00+00:00,17.6655,10.0155,60.852978,Sunny
2023-01-02 11:00:00+00:00,16.7155,12.815499,77.773506,Sunny
2023-01-02 12:00:00+00:00,15.565499,11.1655,75.07324,Sunny
2023-01-02 13:00:00+00:00,14.4155,11.1154995,80.570915,Sunny
2023-01-02 14:00:00+00:00,13.1655,11.0155,86.80632,Sunny
2023-01-02 15:00:00+00:00,10.6655,9.7155,93.851166,Sunny
2023-01-02 16:00:00+00:00,9.065499,8.6655,97.33595,Sunny
2023-01-02 17:00:00+00:00,8.7655,8.4655,97.99129,Sunny
2023-01-02 18:00:00+00:00,8.2655,8.0155,98.31696,Sunny
2023-01-02 19:00:00+00:00,7.1655,7.1655,100.0,Sunny
2023-01-02 20:00:00+00:00,7.0655003,7.0655003,100.0,Cloudy
2023-01-02 21:00:00+00:00,6.5155,6.5155,100.0,Cloudy
2023-01-02 22:00:00+00:00,6.5655003,6.5655003,100.0,Cloudy
2023-01-02 23:00:00+00:00,6.7655,6.7655,100.0,Cloudy
2023-01-03 00:00:00+00:00,6.0655003,6.0155,99.65537,Cloudy
2023-01-03 01:00:00+00:00,6.6655,6.6155,99.65703,Cloudy
2023-01-03 02:00:00+00:00,7.3155003,7.1155,98.64137,Cloudy
2023-01-03 03:00:00+00:00,8.3654995,7.5655003,94.70612,Cloudy
2023-01-03 04:00:00+00:00,9.7155,8.565499,92.54628,Cloudy
2023-01-03 05:00:00+00:00,11.315499,9.9655,91.40587,Cloudy
2023-01-03 06:00:00+00:00,14.065499,10.815499,80.791306,Sunny
2023-01-03 07:00:00+00:00,15.965499,10.4655,69.85021,Sunny
2023-01-03 08:00:00+00:00,16.9155,9.5155,61.704258,Sunny
2023-01-03 09:00:00+00:00,17.4155,9.2155,58.589085,Sunny
2023-01-03 10:00:00+00:00,17.3155,9.065499,58.36765,Sunny
2023-01-03 11:00:00+00:00,16.0655,10.5155,69.63742,Sunny
2023-01-03 12:00:00+00:00,12.1154995,9.4155,83.56477,Sunny
2023-01-03 13:00:00+00:00,9.8654995,8.3654995,90.38818,Sunny
2023-01-03 14:00:00+00:00,9.565499,8.315499,91.91272,Sunny
2023-01-03 15:00:00+00:00,9.0155,7.9655004,93.13769,Sunny
2023-01-03 16:00:00+00:00,8.1154995,7.3155003,94.695854,Sunny
2023-01-03 17:00:00+00:00,7.4155,6.7655,95.647285,Sunny
2023-01-03 18:00:00+00:00,7.1655,6.6155,96.29859,Sunny
2023-01-03 19:00:00+00:00,7.0155,6.5155,96.62603,Sunny
2023-01-03 20:00:00+00:00,6.7655,6.3155003,96.95284,Sunny
2023-01-03 21:00:00+00:00,6.3655,6.0155,97.61525,Sunny
