Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,17.422,9.622,60.187122,Sunny
2023-01-01 01:00:00+00:00,15.222,9.872,70.4084,Sunny
2023-01-01 02:00:00+00:00,17.522001,10.322,62.676533,Sunny
2023-01-01 03:00:00+00:00,20.072,10.772,55.071575,Sunny
2023-01-01 04:00:00+00:00,22.672,10.922,47.432,Sunny
2023-01-01 05:00:00+00:00,24.572,11.472,43.872578,Sunny
2023-01-01 06:00:00+00:00,26.122002,11.672,40.54159,Sunny
2023-01-01 07:00:00+00:00,27.272001,11.272,36.898506,Sunny
2023-01-01 08:00:00+00:00,28.072,11.272,35.212826,Sunny
2023-01-01 09:00:00+00:00,28.372002,11.072,34.147484,Sunny
2023-01-01 10:00:00+00:00,28.322,11.172,34.474785,Sunny
2023-01-01 11:00:00+00:00,26.972,13.022,42.135616,Sunny
2023-01-01 12:00:00+00:00,24.172,10.672,42.61391,Sunny
2023-01-01 13:00:00+00:00,22.572,11.172,48.518936,Sunny
2023-01-01 14:00:00+00:00,21.572,11.072,51.22715,Sunny
2023-01-01 15:00:00+00:00,19.572,12.122,62.110977,Sunny
2023-01-01 16:00:00+00:00,19.022001,11.922,63.433197,Sunny
2023-01-01 17:00:00+00:00,18.122002,11.622,65.79375,Sunny
2023-01-01 18:00:00+00:00,19.572,11.022,57.75662,Sunny
2023-01-01 19:00:00+00:00,18.072,11.272,64.49039,Sunny
2023-01-01 20:00:00+00:00,16.672,11.022,69.29516,Sunny
2023-01-01 21:00:00+00:00,17.372002,11.772,69.66272,Sunny
2023-01-01 22:00:00+00:00,15.772,11.822,77.37425,Sunny
2023-01-01 23:00:00+00:00,16.022001,11.322,73.67352,Sunny
2023-01-02 00:00:00+00:00,15.422,12.122,80.70721,Sunny
2023-01-02 01:00:00+00:00,15.872,12.722,81.565414,Sunny
2023-01-02 02:00:00+00:00,17.772001,13.422,75.68596,Sunny
2023-01-02 03:00:00+00:00,20.122002,13.922,67.52033,Sunny
2023-01-02 04:00:00+00:00,22.422,14.422,60.56841,Sunny
2023-01-02 05:00:00+00:00,24.272001,15.072,56.4862,Sunny
2023-01-02 06:00:00+00:00,25.822,15.572,53.180943,Sunny
2023-01-02 07:00:00+00:00,27.072,14.572,46.3246,Sunny
2023-01-02 08:00:00+00:00,27.822,14.072,42.923767,Sunny
2023-01-02 09:00:00+00:00,27.772001,13.222,40.73486,Sunny
2023-01-02 10:00:00+00:00,27.622002,12.822,40.033558,Sunny
2023-01-02 11:00:00+00:00,26.672,14.972,48.66554,Sunny
2023-01-02 12:00:00+00:00,24.422,12.922,48.696632,Sunny
2023-01-02 13:00:00+00:00,23.222,12.622,51.32369,Sunny
2023-01-02 14:00:00+00:00,21.872002,12.072,53.7323,Sunny
2023-01-02 15:00:00+00:00,20.522001,11.822,57.41856,Sunny
2023-01-02 16:00:00+00:00,19.372002,11.822,61.657425,Sunny
2023-01-02 17:00:00+00:00,18.222,11.872,66.46953,Sunny
2023-01-02 18:00:00+00:00,18.222,12.022,67.129654,Sunny
2023-01-02 19:00:00+00:00,17.072,12.872,76.31699,Sunny
2023-01-02 20:00:00+00:00,17.822,12.872,72.78778,Sunny
2023-01-02 21:00:00+00:00,17.622002,12.822,73.46994,Sunny
2023-01-02 22:00:00+00:00,17.072,13.372,78.84907,Sunny
2023-01-02 23:00:00+00:00,16.672,14.272,85.74103,Sunny
2023-01-03 00:00:00+00:00,16.822,14.872,88.28223,Sunny
2023-01-03 01:00:00+00:00,17.322,15.922,91.489586,Sunny
2023-01-03 02:00:00+00:00,18.572,16.872002,89.84398,Sunny
2023-01-03 03:00:00+00:00,20.672,17.622002,82.69065,Cloudy
2023-01-03 04:00:00+00:00,22.322,17.572,74.51151,Cloudy
2023-01-03 05:00:00+00:00,24.122002,17.072,64.75422,Rainy
2023-01-03 06:00:00+00:00,25.722,16.422,56.480263,Sunny
2023-01-03 07:00:00+00:00,26.822,15.672,50.454094,Sunny
2023-01-03 08:00:00+00:00,27.422,15.072,46.869244,Sunny
2023-01-03 09:00:00+00:00,27.772001,14.422,44.035393,Sunny
2023-01-03 10:00:00+00:00,27.572,13.822,42.854916,Sunny
2023-01-03 11:00:00+00:00,26.572,13.572,44.713913,Sunny
2023-01-03 12:00:00+00:00,23.822,14.172,54.759373,Sunny
2023-01-03 13:00:00+00:00,22.422,15.022,62.9573,Sunny
2023-01-03 14:00:00+00:00,21.272001,14.822,66.67231,Sunny
2023-01-03 15:00:00+00:00,20.072,14.372,69.73235,Sunny
2023-01-03 16:00:00+00:00,19.622002,13.772,68.970406,Sunny
2023-01-03 17:00:00+00:00,18.772001,13.772,72.72055,Sunny
2023-01-03 18:00:00+00:00,18.472,13.672,73.61848,Sunny
2023-01-03 19:00:00+00:00,18.472,14.572,78.03768,Sunny
2023-01-03 20:00:00+00:00,17.572,14.472,82.04777,Sunny
2023-01-03 21:00:00+00:00,17.772001,13.872,77.93293,Sunny
2023-01-03 22:00:00+00:00,17.772001,13.722,77.177505,Sunny
2023-01-03 23:00:00+00:00,17.422,13.572,78.13407,Sunny
2023-01-04 00:00:00+00:00,17.072,13.872,81.454796,Sunny
2023-01-04 01:00:00+00:00,17.372002,14.572,83.628334,Sunny
2023-01-04 02:00:00+00:00,18.572,15.572,82.70067,Sunny
2023-01-04 03:00:00+00:00,20.622002,17.022001,79.85981,Sunny
2023-01-04 04:00:00+00:00,22.622002,17.372002,72.247734,Sunny
2023-01-04 05:00:00+00:00,24.572,17.172,63.431885,Sunny
2023-01-04 06:00:00+00:00,25.722,16.422,56.480263,Sunny
2023-01-04 07:00:00+00:00,26.922,15.622,49.99803,Sunny
2023-01-04 08:00:00+00:00,27.372002,15.122,47.158035,Sunny
2023-01-04 09:00:00+00:00,27.722,14.722,45.027752,Sunny
2023-01-04 10:00:00+00:00,27.472,14.172,44.0958,Sunny
2023-01-04 11:00:00+00:00,26.372002,14.022,46.586033,Cloudy
2023-01-04 12:00:00+00:00,24.172,14.822,55.91897,Cloudy
2023-01-04 13:00:00+00:00,23.672,14.422,56.156773,Cloudy
2023-01-04 14:00:00+00:00,23.122002,13.722,55.47745,Cloudy
2023-01-04 15:00:00+00:00,22.822,13.972,57.418415,Cloudy
2023-01-04 16:00:00+00:00,22.372002,14.422,60.752804,Cloudy
2023-01-04 17:00:00+00:00,21.372002,15.222,67.991974,Rainy
2023-01-04 18:00:00+00:00,20.972,15.372,70.35559,Cloudy
2023-01-04 19:00:00+00:00,20.422,15.472,73.247604,Rainy
2023-01-04 20:00:00+00:00,20.422,15.422,73.01318,Cloudy
2023-01-04 21:00:00+00:00,20.422,14.972,70.93291,Cloudy
2023-01-04 22:00:00+00:00,20.372002,14.472,68.89507,Cloudy
2023-01-04 23:00:00+00:00,20.322,14.122,67.561104,Cloudy
2023-01-05 00:00:00+00:00,20.372002,14.722,70.0156,Cloudy
2023-01-05 01:00:00+00:00,20.122002,15.072,72.72616,Cloudy
2023-01-05 02:00:00+00:00,20.122002,14.522,70.19398,Cloudy
2023-01-05 03:00:00+00:00,21.272001,13.922,62.903843,Sunny
2023-01-05 04:00:00+00:00,22.722,13.772,57.022606,Sunny
2023-01-05 05:00:00+00:00,24.022001,13.922,53.23547,Sunny
2023-01-05 06:00:00+00:00,25.222,14.172,50.359062,Sunny
2023-01-05 07:00:00+00:00,26.822,14.322,46.256966,Cloudy
2023-01-05 08:00:00+00:00,27.022001,14.122,45.128418,Cloudy
2023-01-05 09:00:00+00:00,27.322,13.872,43.62817,Cloudy
2023-01-05 10:00:00+00:00,26.772001,13.872,45.060226,Cloudy
2023-01-05 11:00:00+00:00,25.472,14.272,49.938084,Sunny
2023-01-05 12:00:00+00:00,23.422,13.872,55.01455,Sunny
2023-01-05 13:00:00+00:00,22.122002,13.872,59.5259,Sunny
2023-01-05 14:00:00+00:00,20.372002,14.372,68.451294,Sunny
2023-01-05 15:00:00+00:00,19.622002,14.422,71.9368,Sunny
2023-01-05 16:00:00+00:00,19.072,14.472,74.68199,Sunny
2023-01-05 17:00:00+00:00,18.372002,14.572,78.52819,Sunny
2023-01-05 18:00:00+00:00,18.022001,14.272,78.73123,Sunny
2023-01-05 19:00:00+00:00,18.172,14.072,76.98941,Sunny
2023-01-05 20:00:00+00:00,18.372002,13.972,75.53826,Sunny
2023-01-05 21:00:00+00:00,17.972,12.322,69.550964,Sunny
2023-01-05 22:00:00+00:00,17.472,11.622,68.54218,Sunny
2023-01-05 23:00:00+00:00,16.972,11.172,68.668686,Sunny
2023-01-06 00:00:00+00:00,16.372002,11.222,71.572525,Sunny
2023-01-06 01:00:00+00:00,16.072,11.022,71.992905,Sunny
2023-01-06 02:00:00+00:00,16.972,11.322,69.35444,Sunny
2023-01-06 03:00:00+00:00,18.522001,11.422,63.32126,Sunny
2023-01-06 04:00:00+00:00,20.622002,11.122,54.484344,Sunny
2023-01-06 05:00:00+00:00,22.572,10.472,46.313183,Sunny
2023-01-06 06:00:00+00:00,24.022001,10.122,41.45068,Sunny
2023-01-06 07:00:00+00:00,25.122002,10.122,38.811234,Sunny
2023-01-06 08:00:00+00:00,25.822,10.072,37.105988,Sunny
2023-01-06 09:00:00+00:00,26.022001,9.022,34.173058,Sunny
2023-01-06 10:00:00+00:00,25.722,8.322,33.17786,Sunny
2023-01-06 11:00:00+00:00,24.822,6.722,31.382954,Sunny
2023-01-06 12:00:00+00:00,22.322,7.1219997,37.500256,Sunny
2023-01-06 13:00:00+00:00,21.222,5.272,35.302994,Sunny
2023-01-06 14:00:00+00:00,20.222,3.172,32.407948,Sunny
2023-01-06 15:00:00+00:00,18.722,0.722,29.867802,Sunny
2023-01-06 16:00:00+00:00,17.422,0.422,31.71546,Sunny
2023-01-06 17:00:00+00:00,16.722,1.672,36.270187,Sunny
2023-01-06 18:00:00+00:00,15.772,2.822,41.82115,Sunny
2023-01-06 19:00:00+00:00,14.072,4.272,51.675594,Sunny
2023-01-06 20:00:00+00:00,13.272,4.922,56.96228,Sunny
2023-01-06 21:00:00+00:00,12.722,4.822,58.636566,Sunny
2023-01-06 22:00:00+00:00,11.772,5.072,63.511055,Sunny
2023-01-06 23:00:00+00:00,11.222,5.022,65.63425,Sunny
2023-01-07 00:00:00+00:00,11.022,5.322,67.91238,Sunny
2023-01-07 01:00:00+00:00,10.822,5.522,69.78223,Sunny
2023-01-07 02:00:00+00:00,13.372,5.972,60.868458,Sunny
2023-01-07 03:00:00+00:00,16.122002,5.772,50.280613,Sunny
2023-01-07 04:00:00+00:00,18.672,5.922,43.24777,Sunny
2023-01-07 05:00:00+00:00,20.972,5.222,35.724712,Sunny
2023-01-07 06:00:00+00:00,22.872002,3.322,27.850277,Sunny
2023-01-07 07:00:00+00:00,24.222,1.5220001,22.589842,Sunny
2023-01-07 08:00:00+00:00,24.972,0.27199998,19.740356,Sunny
2023-01-07 09:00:00+00:00,25.272001,-0.828,17.900713,Sunny
2023-01-07 10:00:00+00:00,24.972,-0.628,18.491331,Sunny
2023-01-07 11:00:00+00:00,23.222,8.372,38.66441,Sunny
2023-01-07 12:00:00+00:00,19.172,3.722,35.9575,Sunny
2023-01-07 13:00:00+00:00,17.872002,4.322,40.684204,Sunny
2023-01-07 14:00:00+00:00,16.572,3.9720001,43.099617,Sunny
2023-01-07 15:00:00+00:00,15.971999,2.822,41.29008,Sunny
2023-01-07 16:00:00+00:00,15.672,1.572,38.50421,Sunny
2023-01-07 17:00:00+00:00,15.172,1.222,38.773487,Sunny
2023-01-07 18:00:00+00:00,14.722,0.97199994,39.202133,Sunny
2023-01-07 19:00:00+00:00,14.372,1.0220001,40.242485,Sunny
2023-01-07 20:00:00+00:00,13.572,1.822,44.88684,Sunny
2023-01-07 21:00:00+00:00,12.722,2.622,50.22889,Sunny
2023-01-07 22:00:00+00:00,11.972,3.422,55.837563,Sunny
2023-01-07 23:00:00+00:00,11.272,4.172,61.64619,Sunny
2023-01-08 00:00:00+00:00,10.522,4.422,65.93954,Sunny
2023-01-08 01:00:00+00:00,10.572,4.772,67.346825,Sunny
2023-01-08 02:00:00+00:00,11.922,5.672,65.56052,Sunny
2023-01-08 03:00:00+00:00,15.222,6.722,56.866287,Sunny
2023-01-08 04:00:00+00:00,18.372002,6.822,46.885292,Sunny
2023-01-08 05:00:00+00:00,21.122002,6.722,39.261875,Sunny
2023-01-08 06:00:00+00:00,23.522001,5.972,32.220367,Sunny
2023-01-08 07:00:00+00:00,25.272001,4.222,25.688372,Sunny
2023-01-08 08:00:00+00:00,26.322,2.7719998,21.793552,Sunny
2023-01-08 09:00:00+00:00,26.672,1.3720001,19.320362,Sunny
2023-01-08 10:00:00+00:00,26.472,0.17199999,17.929947,Sunny
2023-01-08 11:00:00+00:00,24.522001,5.422,29.208498,Sunny
2023-01-08 12:00:00+00:00,20.472,4.072,33.999016,Sunny
2023-01-08 13:00:00+00:00,19.222,4.472,37.781673,Sunny
2023-01-08 14:00:00+00:00,17.222,4.572,43.134674,Sunny
2023-01-08 15:00:00+00:00,16.472,4.222,44.141743,Sunny
