Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,5.9065,5.5565,97.60656,Cloudy
2023-01-01 01:00:00+00:00,5.7064996,5.3564997,97.602745,Sunny
2023-01-01 02:00:00+00:00,5.3564997,5.0565,97.936325,Sunny
2023-01-01 03:00:00+00:00,7.5565,6.7565,94.67276,Cloudy
2023-01-01 04:00:00+00:00,10.606501,8.4065,86.263855,Cloudy
2023-01-01 05:00:00+00:00,13.0065,9.356501,78.51077,Cloudy
2023-01-01 06:00:00+00:00,14.9565,9.7565,71.06841,Cloudy
2023-01-01 07:00:00+00:00,16.3065,9.856501,65.62239,Cloudy
2023-01-01 08:00:00+00:00,17.0065,9.356501,60.69746,Cloudy
2023-01-01 09:00:00+00:00,16.8565,9.0565,60.052082,Cloudy
2023-01-01 10:00:00+00:00,16.7565,9.106501,60.63826,Cloudy
2023-01-01 11:00:00+00:00,16.0065,11.0065,72.220146,Cloudy
2023-01-01 12:00:00+00:00,13.0065,10.0565,82.28387,Cloudy
2023-01-01 13:00:00+00:00,11.2565,9.0565,86.32925,Sunny
2023-01-01 14:00:00+00:00,9.8065,8.1565,89.46875,Sunny
2023-01-01 15:00:00+00:00,9.2565,7.7064996,90.036736,Sunny
2023-01-01 16:00:00+00:00,10.6565,8.3065,85.396454,Sunny
2023-01-01 17:00:00+00:00,9.0065,7.4564996,90.01792,Sunny
2023-01-01 18:00:00+00:00,6.4564996,6.0065,96.94539,Sunny
2023-01-01 19:00:00+00:00,6.0065,5.8564997,98.96879,Sunny
2023-01-01 20:00:00+00:00,5.4564996,5.4065,99.65368,Sunny
2023-01-01 21:00:00+00:00,5.4564996,5.4065,99.65368,Sunny
2023-01-01 22:00:00+00:00,5.0065,5.0065,100.0,Sunny
2023-01-01 23:00:00+00:00,7.1064997,6.8564997,98.301445,Sunny
2023-01-02 00:00:00+00:00,5.2064996,5.2064996,99.99999,Cloudy
2023-01-02 01:00:00+00:00,3.8065,3.8065,99.99999,Cloudy
2023-01-02 02:00:00+00:00,3.9565,3.9565,99.99999,Cloudy
2023-01-02 03:00:00+00:00,5.3564997,5.2565,99.307884,Cloudy
2023-01-02 04:00:00+00:00,7.9564996,7.2565,95.33921,Cloudy
2023-01-02 05:00:00+00:00,10.5065,9.106501,91.04606,Cloudy
2023-01-02 06:00:00+00:00,13.0065,10.6565,85.64428,Sunny
2023-01-02 07:00:00+00:00,15.2065,9.5065,68.77194,Sunny
2023-01-02 08:00:00+00:00,16.1565,8.1565,59.0772,Sunny
2023-01-02 09:00:00+00:00,16.5565,7.4564996,54.91175,Sunny
2023-01-02 10:00:00+00:00,16.456501,7.0565,53.771088,Sunny
2023-01-02 11:00:00+00:00,15.2565,9.8065,69.945045,Sunny
2023-01-02 12:00:00+00:00,10.9065,8.356501,84.27387,Sunny
2023-01-02 13:00:00+00:00,9.5065,7.5565,87.6354,Sunny
2023-01-02 14:00:00+00:00,8.8065,7.2565,90.00284,Sunny
2023-01-02 15:00:00+00:00,7.6064997,6.5065,92.74345,Sunny
2023-01-02 16:00:00+00:00,7.0065,6.4065,95.96314,Sunny
2023-01-02 17:00:00+00:00,6.9065,6.5565,97.62545,Sunny
2023-01-02 18:00:00+00:00,6.6064997,6.5565,99.65687,Sunny
2023-01-02 19:00:00+00:00,7.5065,7.4065,99.319664,Cloudy
2023-01-02 20:00:00+00:00,7.2565,7.1565,99.318306,Cloudy
2023-01-02 21:00:00+00:00,6.0065,5.9564996,99.65521,Cloudy
2023-01-02 22:00:00+00:00,4.9564996,4.8065,98.96008,Cloudy
2023-01-02 23:00:00+00:00,4.8065,4.7064996,99.30481,Cloudy
2023-01-03 00:00:00+00:00,4.9065,4.8065,99.305374,Cloudy
2023-01-03 01:00:00+00:00,5.3065,4.9065,97.25577,Cloudy
2023-01-03 02:00:00+00:00,5.2565,4.3065,93.58871,Cloudy
2023-01-03 03:00:00+00:00,5.9065,5.0065,93.94765,Cloudy
2023-01-03 04:00:00+00:00,7.1565,6.0065,92.398674,Cloudy
2023-01-03 05:00:00+00:00,9.0065,7.8564997,92.50583,Cloudy
2023-01-03 06:00:00+00:00,11.1565,9.4565,89.274254,Cloudy
2023-01-03 07:00:00+00:00,13.5565,10.2065,80.185326,Cloudy
2023-01-03 08:00:00+00:00,14.8065,10.356501,74.69582,Sunny
2023-01-03 09:00:00+00:00,15.4565,10.3065,71.40115,Sunny
2023-01-03 10:00:00+00:00,15.5565,10.2065,70.47298,Sunny
2023-01-03 11:00:00+00:00,14.856501,10.4065,74.70434,Sunny
2023-01-03 12:00:00+00:00,10.4065,9.2565,92.585434,Sunny
2023-01-03 13:00:00+00:00,9.3065,8.5565,95.06571,Sunny
2023-01-03 14:00:00+00:00,8.0565,7.6064997,96.98363,Sunny
2023-01-03 15:00:00+00:00,7.0565,6.8564997,98.63857,Sunny
2023-01-03 16:00:00+00:00,6.4065,6.3564997,99.65632,Sunny
2023-01-03 17:00:00+00:00,5.9564996,5.9564996,99.99999,Sunny
2023-01-03 18:00:00+00:00,6.1565,6.1565,100.0,Sunny
2023-01-03 19:00:00+00:00,6.1064997,6.1064997,100.0,Cloudy
2023-01-03 20:00:00+00:00,5.8065,5.8065,100.0,Cloudy
2023-01-03 21:00:00+00:00,6.0565,6.0065,99.65534,Cloudy
2023-01-03 22:00:00+00:00,5.7565,5.7064996,99.65452,Cloudy
2023-01-03 23:00:00+00:00,5.5065,5.5065,99.99999,Cloudy
2023-01-04 00:00:00+00:00,5.2064996,4.9065,97.93386,Cloudy
2023-01-04 01:00:00+00:00,5.7064996,5.7064996,100.0,Cloudy
2023-01-04 02:00:00+00:00,6.0565,5.8065,98.28722,Cloudy
2023-01-04 03:00:00+00:00,6.7064996,6.2565,96.951416,Cloudy
2023-01-04 04:00:00+00:00,7.9564996,7.2565,95.33921,Cloudy
2023-01-04 05:00:00+00:00,9.4065,8.5565,94.42862,Cloudy
2023-01-04 06:00:00+00:00,12.2065,10.0565,86.71351,Sunny
2023-01-04 07:00:00+00:00,14.4065,10.4065,76.905,Sunny
2023-01-04 08:00:00+00:00,15.8065,10.2565,69.586426,Sunny
