Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,14.426,12.926,90.71041,Sunny
2023-01-01 01:00:00+00:00,13.676,12.476,92.46277,Sunny
2023-01-01 02:00:00+00:00,13.776,12.576,92.46843,Sunny
2023-01-01 03:00:00+00:00,16.575998,13.176,80.33607,Sunny
2023-01-01 04:00:00+00:00,18.776,12.176,65.50107,Sunny
2023-01-01 05:00:00+00:00,20.825998,10.526,51.714535,Sunny
2023-01-01 06:00:00+00:00,22.675999,10.626,46.496304,Sunny
2023-01-01 07:00:00+00:00,24.226,11.226,44.067745,Sunny
2023-01-01 08:00:00+00:00,25.226,11.526,42.344444,Sunny
2023-01-01 09:00:00+00:00,25.825998,11.476,40.727287,Sunny
2023-01-01 10:00:00+00:00,25.925999,11.376,40.219814,Sunny
2023-01-01 11:00:00+00:00,25.425999,11.226,41.02117,Sunny
2023-01-01 12:00:00+00:00,24.325998,11.976,46.029392,Sunny
2023-01-01 13:00:00+00:00,23.276,12.226,49.844006,Sunny
2023-01-01 14:00:00+00:00,21.825998,12.426,55.151844,Sunny
2023-01-01 15:00:00+00:00,20.976,12.576,58.674046,Sunny
2023-01-01 16:00:00+00:00,18.575998,12.926,69.66884,Sunny
2023-01-01 17:00:00+00:00,18.175999,12.976,71.67158,Sunny
2023-01-01 18:00:00+00:00,18.325998,12.976,71.00021,Sunny
2023-01-01 19:00:00+00:00,17.376,13.276,76.86528,Sunny
2023-01-01 20:00:00+00:00,16.675999,13.476,81.40351,Sunny
2023-01-01 21:00:00+00:00,16.126,13.526,84.57805,Sunny
2023-01-01 22:00:00+00:00,14.776,12.776,87.81858,Sunny
2023-01-01 23:00:00+00:00,13.676,12.026,89.76809,Sunny
2023-01-02 00:00:00+00:00,13.126,11.876,92.127464,Sunny
2023-01-02 01:00:00+00:00,12.926,11.476,90.90634,Sunny
2023-01-02 02:00:00+00:00,13.076,11.626,90.91652,Sunny
2023-01-02 03:00:00+00:00,15.526,12.226,80.7212,Sunny
2023-01-02 04:00:00+00:00,18.075998,12.176,68.437935,Sunny
2023-01-02 05:00:00+00:00,20.425999,11.726,57.39497,Sunny
2023-01-02 06:00:00+00:00,22.425999,11.376,49.61709,Sunny
2023-01-02 07:00:00+00:00,24.026,11.076,44.158543,Sunny
2023-01-02 08:00:00+00:00,25.075998,10.826,40.787376,Sunny
2023-01-02 09:00:00+00:00,25.626,10.526,38.694702,Sunny
2023-01-02 10:00:00+00:00,25.726,10.326,37.95629,Sunny
2023-01-02 11:00:00+00:00,25.126,10.026,38.553738,Sunny
2023-01-02 12:00:00+00:00,22.026,14.276,61.463318,Sunny
2023-01-02 13:00:00+00:00,19.675999,11.326,58.552937,Sunny
2023-01-02 14:00:00+00:00,18.376,11.076,62.45505,Sunny
2023-01-02 15:00:00+00:00,17.675999,10.976,64.83245,Sunny
2023-01-02 16:00:00+00:00,17.026,10.726,66.437225,Sunny
2023-01-02 17:00:00+00:00,16.476,10.226,66.54249,Sunny
2023-01-02 18:00:00+00:00,15.226,10.026,71.11958,Sunny
2023-01-02 19:00:00+00:00,14.076,10.026,76.596115,Sunny
2023-01-02 20:00:00+00:00,13.926,9.576,75.04733,Sunny
2023-01-02 21:00:00+00:00,13.926,9.476,74.54506,Sunny
2023-01-02 22:00:00+00:00,13.376,9.626,78.040695,Sunny
2023-01-02 23:00:00+00:00,12.876,9.876,81.992455,Sunny
2023-01-03 00:00:00+00:00,12.476,10.226,86.16259,Sunny
2023-01-03 01:00:00+00:00,11.926,10.026,88.14936,Sunny
2023-01-03 02:00:00+00:00,12.226,10.276,87.88182,Sunny
2023-01-03 03:00:00+00:00,14.776,10.876,77.47657,Sunny
2023-01-03 04:00:00+00:00,17.126,10.876,66.679565,Sunny
2023-01-03 05:00:00+00:00,19.175999,10.776,58.237556,Sunny
2023-01-03 06:00:00+00:00,21.175999,11.076,52.49918,Sunny
2023-01-03 07:00:00+00:00,23.026,11.276,47.52835,Sunny
2023-01-03 08:00:00+00:00,24.376,11.126,43.38482,Sunny
2023-01-03 09:00:00+00:00,25.175999,11.076,41.223812,Sunny
2023-01-03 10:00:00+00:00,25.425999,10.976,40.34663,Sunny
2023-01-03 11:00:00+00:00,25.126,10.676,40.262398,Sunny
2023-01-03 12:00:00+00:00,21.876,13.026,57.18702,Sunny
2023-01-03 13:00:00+00:00,18.726,11.576,63.158035,Sunny
2023-01-03 14:00:00+00:00,17.925999,11.376,65.5347,Sunny
2023-01-03 15:00:00+00:00,17.476,10.876,65.22079,Sunny
2023-01-03 16:00:00+00:00,16.776,9.076,60.438923,Sunny
2023-01-03 17:00:00+00:00,15.326,9.176,66.74623,Sunny
2023-01-03 18:00:00+00:00,14.326,9.626,73.37373,Sunny
2023-01-03 19:00:00+00:00,13.776,9.576,75.781586,Sunny
2023-01-03 20:00:00+00:00,14.026,9.476,74.06321,Sunny
2023-01-03 21:00:00+00:00,13.426,9.526,77.26655,Sunny
2023-01-03 22:00:00+00:00,12.926,9.676,80.636696,Sunny
2023-01-03 23:00:00+00:00,12.226,9.826,85.276596,Sunny
2023-01-04 00:00:00+00:00,11.726,10.026,89.319664,Sunny
2023-01-04 01:00:00+00:00,10.626,9.476,92.5978,Sunny
2023-01-04 02:00:00+00:00,10.926,9.876,93.23719,Sunny
2023-01-04 03:00:00+00:00,13.776,10.976,83.20542,Sunny
2023-01-04 04:00:00+00:00,16.075998,10.476,69.40786,Sunny
2023-01-04 05:00:00+00:00,18.175999,9.126,55.514236,Sunny
2023-01-04 06:00:00+00:00,20.126,7.826,45.01975,Sunny
2023-01-04 07:00:00+00:00,21.626,7.426,39.948097,Sunny
2023-01-04 08:00:00+00:00,22.776,7.226,36.740993,Sunny
