Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,7.778,3.9780002,76.895256,Sunny
2023-01-01 01:00:00+00:00,7.578,3.9780002,77.95043,Sunny
2023-01-01 02:00:00+00:00,7.578,3.9780002,77.95043,Sunny
2023-01-01 03:00:00+00:00,9.928,4.1280003,67.20964,Sunny
2023-01-01 04:00:00+00:00,13.228,4.528,55.576794,Sunny
2023-01-01 05:00:00+00:00,16.227999,4.228,44.85166,Sunny
2023-01-01 06:00:00+00:00,18.278,3.328,36.983242,Sunny
2023-01-01 07:00:00+00:00,19.727999,2.428,31.698246,Sunny
2023-01-01 08:00:00+00:00,20.727999,1.528,27.945057,Sunny
2023-01-01 09:00:00+00:00,21.377998,0.828,25.534843,Sunny
2023-01-01 10:00:00+00:00,21.528,0.628,24.939217,Sunny
2023-01-01 11:00:00+00:00,21.127998,0.578,25.46614,Sunny
2023-01-01 12:00:00+00:00,18.828,1.678,31.779005,Sunny
2023-01-01 13:00:00+00:00,16.578,1.928,37.2792,Sunny
2023-01-01 14:00:00+00:00,15.528,2.528,41.602566,Sunny
2023-01-01 15:00:00+00:00,14.678,4.178,49.364143,Sunny
2023-01-01 16:00:00+00:00,13.578,4.978,56.05658,Sunny
2023-01-01 17:00:00+00:00,12.578,5.528,62.17042,Sunny
2023-01-01 18:00:00+00:00,11.778,6.028,67.83547,Sunny
2023-01-01 19:00:00+00:00,11.228,6.178,71.07948,Sunny
2023-01-01 20:00:00+00:00,10.678,6.278,74.23327,Sunny
2023-01-01 21:00:00+00:00,10.228,6.478,77.554565,Sunny
2023-01-01 22:00:00+00:00,9.928,6.728,80.49724,Sunny
2023-01-01 23:00:00+00:00,9.778,6.978,82.716446,Sunny
2023-01-02 00:00:00+00:00,9.078,7.428,89.41096,Sunny
2023-01-02 01:00:00+00:00,8.878,7.428,90.62518,Sunny
2023-01-02 02:00:00+00:00,8.728,7.428,91.54794,Sunny
2023-01-02 03:00:00+00:00,10.578,7.6280003,81.97388,Sunny
2023-01-02 04:00:00+00:00,13.278,7.778,69.31808,Sunny
2023-01-02 05:00:00+00:00,16.078,7.578,57.082012,Sunny
2023-01-02 06:00:00+00:00,18.328,6.528,46.07483,Sunny
2023-01-02 07:00:00+00:00,19.828,5.728,39.70787,Sunny
2023-01-02 08:00:00+00:00,20.727999,5.078,35.90362,Sunny
2023-01-02 09:00:00+00:00,21.227999,4.528,33.507095,Sunny
2023-01-02 10:00:00+00:00,21.227999,4.178,32.69627,Sunny
2023-01-02 11:00:00+00:00,20.627998,4.028,33.569798,Sunny
2023-01-02 12:00:00+00:00,18.627998,5.228,41.330532,Sunny
2023-01-02 13:00:00+00:00,16.477999,5.678,48.834637,Sunny
2023-01-02 14:00:00+00:00,15.578,6.3780003,54.283302,Sunny
2023-01-02 15:00:00+00:00,14.428,6.828,60.2877,Sunny
2023-01-02 16:00:00+00:00,13.378,7.028,65.429085,Sunny
2023-01-02 17:00:00+00:00,12.628,7.1280003,69.18745,Sunny
2023-01-02 18:00:00+00:00,12.028,7.428,73.459946,Sunny
2023-01-02 19:00:00+00:00,11.378,7.678,77.999275,Sunny
2023-01-02 20:00:00+00:00,10.778,7.678,81.16628,Sunny
2023-01-02 21:00:00+00:00,10.278,7.528,83.061646,Sunny
2023-01-02 22:00:00+00:00,9.778,7.428,85.302216,Sunny
2023-01-02 23:00:00+00:00,9.278,7.328,87.61436,Sunny
2023-01-03 00:00:00+00:00,8.628,7.028,89.68171,Sunny
2023-01-03 01:00:00+00:00,8.128,6.8780003,91.82357,Sunny
2023-01-03 02:00:00+00:00,7.8780003,6.728,92.440735,Sunny
2023-01-03 03:00:00+00:00,9.578,6.778,82.691444,Sunny
2023-01-03 04:00:00+00:00,12.528,6.8780003,68.459816,Sunny
2023-01-03 05:00:00+00:00,15.328,6.728,56.50391,Sunny
2023-01-03 06:00:00+00:00,17.578,5.578,45.233833,Sunny
2023-01-03 07:00:00+00:00,19.178,3.628,35.707066,Sunny
2023-01-03 08:00:00+00:00,20.078,2.428,31.018276,Sunny
2023-01-03 09:00:00+00:00,20.428,1.8779999,29.188112,Sunny
2023-01-03 10:00:00+00:00,20.278,2.078,29.88312,Sunny
2023-01-03 11:00:00+00:00,19.727999,2.578,32.03787,Sunny
2023-01-03 12:00:00+00:00,16.877998,3.678,41.405926,Sunny
2023-01-03 13:00:00+00:00,14.128,4.178,51.15048,Sunny
2023-01-03 14:00:00+00:00,13.328,4.928,56.77844,Sunny
2023-01-03 15:00:00+00:00,11.928,5.178,63.32633,Sunny
2023-01-03 16:00:00+00:00,10.628,5.328,69.743385,Sunny
2023-01-03 17:00:00+00:00,9.528,5.6280003,76.6443,Sunny
2023-01-03 18:00:00+00:00,8.928,5.728,80.35756,Sunny
2023-01-03 19:00:00+00:00,8.678,4.228,73.619804,Sunny
2023-01-03 20:00:00+00:00,9.178,1.028,56.71545,Sunny
2023-01-03 21:00:00+00:00,8.878,1.1279999,58.291714,Sunny
2023-01-03 22:00:00+00:00,8.328,1.828,63.61291,Sunny
2023-01-03 23:00:00+00:00,7.6280003,2.328,69.13434,Sunny
2023-01-04 00:00:00+00:00,6.6280003,1.9779999,72.2086,Sunny
2023-01-04 01:00:00+00:00,6.328,2.278,75.307495,Sunny
