Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,10.5199995,10.32,98.675285,Cloudy
2023-01-01 01:00:00+00:00,11.32,10.97,97.70625,Cloudy
2023-01-01 02:00:00+00:00,12.42,11.5199995,94.24391,Cloudy
2023-01-01 03:00:00+00:00,13.67,12.92,95.22823,Cloudy
2023-01-01 04:00:00+00:00,15.0199995,14.12,94.3562,Cloudy
2023-01-01 05:00:00+00:00,16.820002,15.17,90.00217,Cloudy
2023-01-01 06:00:00+00:00,18.970001,15.42,79.88711,Sunny
2023-01-01 07:00:00+00:00,20.220001,15.17,72.74358,Sunny
2023-01-01 08:00:00+00:00,20.92,14.82,68.120155,Sunny
2023-01-01 09:00:00+00:00,21.17,14.2699995,64.74196,Sunny
2023-01-01 10:00:00+00:00,20.970001,14.12,64.90867,Sunny
2023-01-01 11:00:00+00:00,20.17,14.42,69.52631,Sunny
2023-01-01 12:00:00+00:00,16.070002,14.17,88.504166,Sunny
2023-01-01 13:00:00+00:00,15.67,13.72,88.183716,Sunny
2023-01-01 14:00:00+00:00,14.7699995,13.62,92.82569,Sunny
2023-01-01 15:00:00+00:00,14.32,12.97,91.59722,Sunny
2023-01-01 16:00:00+00:00,14.17,12.47,89.511314,Sunny
2023-01-01 17:00:00+00:00,13.17,12.07,93.04471,Sunny
2023-01-01 18:00:00+00:00,14.0199995,12.7699995,92.18006,Sunny
2023-01-01 19:00:00+00:00,14.87,13.72,92.831055,Sunny
2023-01-01 20:00:00+00:00,12.07,11.87,98.69123,Sunny
2023-01-01 21:00:00+00:00,11.57,11.57,100.0,Sunny
2023-01-01 22:00:00+00:00,11.5199995,11.5199995,100.0,Cloudy
2023-01-01 23:00:00+00:00,11.87,11.87,100.0,Cloudy
2023-01-02 00:00:00+00:00,12.22,12.07,99.01814,Cloudy
2023-01-02 01:00:00+00:00,12.07,12.0199995,99.67138,Cloudy
2023-01-02 02:00:00+00:00,12.72,12.57,99.02197,Cloudy
2023-01-02 03:00:00+00:00,13.57,13.22,97.74587,Cloudy
2023-01-02 04:00:00+00:00,15.22,14.07,92.849785,Cloudy
2023-01-02 05:00:00+00:00,17.87,15.2699995,84.76794,Sunny
2023-01-02 06:00:00+00:00,19.77,15.5199995,76.49748,Sunny
2023-01-02 07:00:00+00:00,20.87,15.07,69.43825,Sunny
2023-01-02 08:00:00+00:00,21.42,14.5199995,64.7959,Sunny
2023-01-02 09:00:00+00:00,21.42,13.82,61.92464,Sunny
2023-01-02 10:00:00+00:00,20.87,13.47,62.609653,Sunny
2023-01-02 11:00:00+00:00,18.17,14.87,81.07239,Sunny
2023-01-02 12:00:00+00:00,15.5199995,13.5199995,87.884415,Sunny
2023-01-02 13:00:00+00:00,14.62,12.82,88.962265,Sunny
2023-01-02 14:00:00+00:00,14.2699995,12.7699995,90.69965,Sunny
2023-01-02 15:00:00+00:00,14.2699995,12.7699995,90.69965,Sunny
2023-01-02 16:00:00+00:00,13.82,12.42,91.26585,Sunny
2023-01-02 17:00:00+00:00,13.32,12.0199995,91.836136,Sunny
