Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,9.356501,8.606501,95.06763,Sunny
2023-01-01 01:00:00+00:00,8.4065,7.8065,96.007126,Sunny
2023-01-01 02:00:00+00:00,8.5565,8.0065,96.33869,Sunny
2023-01-01 03:00:00+00:00,11.3065,9.2065,86.91767,Sunny
2023-01-01 04:00:00+00:00,13.8065,9.7065,76.296715,Sunny
2023-01-01 05:00:00+00:00,16.1065,9.8065,66.241974,Sunny
2023-01-01 06:00:00+00:00,17.9065,9.1565,56.578556,Sunny
2023-01-01 07:00:00+00:00,19.1565,8.606501,50.412926,Sunny
2023-01-01 08:00:00+00:00,19.9065,8.7065,48.4441,Sunny
2023-01-01 09:00:00+00:00,20.2565,8.4065,46.453606,Sunny
2023-01-01 10:00:00+00:00,20.2565,8.1565,45.672646,Sunny
2023-01-01 11:00:00+00:00,19.5065,9.106501,51.02027,Sunny
2023-01-01 12:00:00+00:00,15.4565,10.0065,69.984146,Sunny
2023-01-01 13:00:00+00:00,13.9065,9.5565,75.04402,Sunny
2023-01-01 14:00:00+00:00,12.9565,9.1565,77.7147,Sunny
2023-01-01 15:00:00+00:00,12.2065,8.9565,80.53815,Sunny
2023-01-01 16:00:00+00:00,11.9065,8.8065,81.31694,Sunny
2023-01-01 17:00:00+00:00,11.1565,8.6565,84.58791,Sunny
2023-01-01 18:00:00+00:00,9.8065,8.3065,90.3839,Sunny
2023-01-01 19:00:00+00:00,10.3065,8.2565,87.115944,Sunny
2023-01-01 20:00:00+00:00,10.9565,8.4565,84.565506,Sunny
2023-01-01 21:00:00+00:00,10.3065,8.3065,87.41185,Sunny
2023-01-01 22:00:00+00:00,8.4565,7.4564996,93.42657,Sunny
2023-01-01 23:00:00+00:00,7.8065,7.0565,95.00793,Sunny
2023-01-02 00:00:00+00:00,8.606501,7.2565,91.227745,Sunny
2023-01-02 01:00:00+00:00,8.5565,7.2064996,91.22441,Sunny
2023-01-02 02:00:00+00:00,8.5065,7.2565,91.84718,Sunny
2023-01-02 03:00:00+00:00,10.4565,8.3065,86.54167,Sunny
2023-01-02 04:00:00+00:00,13.5565,8.9065,73.48371,Sunny
2023-01-02 05:00:00+00:00,15.856501,9.5565,66.18863,Sunny
2023-01-02 06:00:00+00:00,17.456501,9.6565,60.19534,Sunny
2023-01-02 07:00:00+00:00,18.5065,9.4065,55.4118,Sunny
2023-01-02 08:00:00+00:00,19.2565,9.1565,51.9947,Sunny
2023-01-02 09:00:00+00:00,19.5565,8.856501,50.011642,Sunny
2023-01-02 10:00:00+00:00,19.456501,8.4065,48.81494,Sunny
2023-01-02 11:00:00+00:00,18.8065,8.5065,51.17842,Sunny
