Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,16.1525,4.4525003,45.781837,Sunny
2023-01-01 01:00:00+00:00,15.502501,4.6025,48.227062,Sunny
2023-01-01 02:00:00+00:00,15.1025,4.8025002,50.176754,Sunny
2023-01-01 03:00:00+00:00,16.5525,5.3025002,47.35448,Sunny
2023-01-01 04:00:00+00:00,18.6025,5.8525,43.228012,Sunny
2023-01-01 05:00:00+00:00,20.7025,7.9025,43.672882,Sunny
2023-01-01 06:00:00+00:00,22.3025,10.6025,47.489094,Sunny
2023-01-01 07:00:00+00:00,23.7025,12.252501,48.66316,Sunny
2023-01-01 08:00:00+00:00,24.9525,12.752501,46.65672,Sunny
2023-01-01 09:00:00+00:00,25.8025,11.9025,41.948673,Sunny
2023-01-01 10:00:00+00:00,26.1525,10.6525,37.823956,Sunny
2023-01-01 11:00:00+00:00,25.9025,10.1525,37.128708,Sunny
2023-01-01 12:00:00+00:00,24.5525,11.0525,42.720078,Sunny
2023-01-01 13:00:00+00:00,23.0025,12.002501,49.935295,Sunny
2023-01-01 14:00:00+00:00,22.9525,12.4025,51.421436,Sunny
2023-01-01 15:00:00+00:00,22.3525,13.4025,56.931858,Sunny
2023-01-01 16:00:00+00:00,21.5525,14.7025,65.03381,Sunny
2023-01-01 17:00:00+00:00,21.1025,15.252501,69.260666,Sunny
2023-01-01 18:00:00+00:00,20.8525,15.002501,69.211914,Sunny
2023-01-01 19:00:00+00:00,20.5525,14.752501,69.37654,Sunny
2023-01-01 20:00:00+00:00,20.0025,15.1025,73.40976,Sunny
2023-01-01 21:00:00+00:00,19.0025,15.3525,79.38086,Sunny
2023-01-01 22:00:00+00:00,17.6025,14.9525,84.46685,Sunny
2023-01-01 23:00:00+00:00,16.7525,14.4525,86.30523,Sunny
2023-01-02 00:00:00+00:00,16.5025,14.3525,87.12199,Sunny
2023-01-02 01:00:00+00:00,15.4025,13.6025,89.02541,Sunny
2023-01-02 02:00:00+00:00,15.4025,13.4025,87.874054,Sunny
2023-01-02 03:00:00+00:00,18.2525,13.502501,73.82012,Sunny
2023-01-02 04:00:00+00:00,20.3525,13.002501,62.697315,Sunny
2023-01-02 05:00:00+00:00,21.6525,13.3525,59.221397,Sunny
2023-01-02 06:00:00+00:00,22.7525,13.4525,55.74685,Sunny
2023-01-02 07:00:00+00:00,24.0025,13.3525,51.360462,Sunny
2023-01-02 08:00:00+00:00,25.1525,12.8525,46.40659,Sunny
2023-01-02 09:00:00+00:00,25.9025,11.5525,40.748688,Sunny
2023-01-02 10:00:00+00:00,26.4025,10.0525,35.807213,Sunny
2023-01-02 11:00:00+00:00,26.3025,8.6525,32.782978,Sunny
2023-01-02 12:00:00+00:00,24.9525,11.252501,42.268204,Sunny
2023-01-02 13:00:00+00:00,23.2525,12.3025,50.166374,Sunny
2023-01-02 14:00:00+00:00,23.2025,12.8525,52.165585,Sunny
2023-01-02 15:00:00+00:00,22.7025,13.8025,57.20327,Sunny
2023-01-02 16:00:00+00:00,21.9025,14.752501,63.863243,Sunny
2023-01-02 17:00:00+00:00,21.3025,15.002501,67.32558,Sunny
2023-01-02 18:00:00+00:00,20.8025,14.9025,68.97978,Sunny
2023-01-02 19:00:00+00:00,20.2025,15.1525,72.74048,Sunny
2023-01-02 20:00:00+00:00,19.6025,15.3525,76.47112,Sunny
2023-01-02 21:00:00+00:00,18.9025,15.5525,80.90855,Sunny
2023-01-02 22:00:00+00:00,18.3525,15.4025,82.939705,Sunny
2023-01-02 23:00:00+00:00,18.0025,14.9025,82.1016,Sunny
2023-01-03 00:00:00+00:00,17.6025,13.7025,77.90748,Sunny
2023-01-03 01:00:00+00:00,16.6025,12.2025,75.24649,Sunny
2023-01-03 02:00:00+00:00,16.0525,12.8025,81.05672,Sunny
2023-01-03 03:00:00+00:00,18.1525,13.4025,73.80281,Sunny
2023-01-03 04:00:00+00:00,19.9025,13.6025,67.0383,Sunny
2023-01-03 05:00:00+00:00,20.9525,13.3025,61.616837,Sunny
2023-01-03 06:00:00+00:00,22.0525,13.0525,56.67267,Sunny
2023-01-03 07:00:00+00:00,23.3025,13.0525,52.53373,Sunny
2023-01-03 08:00:00+00:00,24.6025,12.4525,46.71455,Sunny
2023-01-03 09:00:00+00:00,25.7025,11.3525,40.692722,Sunny
2023-01-03 10:00:00+00:00,26.2525,9.4025,34.585186,Sunny
2023-01-03 11:00:00+00:00,26.2025,9.4025,34.687504,Sunny
2023-01-03 12:00:00+00:00,24.8525,10.6025,40.72464,Sunny
2023-01-03 13:00:00+00:00,23.2525,12.3025,50.166374,Sunny
2023-01-03 14:00:00+00:00,23.1525,12.4025,50.803013,Sunny
2023-01-03 15:00:00+00:00,22.6025,12.002501,51.16076,Sunny
2023-01-03 16:00:00+00:00,22.1025,11.9525,52.566986,Sunny
2023-01-03 17:00:00+00:00,21.7025,11.7025,52.985176,Sunny
2023-01-03 18:00:00+00:00,21.1525,12.0525,56.07936,Sunny
2023-01-03 19:00:00+00:00,20.8025,12.1025,57.48747,Sunny
2023-01-03 20:00:00+00:00,20.1025,12.6025,62.0284,Sunny
2023-01-03 21:00:00+00:00,18.8525,13.1025,69.26901,Sunny
2023-01-03 22:00:00+00:00,18.3525,13.0525,71.23749,Sunny
2023-01-03 23:00:00+00:00,18.1025,12.4525,69.576485,Sunny
2023-01-04 00:00:00+00:00,17.6025,12.1525,70.39933,Sunny
2023-01-04 01:00:00+00:00,17.0525,11.8025,71.22784,Sunny
2023-01-04 02:00:00+00:00,16.7025,11.6525,72.10884,Sunny
2023-01-04 03:00:00+00:00,17.5025,11.3025,66.98005,Sunny
2023-01-04 04:00:00+00:00,18.2025,11.002501,62.83125,Sunny
2023-01-04 05:00:00+00:00,19.0525,10.6025,58.013973,Sunny
2023-01-04 06:00:00+00:00,20.1025,11.002501,55.81594,Sunny
2023-01-04 07:00:00+00:00,21.3525,10.752501,50.830055,Sunny
2023-01-04 08:00:00+00:00,22.4525,10.7025,47.372166,Sunny
2023-01-04 09:00:00+00:00,23.4025,10.4025,43.839046,Sunny
2023-01-04 10:00:00+00:00,24.0025,9.8025,40.621384,Sunny
2023-01-04 11:00:00+00:00,23.9525,9.3025,39.398582,Sunny
2023-01-04 12:00:00+00:00,22.7025,8.9025,41.357166,Sunny
2023-01-04 13:00:00+00:00,21.9025,9.2025,44.306866,Sunny
2023-01-04 14:00:00+00:00,21.6025,9.0525,44.672714,Sunny
2023-01-04 15:00:00+00:00,21.1525,9.2025,46.387867,Sunny
2023-01-04 16:00:00+00:00,20.5525,9.8025,50.111126,Sunny
2023-01-04 17:00:00+00:00,20.0025,9.8025,51.843105,Sunny
2023-01-04 18:00:00+00:00,19.4025,9.5525,52.914894,Sunny
2023-01-04 19:00:00+00:00,18.9025,9.502501,54.406456,Sunny
2023-01-04 20:00:00+00:00,18.4025,9.252501,55.19929,Sunny
2023-01-04 21:00:00+00:00,17.9525,9.0525,56.021156,Sunny
2023-01-04 22:00:00+00:00,17.5525,8.9025,56.872147,Sunny
2023-01-04 23:00:00+00:00,17.1525,8.9025,58.32764,Sunny
2023-01-05 00:00:00+00:00,16.7525,9.252501,61.252884,Sunny
2023-01-05 01:00:00+00:00,16.4525,9.4525,63.27702,Sunny
2023-01-05 02:00:00+00:00,16.3025,9.6525,64.74765,Sunny
2023-01-05 03:00:00+00:00,17.3525,9.7025,60.77921,Sunny
2023-01-05 04:00:00+00:00,18.4025,9.9025,57.661,Sunny
2023-01-05 05:00:00+00:00,19.5525,10.4525,55.67718,Sunny
2023-01-05 06:00:00+00:00,20.8025,11.1525,53.991207,Sunny
2023-01-05 07:00:00+00:00,22.0025,11.7025,52.023613,Sunny
2023-01-05 08:00:00+00:00,23.1525,12.2025,50.13983,Sunny
2023-01-05 09:00:00+00:00,24.2025,12.7025,48.637794,Sunny
2023-01-05 10:00:00+00:00,24.9525,13.3025,48.363586,Sunny
2023-01-05 11:00:00+00:00,25.1025,14.002501,50.164764,Sunny
2023-01-05 12:00:00+00:00,23.8525,14.3525,55.301117,Sunny
2023-01-05 13:00:00+00:00,22.8025,15.3025,62.638706,Sunny
2023-01-05 14:00:00+00:00,22.6525,15.7025,64.85239,Sunny
2023-01-05 15:00:00+00:00,22.2525,15.9025,67.30328,Sunny
2023-01-05 16:00:00+00:00,21.7025,15.9025,69.59924,Sunny
2023-01-05 17:00:00+00:00,21.1525,16.1025,72.9085,Sunny
2023-01-05 18:00:00+00:00,20.6525,16.2525,75.9072,Sunny
2023-01-05 19:00:00+00:00,20.2025,16.3525,78.543274,Sunny
2023-01-05 20:00:00+00:00,19.8025,16.4525,81.026566,Sunny
2023-01-05 21:00:00+00:00,19.4525,16.3025,82.019714,Sunny
2023-01-05 22:00:00+00:00,19.1525,16.2025,83.03485,Sunny
2023-01-05 23:00:00+00:00,18.9525,16.1025,83.542534,Sunny
