Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,8.774,7.924,94.40134,Sunny
2023-01-01 01:00:00+00:00,8.174,7.474,95.3471,Sunny
2023-01-01 02:00:00+00:00,8.074,7.524,96.32485,Sunny
2023-01-01 03:00:00+00:00,10.624,8.624,87.4414,Sunny
2023-01-01 04:00:00+00:00,13.374,9.224,75.97042,Sunny
2023-01-01 05:00:00+00:00,15.974,9.774,66.65916,Sunny
2023-01-01 06:00:00+00:00,17.924002,9.524,57.93048,Sunny
2023-01-01 07:00:00+00:00,19.324001,8.924,50.97151,Sunny
2023-01-01 08:00:00+00:00,20.224,8.574,47.077877,Sunny
2023-01-01 09:00:00+00:00,20.674002,7.824,43.516533,Sunny
2023-01-01 10:00:00+00:00,20.524,7.374,42.593464,Sunny
2023-01-01 11:00:00+00:00,19.674002,7.474,45.200737,Sunny
2023-01-01 12:00:00+00:00,16.124,9.124,63.20257,Sunny
2023-01-01 13:00:00+00:00,14.774,9.074,68.68457,Sunny
2023-01-01 14:00:00+00:00,13.524,9.024,74.22521,Sunny
2023-01-01 15:00:00+00:00,11.874,8.974,82.41779,Sunny
2023-01-01 16:00:00+00:00,10.874,8.824,87.16984,Sunny
2023-01-01 17:00:00+00:00,10.274,8.474,88.6016,Sunny
2023-01-01 18:00:00+00:00,9.524,8.074,90.67089,Sunny
2023-01-01 19:00:00+00:00,8.874,7.724,92.49823,Sunny
2023-01-01 20:00:00+00:00,8.924,7.624,91.56055,Sunny
2023-01-01 21:00:00+00:00,8.574,7.574,93.4325,Sunny
2023-01-01 22:00:00+00:00,8.374,7.424,93.74196,Sunny
2023-01-01 23:00:00+00:00,8.024,7.174,94.368744,Sunny
2023-01-02 00:00:00+00:00,7.074,6.374,95.30701,Sunny
2023-01-02 01:00:00+00:00,7.724,6.774,93.71046,Sunny
2023-01-02 02:00:00+00:00,8.324,7.174,92.46655,Sunny
2023-01-02 03:00:00+00:00,9.624,7.974,89.454315,Sunny
2023-01-02 04:00:00+00:00,12.874,8.324,73.861015,Sunny
2023-01-02 05:00:00+00:00,15.774,8.374,61.43757,Sunny
2023-01-02 06:00:00+00:00,17.624,7.974,53.165283,Sunny
2023-01-02 07:00:00+00:00,18.674002,7.724,48.93347,Sunny
2023-01-02 08:00:00+00:00,19.374,7.474,46.051205,Sunny
2023-01-02 09:00:00+00:00,19.624,7.274,44.72601,Sunny
2023-01-02 10:00:00+00:00,19.524,7.024,44.24126,Sunny
2023-01-02 11:00:00+00:00,18.924002,6.974,45.7686,Sunny
2023-01-02 12:00:00+00:00,14.524,8.124,65.456535,Sunny
2023-01-02 13:00:00+00:00,12.624,7.774,72.32599,Sunny
2023-01-02 14:00:00+00:00,12.324,7.524,72.517395,Sunny
2023-01-02 15:00:00+00:00,11.374,7.474,76.94195,Sunny
2023-01-02 16:00:00+00:00,9.724,7.424,85.58816,Sunny
2023-01-02 17:00:00+00:00,9.124,7.274,88.20134,Sunny
2023-01-02 18:00:00+00:00,9.174,7.474,89.114006,Sunny
2023-01-02 19:00:00+00:00,8.674,7.224,90.61067,Sunny
2023-01-02 20:00:00+00:00,7.874,6.824,93.07719,Sunny
2023-01-02 21:00:00+00:00,7.274,6.574,95.31433,Sunny
2023-01-02 22:00:00+00:00,6.724,6.324,97.28641,Sunny
2023-01-02 23:00:00+00:00,6.524,6.274,98.29358,Sunny
2023-01-03 00:00:00+00:00,6.374,6.124,98.29154,Sunny
2023-01-03 01:00:00+00:00,6.474,6.174,97.95459,Sunny
2023-01-03 02:00:00+00:00,7.624,6.974,95.654366,Sunny
2023-01-03 03:00:00+00:00,9.074,7.524,90.02301,Sunny
2023-01-03 04:00:00+00:00,12.174,8.324,77.33102,Sunny
2023-01-03 05:00:00+00:00,14.874,8.874,67.329155,Sunny
2023-01-03 06:00:00+00:00,16.724,8.824,59.616596,Sunny
2023-01-03 07:00:00+00:00,17.874,8.474,54.140606,Sunny
2023-01-03 08:00:00+00:00,18.574001,8.124,50.59854,Sunny
2023-01-03 09:00:00+00:00,18.874,7.724,48.3257,Sunny
2023-01-03 10:00:00+00:00,18.674002,7.324,47.61606,Sunny
2023-01-03 11:00:00+00:00,17.974,7.524,50.436836,Sunny
2023-01-03 12:00:00+00:00,13.724,8.774,72.04043,Sunny
2023-01-03 13:00:00+00:00,12.224,8.674,78.92538,Sunny
2023-01-03 14:00:00+00:00,11.174,8.674,84.589874,Sunny
2023-01-03 15:00:00+00:00,10.724,8.624,86.86145,Sunny
2023-01-03 16:00:00+00:00,10.324,8.774,90.11648,Sunny
2023-01-03 17:00:00+00:00,9.774,8.424,91.30516,Sunny
2023-01-03 18:00:00+00:00,9.174,8.024,92.51542,Sunny
2023-01-03 19:00:00+00:00,8.624,7.674,93.75401,Sunny
2023-01-03 20:00:00+00:00,8.124,7.324,94.6962,Sunny
2023-01-03 21:00:00+00:00,7.824,7.174,95.66115,Sunny
2023-01-03 22:00:00+00:00,7.624,7.024,95.98263,Sunny
2023-01-03 23:00:00+00:00,7.274,6.724,96.30174,Sunny
2023-01-04 00:00:00+00:00,6.424,6.024,97.27997,Sunny
2023-01-04 01:00:00+00:00,6.524,6.174,97.61825,Sunny
2023-01-04 02:00:00+00:00,6.324,6.024,97.952156,Sunny
2023-01-04 03:00:00+00:00,8.624,7.324,91.54124,Sunny
2023-01-04 04:00:00+00:00,10.974,7.874,81.19258,Sunny
2023-01-04 05:00:00+00:00,13.274,8.224,71.470245,Sunny
2023-01-04 06:00:00+00:00,14.924,7.924,62.928967,Sunny
2023-01-04 07:00:00+00:00,16.124,7.724,57.483967,Sunny
2023-01-04 08:00:00+00:00,16.924002,7.274,52.980984,Sunny
2023-01-04 09:00:00+00:00,17.424002,6.924,50.116005,Sunny
2023-01-04 10:00:00+00:00,17.374,6.724,49.589336,Sunny
2023-01-04 11:00:00+00:00,16.674002,6.774,52.015575,Sunny
2023-01-04 12:00:00+00:00,12.024,7.174,72.214615,Sunny
2023-01-04 13:00:00+00:00,10.674,7.274,79.50681,Sunny
2023-01-04 14:00:00+00:00,9.524,7.424,86.744484,Sunny
2023-01-04 15:00:00+00:00,8.724,7.124,89.68919,Sunny
2023-01-04 16:00:00+00:00,8.424,6.974,90.59284,Sunny
2023-01-04 17:00:00+00:00,8.124,6.874,91.82332,Sunny
2023-01-04 18:00:00+00:00,7.574,6.624,93.70316,Sunny
2023-01-04 19:00:00+00:00,6.574,5.974,95.94942,Sunny
2023-01-04 20:00:00+00:00,5.574,5.274,97.939896,Sunny
2023-01-04 21:00:00+00:00,5.124,5.074,99.65275,Sunny
2023-01-04 22:00:00+00:00,4.724,4.724,100.0,Cloudy
2023-01-04 23:00:00+00:00,4.574,4.574,100.0,Cloudy
2023-01-05 00:00:00+00:00,3.924,3.924,100.0,Cloudy
2023-01-05 01:00:00+00:00,4.874,4.874,100.0,Cloudy
2023-01-05 02:00:00+00:00,5.124,4.874,98.27443,Cloudy
2023-01-05 03:00:00+00:00,6.074,5.874,98.62788,Cloudy
2023-01-05 04:00:00+00:00,7.374,6.474,94.01635,Cloudy
2023-01-05 05:00:00+00:00,9.674,7.524,86.4638,Cloudy
2023-01-05 06:00:00+00:00,12.374,7.874,74.02402,Sunny
2023-01-05 07:00:00+00:00,14.074,7.774,65.80493,Sunny
2023-01-05 08:00:00+00:00,15.424,7.024,57.30871,Sunny
2023-01-05 09:00:00+00:00,16.174002,6.824,53.881588,Sunny
2023-01-05 10:00:00+00:00,16.274,6.974,54.09284,Sunny
2023-01-05 11:00:00+00:00,15.674,7.224,57.17559,Sunny
2023-01-05 12:00:00+00:00,11.024,7.224,77.41379,Sunny
2023-01-05 13:00:00+00:00,9.174,6.774,84.94494,Sunny
2023-01-05 14:00:00+00:00,8.174,6.124,86.91048,Sunny
2023-01-05 15:00:00+00:00,7.724,5.624,86.56621,Sunny
2023-01-05 16:00:00+00:00,7.274,5.374,87.73161,Sunny
2023-01-05 17:00:00+00:00,6.524,5.124,90.77094,Sunny
2023-01-05 18:00:00+00:00,5.674,4.924,94.924065,Sunny
2023-01-05 19:00:00+00:00,5.274,5.024,98.2765,Sunny
2023-01-05 20:00:00+00:00,4.974,4.924,99.652336,Sunny
2023-01-05 21:00:00+00:00,4.674,4.674,100.0,Cloudy
2023-01-05 22:00:00+00:00,4.724,4.724,100.0,Cloudy
2023-01-05 23:00:00+00:00,4.524,4.474,99.65107,Cloudy
2023-01-06 00:00:00+00:00,5.324,2.674,83.0266,Cloudy
2023-01-06 01:00:00+00:00,4.674,3.824,94.219666,Cloudy
2023-01-06 02:00:00+00:00,5.124,4.774,97.5916,Cloudy
2023-01-06 03:00:00+00:00,5.974,5.624,97.60784,Cloudy
2023-01-06 04:00:00+00:00,7.124,6.574,96.297386,Cloudy
2023-01-06 05:00:00+00:00,8.424,7.874,96.33491,Cloudy
2023-01-06 06:00:00+00:00,10.674,8.024,83.676956,Cloudy
2023-01-06 07:00:00+00:00,12.224,8.274,76.816315,Cloudy
2023-01-06 08:00:00+00:00,13.574,8.324,70.56439,Cloudy
2023-01-06 09:00:00+00:00,14.474,8.374,66.79141,Cloudy
2023-01-06 10:00:00+00:00,14.724,8.124,64.61731,Sunny
2023-01-06 11:00:00+00:00,14.374,7.774,64.539566,Sunny
2023-01-06 12:00:00+00:00,12.074,8.074,76.53196,Sunny
2023-01-06 13:00:00+00:00,12.574,8.024,73.808,Sunny
2023-01-06 14:00:00+00:00,10.074,7.524,84.178444,Sunny
2023-01-06 15:00:00+00:00,7.824,6.824,93.39443,Sunny
2023-01-06 16:00:00+00:00,7.174,6.374,94.65689,Sunny
2023-01-06 17:00:00+00:00,6.674,5.824,94.30937,Sunny
2023-01-06 18:00:00+00:00,6.024,5.274,94.937965,Sunny
2023-01-06 19:00:00+00:00,5.224,4.674,96.24151,Sunny
2023-01-06 20:00:00+00:00,5.124,4.674,96.91298,Sunny
2023-01-06 21:00:00+00:00,4.724,4.724,100.0,Cloudy
2023-01-06 22:00:00+00:00,4.424,4.424,100.0,Cloudy
2023-01-06 23:00:00+00:00,4.124,4.024,99.30098,Cloudy
2023-01-07 00:00:00+00:00,4.374,4.224,98.95519,Cloudy
2023-01-07 01:00:00+00:00,4.574,4.324,98.266815,Cloudy
2023-01-07 02:00:00+00:00,5.024,4.874,98.96064,Cloudy
2023-01-07 03:00:00+00:00,5.924,5.574,97.60688,Cloudy
2023-01-07 04:00:00+00:00,6.974,6.474,96.62493,Cloudy
2023-01-07 05:00:00+00:00,8.674,7.324,91.232254,Cloudy
2023-01-07 06:00:00+00:00,11.174,7.574,78.50171,Cloudy
2023-01-07 07:00:00+00:00,13.174,7.774,69.7709,Cloudy
2023-01-07 08:00:00+00:00,14.974,7.574,61.249233,Cloudy
2023-01-07 09:00:00+00:00,16.074001,7.474,56.692863,Sunny
2023-01-07 10:00:00+00:00,16.474,7.274,54.516605,Sunny
2023-01-07 11:00:00+00:00,16.024,7.074,55.339832,Sunny
2023-01-07 12:00:00+00:00,14.174,6.674,60.64185,Sunny
2023-01-07 13:00:00+00:00,13.024,6.774,65.80166,Sunny
2023-01-07 14:00:00+00:00,9.424,6.574,82.38853,Sunny
2023-01-07 15:00:00+00:00,8.274,6.274,87.22031,Sunny
2023-01-07 16:00:00+00:00,7.724,6.274,90.54268,Sunny
2023-01-07 17:00:00+00:00,7.074,6.024,93.034325,Sunny
2023-01-07 18:00:00+00:00,6.824,5.874,93.66645,Sunny
2023-01-07 19:00:00+00:00,6.724,5.724,93.338,Sunny
2023-01-07 20:00:00+00:00,6.174,5.324,94.28714,Sunny
2023-01-07 21:00:00+00:00,5.224,4.724,96.57795,Sunny
2023-01-07 22:00:00+00:00,4.924,4.624,97.929184,Sunny
2023-01-07 23:00:00+00:00,4.974,4.674,97.930016,Sunny
2023-01-08 00:00:00+00:00,4.874,4.874,100.0,Cloudy
2023-01-08 01:00:00+00:00,4.574,4.574,100.0,Cloudy
2023-01-08 02:00:00+00:00,4.474,4.424,99.65094,Cloudy
2023-01-08 03:00:00+00:00,5.774,5.424,97.60403,Cloudy
2023-01-08 04:00:00+00:00,7.274,6.624,95.64247,Cloudy
2023-01-08 05:00:00+00:00,10.474,7.524,81.96043,Sunny
2023-01-08 06:00:00+00:00,13.824,7.674,66.42661,Sunny
2023-01-08 07:00:00+00:00,16.424002,6.524,51.94876,Sunny
2023-01-08 08:00:00+00:00,18.174002,5.924,44.624733,Sunny
2023-01-08 09:00:00+00:00,19.074001,5.574,41.172024,Sunny
2023-01-08 10:00:00+00:00,19.324001,5.924,41.529705,Sunny
2023-01-08 11:00:00+00:00,18.674002,6.774,45.85578,Sunny
2023-01-08 12:00:00+00:00,14.174,9.524,73.593376,Sunny
2023-01-08 13:00:00+00:00,12.574,9.324,80.58857,Sunny
2023-01-08 14:00:00+00:00,12.024,8.774,80.51304,Sunny
2023-01-08 15:00:00+00:00,12.174,8.474,78.12096,Sunny
2023-01-08 16:00:00+00:00,11.524,8.274,80.444,Sunny
2023-01-08 17:00:00+00:00,11.524,8.424,81.26607,Sunny
2023-01-08 18:00:00+00:00,10.774,8.324,84.83215,Sunny
2023-01-08 19:00:00+00:00,8.774,7.474,91.55089,Sunny
2023-01-08 20:00:00+00:00,6.924,6.474,96.95665,Sunny
2023-01-08 21:00:00+00:00,6.324,6.074,98.29087,Sunny
2023-01-08 22:00:00+00:00,5.824,5.724,99.31046,Sunny
2023-01-08 23:00:00+00:00,5.474,5.474,100.0,Sunny
2023-01-09 00:00:00+00:00,5.424,5.424,100.0,Cloudy
2023-01-09 01:00:00+00:00,5.174,5.024,98.96189,Cloudy
2023-01-09 02:00:00+00:00,5.474,5.374,99.308525,Cloudy
2023-01-09 03:00:00+00:00,6.524,6.274,98.29358,Cloudy
2023-01-09 04:00:00+00:00,9.674,8.574,92.85762,Cloudy
2023-01-09 05:00:00+00:00,11.874,9.374,84.667946,Cloudy
2023-01-09 06:00:00+00:00,15.574,10.074,69.77348,Sunny
2023-01-09 07:00:00+00:00,18.124,9.524,57.206844,Sunny
2023-01-09 08:00:00+00:00,19.674002,8.874,49.70677,Sunny
2023-01-09 09:00:00+00:00,20.574001,7.674,43.340466,Sunny
2023-01-09 10:00:00+00:00,20.674002,7.324,42.0576,Sunny
2023-01-09 11:00:00+00:00,19.774,8.324,47.59516,Sunny
2023-01-09 12:00:00+00:00,15.524,9.424,67.01291,Sunny
2023-01-09 13:00:00+00:00,13.774,9.374,74.76987,Sunny
2023-01-09 14:00:00+00:00,12.274,9.374,82.46799,Sunny
2023-01-09 15:00:00+00:00,11.174,9.024,86.61251,Sunny
2023-01-09 16:00:00+00:00,10.824,8.874,87.755684,Cloudy
2023-01-09 17:00:00+00:00,10.224,8.524,89.19934,Sunny
2023-01-09 18:00:00+00:00,10.124,8.374,88.889595,Sunny
2023-01-09 19:00:00+00:00,9.024,7.924,92.822,Sunny
2023-01-09 20:00:00+00:00,9.324,8.374,93.78757,Sunny
2023-01-09 21:00:00+00:00,8.624,7.974,95.68813,Sunny
2023-01-09 22:00:00+00:00,8.024,7.624,97.314095,Sunny
2023-01-09 23:00:00+00:00,7.474,7.224,98.3064,Sunny
2023-01-10 00:00:00+00:00,7.174,6.974,98.63984,Sunny
2023-01-10 01:00:00+00:00,7.374,7.224,98.979965,Sunny
2023-01-10 02:00:00+00:00,7.524,7.424,99.31975,Sunny
2023-01-10 03:00:00+00:00,9.824,9.174,95.72813,Cloudy
2023-01-10 04:00:00+00:00,13.274,10.574,83.70093,Sunny
2023-01-10 05:00:00+00:00,16.374,10.774,69.46671,Sunny
2023-01-10 06:00:00+00:00,18.624,10.124,57.715637,Sunny
2023-01-10 07:00:00+00:00,20.224,9.674,50.698994,Sunny
2023-01-10 08:00:00+00:00,21.424002,9.674,47.090748,Sunny
2023-01-10 09:00:00+00:00,22.074001,10.324,47.268795,Sunny
2023-01-10 10:00:00+00:00,22.024,11.074,49.83899,Sunny
2023-01-10 11:00:00+00:00,21.074001,11.774,55.325474,Sunny
2023-01-10 12:00:00+00:00,17.624,11.774,68.572716,Sunny
2023-01-10 13:00:00+00:00,15.974,12.074,77.66066,Sunny
2023-01-10 14:00:00+00:00,14.674,12.474,86.665665,Sunny
2023-01-10 15:00:00+00:00,13.474,11.874,90.04914,Sunny
2023-01-10 16:00:00+00:00,12.724,11.574,92.714485,Sunny
2023-01-10 17:00:00+00:00,11.724,10.974,95.156746,Sunny
2023-01-10 18:00:00+00:00,11.424,10.774,95.7806,Sunny
2023-01-10 19:00:00+00:00,11.074,10.474,96.08896,Sunny
2023-01-10 20:00:00+00:00,10.274,9.774,96.710915,Sunny
2023-01-10 21:00:00+00:00,8.974,8.574,97.334045,Sunny
2023-01-10 22:00:00+00:00,8.574,8.224,97.65646,Sunny
2023-01-10 23:00:00+00:00,7.824,7.474,97.642586,Sunny
2023-01-11 00:00:00+00:00,7.274,6.974,97.967514,Sunny
2023-01-11 01:00:00+00:00,7.074,7.074,100.0,Cloudy
2023-01-11 02:00:00+00:00,7.524,7.524,100.0,Cloudy
2023-01-11 03:00:00+00:00,8.924,8.574,97.66291,Cloudy
2023-01-11 04:00:00+00:00,11.024,9.724,91.69389,Sunny
2023-01-11 05:00:00+00:00,14.174,10.474,78.422516,Sunny
2023-01-11 06:00:00+00:00,17.324001,9.974,62.006252,Sunny
2023-01-11 07:00:00+00:00,19.624,8.624,49.026127,Sunny
2023-01-11 08:00:00+00:00,21.024,9.674,48.260426,Sunny
2023-01-11 09:00:00+00:00,21.774,10.724,49.442207,Sunny
2023-01-11 10:00:00+00:00,21.974,11.174,50.323772,Sunny
2023-01-11 11:00:00+00:00,21.524,11.674,53.466072,Sunny
2023-01-11 12:00:00+00:00,17.674002,13.024,74.20308,Sunny
2023-01-11 13:00:00+00:00,16.024,13.074,82.65845,Sunny
2023-01-11 14:00:00+00:00,15.274,12.574,83.932175,Sunny
2023-01-11 15:00:00+00:00,14.724,12.374,85.821556,Sunny
2023-01-11 16:00:00+00:00,14.074,12.724,91.58179,Sunny
2023-01-11 17:00:00+00:00,13.574,12.474,93.065834,Sunny
2023-01-11 18:00:00+00:00,13.224,12.224,93.661476,Sunny
2023-01-11 19:00:00+00:00,12.924,11.974,93.95606,Sunny
2023-01-11 20:00:00+00:00,12.574,11.624,93.939964,Cloudy
2023-01-11 21:00:00+00:00,12.624,11.674,93.94228,Cloudy
2023-01-11 22:00:00+00:00,13.024,11.524,90.61307,Cloudy
2023-01-11 23:00:00+00:00,12.774,11.374,91.19733,Cloudy
2023-01-12 00:00:00+00:00,11.824,10.524,91.74386,Sunny
2023-01-12 01:00:00+00:00,11.474,10.324,92.645294,Cloudy
2023-01-12 02:00:00+00:00,11.424,10.224,92.33373,Sunny
2023-01-12 03:00:00+00:00,12.874,10.474,85.34564,Sunny
2023-01-12 04:00:00+00:00,15.024,11.024,77.00234,Sunny
2023-01-12 05:00:00+00:00,17.424002,11.874,69.902954,Sunny
2023-01-12 06:00:00+00:00,19.374,12.474,64.3513,Sunny
2023-01-12 07:00:00+00:00,21.324001,12.724,57.993847,Sunny
2023-01-12 08:00:00+00:00,22.674002,12.674,53.2362,Sunny
2023-01-12 09:00:00+00:00,23.274,12.674,51.33734,Sunny
2023-01-12 10:00:00+00:00,23.324001,12.674,51.182564,Sunny
2023-01-12 11:00:00+00:00,22.824001,12.724,52.927227,Sunny
2023-01-12 12:00:00+00:00,18.924002,14.024,73.220985,Sunny
2023-01-12 13:00:00+00:00,18.024,13.674,75.72702,Sunny
2023-01-12 14:00:00+00:00,17.524,13.174,75.64549,Sunny
2023-01-12 15:00:00+00:00,16.724,13.224,79.833984,Sunny
2023-01-12 16:00:00+00:00,16.124,13.374,83.75577,Sunny
2023-01-12 17:00:00+00:00,15.974,13.474,85.113846,Cloudy
2023-01-12 18:00:00+00:00,15.474,13.524,88.166824,Cloudy
2023-01-12 19:00:00+00:00,14.574,13.474,93.11779,Cloudy
2023-01-12 20:00:00+00:00,14.774,13.474,91.92436,Sunny
2023-01-12 21:00:00+00:00,14.124,13.224,94.31788,Cloudy
2023-01-12 22:00:00+00:00,14.024,12.874,92.785416,Cloudy
2023-01-12 23:00:00+00:00,13.574,12.524,93.3716,Cloudy
2023-01-13 00:00:00+00:00,13.774,12.774,93.687775,Rainy
2023-01-13 01:00:00+00:00,14.024,12.574,90.98045,Rainy
2023-01-13 02:00:00+00:00,14.074,12.474,90.09328,Sunny
2023-01-13 03:00:00+00:00,15.074,12.974,87.27298,Sunny
2023-01-13 04:00:00+00:00,16.674002,13.324,80.61175,Sunny
2023-01-13 05:00:00+00:00,18.824001,13.924,73.203384,Sunny
2023-01-13 06:00:00+00:00,20.774,14.324,66.569,Sunny
2023-01-13 07:00:00+00:00,22.224,14.524,61.7076,Sunny
2023-01-13 08:00:00+00:00,23.124,14.724,59.187325,Sunny
2023-01-13 09:00:00+00:00,23.524,14.474,56.85045,Rainy
2023-01-13 10:00:00+00:00,23.374,14.074,55.901627,Rainy
2023-01-13 11:00:00+00:00,22.574001,14.524,60.408405,Sunny
2023-01-13 12:00:00+00:00,20.424002,14.874,70.47813,Sunny
2023-01-13 13:00:00+00:00,18.524,15.174,80.8586,Sunny
2023-01-13 14:00:00+00:00,17.424002,15.124,86.370995,Sunny
2023-01-13 15:00:00+00:00,16.324001,14.924,91.42669,Sunny
2023-01-13 16:00:00+00:00,14.774,13.974,94.95974,Sunny
2023-01-13 17:00:00+00:00,14.174,13.474,95.55708,Sunny
2023-01-13 18:00:00+00:00,15.024,13.924,93.14098,Sunny
2023-01-13 19:00:00+00:00,13.124,12.874,98.379715,Sunny
2023-01-13 20:00:00+00:00,12.624,12.624,100.0,Sunny
2023-01-13 21:00:00+00:00,12.024,11.974,99.671265,Cloudy
2023-01-13 22:00:00+00:00,12.124,12.124,100.0,Cloudy
2023-01-13 23:00:00+00:00,12.274,12.274,100.0,Cloudy
2023-01-14 00:00:00+00:00,12.124,12.074,99.671524,Cloudy
2023-01-14 01:00:00+00:00,12.424,12.024,97.40469,Sunny
2023-01-14 02:00:00+00:00,12.424,11.874,96.446846,Sunny
2023-01-14 03:00:00+00:00,13.774,12.124,89.7755,Sunny
2023-01-14 04:00:00+00:00,15.624,12.474,81.53335,Sunny
2023-01-14 05:00:00+00:00,17.424002,12.474,72.716415,Sunny
2023-01-14 06:00:00+00:00,18.824001,12.174,65.29633,Sunny
2023-01-14 07:00:00+00:00,19.824001,11.624,59.17249,Sunny
2023-01-14 08:00:00+00:00,20.574001,11.124,54.653004,Sunny
2023-01-14 09:00:00+00:00,20.824001,10.424,51.370464,Sunny
2023-01-14 10:00:00+00:00,20.624,9.774,49.79559,Sunny
2023-01-14 11:00:00+00:00,19.824001,9.374,50.933453,Sunny
2023-01-14 12:00:00+00:00,17.524,10.724,64.369774,Sunny
2023-01-14 13:00:00+00:00,15.474,10.824,73.82217,Sunny
2023-01-14 14:00:00+00:00,14.324,10.724,78.968636,Sunny
2023-01-14 15:00:00+00:00,13.374,10.274,81.5103,Sunny
2023-01-14 16:00:00+00:00,12.524,9.524,81.947334,Sunny
2023-01-14 17:00:00+00:00,11.874,8.624,80.49236,Sunny
2023-01-14 18:00:00+00:00,11.024,7.724,80.10138,Sunny
2023-01-14 19:00:00+00:00,10.024,6.924,81.06464,Sunny
2023-01-14 20:00:00+00:00,9.224,6.374,82.36308,Sunny
2023-01-14 21:00:00+00:00,8.524,5.824,83.132065,Sunny
2023-01-14 22:00:00+00:00,7.874,5.174,83.051994,Sunny
2023-01-14 23:00:00+00:00,7.274,4.224,80.97039,Sunny
