Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,6.187,5.537,95.60518,Sunny
2023-01-01 01:00:00+00:00,6.487,5.787,95.2854,Sunny
2023-01-01 02:00:00+00:00,5.537,4.937,95.9162,Sunny
2023-01-01 03:00:00+00:00,7.987,6.387,89.63164,Sunny
2023-01-01 04:00:00+00:00,11.237,7.837,79.58804,Sunny
2023-01-01 05:00:00+00:00,14.287001,8.537001,68.354126,Sunny
2023-01-01 06:00:00+00:00,16.536999,8.687,59.773216,Sunny
2023-01-01 07:00:00+00:00,17.837,7.987,52.503086,Sunny
2023-01-01 08:00:00+00:00,18.587,7.287,47.755005,Sunny
2023-01-01 09:00:00+00:00,18.887,6.687,44.97999,Cloudy
2023-01-01 10:00:00+00:00,18.687,6.387,44.615616,Sunny
2023-01-01 11:00:00+00:00,17.887,8.137,52.874233,Cloudy
2023-01-01 12:00:00+00:00,16.337,7.887,57.341774,Sunny
2023-01-01 13:00:00+00:00,16.187,7.737,57.30425,Sunny
2023-01-01 14:00:00+00:00,15.387,7.787,60.517567,Sunny
2023-01-01 15:00:00+00:00,14.287001,7.837,65.18264,Sunny
2023-01-01 16:00:00+00:00,12.887,7.837,71.3969,Sunny
2023-01-01 17:00:00+00:00,11.737,7.787,76.738205,Sunny
2023-01-01 18:00:00+00:00,10.837001,7.687,80.89817,Sunny
2023-01-01 19:00:00+00:00,10.337001,7.537,82.78605,Sunny
2023-01-01 20:00:00+00:00,9.987,7.487,84.456184,Sunny
2023-01-01 21:00:00+00:00,9.337001,7.337,87.321,Sunny
2023-01-01 22:00:00+00:00,8.787001,7.237,90.001366,Sunny
2023-01-01 23:00:00+00:00,8.437,7.137,91.52917,Sunny
2023-01-02 00:00:00+00:00,6.237,5.587,95.606895,Sunny
2023-01-02 01:00:00+00:00,5.137,4.637,96.57559,Sunny
2023-01-02 02:00:00+00:00,4.387,3.987,97.235596,Sunny
2023-01-02 03:00:00+00:00,7.287,5.737,89.88711,Sunny
2023-01-02 04:00:00+00:00,11.387,7.587,77.47074,Sunny
2023-01-02 05:00:00+00:00,14.787001,8.487,65.959114,Sunny
2023-01-02 06:00:00+00:00,16.937,8.137,56.14322,Sunny
2023-01-02 07:00:00+00:00,18.087,6.437,46.485096,Sunny
2023-01-02 08:00:00+00:00,18.637,5.887,43.237827,Sunny
2023-01-02 09:00:00+00:00,18.837,5.887,42.70063,Sunny
2023-01-02 10:00:00+00:00,18.637,6.587,45.375423,Sunny
2023-01-02 11:00:00+00:00,17.786999,8.237,53.570446,Sunny
2023-01-02 12:00:00+00:00,13.887,8.987,72.31418,Sunny
2023-01-02 13:00:00+00:00,11.787001,8.537001,80.48036,Sunny
2023-01-02 14:00:00+00:00,10.537001,8.037001,84.51834,Sunny
2023-01-02 15:00:00+00:00,10.137,7.637,84.47317,Sunny
2023-01-02 16:00:00+00:00,9.387,7.187,86.13995,Sunny
2023-01-02 17:00:00+00:00,8.587001,6.787,88.45694,Sunny
2023-01-02 18:00:00+00:00,9.087001,7.087,87.29743,Sunny
2023-01-02 19:00:00+00:00,8.787001,7.137,89.38774,Sunny
2023-01-02 20:00:00+00:00,8.137,6.937,92.13946,Sunny
2023-01-02 21:00:00+00:00,7.687,6.887,94.67816,Sunny
2023-01-02 22:00:00+00:00,7.237,6.837,97.29738,Sunny
2023-01-02 23:00:00+00:00,5.887,5.887,100.0,Sunny
2023-01-03 00:00:00+00:00,5.787,5.787,100.0,Sunny
2023-01-03 01:00:00+00:00,5.237,5.237,100.0,Cloudy
2023-01-03 02:00:00+00:00,4.437,4.387,99.65083,Cloudy
2023-01-03 03:00:00+00:00,5.537,5.387,98.9649,Cloudy
