Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,11.3810005,7.581,77.46981,Sunny
2023-01-01 01:00:00+00:00,10.981,7.481,79.01028,Sunny
2023-01-01 02:00:00+00:00,10.931001,7.481,79.27302,Sunny
2023-01-01 03:00:00+00:00,12.731,8.1310005,73.58556,Sunny
2023-01-01 04:00:00+00:00,15.231,8.581,64.51097,Sunny
2023-01-01 05:00:00+00:00,17.581,8.781,56.306213,Sunny
2023-01-01 06:00:00+00:00,19.431,8.481,49.13974,Sunny
2023-01-01 07:00:00+00:00,20.630999,8.581,45.93196,Sunny
2023-01-01 08:00:00+00:00,21.331,8.781,44.59697,Sunny
2023-01-01 09:00:00+00:00,21.581,8.981,44.51639,Sunny
2023-01-01 10:00:00+00:00,21.531,8.981,44.65278,Sunny
2023-01-01 11:00:00+00:00,20.931,8.831,45.860092,Sunny
2023-01-01 12:00:00+00:00,18.380999,10.081,58.43243,Sunny
2023-01-01 13:00:00+00:00,16.730999,9.831,63.765877,Sunny
2023-01-01 14:00:00+00:00,15.6310005,9.731,67.94099,Sunny
2023-01-01 15:00:00+00:00,14.931001,9.831,71.54141,Sunny
2023-01-01 16:00:00+00:00,14.331,9.831,74.365105,Sunny
2023-01-01 17:00:00+00:00,13.531,9.531,76.76597,Sunny
2023-01-01 18:00:00+00:00,12.831,9.181001,78.48452,Sunny
2023-01-01 19:00:00+00:00,12.3810005,8.831,78.948494,Sunny
2023-01-01 20:00:00+00:00,11.581,8.681001,82.3809,Sunny
2023-01-01 21:00:00+00:00,10.931001,8.531,85.13717,Sunny
2023-01-01 22:00:00+00:00,10.331,8.431001,88.008514,Sunny
2023-01-01 23:00:00+00:00,9.981,8.3810005,89.78629,Sunny
2023-01-02 00:00:00+00:00,9.3810005,8.181001,92.21384,Sunny
2023-01-02 01:00:00+00:00,8.931001,7.931,93.45051,Sunny
2023-01-02 02:00:00+00:00,9.081,8.181001,94.09481,Sunny
2023-01-02 03:00:00+00:00,11.431001,8.931001,84.61861,Sunny
2023-01-02 04:00:00+00:00,14.281,9.481,72.874725,Sunny
2023-01-02 05:00:00+00:00,16.880999,9.581,62.111927,Sunny
2023-01-02 06:00:00+00:00,18.781,9.081,53.28817,Sunny
2023-01-02 07:00:00+00:00,19.980999,8.731,48.300987,Sunny
2023-01-02 08:00:00+00:00,20.781,8.581,45.509636,Sunny
2023-01-02 09:00:00+00:00,21.230999,8.331,43.52543,Sunny
2023-01-02 10:00:00+00:00,21.230999,8.731,44.719917,Sunny
2023-01-02 11:00:00+00:00,20.630999,8.931001,47.031063,Sunny
