Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,6.5959997,4.796,88.28273,Sunny
2023-01-01 01:00:00+00:00,6.296,4.496,88.25614,Sunny
2023-01-01 02:00:00+00:00,5.8459997,4.196,89.14886,Sunny
2023-01-01 03:00:00+00:00,7.146,4.5959997,83.83602,Sunny
2023-01-01 04:00:00+00:00,10.996,5.646,69.57565,Sunny
2023-01-01 05:00:00+00:00,14.996,6.296,56.032234,Sunny
2023-01-01 06:00:00+00:00,17.646,5.246,44.014496,Sunny
2023-01-01 07:00:00+00:00,18.946,4.196,37.701912,Sunny
2023-01-01 08:00:00+00:00,19.696,3.4959998,34.25537,Sunny
2023-01-01 09:00:00+00:00,20.196,2.7459998,31.495872,Sunny
2023-01-01 10:00:00+00:00,20.446,1.896,29.193209,Sunny
2023-01-01 11:00:00+00:00,20.246,1.396,28.517338,Sunny
2023-01-01 12:00:00+00:00,18.396,8.696,53.18751,Sunny
2023-01-01 13:00:00+00:00,16.796,7.0959997,52.766293,Sunny
2023-01-01 14:00:00+00:00,15.596,6.296,53.915382,Sunny
2023-01-01 15:00:00+00:00,14.196,6.196,58.595737,Sunny
2023-01-01 16:00:00+00:00,13.046,6.0959997,62.71143,Sunny
2023-01-01 17:00:00+00:00,12.196,5.696,64.49575,Sunny
2023-01-01 18:00:00+00:00,11.496,5.146,65.01317,Sunny
2023-01-01 19:00:00+00:00,10.696,4.646,66.20845,Sunny
2023-01-01 20:00:00+00:00,9.896,4.246,67.913086,Sunny
2023-01-01 21:00:00+00:00,9.346,4.046,69.48517,Sunny
2023-01-01 22:00:00+00:00,8.796,4.146,72.61661,Sunny
2023-01-01 23:00:00+00:00,8.246,4.196,75.63562,Sunny
2023-01-02 00:00:00+00:00,7.396,3.946,78.747604,Sunny
2023-01-02 01:00:00+00:00,6.896,3.9959998,81.775345,Sunny
2023-01-02 02:00:00+00:00,6.646,3.9959998,83.19075,Sunny
2023-01-02 03:00:00+00:00,7.896,3.946,76.10899,Sunny
2023-01-02 04:00:00+00:00,11.096,3.946,61.388416,Sunny
2023-01-02 05:00:00+00:00,14.796,4.5959997,50.444073,Sunny
2023-01-02 06:00:00+00:00,18.146,4.446,40.33798,Sunny
2023-01-02 07:00:00+00:00,20.096,2.396,30.913336,Sunny
2023-01-02 08:00:00+00:00,20.946,1.496,27.509655,Sunny
2023-01-02 09:00:00+00:00,21.246,1.0960001,26.243465,Sunny
2023-01-02 10:00:00+00:00,21.296,0.696,25.420513,Sunny
2023-01-02 11:00:00+00:00,20.946,0.546,25.693012,Sunny
2023-01-02 12:00:00+00:00,18.896,3.9959998,37.292984,Sunny
2023-01-02 13:00:00+00:00,17.346,3.7459998,40.39019,Sunny
2023-01-02 14:00:00+00:00,16.196,3.4459999,42.539757,Sunny
2023-01-02 15:00:00+00:00,15.146,3.546,45.81844,Sunny
