Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,15.332,8.732,64.75183,Sunny
2023-01-01 01:00:00+00:00,15.232,8.982,66.27803,Sunny
2023-01-01 02:00:00+00:00,15.832,9.482,65.96151,Sunny
2023-01-01 03:00:00+00:00,18.231998,9.982,58.591763,Sunny
2023-01-01 04:00:00+00:00,20.782,10.532001,51.87547,Sunny
2023-01-01 05:00:00+00:00,23.331999,10.532001,44.407642,Sunny
2023-01-01 06:00:00+00:00,25.081999,9.682,37.774487,Cloudy
2023-01-01 07:00:00+00:00,26.032,9.382,34.990715,Cloudy
2023-01-01 08:00:00+00:00,26.632,9.432,33.88672,Sunny
2023-01-01 09:00:00+00:00,26.882,9.532001,33.61689,Cloudy
2023-01-01 10:00:00+00:00,26.782,9.682,34.157303,Sunny
2023-01-01 11:00:00+00:00,26.282,9.882,35.653694,Sunny
2023-01-01 12:00:00+00:00,22.932,11.232,47.660446,Sunny
2023-01-01 13:00:00+00:00,21.532,11.082,51.38676,Sunny
2023-01-01 14:00:00+00:00,20.831999,10.282001,50.861076,Sunny
2023-01-01 15:00:00+00:00,19.932,9.832,52.17296,Sunny
2023-01-01 16:00:00+00:00,18.882,10.132,56.82278,Sunny
2023-01-01 17:00:00+00:00,18.231998,10.232,59.579113,Sunny
2023-01-01 18:00:00+00:00,17.782,10.182,61.08413,Sunny
2023-01-01 19:00:00+00:00,17.282,10.182,63.0417,Sunny
2023-01-01 20:00:00+00:00,16.581999,9.932,64.80904,Sunny
2023-01-01 21:00:00+00:00,15.982,9.632,65.9937,Sunny
2023-01-01 22:00:00+00:00,15.482,9.332,66.77919,Sunny
2023-01-01 23:00:00+00:00,15.082,9.082,67.372574,Sunny
2023-01-02 00:00:00+00:00,14.682,9.382,70.54051,Sunny
2023-01-02 01:00:00+00:00,14.782001,9.482,70.55982,Sunny
2023-01-02 02:00:00+00:00,15.382,9.832,69.50262,Sunny
2023-01-02 03:00:00+00:00,17.682,10.132,61.265095,Sunny
2023-01-02 04:00:00+00:00,20.432,10.532001,53.00652,Sunny
2023-01-02 05:00:00+00:00,22.882,10.682,46.090714,Sunny
2023-01-02 06:00:00+00:00,24.581999,10.932,42.305027,Sunny
2023-01-02 07:00:00+00:00,25.731998,10.982,39.63611,Sunny
2023-01-02 08:00:00+00:00,26.331999,10.882,38.000515,Sunny
2023-01-02 09:00:00+00:00,26.581999,10.682,36.949688,Sunny
2023-01-02 10:00:00+00:00,26.481998,10.582,36.921547,Sunny
2023-01-02 11:00:00+00:00,25.831999,10.682,38.623997,Sunny
2023-01-02 12:00:00+00:00,22.532,12.032001,51.480137,Sunny
2023-01-02 13:00:00+00:00,20.731998,11.582,55.789543,Sunny
2023-01-02 14:00:00+00:00,20.682,10.032001,50.48251,Sunny
2023-01-02 15:00:00+00:00,19.882,10.182,53.574642,Sunny
2023-01-02 16:00:00+00:00,18.581999,10.382,58.872967,Sunny
2023-01-02 17:00:00+00:00,17.831999,10.282001,61.300137,Sunny
2023-01-02 18:00:00+00:00,17.282,10.332,63.676212,Sunny
2023-01-02 19:00:00+00:00,16.581999,10.782001,68.590256,Sunny
2023-01-02 20:00:00+00:00,15.782001,10.882,72.66027,Sunny
2023-01-02 21:00:00+00:00,15.132,11.032001,76.51012,Sunny
2023-01-02 22:00:00+00:00,14.432,11.182,80.84067,Sunny
2023-01-02 23:00:00+00:00,13.982,11.332,84.06119,Sunny
2023-01-03 00:00:00+00:00,13.782001,11.782001,87.72981,Sunny
2023-01-03 01:00:00+00:00,14.232,11.632,84.36788,Sunny
2023-01-03 02:00:00+00:00,15.232,11.632,79.10055,Sunny
2023-01-03 03:00:00+00:00,17.932,11.932,67.95987,Sunny
2023-01-03 04:00:00+00:00,20.481998,12.782001,61.30779,Sunny
2023-01-03 05:00:00+00:00,22.532,13.982,58.475475,Sunny
2023-01-03 06:00:00+00:00,24.132,14.882,56.27038,Sunny
2023-01-03 07:00:00+00:00,25.382,14.232,50.07613,Sunny
2023-01-03 08:00:00+00:00,26.231998,13.382,45.0592,Cloudy
2023-01-03 09:00:00+00:00,26.382,12.582,42.3869,Sunny
2023-01-03 10:00:00+00:00,26.231998,11.932,40.975586,Sunny
2023-01-03 11:00:00+00:00,25.731998,11.532001,41.106773,Cloudy
2023-01-03 12:00:00+00:00,24.432,12.232,46.51505,Sunny
2023-01-03 13:00:00+00:00,23.182,12.532001,51.145245,Sunny
2023-01-03 14:00:00+00:00,20.032,12.982,63.866333,Sunny
2023-01-03 15:00:00+00:00,19.831999,12.982,64.66247,Sunny
