Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,12.2015,11.6515,96.44074,Sunny
2023-01-01 01:00:00+00:00,12.4515,11.8015,95.813805,Sunny
2023-01-01 02:00:00+00:00,13.8015,12.1515,89.77757,Sunny
2023-01-01 03:00:00+00:00,16.001501,12.8515,81.58212,Sunny
2023-01-01 04:00:00+00:00,19.0015,13.4015,69.97907,Sunny
2023-01-01 05:00:00+00:00,21.1015,12.3515,57.37208,Sunny
2023-01-01 06:00:00+00:00,22.4515,11.6015,50.28442,Sunny
2023-01-01 07:00:00+00:00,23.3515,10.7015,44.85875,Sunny
2023-01-01 08:00:00+00:00,23.9015,10.2515,42.11466,Sunny
2023-01-01 09:00:00+00:00,23.8015,9.9015,41.38872,Sunny
2023-01-01 10:00:00+00:00,23.3015,9.6015,41.805786,Sunny
2023-01-01 11:00:00+00:00,21.6015,13.4015,59.596313,Sunny
2023-01-01 12:00:00+00:00,18.6015,9.6515,55.996956,Sunny
2023-01-01 13:00:00+00:00,17.8515,8.9015,55.80699,Sunny
2023-01-01 14:00:00+00:00,15.9015,9.3015,64.87722,Sunny
2023-01-01 15:00:00+00:00,16.4515,9.4015,63.06451,Sunny
2023-01-01 16:00:00+00:00,15.9015,10.7515,71.48464,Sunny
2023-01-01 17:00:00+00:00,15.3515,11.2015,76.292046,Sunny
2023-01-01 18:00:00+00:00,14.7515,11.5015,80.88356,Sunny
2023-01-01 19:00:00+00:00,14.1015,11.8015,86.041016,Sunny
2023-01-01 20:00:00+00:00,12.7515,11.5015,92.105286,Sunny
2023-01-01 21:00:00+00:00,12.3515,11.2515,93.00156,Sunny
2023-01-01 22:00:00+00:00,12.6015,11.6515,93.94124,Sunny
2023-01-01 23:00:00+00:00,11.7515,11.2515,96.74836,Sunny
2023-01-02 00:00:00+00:00,12.5515,11.9015,95.81699,Cloudy
2023-01-02 01:00:00+00:00,13.2015,12.4015,94.899216,Cloudy
2023-01-02 02:00:00+00:00,14.6015,12.8015,88.96075,Cloudy
2023-01-02 03:00:00+00:00,16.3515,13.2515,81.89384,Cloudy
2023-01-02 04:00:00+00:00,18.0015,13.4015,74.50143,Cloudy
2023-01-02 05:00:00+00:00,19.5015,13.5015,68.27717,Cloudy
2023-01-02 06:00:00+00:00,20.9515,14.0515,64.694756,Cloudy
2023-01-02 07:00:00+00:00,21.5515,13.8015,61.354404,Rainy
2023-01-02 08:00:00+00:00,22.1015,13.4515,57.993214,Cloudy
2023-01-02 09:00:00+00:00,22.3015,12.8515,55.09119,Cloudy
2023-01-02 10:00:00+00:00,22.1515,12.5015,54.336357,Sunny
2023-01-02 11:00:00+00:00,21.1015,17.1515,78.17719,Sunny
2023-01-02 12:00:00+00:00,17.2515,13.5515,78.87511,Sunny
2023-01-02 13:00:00+00:00,16.1515,12.9515,81.33526,Sunny
2023-01-02 14:00:00+00:00,14.9015,12.6515,86.40418,Sunny
2023-01-02 15:00:00+00:00,15.5015,11.7015,78.10236,Sunny
2023-01-02 16:00:00+00:00,14.7015,11.1015,79.02363,Sunny
2023-01-02 17:00:00+00:00,13.9515,11.2015,83.50271,Sunny
2023-01-02 18:00:00+00:00,13.4015,11.2515,86.82901,Sunny
2023-01-02 19:00:00+00:00,13.0015,11.4015,90.01417,Sunny
2023-01-02 20:00:00+00:00,12.5515,11.3015,92.09339,Sunny
2023-01-02 21:00:00+00:00,12.2515,11.2015,93.30497,Sunny
2023-01-02 22:00:00+00:00,11.9015,11.1515,95.163345,Sunny
2023-01-02 23:00:00+00:00,10.9515,10.7015,98.3521,Sunny
2023-01-03 00:00:00+00:00,10.8515,10.5515,98.02387,Sunny
2023-01-03 01:00:00+00:00,11.3515,10.9015,97.06019,Sunny
2023-01-03 02:00:00+00:00,13.0515,11.6515,91.215576,Sunny
2023-01-03 03:00:00+00:00,15.2515,12.3015,82.563644,Sunny
2023-01-03 04:00:00+00:00,17.5515,12.7015,73.21747,Sunny
2023-01-03 05:00:00+00:00,19.5015,13.1515,66.73729,Sunny
2023-01-03 06:00:00+00:00,21.0015,13.8515,63.665047,Sunny
2023-01-03 07:00:00+00:00,21.9015,13.3515,58.323673,Cloudy
2023-01-03 08:00:00+00:00,22.4015,13.1015,55.659153,Sunny
2023-01-03 09:00:00+00:00,22.8515,12.7515,52.934326,Sunny
2023-01-03 10:00:00+00:00,22.8515,12.3515,51.563984,Sunny
2023-01-03 11:00:00+00:00,21.6015,13.6515,60.573784,Sunny
2023-01-03 12:00:00+00:00,17.6015,13.2515,75.65816,Sunny
2023-01-03 13:00:00+00:00,17.2515,12.7515,74.86255,Sunny
2023-01-03 14:00:00+00:00,15.9015,12.6515,81.036736,Sunny
2023-01-03 15:00:00+00:00,15.9015,12.5515,80.50732,Sunny
2023-01-03 16:00:00+00:00,14.8015,12.9015,88.39723,Sunny
2023-01-03 17:00:00+00:00,14.2015,12.8515,91.58978,Sunny
2023-01-03 18:00:00+00:00,13.6015,12.5015,93.06729,Sunny
2023-01-03 19:00:00+00:00,13.0515,12.0515,93.6532,Sunny
2023-01-03 20:00:00+00:00,12.6015,11.6515,93.94124,Sunny
2023-01-03 21:00:00+00:00,11.8015,11.1015,95.47575,Sunny
2023-01-03 22:00:00+00:00,11.2015,10.5015,95.45486,Sunny
2023-01-03 23:00:00+00:00,11.1015,10.4515,95.77011,Sunny
2023-01-04 00:00:00+00:00,10.9515,10.4515,96.72817,Sunny
2023-01-04 01:00:00+00:00,11.4515,10.7515,95.46359,Sunny
2023-01-04 02:00:00+00:00,12.7015,11.0515,89.693886,Sunny
2023-01-04 03:00:00+00:00,14.8015,11.6515,81.426384,Sunny
2023-01-04 04:00:00+00:00,17.2015,12.2515,72.67643,Sunny
2023-01-04 05:00:00+00:00,19.1515,12.7515,66.4465,Sunny
2023-01-04 06:00:00+00:00,20.5015,13.2015,62.9359,Sunny
2023-01-04 07:00:00+00:00,21.7015,13.3015,58.848335,Sunny
2023-01-04 08:00:00+00:00,22.7515,12.8515,53.605827,Cloudy
2023-01-04 09:00:00+00:00,23.2515,12.3515,50.331154,Cloudy
2023-01-04 10:00:00+00:00,22.8515,11.9015,50.05978,Cloudy
2023-01-04 11:00:00+00:00,21.5015,12.3015,55.798817,Cloudy
2023-01-04 12:00:00+00:00,18.5515,12.0015,65.66881,Sunny
2023-01-04 13:00:00+00:00,17.1515,12.1515,72.42886,Sunny
2023-01-04 14:00:00+00:00,15.8515,12.0015,77.89805,Sunny
2023-01-04 15:00:00+00:00,14.9515,11.7515,81.17776,Sunny
2023-01-04 16:00:00+00:00,14.2515,11.6015,84.091896,Sunny
2023-01-04 17:00:00+00:00,13.6015,11.5015,87.13582,Sunny
2023-01-04 18:00:00+00:00,12.9515,11.3015,89.713,Sunny
2023-01-04 19:00:00+00:00,12.4515,11.0515,91.17605,Sunny
2023-01-04 20:00:00+00:00,12.0515,10.6515,91.14953,Sunny
2023-01-04 21:00:00+00:00,11.7015,10.3015,91.12625,Sunny
2023-01-04 22:00:00+00:00,11.4515,9.9015,90.19968,Sunny
2023-01-04 23:00:00+00:00,11.2015,9.4515,88.97849,Sunny
2023-01-05 00:00:00+00:00,10.6015,9.5515,93.22044,Sunny
2023-01-05 01:00:00+00:00,10.4015,9.6515,95.10726,Sunny
2023-01-05 02:00:00+00:00,12.1515,9.9515,86.41855,Sunny
2023-01-05 03:00:00+00:00,13.9015,10.5515,80.23318,Sunny
2023-01-05 04:00:00+00:00,16.0515,11.3515,73.67871,Sunny
2023-01-05 05:00:00+00:00,18.4015,11.7515,65.2052,Sunny
2023-01-05 06:00:00+00:00,20.4515,11.1015,54.985344,Sunny
2023-01-05 07:00:00+00:00,21.7015,9.7015,46.383476,Sunny
2023-01-05 08:00:00+00:00,22.1515,8.8515,42.61878,Sunny
2023-01-05 09:00:00+00:00,21.9015,8.5515,42.4047,Sunny
2023-01-05 10:00:00+00:00,20.9515,8.4015,44.4909,Sunny
2023-01-05 11:00:00+00:00,19.3515,8.6015,49.787693,Sunny
2023-01-05 12:00:00+00:00,16.0515,8.8515,62.33936,Sunny
2023-01-05 13:00:00+00:00,14.7015,8.7015,67.29308,Sunny
2023-01-05 14:00:00+00:00,13.5015,8.7515,72.97935,Sunny
2023-01-05 15:00:00+00:00,12.4515,8.7515,78.163155,Sunny
2023-01-05 16:00:00+00:00,11.5515,8.4515,81.26974,Sunny
2023-01-05 17:00:00+00:00,10.6515,7.6015,81.42648,Sunny
2023-01-05 18:00:00+00:00,8.9515,6.7015,85.80023,Sunny
2023-01-05 19:00:00+00:00,7.9515,6.0015,87.49119,Sunny
2023-01-05 20:00:00+00:00,7.6514997,5.9014997,88.68158,Sunny
2023-01-05 21:00:00+00:00,6.9515,5.7515,92.06761,Sunny
2023-01-05 22:00:00+00:00,6.3515,5.6015,94.950935,Sunny
2023-01-05 23:00:00+00:00,6.0515,5.6015,96.93559,Sunny
