Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,7.285,5.1349998,86.2219,Sunny
2023-01-01 01:00:00+00:00,7.535,5.035,84.17463,Sunny
2023-01-01 02:00:00+00:00,7.3849998,5.1349998,85.634735,Sunny
2023-01-01 03:00:00+00:00,9.935,5.8849998,75.91951,Sunny
2023-01-01 04:00:00+00:00,12.585,7.785,72.56543,Sunny
2023-01-01 05:00:00+00:00,15.135,8.785001,65.811424,Sunny
2023-01-01 06:00:00+00:00,17.484999,8.535001,55.713802,Sunny
2023-01-01 07:00:00+00:00,19.185,7.985,48.246708,Sunny
2023-01-01 08:00:00+00:00,20.285,6.6349998,41.092297,Sunny
2023-01-01 09:00:00+00:00,20.835,5.8849998,37.72121,Sunny
2023-01-01 10:00:00+00:00,20.785,5.685,37.31748,Sunny
2023-01-01 11:00:00+00:00,20.135,5.6349998,38.710094,Sunny
2023-01-01 12:00:00+00:00,17.935,6.935,48.5645,Sunny
2023-01-01 13:00:00+00:00,16.135,6.985,54.615353,Sunny
2023-01-01 14:00:00+00:00,14.785001,7.785,62.89709,Sunny
2023-01-01 15:00:00+00:00,14.085,8.235001,67.8511,Sunny
2023-01-01 16:00:00+00:00,13.235001,8.685,73.924614,Sunny
2023-01-01 17:00:00+00:00,11.685,9.035001,83.79579,Sunny
2023-01-01 18:00:00+00:00,10.635,8.685,87.73853,Sunny
2023-01-01 19:00:00+00:00,11.435,8.535001,82.36246,Sunny
2023-01-01 20:00:00+00:00,11.585,8.435,80.99947,Sunny
2023-01-01 21:00:00+00:00,11.085,8.235001,82.597946,Sunny
2023-01-01 22:00:00+00:00,8.985001,7.435,90.0163,Sunny
2023-01-01 23:00:00+00:00,7.785,6.835,93.71342,Sunny
2023-01-02 00:00:00+00:00,7.685,7.085,95.98454,Sunny
2023-01-02 01:00:00+00:00,7.285,6.835,96.96529,Sunny
2023-01-02 02:00:00+00:00,7.3849998,6.935,96.96768,Sunny
2023-01-02 03:00:00+00:00,9.885,8.185,89.17188,Sunny
2023-01-02 04:00:00+00:00,12.585,8.935,78.447655,Sunny
2023-01-02 05:00:00+00:00,15.135,9.285001,68.06753,Sunny
2023-01-02 06:00:00+00:00,17.484999,9.635,60.000553,Sunny
2023-01-02 07:00:00+00:00,19.185,9.035001,51.800922,Sunny
2023-01-02 08:00:00+00:00,20.234999,7.785,44.59275,Sunny
2023-01-02 09:00:00+00:00,20.685,6.835,40.64517,Sunny
