Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,21.313,20.463001,94.90723,Cloudy
2023-01-01 01:00:00+00:00,21.613,20.613,94.04565,Cloudy
2023-01-01 02:00:00+00:00,22.063,21.413,96.1063,Cloudy
2023-01-01 03:00:00+00:00,22.963001,22.013,94.39161,Cloudy
2023-01-01 04:00:00+00:00,25.013,22.113,83.96432,Cloudy
2023-01-01 05:00:00+00:00,26.513,22.113,76.82,Cloudy
2023-01-01 06:00:00+00:00,27.663,21.913,70.93474,Sunny
2023-01-01 07:00:00+00:00,28.213001,21.463001,66.83117,Sunny
2023-01-01 08:00:00+00:00,28.563,21.013,63.702286,Sunny
2023-01-01 09:00:00+00:00,28.463001,21.263,65.06416,Cloudy
2023-01-01 10:00:00+00:00,27.763,21.663,69.4528,Sunny
2023-01-01 11:00:00+00:00,26.463001,21.513,74.27495,Sunny
2023-01-01 12:00:00+00:00,25.763,21.413,76.94124,Sunny
2023-01-01 13:00:00+00:00,24.913,21.563,81.677284,Sunny
2023-01-01 14:00:00+00:00,24.463001,21.663,84.418274,Sunny
2023-01-01 15:00:00+00:00,24.063,21.563,85.939964,Sunny
2023-01-01 16:00:00+00:00,23.663,21.413,87.22746,Sunny
2023-01-01 17:00:00+00:00,23.113,21.263,89.346016,Sunny
2023-01-01 18:00:00+00:00,22.613,20.863,89.85916,Sunny
2023-01-01 19:00:00+00:00,22.513,20.663,89.30031,Sunny
2023-01-01 20:00:00+00:00,22.213001,20.713001,91.22494,Sunny
2023-01-01 21:00:00+00:00,22.063,20.863,92.91612,Sunny
2023-01-01 22:00:00+00:00,22.113,20.963001,93.20471,Sunny
2023-01-01 23:00:00+00:00,21.813,20.813,94.05438,Sunny
2023-01-02 00:00:00+00:00,23.463001,21.613,89.37252,Sunny
2023-01-02 01:00:00+00:00,23.213001,21.363,89.35359,Sunny
2023-01-02 02:00:00+00:00,24.613,21.463001,82.6466,Sunny
2023-01-02 03:00:00+00:00,25.663,21.863,79.5582,Sunny
2023-01-02 04:00:00+00:00,27.113,20.763,68.27184,Rainy
2023-01-02 05:00:00+00:00,27.613,20.863,66.71022,Sunny
2023-01-02 06:00:00+00:00,28.013,20.913,65.37085,Sunny
2023-01-02 07:00:00+00:00,28.213001,20.713001,63.823315,Sunny
2023-01-02 08:00:00+00:00,28.163,20.613,63.616344,Sunny
2023-01-02 09:00:00+00:00,27.913,20.913,65.753265,Sunny
2023-01-02 10:00:00+00:00,27.563,20.713001,66.29081,Sunny
2023-01-02 11:00:00+00:00,26.963001,20.663,68.45308,Sunny
2023-01-02 12:00:00+00:00,26.313,21.063,72.89619,Sunny
2023-01-02 13:00:00+00:00,25.463001,20.813,75.49099,Sunny
2023-01-02 14:00:00+00:00,25.213001,20.713001,76.151596,Sunny
2023-01-02 15:00:00+00:00,24.913,20.763,77.76431,Sunny
2023-01-02 16:00:00+00:00,24.413,20.813,80.37041,Cloudy
2023-01-02 17:00:00+00:00,23.513,20.863,85.097664,Sunny
