Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,18.258,14.208,77.25245,Sunny
2023-01-01 01:00:00+00:00,18.308,14.358,77.761475,Sunny
2023-01-01 02:00:00+00:00,19.608,14.708,73.34093,Sunny
2023-01-01 03:00:00+00:00,22.258,15.308001,64.76772,Sunny
2023-01-01 04:00:00+00:00,24.908,16.008,57.738552,Sunny
2023-01-01 05:00:00+00:00,27.208,15.758,49.595207,Sunny
2023-01-01 06:00:00+00:00,28.808,14.958,42.917503,Sunny
2023-01-01 07:00:00+00:00,29.658,14.308001,39.182438,Sunny
2023-01-01 08:00:00+00:00,30.108,14.058001,37.568443,Sunny
2023-01-01 09:00:00+00:00,30.408,13.958,36.688976,Sunny
2023-01-01 10:00:00+00:00,30.258,13.458,35.822758,Sunny
2023-01-01 11:00:00+00:00,29.758,13.258,36.389454,Sunny
2023-01-01 12:00:00+00:00,27.558,19.508,61.547173,Sunny
2023-01-01 13:00:00+00:00,25.308,15.308001,53.90866,Sunny
2023-01-01 14:00:00+00:00,24.158,15.008,56.640125,Sunny
2023-01-01 15:00:00+00:00,25.608,14.208,49.331654,Sunny
2023-01-01 16:00:00+00:00,23.108,14.658,58.992996,Sunny
2023-01-01 17:00:00+00:00,22.158,14.758,62.898468,Sunny
2023-01-01 18:00:00+00:00,21.808,13.958,61.016464,Sunny
2023-01-01 19:00:00+00:00,21.858,13.808001,60.241226,Sunny
2023-01-01 20:00:00+00:00,21.758,13.858,60.80731,Sunny
2023-01-01 21:00:00+00:00,21.308,13.708,61.899117,Sunny
2023-01-01 22:00:00+00:00,20.408,13.658,65.21007,Sunny
2023-01-01 23:00:00+00:00,19.608,13.958,69.86875,Sunny
2023-01-02 00:00:00+00:00,18.408,14.858,79.80942,Sunny
2023-01-02 01:00:00+00:00,18.458,14.958,80.07362,Sunny
2023-01-02 02:00:00+00:00,19.658,15.308001,75.990776,Sunny
2023-01-02 03:00:00+00:00,22.208,15.708,66.65186,Sunny
2023-01-02 04:00:00+00:00,24.408,16.108,59.87107,Sunny
2023-01-02 05:00:00+00:00,26.458,16.458,54.198555,Sunny
2023-01-02 06:00:00+00:00,28.108,16.008,47.811024,Sunny
2023-01-02 07:00:00+00:00,29.108,15.808001,44.54192,Sunny
2023-01-02 08:00:00+00:00,29.708,15.558001,42.343174,Sunny
2023-01-02 09:00:00+00:00,29.958,15.408,41.339195,Sunny
2023-01-02 10:00:00+00:00,29.908,15.258,41.061066,Sunny
2023-01-02 11:00:00+00:00,29.508,15.158,41.748783,Sunny
2023-01-02 12:00:00+00:00,27.858,19.608,60.854473,Sunny
2023-01-02 13:00:00+00:00,25.408,16.258,56.945347,Sunny
2023-01-02 14:00:00+00:00,26.208,15.908,53.109283,Sunny
2023-01-02 15:00:00+00:00,24.108,15.958,60.37688,Sunny
2023-01-02 16:00:00+00:00,23.608,14.708,57.42408,Sunny
2023-01-02 17:00:00+00:00,23.358,14.658,58.10867,Cloudy
2023-01-02 18:00:00+00:00,22.258,15.258,64.56018,Cloudy
2023-01-02 19:00:00+00:00,22.658,15.258,63.00979,Sunny
2023-01-02 20:00:00+00:00,22.208,15.408,65.38326,Cloudy
2023-01-02 21:00:00+00:00,20.958,15.658,71.7185,Sunny
2023-01-02 22:00:00+00:00,20.708,15.908,74.00366,Cloudy
2023-01-02 23:00:00+00:00,20.558,16.658,78.34564,Cloudy
2023-01-03 00:00:00+00:00,21.108,16.458,74.78232,Cloudy
2023-01-03 01:00:00+00:00,21.408,16.658,74.35846,Cloudy
2023-01-03 02:00:00+00:00,21.758,16.908,73.94716,Cloudy
2023-01-03 03:00:00+00:00,22.908,17.258,70.49606,Sunny
2023-01-03 04:00:00+00:00,24.608,17.558,64.85778,Sunny
2023-01-03 05:00:00+00:00,26.158,17.208,57.85497,Sunny
