Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,8.178,6.8780003,91.512405,Sunny
2023-01-01 01:00:00+00:00,7.978,6.778,92.129875,Sunny
2023-01-01 02:00:00+00:00,7.928,6.678,91.81104,Sunny
2023-01-01 03:00:00+00:00,10.378,6.728,78.11281,Sunny
2023-01-01 04:00:00+00:00,13.778,6.578,61.810127,Sunny
2023-01-01 05:00:00+00:00,17.278,6.678,49.73369,Sunny
2023-01-01 06:00:00+00:00,19.678,6.1280003,41.202374,Sunny
2023-01-01 07:00:00+00:00,21.178,5.178,35.16792,Sunny
2023-01-01 08:00:00+00:00,22.078,4.528,31.810242,Sunny
2023-01-01 09:00:00+00:00,22.627998,3.828,29.2909,Sunny
2023-01-01 10:00:00+00:00,22.727999,3.528,28.505533,Sunny
2023-01-01 11:00:00+00:00,22.328,3.428,29.001404,Sunny
2023-01-01 12:00:00+00:00,19.178,6.6280003,43.992317,Sunny
2023-01-01 13:00:00+00:00,16.977999,3.928,41.873844,Sunny
2023-01-01 14:00:00+00:00,16.278,3.678,43.015297,Sunny
2023-01-01 15:00:00+00:00,15.378,4.678,48.87053,Sunny
2023-01-01 16:00:00+00:00,14.728,5.178,52.762806,Sunny
2023-01-01 17:00:00+00:00,13.978,5.528,56.74676,Sunny
2023-01-01 18:00:00+00:00,13.078,5.428,59.753567,Sunny
2023-01-01 19:00:00+00:00,11.178,5.428,67.70974,Sunny
2023-01-01 20:00:00+00:00,10.678,5.3780003,69.7534,Sunny
2023-01-01 21:00:00+00:00,10.428,5.478,71.4185,Sunny
2023-01-01 22:00:00+00:00,10.628,5.6280003,71.209755,Sunny
2023-01-01 23:00:00+00:00,8.978,5.8780003,80.922325,Sunny
2023-01-02 00:00:00+00:00,7.928,6.078,88.0952,Sunny
2023-01-02 01:00:00+00:00,7.228,5.8780003,91.13502,Sunny
2023-01-02 02:00:00+00:00,7.1280003,5.8780003,91.76069,Sunny
2023-01-02 03:00:00+00:00,10.228,6.978,80.26343,Sunny
2023-01-02 04:00:00+00:00,13.628,7.6280003,67.06734,Cloudy
2023-01-02 05:00:00+00:00,16.928,7.8780003,55.195034,Sunny
2023-01-02 06:00:00+00:00,19.578,7.078,44.256474,Sunny
2023-01-02 07:00:00+00:00,21.227999,6.228,37.703793,Sunny
2023-01-02 08:00:00+00:00,22.127998,5.6280003,34.23612,Sunny
2023-01-02 09:00:00+00:00,22.627998,5.078,31.966658,Sunny
2023-01-02 10:00:00+00:00,22.678,4.578,30.777948,Sunny
2023-01-02 11:00:00+00:00,22.127998,4.478,31.602827,Sunny
2023-01-02 12:00:00+00:00,19.778,6.528,42.09151,Sunny
2023-01-02 13:00:00+00:00,17.428,6.228,47.762413,Sunny
2023-01-02 14:00:00+00:00,16.078,6.3780003,52.575783,Sunny
2023-01-02 15:00:00+00:00,14.978,7.3780003,60.419746,Sunny
2023-01-02 16:00:00+00:00,13.828,8.028,68.0286,Sunny
2023-01-02 17:00:00+00:00,13.028,7.728,70.21884,Sunny
