Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,17.747,17.397,97.81676,Sunny
2023-01-01 01:00:00+00:00,18.296999,17.897,97.51868,Sunny
2023-01-01 02:00:00+00:00,19.697,18.747,94.255165,Sunny
2023-01-01 03:00:00+00:00,22.897,19.947,83.47004,Sunny
2023-01-01 04:00:00+00:00,24.997,18.796999,68.494354,Sunny
2023-01-01 05:00:00+00:00,26.347,17.447,58.083233,Sunny
2023-01-01 06:00:00+00:00,27.347,16.497,51.566647,Sunny
2023-01-01 07:00:00+00:00,27.997,16.197,48.705017,Sunny
2023-01-01 08:00:00+00:00,28.497,15.747,45.96808,Sunny
2023-01-01 09:00:00+00:00,28.697,14.597,42.20134,Sunny
2023-01-01 10:00:00+00:00,28.347,14.197,41.968864,Sunny
2023-01-01 11:00:00+00:00,27.497,15.146999,46.88941,Sunny
2023-01-01 12:00:00+00:00,25.296999,18.296999,65.20813,Sunny
2023-01-01 13:00:00+00:00,22.796999,17.897,73.89035,Sunny
2023-01-01 14:00:00+00:00,22.296999,17.697,75.21527,Sunny
2023-01-01 15:00:00+00:00,21.197,17.647,80.19084,Sunny
2023-01-01 16:00:00+00:00,20.897,17.347,80.15031,Sunny
2023-01-01 17:00:00+00:00,20.097,18.697,91.66094,Sunny
2023-01-01 18:00:00+00:00,19.046999,18.546999,96.92426,Sunny
2023-01-01 19:00:00+00:00,19.647,19.347,98.15284,Sunny
2023-01-01 20:00:00+00:00,18.247,18.247,100.0,Cloudy
2023-01-01 21:00:00+00:00,18.046999,18.046999,100.0,Cloudy
2023-01-01 22:00:00+00:00,19.397,19.296999,99.379745,Cloudy
2023-01-01 23:00:00+00:00,19.796999,19.647,99.07371,Cloudy
2023-01-02 00:00:00+00:00,20.247,19.947,98.16118,Cloudy
2023-01-02 01:00:00+00:00,20.847,19.997,94.88966,Cloudy
2023-01-02 02:00:00+00:00,21.397,19.447,88.66186,Cloudy
2023-01-02 03:00:00+00:00,22.397,19.097,81.61504,Cloudy
2023-01-02 04:00:00+00:00,23.997,18.747,72.4918,Cloudy
2023-01-02 05:00:00+00:00,25.347,18.247,64.81089,Cloudy
2023-01-02 06:00:00+00:00,26.647,17.497,57.24523,Sunny
2023-01-02 07:00:00+00:00,27.397,17.647,55.29902,Sunny
2023-01-02 08:00:00+00:00,27.947,17.497,53.045326,Sunny
2023-01-02 09:00:00+00:00,28.197,16.997,50.651234,Sunny
2023-01-02 10:00:00+00:00,27.897,16.397,49.61799,Cloudy
2023-01-02 11:00:00+00:00,27.247,16.296999,51.213745,Cloudy
2023-01-02 12:00:00+00:00,25.847,18.097,62.32595,Sunny
2023-01-02 13:00:00+00:00,23.997,18.046999,69.3803,Sunny
2023-01-02 14:00:00+00:00,23.647,17.647,69.094894,Cloudy
2023-01-02 15:00:00+00:00,23.397,18.447,73.76057,Sunny
2023-01-02 16:00:00+00:00,21.947,19.497,85.997284,Sunny
2023-01-02 17:00:00+00:00,20.897,19.796999,93.4333,Sunny
2023-01-02 18:00:00+00:00,20.046999,19.347,95.74926,Sunny
2023-01-02 19:00:00+00:00,19.997,19.296999,95.747665,Sunny
2023-01-02 20:00:00+00:00,19.046999,18.747,98.14445,Cloudy
2023-01-02 21:00:00+00:00,18.997,18.796999,98.75911,Cloudy
2023-01-02 22:00:00+00:00,18.447,18.347,99.375244,Sunny
2023-01-02 23:00:00+00:00,18.046999,17.997,99.68623,Sunny
2023-01-03 00:00:00+00:00,20.247,19.897,97.857605,Cloudy
2023-01-03 01:00:00+00:00,20.997,19.947,93.72798,Cloudy
2023-01-03 02:00:00+00:00,21.147,19.647,91.157036,Cloudy
2023-01-03 03:00:00+00:00,22.147,19.447,84.69158,Sunny
2023-01-03 04:00:00+00:00,23.796999,19.347,76.16588,Cloudy
2023-01-03 05:00:00+00:00,25.197,18.947,68.31998,Sunny
2023-01-03 06:00:00+00:00,26.397,18.447,61.671055,Sunny
2023-01-03 07:00:00+00:00,27.347,17.947,56.518745,Sunny
2023-01-03 08:00:00+00:00,27.796999,17.296999,52.840115,Cloudy
2023-01-03 09:00:00+00:00,27.197,17.347,54.9018,Cloudy
2023-01-03 10:00:00+00:00,26.796999,17.597,57.101093,Cloudy
2023-01-03 11:00:00+00:00,25.697,17.796999,61.707367,Sunny
2023-01-03 12:00:00+00:00,24.647,18.647,69.28783,Sunny
2023-01-03 13:00:00+00:00,23.197,18.796999,76.30962,Sunny
2023-01-03 14:00:00+00:00,22.447,18.947,80.609634,Sunny
2023-01-03 15:00:00+00:00,21.796999,19.197,85.18336,Cloudy
2023-01-03 16:00:00+00:00,21.397,19.347,88.11214,Sunny
2023-01-03 17:00:00+00:00,20.497,19.397,93.41397,Sunny
2023-01-03 18:00:00+00:00,19.796999,19.097,95.74134,Cloudy
2023-01-03 19:00:00+00:00,19.947,18.997,94.265785,Sunny
2023-01-03 20:00:00+00:00,19.546999,18.847,95.73338,Sunny
2023-01-03 21:00:00+00:00,19.097,18.497,96.32056,Sunny
2023-01-03 22:00:00+00:00,18.747,18.247,96.91732,Sunny
2023-01-03 23:00:00+00:00,18.247,17.897,97.82502,Sunny
2023-01-04 00:00:00+00:00,18.447,18.197,98.444534,Sunny
2023-01-04 01:00:00+00:00,18.847,18.497,97.83486,Sunny
2023-01-04 02:00:00+00:00,20.397,19.347,93.70023,Sunny
2023-01-04 03:00:00+00:00,22.247,19.546999,84.702255,Sunny
2023-01-04 04:00:00+00:00,23.847,19.296999,75.70123,Sunny
2023-01-04 05:00:00+00:00,25.247,18.796999,67.48189,Rainy
2023-01-04 06:00:00+00:00,26.397,18.447,61.671055,Cloudy
2023-01-04 07:00:00+00:00,26.847,18.097,58.75347,Cloudy
2023-01-04 08:00:00+00:00,26.947,17.796999,57.317448,Cloudy
2023-01-04 09:00:00+00:00,26.997,17.747,56.96965,Cloudy
2023-01-04 10:00:00+00:00,26.247,17.847,59.919094,Cloudy
2023-01-04 11:00:00+00:00,25.897,17.796999,60.980217,Cloudy
2023-01-04 12:00:00+00:00,24.546999,18.447,68.83618,Cloudy
