Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,18.9835,14.9335,77.36366,Sunny
2023-01-01 01:00:00+00:00,19.4835,15.383499,77.19193,Sunny
2023-01-01 02:00:00+00:00,20.5835,16.4335,77.1142,Sunny
2023-01-01 03:00:00+00:00,22.5835,18.1835,76.21348,Sunny
2023-01-01 04:00:00+00:00,24.283499,18.4835,70.09104,Sunny
2023-01-01 05:00:00+00:00,25.9335,17.5835,60.03543,Sunny
2023-01-01 06:00:00+00:00,27.283499,16.4335,51.550274,Sunny
2023-01-01 07:00:00+00:00,28.3335,15.1835,44.76071,Sunny
2023-01-01 08:00:00+00:00,28.9835,14.4335,41.070557,Sunny
2023-01-01 09:00:00+00:00,29.283499,14.2335,39.845547,Sunny
2023-01-01 10:00:00+00:00,29.6335,13.283501,36.71228,Sunny
2023-01-01 11:00:00+00:00,29.4835,11.883499,33.783764,Sunny
2023-01-01 12:00:00+00:00,27.3335,12.4335,39.69187,Sunny
2023-01-01 13:00:00+00:00,25.6835,11.4335,40.957535,Sunny
2023-01-01 14:00:00+00:00,24.3335,12.383499,47.258327,Sunny
2023-01-01 15:00:00+00:00,23.3835,13.133499,52.554703,Sunny
2023-01-01 16:00:00+00:00,22.9335,12.9335,53.30297,Sunny
2023-01-01 17:00:00+00:00,22.0835,12.9335,56.127544,Sunny
2023-01-01 18:00:00+00:00,21.283499,14.4335,64.976105,Sunny
2023-01-01 19:00:00+00:00,20.7335,15.4335,71.67751,Sunny
2023-01-01 20:00:00+00:00,20.283499,14.9335,71.36505,Sunny
2023-01-01 21:00:00+00:00,20.1835,14.9835,72.03888,Sunny
2023-01-01 22:00:00+00:00,19.9835,15.4835,75.31571,Sunny
2023-01-01 23:00:00+00:00,19.7335,15.9335,78.72609,Sunny
2023-01-02 00:00:00+00:00,19.6835,17.6335,87.96574,Cloudy
2023-01-02 01:00:00+00:00,19.7335,18.1335,90.4959,Cloudy
2023-01-02 02:00:00+00:00,20.283499,18.5835,89.969124,Cloudy
2023-01-02 03:00:00+00:00,21.9335,18.3335,80.03854,Cloudy
2023-01-02 04:00:00+00:00,23.5835,17.7335,69.73881,Cloudy
2023-01-02 05:00:00+00:00,24.8835,17.2335,62.504974,Sunny
2023-01-02 06:00:00+00:00,26.4335,16.0835,52.997368,Sunny
2023-01-02 07:00:00+00:00,27.6835,14.783501,45.308426,Sunny
2023-01-02 08:00:00+00:00,28.533499,13.7335,40.287033,Sunny
2023-01-02 09:00:00+00:00,28.9835,12.783501,36.891712,Sunny
2023-01-02 10:00:00+00:00,29.033499,12.1835,35.365227,Sunny
2023-01-02 11:00:00+00:00,28.3835,12.5835,37.701355,Sunny
2023-01-02 12:00:00+00:00,26.4335,13.633499,45.2612,Sunny
2023-01-02 13:00:00+00:00,24.4835,12.8335,48.23766,Cloudy
2023-01-02 14:00:00+00:00,23.6835,12.783501,50.445503,Cloudy
2023-01-02 15:00:00+00:00,23.4335,14.6835,57.939743,Cloudy
2023-01-02 16:00:00+00:00,22.283499,15.0835,63.741425,Cloudy
2023-01-02 17:00:00+00:00,21.4335,15.283501,68.00431,Cloudy
2023-01-02 18:00:00+00:00,21.2335,15.3335,69.06428,Sunny
2023-01-02 19:00:00+00:00,21.1335,15.383499,69.712585,Sunny
2023-01-02 20:00:00+00:00,20.7335,15.2335,70.76351,Sunny
2023-01-02 21:00:00+00:00,20.3835,15.283501,72.53945,Sunny
2023-01-02 22:00:00+00:00,20.0835,15.533501,75.0912,Sunny
2023-01-02 23:00:00+00:00,19.6835,15.9835,79.22322,Sunny
2023-01-03 00:00:00+00:00,19.783499,16.283499,80.25407,Sunny
2023-01-03 01:00:00+00:00,20.033499,16.6335,80.79969,Sunny
2023-01-03 02:00:00+00:00,20.533499,17.033499,80.35513,Sunny
2023-01-03 03:00:00+00:00,22.1835,17.6835,75.672295,Sunny
2023-01-03 04:00:00+00:00,24.033499,17.4835,66.81474,Sunny
2023-01-03 05:00:00+00:00,25.783499,16.4335,56.315887,Sunny
2023-01-03 06:00:00+00:00,27.2335,15.3335,48.192554,Sunny
2023-01-03 07:00:00+00:00,28.2335,14.6835,43.596046,Sunny
2023-01-03 08:00:00+00:00,28.9835,14.2335,40.542793,Sunny
2023-01-03 09:00:00+00:00,29.4835,13.7335,38.13168,Sunny
2023-01-03 10:00:00+00:00,29.783499,12.4835,34.5412,Sunny
2023-01-03 11:00:00+00:00,29.533499,11.5835,33.02614,Sunny
2023-01-03 12:00:00+00:00,27.4835,12.8335,40.38965,Cloudy
2023-01-03 13:00:00+00:00,25.783499,12.533501,43.77473,Cloudy
2023-01-03 14:00:00+00:00,24.8335,13.633499,49.76924,Sunny
2023-01-03 15:00:00+00:00,23.5835,14.0835,55.2338,Sunny
2023-01-03 16:00:00+00:00,22.8335,15.5835,63.657707,Sunny
2023-01-03 17:00:00+00:00,22.1835,16.7335,71.25953,Sunny
2023-01-03 18:00:00+00:00,21.533499,17.033499,75.56771,Sunny
2023-01-03 19:00:00+00:00,21.283499,17.2335,77.711136,Cloudy
2023-01-03 20:00:00+00:00,21.2335,17.3335,78.44405,Sunny
2023-01-03 21:00:00+00:00,20.8835,17.2335,79.64346,Sunny
2023-01-03 22:00:00+00:00,20.533499,17.283499,81.636246,Sunny
2023-01-03 23:00:00+00:00,20.283499,17.283499,82.905624,Rainy
2023-01-04 00:00:00+00:00,20.2335,17.783499,85.827255,Rainy
2023-01-04 01:00:00+00:00,20.3335,17.783499,85.298676,Rainy
2023-01-04 02:00:00+00:00,20.6835,17.8835,84.004295,Sunny
2023-01-04 03:00:00+00:00,21.9335,18.033499,78.54535,Sunny
2023-01-04 04:00:00+00:00,23.4835,17.7335,70.16046,Sunny
2023-01-04 05:00:00+00:00,25.1335,17.2335,61.580273,Sunny
2023-01-04 06:00:00+00:00,26.6835,16.2335,52.724087,Sunny
2023-01-04 07:00:00+00:00,27.8835,15.5835,47.143948,Sunny
2023-01-04 08:00:00+00:00,28.6835,14.9335,43.160362,Sunny
2023-01-04 09:00:00+00:00,29.1835,14.0835,39.68905,Sunny
2023-01-04 10:00:00+00:00,29.4335,13.1835,36.896618,Sunny
2023-01-04 11:00:00+00:00,29.283499,12.3335,35.20309,Cloudy
2023-01-04 12:00:00+00:00,27.3835,13.9835,43.786823,Cloudy
2023-01-04 13:00:00+00:00,25.8835,14.383499,49.086475,Cloudy
2023-01-04 14:00:00+00:00,25.3835,14.283501,50.238804,Sunny
2023-01-04 15:00:00+00:00,24.4835,14.4335,53.526276,Cloudy
2023-01-04 16:00:00+00:00,24.1335,15.8335,59.806942,Sunny
2023-01-04 17:00:00+00:00,22.9835,16.8335,68.31329,Sunny
2023-01-04 18:00:00+00:00,22.1335,16.9835,72.6191,Sunny
2023-01-04 19:00:00+00:00,21.6335,17.3335,76.54579,Sunny
2023-01-04 20:00:00+00:00,21.1835,17.6335,80.18901,Cloudy
2023-01-04 21:00:00+00:00,20.6335,17.7335,83.471466,Cloudy
2023-01-04 22:00:00+00:00,20.1835,17.8835,86.63651,Cloudy
2023-01-04 23:00:00+00:00,19.8335,18.033499,89.37323,Sunny
2023-01-05 00:00:00+00:00,19.1835,18.0835,93.34993,Sunny
2023-01-05 01:00:00+00:00,19.2335,18.2335,93.94026,Cloudy
