Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,20.392,17.392,82.918526,Sunny
2023-01-01 01:00:00+00:00,20.692,17.792,83.47819,Sunny
2023-01-01 02:00:00+00:00,22.192,18.092,77.602234,Sunny
2023-01-01 03:00:00+00:00,24.892,18.292,66.77979,Sunny
2023-01-01 04:00:00+00:00,28.092,16.892,50.62397,Sunny
2023-01-01 05:00:00+00:00,30.491999,14.392,37.553467,Sunny
2023-01-01 06:00:00+00:00,32.092,12.942,31.200705,Sunny
2023-01-01 07:00:00+00:00,32.942,12.592,29.066242,Sunny
2023-01-01 08:00:00+00:00,33.242,12.992001,29.338566,Sunny
2023-01-01 09:00:00+00:00,33.642002,12.742001,28.222956,Sunny
2023-01-01 10:00:00+00:00,32.992,12.692,29.175182,Sunny
2023-01-01 11:00:00+00:00,32.092,13.092,31.507975,Cloudy
2023-01-01 12:00:00+00:00,29.942,13.842,37.400772,Sunny
2023-01-01 13:00:00+00:00,28.342,14.542001,42.927925,Sunny
2023-01-01 14:00:00+00:00,26.942,15.642,50.00329,Sunny
2023-01-01 15:00:00+00:00,26.042,16.342,55.138332,Sunny
2023-01-01 16:00:00+00:00,25.192,16.792,59.67379,Sunny
2023-01-01 17:00:00+00:00,24.491999,17.292,64.221695,Sunny
2023-01-01 18:00:00+00:00,23.692,17.892,69.97931,Sunny
2023-01-01 19:00:00+00:00,23.042,18.342,74.865524,Sunny
2023-01-01 20:00:00+00:00,22.442,18.592,78.86493,Sunny
2023-01-01 21:00:00+00:00,21.741999,18.592,82.301796,Sunny
2023-01-01 22:00:00+00:00,20.892,18.491999,86.162384,Sunny
2023-01-01 23:00:00+00:00,20.342,18.241999,87.74664,Sunny
2023-01-02 00:00:00+00:00,20.342,18.292,88.02231,Sunny
2023-01-02 01:00:00+00:00,20.491999,17.892,85.04714,Sunny
2023-01-02 02:00:00+00:00,21.942,17.792,77.32104,Sunny
2023-01-02 03:00:00+00:00,24.592,17.692,65.47063,Sunny
2023-01-02 04:00:00+00:00,27.292,17.042,53.553646,Sunny
2023-01-02 05:00:00+00:00,29.592,15.592,42.720005,Sunny
2023-01-02 06:00:00+00:00,31.292,13.292001,33.404545,Sunny
2023-01-02 07:00:00+00:00,32.042,13.392,32.22156,Sunny
2023-01-02 08:00:00+00:00,32.342,14.642,34.353527,Sunny
2023-01-02 09:00:00+00:00,32.342,14.592,34.242878,Sunny
2023-01-02 10:00:00+00:00,31.692,14.442,35.184116,Cloudy
2023-01-02 11:00:00+00:00,30.942,14.292001,36.363968,Sunny
2023-01-02 12:00:00+00:00,29.392,14.742001,40.9188,Sunny
2023-01-02 13:00:00+00:00,27.692,15.742001,48.16026,Sunny
