Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,10.143499,9.143499,93.51115,Sunny
2023-01-01 01:00:00+00:00,8.893499,8.3435,96.34831,Sunny
2023-01-01 02:00:00+00:00,9.7935,9.1935,96.04997,Sunny
2023-01-01 03:00:00+00:00,12.4435,10.0435,85.29981,Sunny
2023-01-01 04:00:00+00:00,15.1935,10.7935,75.01067,Sunny
2023-01-01 05:00:00+00:00,17.3435,11.0435,66.504295,Sunny
2023-01-01 06:00:00+00:00,18.8935,9.893499,55.88329,Sunny
2023-01-01 07:00:00+00:00,20.043499,8.8435,48.48148,Sunny
2023-01-01 08:00:00+00:00,20.8435,7.8935003,43.269024,Sunny
2023-01-01 09:00:00+00:00,21.1435,7.2435,40.63664,Sunny
2023-01-01 10:00:00+00:00,20.9935,6.6435003,39.360146,Sunny
2023-01-01 11:00:00+00:00,20.0935,6.5935,41.46324,Sunny
2023-01-01 12:00:00+00:00,16.3935,7.5935,56.005062,Sunny
2023-01-01 13:00:00+00:00,15.2935,7.1435003,58.265305,Sunny
2023-01-01 14:00:00+00:00,14.2935,7.0435004,61.7193,Sunny
2023-01-01 15:00:00+00:00,13.0935,7.1435003,67.1837,Sunny
2023-01-01 16:00:00+00:00,12.643499,7.4435,70.624084,Sunny
2023-01-01 17:00:00+00:00,11.9935,8.6935,80.23725,Sunny
2023-01-01 18:00:00+00:00,11.4935,8.7935,83.491005,Sunny
2023-01-01 19:00:00+00:00,11.0935,9.1935,88.07614,Sunny
2023-01-01 20:00:00+00:00,10.643499,9.5935,93.2226,Sunny
2023-01-01 21:00:00+00:00,10.2935,9.5435,95.10318,Sunny
2023-01-01 22:00:00+00:00,9.8435,9.393499,97.02552,Sunny
2023-01-01 23:00:00+00:00,9.393499,9.0935,98.001175,Sunny
2023-01-02 00:00:00+00:00,8.8435,8.5935,98.324615,Sunny
2023-01-02 01:00:00+00:00,8.7435,8.5435,98.656624,Sunny
2023-01-02 02:00:00+00:00,9.1935,8.9935,98.6614,Sunny
2023-01-02 03:00:00+00:00,11.5435,9.9435,89.905106,Sunny
2023-01-02 04:00:00+00:00,14.143499,10.5935,79.2056,Sunny
2023-01-02 05:00:00+00:00,16.6435,10.5935,67.471176,Sunny
2023-01-02 06:00:00+00:00,18.543499,9.8435,56.928623,Sunny
2023-01-02 07:00:00+00:00,19.6935,9.3435,51.242188,Sunny
2023-01-02 08:00:00+00:00,20.4435,9.143499,48.264393,Sunny
2023-01-02 09:00:00+00:00,20.6935,9.2935,48.008617,Sunny
2023-01-02 10:00:00+00:00,20.4935,9.2935,48.60406,Sunny
2023-01-02 11:00:00+00:00,19.543499,9.0935,50.858543,Sunny
2023-01-02 12:00:00+00:00,16.4435,9.393499,63.0627,Sunny
2023-01-02 13:00:00+00:00,14.9435,8.8435,66.89069,Sunny
2023-01-02 14:00:00+00:00,13.7435,8.7435,71.80112,Sunny
2023-01-02 15:00:00+00:00,13.4435,8.8435,73.712036,Sunny
2023-01-02 16:00:00+00:00,12.6935,9.0935,78.728775,Sunny
2023-01-02 17:00:00+00:00,11.8435,8.9935,82.692375,Sunny
2023-01-02 18:00:00+00:00,11.0935,9.143499,87.78008,Sunny
2023-01-02 19:00:00+00:00,10.3435,9.0935,91.96038,Sunny
2023-01-02 20:00:00+00:00,9.7935,8.893499,94.12709,Sunny
2023-01-02 21:00:00+00:00,9.393499,8.6935,95.39096,Sunny
2023-01-02 22:00:00+00:00,9.143499,8.5435,96.02998,Sunny
2023-01-02 23:00:00+00:00,8.9935,8.4935,96.67794,Sunny
2023-01-03 00:00:00+00:00,8.3435,8.0435,97.98461,Sunny
2023-01-03 01:00:00+00:00,8.393499,8.0435,97.653145,Sunny
2023-01-03 02:00:00+00:00,8.5935,8.2435,97.65684,Sunny
2023-01-03 03:00:00+00:00,10.5935,8.9935,89.833115,Sunny
2023-01-03 04:00:00+00:00,13.2935,9.7935,79.34763,Sunny
2023-01-03 05:00:00+00:00,15.9435,10.2435,68.92008,Sunny
2023-01-03 06:00:00+00:00,17.9935,9.893499,59.124783,Sunny
2023-01-03 07:00:00+00:00,19.3935,9.3435,52.206196,Sunny
2023-01-03 08:00:00+00:00,20.2435,8.8435,47.885525,Sunny
2023-01-03 09:00:00+00:00,20.5935,8.2935,45.150356,Sunny
2023-01-03 10:00:00+00:00,20.3935,7.9935,44.78916,Sunny
2023-01-03 11:00:00+00:00,19.5935,8.6935,49.350426,Sunny
2023-01-03 12:00:00+00:00,16.2435,9.9935,66.49328,Sunny
2023-01-03 13:00:00+00:00,14.9935,9.8435,71.313934,Sunny
2023-01-03 14:00:00+00:00,13.9435,9.9435,76.83162,Sunny
2023-01-03 15:00:00+00:00,12.5935,9.7935,83.062904,Sunny
2023-01-03 16:00:00+00:00,11.4935,9.7935,89.30118,Sunny
2023-01-03 17:00:00+00:00,10.7935,9.643499,92.60721,Sunny
2023-01-03 18:00:00+00:00,10.1935,9.393499,94.78037,Sunny
2023-01-03 19:00:00+00:00,9.393499,8.893499,96.68829,Sunny
2023-01-03 20:00:00+00:00,9.3435,8.8435,96.687,Sunny
2023-01-03 21:00:00+00:00,9.0935,8.643499,97.00805,Sunny
2023-01-03 22:00:00+00:00,9.0935,8.5935,96.680534,Sunny
2023-01-03 23:00:00+00:00,9.0435,8.5435,96.67924,Sunny
2023-01-04 00:00:00+00:00,8.2935,7.8435,96.98924,Sunny
2023-01-04 01:00:00+00:00,8.393499,7.9935,97.32188,Sunny
2023-01-04 02:00:00+00:00,8.5435,8.1935,97.655914,Sunny
2023-01-04 03:00:00+00:00,10.4435,8.7935,89.518906,Sunny
2023-01-04 04:00:00+00:00,12.7935,9.4435,80.07891,Sunny
2023-01-04 05:00:00+00:00,14.893499,9.143499,68.47779,Sunny
2023-01-04 06:00:00+00:00,16.4435,8.643499,59.953094,Sunny
2023-01-04 07:00:00+00:00,17.5935,8.5435,55.36559,Sunny
2023-01-04 08:00:00+00:00,18.4935,7.9935,50.40532,Sunny
2023-01-04 09:00:00+00:00,18.8935,7.4435,47.35237,Sunny
2023-01-04 10:00:00+00:00,18.793499,6.8935003,45.88921,Sunny
2023-01-04 11:00:00+00:00,17.9435,6.7935004,48.06972,Sunny
2023-01-04 12:00:00+00:00,14.4935,8.0935,65.44988,Sunny
2023-01-04 13:00:00+00:00,13.2935,7.7435,69.08556,Sunny
2023-01-04 14:00:00+00:00,12.5435,7.3435,70.60465,Sunny
2023-01-04 15:00:00+00:00,11.5435,6.9435,73.37288,Sunny
2023-01-04 16:00:00+00:00,10.5435,7.1935,79.76032,Sunny
2023-01-04 17:00:00+00:00,9.7435,7.6935,87.062164,Sunny
2023-01-04 18:00:00+00:00,9.0935,7.9935,92.82582,Sunny
2023-01-04 19:00:00+00:00,8.6935,7.9435,95.04222,Sunny
2023-01-04 20:00:00+00:00,8.2935,7.7435,96.33116,Sunny
2023-01-04 21:00:00+00:00,7.9935,7.5435004,96.982155,Sunny
2023-01-04 22:00:00+00:00,7.6935,7.3435,97.64016,Sunny
2023-01-04 23:00:00+00:00,7.3435,7.0935,98.30464,Sunny
2023-01-05 00:00:00+00:00,6.8435,6.6435003,98.63626,Sunny
2023-01-05 01:00:00+00:00,6.8935003,6.6435003,98.29858,Sunny
2023-01-05 02:00:00+00:00,7.0435004,6.7935004,98.300606,Sunny
2023-01-05 03:00:00+00:00,9.0935,7.4935,89.71787,Sunny
2023-01-05 04:00:00+00:00,11.2435,8.0935,80.95331,Sunny
2023-01-05 05:00:00+00:00,13.5435,8.4935,71.52117,Sunny
2023-01-05 06:00:00+00:00,15.5435,8.6935,63.71369,Sunny
2023-01-05 07:00:00+00:00,17.1935,8.393499,56.20822,Sunny
2023-01-05 08:00:00+00:00,18.3435,7.8435,50.364853,Sunny
2023-01-05 09:00:00+00:00,18.9435,7.0935,46.08864,Sunny
2023-01-05 10:00:00+00:00,18.7435,6.2435,44.02095,Sunny
2023-01-05 11:00:00+00:00,17.7435,6.0435004,46.2293,Sunny
2023-01-05 12:00:00+00:00,14.393499,6.2935004,58.24204,Sunny
2023-01-05 13:00:00+00:00,12.893499,6.6435003,65.77322,Sunny
2023-01-05 14:00:00+00:00,12.0435,7.5935,74.21845,Sunny
2023-01-05 15:00:00+00:00,10.9935,7.6435003,79.82462,Sunny
2023-01-05 16:00:00+00:00,9.9435,7.3435,83.87641,Sunny
2023-01-05 17:00:00+00:00,8.9935,7.3935003,89.71012,Sunny
2023-01-05 18:00:00+00:00,8.393499,7.2935004,92.787224,Sunny
2023-01-05 19:00:00+00:00,7.7935004,7.0935,95.33328,Sunny
2023-01-05 20:00:00+00:00,7.2935004,6.7935004,96.63339,Sunny
2023-01-05 21:00:00+00:00,6.7435,6.4435,97.958954,Sunny
2023-01-05 22:00:00+00:00,6.1935,6.0435004,98.970314,Sunny
2023-01-05 23:00:00+00:00,5.8935003,5.8435,99.65489,Cloudy
2023-01-06 00:00:00+00:00,7.1435003,7.0435004,99.3177,Cloudy
2023-01-06 01:00:00+00:00,7.2435,7.0435004,98.64059,Cloudy
2023-01-06 02:00:00+00:00,7.3435,7.0935,98.30464,Cloudy
2023-01-06 03:00:00+00:00,8.0435,6.8935003,92.45033,Cloudy
2023-01-06 04:00:00+00:00,9.3435,6.9435,84.96364,Cloudy
2023-01-06 05:00:00+00:00,11.6935,7.5435004,75.69226,Cloudy
2023-01-06 06:00:00+00:00,14.0935,7.3935003,64.038376,Sunny
2023-01-06 07:00:00+00:00,16.1435,7.4935,56.517284,Sunny
2023-01-06 08:00:00+00:00,17.6935,6.8935003,49.16835,Sunny
2023-01-06 09:00:00+00:00,18.543499,5.9935,43.812805,Sunny
2023-01-06 10:00:00+00:00,18.6935,5.0435004,40.636753,Sunny
2023-01-06 11:00:00+00:00,17.7435,6.2935004,47.033363,Sunny
2023-01-06 12:00:00+00:00,13.4935,7.1435003,65.4544,Sunny
2023-01-06 13:00:00+00:00,12.4935,5.9935,64.56248,Sunny
2023-01-06 14:00:00+00:00,11.893499,6.1935,68.09404,Sunny
2023-01-06 15:00:00+00:00,11.143499,7.2435,76.905075,Sunny
2023-01-06 16:00:00+00:00,9.643499,7.4435,86.16615,Sunny
2023-01-06 17:00:00+00:00,8.643499,7.0935,89.99052,Sunny
2023-01-06 18:00:00+00:00,7.6935,6.6435003,93.06755,Sunny
2023-01-06 19:00:00+00:00,6.9935,6.2935004,95.30405,Sunny
2023-01-06 20:00:00+00:00,6.3435,5.9435,97.278244,Sunny
2023-01-06 21:00:00+00:00,5.7935004,5.5935,98.6248,Sunny
2023-01-06 22:00:00+00:00,5.6935,5.5435004,98.966194,Sunny
2023-01-06 23:00:00+00:00,5.0935,5.0435004,99.65268,Sunny
2023-01-07 00:00:00+00:00,6.3935003,6.2935004,99.3136,Cloudy
2023-01-07 01:00:00+00:00,6.5435004,6.4935,99.65669,Cloudy
2023-01-07 02:00:00+00:00,6.6435003,6.1435003,96.616135,Cloudy
2023-01-07 03:00:00+00:00,7.1435003,6.7935004,97.6299,Cloudy
2023-01-07 04:00:00+00:00,8.643499,7.2935004,91.230225,Cloudy
2023-01-07 05:00:00+00:00,11.5935,8.4435,81.0006,Cloudy
2023-01-07 06:00:00+00:00,14.5435,9.0935,69.80508,Sunny
2023-01-07 07:00:00+00:00,16.8935,8.9435,59.456593,Sunny
