Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,4.5195,2.3694997,85.93394,Cloudy
2023-01-01 01:00:00+00:00,4.8195,2.1694999,82.963356,Cloudy
2023-01-01 02:00:00+00:00,4.5695,2.6694999,87.47879,Cloudy
2023-01-01 03:00:00+00:00,4.9195,4.4695,96.90797,Cloudy
2023-01-01 04:00:00+00:00,5.7695003,3.4194999,84.860794,Cloudy
2023-01-01 05:00:00+00:00,6.2195,3.1694999,80.8247,Cloudy
2023-01-01 06:00:00+00:00,6.5195003,3.2195,79.45227,Rainy
2023-01-01 07:00:00+00:00,6.7695003,3.2694998,78.37538,Rainy
2023-01-01 08:00:00+00:00,7.0195003,3.5194998,78.413826,Rainy
2023-01-01 09:00:00+00:00,6.6194997,3.9695,83.18748,Rainy
2023-01-01 10:00:00+00:00,5.8694997,4.2695,89.46361,Rainy
2023-01-01 11:00:00+00:00,5.0695,4.5195,96.23691,Rainy
2023-01-01 12:00:00+00:00,4.9195,3.9695,93.57181,Rainy
2023-01-01 13:00:00+00:00,4.2195,3.7195,96.55055,Rainy
2023-01-01 14:00:00+00:00,1.5194998,1.4695001,99.64246,Rainy
2023-01-01 15:00:00+00:00,0.9694998,0.8694999,99.28286,Rainy
2023-01-01 16:00:00+00:00,0.8694999,0.7694998,99.28226,Rainy
2023-01-01 17:00:00+00:00,0.46949983,0.36949992,99.279915,Rainy
2023-01-01 18:00:00+00:00,0.36949992,0.21949983,98.920715,Rainy
2023-01-01 19:00:00+00:00,0.26949978,0.019499779,98.20548,Rainy
2023-01-01 20:00:00+00:00,-0.080500126,-0.28050017,98.55796,Cloudy
2023-01-01 21:00:00+00:00,0.41949987,-1.4305001,87.395905,Cloudy
2023-01-01 22:00:00+00:00,0.06949997,-2.1305,85.13715,Cloudy
2023-01-01 23:00:00+00:00,-0.38050008,-2.4305,86.03629,Cloudy
2023-01-02 00:00:00+00:00,3.6694999,-0.13050008,76.214455,Sunny
2023-01-02 01:00:00+00:00,3.1194997,0.16949987,80.971535,Cloudy
2023-01-02 02:00:00+00:00,3.3694997,1.7694998,89.26002,Cloudy
2023-01-02 03:00:00+00:00,5.1194997,3.7195,90.67096,Cloudy
2023-01-02 04:00:00+00:00,6.0694995,3.1694999,81.66542,Cloudy
2023-01-02 05:00:00+00:00,6.8694997,2.7195,74.8681,Cloudy
2023-01-02 06:00:00+00:00,7.2695003,2.2694998,70.552925,Cloudy
2023-01-02 07:00:00+00:00,7.7695003,1.7195001,65.562805,Cloudy
2023-01-02 08:00:00+00:00,7.7695003,1.7694998,65.79757,Cloudy
