Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,8.143,7.4430003,95.34597,Sunny
2023-01-01 01:00:00+00:00,8.143,7.4430003,95.34597,Sunny
2023-01-01 02:00:00+00:00,8.243,7.543,95.34959,Sunny
2023-01-01 03:00:00+00:00,9.643,8.143,90.37204,Sunny
2023-01-01 04:00:00+00:00,12.143,9.443,83.56803,Sunny
2023-01-01 05:00:00+00:00,14.542999,10.092999,74.650826,Sunny
2023-01-01 06:00:00+00:00,16.293,10.393,68.07659,Sunny
2023-01-01 07:00:00+00:00,17.442999,10.393,63.288895,Sunny
2023-01-01 08:00:00+00:00,18.143,10.193,59.75704,Sunny
2023-01-01 09:00:00+00:00,18.442999,9.643,56.523205,Sunny
2023-01-01 10:00:00+00:00,18.343,9.092999,54.81363,Sunny
2023-01-01 11:00:00+00:00,17.543,10.143,61.849834,Sunny
2023-01-01 12:00:00+00:00,16.942999,9.792999,62.754204,Sunny
2023-01-01 13:00:00+00:00,15.943,9.792999,66.87634,Sunny
2023-01-01 14:00:00+00:00,15.042999,9.743,70.61011,Sunny
2023-01-01 15:00:00+00:00,12.143,9.193,82.17453,Sunny
2023-01-01 16:00:00+00:00,10.743,8.393,85.405685,Sunny
2023-01-01 17:00:00+00:00,10.943,7.9430003,81.742615,Sunny
2023-01-01 18:00:00+00:00,11.292999,7.6930003,78.51963,Sunny
2023-01-01 19:00:00+00:00,9.393,7.243,86.43566,Sunny
2023-01-01 20:00:00+00:00,8.743,7.1930003,89.99804,Sunny
2023-01-01 21:00:00+00:00,8.243,7.043,92.145836,Sunny
2023-01-01 22:00:00+00:00,7.4430003,6.6930003,94.9938,Sunny
2023-01-01 23:00:00+00:00,8.993,7.743,91.87739,Sunny
2023-01-02 00:00:00+00:00,6.593,5.843,94.960464,Sunny
2023-01-02 01:00:00+00:00,6.843,6.043,94.643074,Sunny
2023-01-02 02:00:00+00:00,6.393,5.6930003,95.28193,Sunny
2023-01-02 03:00:00+00:00,8.943,7.493,90.62979,Sunny
2023-01-02 04:00:00+00:00,12.243,9.443,83.02032,Sunny
2023-01-02 05:00:00+00:00,15.143,10.243,72.54424,Sunny
2023-01-02 06:00:00+00:00,16.692999,10.143,65.26825,Sunny
2023-01-02 07:00:00+00:00,17.593,9.342999,58.435665,Sunny
2023-01-02 08:00:00+00:00,18.093,8.993,55.306335,Sunny
2023-01-02 09:00:00+00:00,18.293,8.643,53.340614,Sunny
2023-01-02 10:00:00+00:00,17.993,8.342999,53.262085,Sunny
2023-01-02 11:00:00+00:00,17.093,8.993,58.906235,Sunny
2023-01-02 12:00:00+00:00,15.342999,9.493,68.11016,Sunny
2023-01-02 13:00:00+00:00,14.243,9.493,73.11302,Sunny
2023-01-02 14:00:00+00:00,13.443,9.342999,76.23771,Sunny
2023-01-02 15:00:00+00:00,12.943,9.092999,77.45127,Sunny
2023-01-02 16:00:00+00:00,12.542999,8.993,78.97233,Sunny
2023-01-02 17:00:00+00:00,12.342999,8.943,79.74631,Sunny
2023-01-02 18:00:00+00:00,11.792999,8.893,82.40761,Sunny
2023-01-02 19:00:00+00:00,11.143,8.842999,85.73727,Sunny
2023-01-02 20:00:00+00:00,10.493,8.842999,89.52277,Sunny
2023-01-02 21:00:00+00:00,9.643,8.643,93.48622,Cloudy
2023-01-02 22:00:00+00:00,8.643,8.342999,97.98935,Cloudy
2023-01-02 23:00:00+00:00,7.9430003,7.843,99.32202,Cloudy
2023-01-03 00:00:00+00:00,6.143,5.843,97.9492,Cloudy
2023-01-03 01:00:00+00:00,6.643,6.493,98.974014,Cloudy
2023-01-03 02:00:00+00:00,6.843,6.643,98.63625,Cloudy
2023-01-03 03:00:00+00:00,7.893,7.293,95.99107,Cloudy
2023-01-03 04:00:00+00:00,9.792999,8.743,93.178444,Cloudy
2023-01-03 05:00:00+00:00,11.193,9.893,91.704475,Sunny
2023-01-03 06:00:00+00:00,13.743,9.993,78.09638,Sunny
2023-01-03 07:00:00+00:00,15.393,9.393,67.43738,Sunny
2023-01-03 08:00:00+00:00,16.293,8.993,61.975838,Sunny
2023-01-03 09:00:00+00:00,16.692999,8.592999,58.808662,Sunny
2023-01-03 10:00:00+00:00,16.643,8.193,57.4182,Sunny
2023-01-03 11:00:00+00:00,15.943,8.393,60.85591,Sunny
2023-01-03 12:00:00+00:00,12.042999,8.842999,80.78798,Sunny
2023-01-03 13:00:00+00:00,10.792999,8.643,86.57497,Sunny
2023-01-03 14:00:00+00:00,10.092999,8.193,87.98729,Sunny
2023-01-03 15:00:00+00:00,9.693,7.743,87.652534,Sunny
2023-01-03 16:00:00+00:00,9.042999,7.493,90.02068,Sunny
2023-01-03 17:00:00+00:00,8.292999,7.243,93.09949,Sunny
2023-01-03 18:00:00+00:00,7.6930003,6.9430003,95.003525,Sunny
2023-01-03 19:00:00+00:00,7.393,6.793,95.97536,Sunny
2023-01-03 20:00:00+00:00,7.393,6.843,96.3052,Sunny
2023-01-03 21:00:00+00:00,7.1930003,6.743,96.96308,Sunny
2023-01-03 22:00:00+00:00,6.9430003,6.543,97.2911,Sunny
2023-01-03 23:00:00+00:00,6.6930003,6.4430003,98.29586,Sunny
2023-01-04 00:00:00+00:00,5.543,5.343,98.62204,Sunny
2023-01-04 01:00:00+00:00,5.843,5.743,99.31058,Cloudy
2023-01-04 02:00:00+00:00,5.993,5.893,99.31139,Cloudy
2023-01-04 03:00:00+00:00,7.1930003,6.643,96.29938,Cloudy
2023-01-04 04:00:00+00:00,9.193,7.643,90.03195,Cloudy
2023-01-04 05:00:00+00:00,11.393,8.643,83.1973,Sunny
2023-01-04 06:00:00+00:00,13.342999,9.143,75.70998,Sunny
2023-01-04 07:00:00+00:00,14.893,9.393,69.63937,Sunny
