Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,15.783,9.183,64.85118,Sunny
2023-01-01 01:00:00+00:00,15.633,9.533,67.035774,Sunny
2023-01-01 02:00:00+00:00,17.483002,10.133,62.042953,Sunny
2023-01-01 03:00:00+00:00,20.432999,10.983,54.617027,Sunny
2023-01-01 04:00:00+00:00,22.633,12.333,52.188297,Sunny
2023-01-01 05:00:00+00:00,24.383,13.283,49.974617,Sunny
2023-01-01 06:00:00+00:00,25.932999,13.733,46.92247,Sunny
2023-01-01 07:00:00+00:00,27.233002,12.933,41.254353,Sunny
2023-01-01 08:00:00+00:00,28.182999,12.183,37.15383,Sunny
2023-01-01 09:00:00+00:00,28.533,11.183,34.079388,Sunny
2023-01-01 10:00:00+00:00,28.533,9.383,30.221075,Sunny
2023-01-01 11:00:00+00:00,26.883,10.583,36.062397,Sunny
2023-01-01 12:00:00+00:00,23.083,14.433,58.230232,Sunny
2023-01-01 13:00:00+00:00,22.432999,13.133,55.667034,Sunny
2023-01-01 14:00:00+00:00,21.783,11.983,53.709442,Sunny
2023-01-01 15:00:00+00:00,21.182999,11.383,53.55496,Sunny
2023-01-01 16:00:00+00:00,20.533,10.983,54.281162,Sunny
2023-01-01 17:00:00+00:00,20.083,10.683,54.709255,Sunny
2023-01-01 18:00:00+00:00,19.283,10.583,57.112576,Sunny
2023-01-01 19:00:00+00:00,17.883,10.633,62.550236,Sunny
2023-01-01 20:00:00+00:00,16.733002,10.683,67.489685,Sunny
2023-01-01 21:00:00+00:00,16.583,10.983,69.507904,Sunny
2023-01-01 22:00:00+00:00,16.182999,11.683,74.682144,Sunny
2023-01-01 23:00:00+00:00,16.083,12.483,79.22311,Cloudy
2023-01-02 00:00:00+00:00,15.633,13.633,87.89436,Sunny
2023-01-02 01:00:00+00:00,16.333,14.083,86.54388,Sunny
2023-01-02 02:00:00+00:00,18.233002,14.533,79.016594,Cloudy
2023-01-02 03:00:00+00:00,20.283,15.383,73.45856,Cloudy
2023-01-02 04:00:00+00:00,22.083,16.682999,71.46763,Cloudy
2023-01-02 05:00:00+00:00,23.432999,16.432999,64.81261,Sunny
2023-01-02 06:00:00+00:00,24.733002,16.033,58.438145,Sunny
2023-01-02 07:00:00+00:00,25.783,15.333,52.49353,Sunny
