Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,11.824,7.324,73.92701,Sunny
2023-01-01 01:00:00+00:00,11.574,6.974,73.378365,Sunny
2023-01-01 02:00:00+00:00,11.524,6.774,72.618286,Sunny
2023-01-01 03:00:00+00:00,13.324,7.424,67.46229,Sunny
2023-01-01 04:00:00+00:00,15.974,8.024,59.233658,Sunny
2023-01-01 05:00:00+00:00,18.774,8.974,52.928307,Sunny
2023-01-01 06:00:00+00:00,20.974,9.774,48.734577,Sunny
2023-01-01 07:00:00+00:00,22.224,10.224,46.527245,Sunny
2023-01-01 08:00:00+00:00,22.924002,10.324,44.889874,Sunny
2023-01-01 09:00:00+00:00,23.274,10.224,43.65727,Sunny
2023-01-01 10:00:00+00:00,23.174002,9.924,43.049614,Sunny
2023-01-01 11:00:00+00:00,22.424002,9.674,44.303417,Sunny
2023-01-01 12:00:00+00:00,20.124,10.824,55.084793,Sunny
2023-01-01 13:00:00+00:00,17.874,10.824,63.38586,Sunny
2023-01-01 14:00:00+00:00,16.924002,10.974,67.97912,Sunny
2023-01-01 15:00:00+00:00,16.074001,10.774,70.807556,Sunny
2023-01-01 16:00:00+00:00,15.224,10.674,74.27117,Sunny
2023-01-01 17:00:00+00:00,14.824,10.424,74.94829,Sunny
2023-01-01 18:00:00+00:00,14.424,10.024,74.88053,Sunny
2023-01-01 19:00:00+00:00,13.924,9.774,76.06049,Sunny
2023-01-01 20:00:00+00:00,13.324,9.724,78.82199,Sunny
2023-01-01 21:00:00+00:00,12.724,9.674,81.698586,Sunny
2023-01-01 22:00:00+00:00,12.124,9.524,84.12907,Sunny
2023-01-01 23:00:00+00:00,11.624,9.424,86.36602,Sunny
2023-01-02 00:00:00+00:00,11.174,9.324,88.380035,Sunny
2023-01-02 01:00:00+00:00,10.624,9.174,90.74799,Sunny
2023-01-02 02:00:00+00:00,10.474,9.124,91.3511,Sunny
2023-01-02 03:00:00+00:00,12.774,9.724,81.70509,Sunny
2023-01-02 04:00:00+00:00,16.024,10.524,69.86165,Sunny
2023-01-02 05:00:00+00:00,19.024,10.074,56.10353,Sunny
2023-01-02 06:00:00+00:00,20.774,9.074,47.070415,Sunny
2023-01-02 07:00:00+00:00,21.974,8.524,42.139057,Sunny
2023-01-02 08:00:00+00:00,22.724,8.374,39.853134,Sunny
2023-01-02 09:00:00+00:00,23.174002,8.474,39.045586,Sunny
2023-01-02 10:00:00+00:00,23.224,8.424,38.79619,Sunny
2023-01-02 11:00:00+00:00,22.574001,8.324,40.08148,Sunny
2023-01-02 12:00:00+00:00,19.974,8.824,48.62645,Sunny
2023-01-02 13:00:00+00:00,17.974,8.674,54.534126,Sunny
2023-01-02 14:00:00+00:00,16.824001,9.324,61.26965,Sunny
2023-01-02 15:00:00+00:00,16.024,9.374,64.68633,Sunny
2023-01-02 16:00:00+00:00,15.174,9.224,67.61901,Sunny
2023-01-02 17:00:00+00:00,14.524,9.074,69.80123,Sunny
2023-01-02 18:00:00+00:00,13.924,9.124,72.81003,Sunny
2023-01-02 19:00:00+00:00,13.224,9.124,76.20207,Sunny
2023-01-02 20:00:00+00:00,12.624,9.174,79.518105,Sunny
2023-01-02 21:00:00+00:00,12.174,9.124,81.626945,Sunny
2023-01-02 22:00:00+00:00,11.724,9.024,83.51839,Sunny
2023-01-02 23:00:00+00:00,11.324,8.924,85.17967,Sunny
2023-01-03 00:00:00+00:00,10.824,8.674,86.57802,Sunny
2023-01-03 01:00:00+00:00,10.074,8.524,90.09789,Sunny
2023-01-03 02:00:00+00:00,9.824,8.424,90.99977,Sunny
2023-01-03 03:00:00+00:00,11.774,8.924,82.68374,Sunny
2023-01-03 04:00:00+00:00,14.774,9.624,71.272446,Sunny
2023-01-03 05:00:00+00:00,18.124,9.424,56.823814,Sunny
