Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,18.727999,15.878,83.51663,Sunny
2023-01-01 01:00:00+00:00,18.778,15.878,83.25604,Sunny
2023-01-01 02:00:00+00:00,19.678,15.528,76.974815,Sunny
2023-01-01 03:00:00+00:00,22.528,15.728,65.45109,Sunny
2023-01-01 04:00:00+00:00,25.377998,15.678,54.972935,Sunny
2023-01-01 05:00:00+00:00,27.528,15.328,47.351604,Sunny
2023-01-01 06:00:00+00:00,29.278,15.328,42.771023,Sunny
2023-01-01 07:00:00+00:00,30.377998,15.078,39.508602,Sunny
2023-01-01 08:00:00+00:00,31.127998,14.428,36.298073,Sunny
2023-01-01 09:00:00+00:00,31.528,13.828,34.128788,Sunny
2023-01-01 10:00:00+00:00,31.477999,13.528,33.564987,Sunny
2023-01-01 11:00:00+00:00,30.678,12.878,33.6726,Sunny
2023-01-01 12:00:00+00:00,28.977999,13.878,39.632042,Sunny
2023-01-01 13:00:00+00:00,26.678,13.628,44.59772,Sunny
2023-01-01 14:00:00+00:00,25.227999,13.678,48.753395,Sunny
2023-01-01 15:00:00+00:00,24.477999,13.578,50.655014,Sunny
2023-01-01 16:00:00+00:00,24.528,14.328,53.021084,Sunny
2023-01-01 17:00:00+00:00,23.428,14.878,58.690014,Sunny
2023-01-01 18:00:00+00:00,22.127998,15.528,66.20995,Sunny
2023-01-01 19:00:00+00:00,23.928,14.878,56.94935,Sunny
2023-01-01 20:00:00+00:00,23.428,15.078,59.45016,Sunny
2023-01-01 21:00:00+00:00,23.028,15.228,61.49427,Sunny
2023-01-01 22:00:00+00:00,22.678,15.278,63.014225,Sunny
2023-01-01 23:00:00+00:00,21.178,15.628,70.62032,Sunny
2023-01-02 00:00:00+00:00,20.928,16.528,75.951225,Sunny
2023-01-02 01:00:00+00:00,20.377998,16.678,79.32116,Sunny
2023-01-02 02:00:00+00:00,20.028,16.928,82.35184,Sunny
2023-01-02 03:00:00+00:00,22.528,16.877998,70.42475,Sunny
2023-01-02 04:00:00+00:00,25.178,15.478,54.92295,Sunny
2023-01-02 05:00:00+00:00,27.328,14.728,46.095745,Sunny
2023-01-02 06:00:00+00:00,29.028,14.578,41.34897,Sunny
2023-01-02 07:00:00+00:00,29.977999,14.878,39.909054,Sunny
2023-01-02 08:00:00+00:00,30.528,14.828,38.545494,Sunny
2023-01-02 09:00:00+00:00,30.528,14.528,37.806877,Sunny
2023-01-02 10:00:00+00:00,30.477999,13.978,36.58961,Sunny
2023-01-02 11:00:00+00:00,30.127998,13.378,35.9034,Sunny
2023-01-02 12:00:00+00:00,27.928,18.678,57.193855,Sunny
2023-01-02 13:00:00+00:00,26.178,14.928,49.96297,Sunny
2023-01-02 14:00:00+00:00,25.328,15.128,53.225697,Sunny
2023-01-02 15:00:00+00:00,24.178,15.478,58.305546,Sunny
2023-01-02 16:00:00+00:00,22.778,16.078,65.92337,Sunny
2023-01-02 17:00:00+00:00,22.678,15.728,64.857834,Sunny
2023-01-02 18:00:00+00:00,23.278,15.128,60.184006,Sunny
2023-01-02 19:00:00+00:00,22.778,15.178,62.232296,Sunny
2023-01-02 20:00:00+00:00,22.977999,15.078,61.08901,Sunny
2023-01-02 21:00:00+00:00,20.578,15.828,74.21838,Sunny
2023-01-02 22:00:00+00:00,19.528,16.178,80.990685,Sunny
2023-01-02 23:00:00+00:00,20.078,16.328,79.02698,Sunny
2023-01-03 00:00:00+00:00,19.328,17.278,87.93504,Sunny
2023-01-03 01:00:00+00:00,19.377998,17.377998,88.21759,Cloudy
2023-01-03 02:00:00+00:00,20.377998,16.928,80.58928,Cloudy
2023-01-03 03:00:00+00:00,22.227999,16.278,69.03786,Sunny
2023-01-03 04:00:00+00:00,24.377998,15.978,59.483204,Sunny
2023-01-03 05:00:00+00:00,26.578,17.227999,56.50992,Sunny
2023-01-03 06:00:00+00:00,28.377998,17.627998,52.15959,Sunny
2023-01-03 07:00:00+00:00,29.328,16.627998,46.338615,Sunny
2023-01-03 08:00:00+00:00,29.828,16.227999,43.890877,Sunny
2023-01-03 09:00:00+00:00,30.127998,15.528,41.253605,Sunny
2023-01-03 10:00:00+00:00,30.078,14.928,39.80838,Sunny
2023-01-03 11:00:00+00:00,29.727999,14.478,39.455986,Sunny
2023-01-03 12:00:00+00:00,27.877998,16.227999,49.141293,Sunny
2023-01-03 13:00:00+00:00,26.028,17.778,60.43683,Sunny
2023-01-03 14:00:00+00:00,24.727999,17.377998,63.6668,Sunny
2023-01-03 15:00:00+00:00,24.127998,17.178,65.16662,Sunny
2023-01-03 16:00:00+00:00,23.178,17.428,70.102745,Sunny
2023-01-03 17:00:00+00:00,22.528,17.977999,75.48984,Cloudy
