Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,20.561,18.161001,86.13,Sunny
2023-01-01 01:00:00+00:00,20.611,18.111,85.59579,Sunny
2023-01-01 02:00:00+00:00,20.961,18.411001,85.36342,Sunny
2023-01-01 03:00:00+00:00,22.861,19.111,79.41804,Sunny
2023-01-01 04:00:00+00:00,24.861,19.361,71.523605,Sunny
2023-01-01 05:00:00+00:00,26.761,18.811,61.752705,Sunny
2023-01-01 06:00:00+00:00,28.561,17.061,49.791855,Sunny
2023-01-01 07:00:00+00:00,29.911001,14.961,40.277668,Sunny
2023-01-01 08:00:00+00:00,30.761,12.561001,32.82472,Sunny
2023-01-01 09:00:00+00:00,31.161001,10.761001,28.488562,Sunny
2023-01-01 10:00:00+00:00,31.011,9.861,27.05821,Sunny
2023-01-01 11:00:00+00:00,30.161001,10.061001,28.789341,Sunny
2023-01-01 12:00:00+00:00,27.911001,13.761001,41.848434,Sunny
2023-01-01 13:00:00+00:00,25.861,14.511001,49.558514,Sunny
2023-01-01 14:00:00+00:00,25.111,15.311001,54.555088,Cloudy
2023-01-01 15:00:00+00:00,24.311,16.361,61.198696,Sunny
2023-01-01 16:00:00+00:00,23.461,17.061,67.334366,Sunny
2023-01-01 17:00:00+00:00,21.411001,17.661001,79.21559,Sunny
2023-01-01 18:00:00+00:00,23.261,17.411001,69.67722,Sunny
2023-01-01 19:00:00+00:00,21.111,17.711,80.94098,Sunny
2023-01-01 20:00:00+00:00,20.161001,17.661001,85.55001,Sunny
2023-01-01 21:00:00+00:00,19.811,17.661001,87.424194,Sunny
2023-01-01 22:00:00+00:00,19.011,17.461,90.73182,Sunny
2023-01-01 23:00:00+00:00,19.311,17.561,89.61528,Sunny
2023-01-02 00:00:00+00:00,20.011,19.011,93.975006,Cloudy
2023-01-02 01:00:00+00:00,20.361,19.361,93.99055,Cloudy
2023-01-02 02:00:00+00:00,21.261,19.111,87.5534,Cloudy
2023-01-02 03:00:00+00:00,22.661001,18.511,77.42944,Cloudy
2023-01-02 04:00:00+00:00,24.511,17.811,66.28359,Cloudy
2023-01-02 05:00:00+00:00,26.111,17.161001,57.843716,Sunny
2023-01-02 06:00:00+00:00,27.711,15.911,48.629322,Cloudy
2023-01-02 07:00:00+00:00,28.961,15.261001,43.375404,Cloudy
2023-01-02 08:00:00+00:00,29.911001,15.111,40.668118,Cloudy
2023-01-02 09:00:00+00:00,30.161001,14.411,38.31981,Cloudy
2023-01-02 10:00:00+00:00,29.911001,13.811001,37.39215,Cloudy
2023-01-02 11:00:00+00:00,28.811,13.661,39.45722,Cloudy
2023-01-02 12:00:00+00:00,27.561,15.311001,47.20874,Cloudy
2023-01-02 13:00:00+00:00,26.261,15.911,52.953407,Cloudy
2023-01-02 14:00:00+00:00,24.861,16.811,60.93633,Cloudy
2023-01-02 15:00:00+00:00,23.711,17.411001,67.81192,Cloudy
2023-01-02 16:00:00+00:00,22.361,17.761,75.22569,Cloudy
2023-01-02 17:00:00+00:00,21.361,17.811,80.21295,Sunny
2023-01-02 18:00:00+00:00,20.361,17.711,84.76598,Sunny
2023-01-02 19:00:00+00:00,19.811,17.661001,87.424194,Sunny
2023-01-02 20:00:00+00:00,19.311,17.661001,90.1821,Sunny
2023-01-02 21:00:00+00:00,18.861,17.461,91.58526,Sunny
2023-01-02 22:00:00+00:00,18.911001,17.211,89.86894,Sunny
2023-01-02 23:00:00+00:00,18.311,16.911001,91.55125,Sunny
2023-01-03 00:00:00+00:00,18.261,16.661001,90.39351,Sunny
2023-01-03 01:00:00+00:00,20.311,16.711,79.81705,Sunny
2023-01-03 02:00:00+00:00,20.661001,17.111,80.11833,Sunny
2023-01-03 03:00:00+00:00,22.611,18.011,75.266335,Sunny
2023-01-03 04:00:00+00:00,24.811,18.111,66.34541,Sunny
2023-01-03 05:00:00+00:00,27.011,17.661001,56.615227,Sunny
2023-01-03 06:00:00+00:00,28.911001,16.061,45.786613,Sunny
2023-01-03 07:00:00+00:00,30.211,14.161,37.59705,Cloudy
2023-01-03 08:00:00+00:00,30.111,13.661,36.60647,Cloudy
2023-01-03 09:00:00+00:00,29.511,14.861,40.951637,Cloudy
2023-01-03 10:00:00+00:00,30.161001,14.561001,38.69287,Cloudy
2023-01-03 11:00:00+00:00,28.111,16.111,48.117878,Cloudy
2023-01-03 12:00:00+00:00,26.461,16.711,55.06727,Cloudy
2023-01-03 13:00:00+00:00,24.911001,17.861,64.92215,Sunny
2023-01-03 14:00:00+00:00,23.811,18.411001,71.78144,Sunny
2023-01-03 15:00:00+00:00,23.161001,18.461,74.88507,Sunny
2023-01-03 16:00:00+00:00,22.011,18.661001,81.3118,Sunny
2023-01-03 17:00:00+00:00,21.611,18.411001,82.02846,Sunny
2023-01-03 18:00:00+00:00,20.811,18.211,85.0806,Sunny
2023-01-03 19:00:00+00:00,21.461,18.111,81.24135,Sunny
2023-01-03 20:00:00+00:00,21.611,18.111,80.49902,Sunny
2023-01-03 21:00:00+00:00,21.061,18.111,83.25869,Sunny
2023-01-03 22:00:00+00:00,20.611,18.111,85.59579,Sunny
2023-01-03 23:00:00+00:00,20.711,18.261,85.87494,Sunny
2023-01-04 00:00:00+00:00,20.461,18.361,87.75705,Sunny
2023-01-04 01:00:00+00:00,20.261,18.461,89.40591,Sunny
2023-01-04 02:00:00+00:00,20.711,18.711,88.32958,Sunny
2023-01-04 03:00:00+00:00,22.661001,19.011,79.88724,Sunny
2023-01-04 04:00:00+00:00,24.161001,18.661001,71.39664,Rainy
2023-01-04 05:00:00+00:00,26.461,17.711,58.662476,Rainy
2023-01-04 06:00:00+00:00,28.161001,16.761,50.003647,Sunny
2023-01-04 07:00:00+00:00,29.061,15.811001,44.671757,Cloudy
2023-01-04 08:00:00+00:00,29.911001,15.111,40.668118,Cloudy
2023-01-04 09:00:00+00:00,29.361,14.611,40.64721,Cloudy
2023-01-04 10:00:00+00:00,29.211,14.961,41.936142,Cloudy
2023-01-04 11:00:00+00:00,28.611,15.161,43.981113,Cloudy
2023-01-04 12:00:00+00:00,26.911001,17.011,54.657383,Cloudy
2023-01-04 13:00:00+00:00,25.661001,16.961,58.658627,Cloudy
2023-01-04 14:00:00+00:00,24.811,16.961,61.702503,Sunny
2023-01-04 15:00:00+00:00,24.211,17.111,64.56861,Sunny
2023-01-04 16:00:00+00:00,23.261,17.711,71.00823,Sunny
2023-01-04 17:00:00+00:00,22.361,18.261,77.62748,Sunny
2023-01-04 18:00:00+00:00,21.061,18.611,85.90973,Sunny
2023-01-04 19:00:00+00:00,21.811,18.761,82.82642,Sunny
2023-01-04 20:00:00+00:00,21.261,18.861,86.19836,Sunny
2023-01-04 21:00:00+00:00,20.611,18.811,89.43258,Sunny
2023-01-04 22:00:00+00:00,20.111,18.761,91.948715,Sunny
2023-01-04 23:00:00+00:00,19.711,18.711,93.96163,Cloudy
2023-01-05 00:00:00+00:00,19.311,18.711,96.32645,Sunny
2023-01-05 01:00:00+00:00,20.311,19.061,92.535904,Rainy
2023-01-05 02:00:00+00:00,21.111,19.261,89.19245,Sunny
2023-01-05 03:00:00+00:00,22.861,19.211,79.9144,Cloudy
2023-01-05 04:00:00+00:00,24.861,18.461,67.61594,Sunny
2023-01-05 05:00:00+00:00,26.761,17.561,57.09239,Sunny
2023-01-05 06:00:00+00:00,28.561,16.261,47.32512,Sunny
2023-01-05 07:00:00+00:00,30.211,15.161,40.102074,Cloudy
2023-01-05 08:00:00+00:00,31.261,14.061001,35.178673,Cloudy
2023-01-05 09:00:00+00:00,30.461,15.161,39.531536,Cloudy
2023-01-05 10:00:00+00:00,29.961,15.411,41.34003,Cloudy
2023-01-05 11:00:00+00:00,28.961,16.511,46.981777,Cloudy
2023-01-05 12:00:00+00:00,27.061,17.461,55.741592,Cloudy
2023-01-05 13:00:00+00:00,25.311,18.661001,66.65631,Cloudy
2023-01-05 14:00:00+00:00,24.561,19.011,71.24676,Cloudy
2023-01-05 15:00:00+00:00,23.911001,19.311,75.47623,Sunny
2023-01-05 16:00:00+00:00,23.361,19.161001,77.29318,Sunny
2023-01-05 17:00:00+00:00,22.461,19.061,81.11591,Sunny
2023-01-05 18:00:00+00:00,22.361,18.861,80.5983,Sunny
2023-01-05 19:00:00+00:00,22.061,18.761,81.572716,Sunny
2023-01-05 20:00:00+00:00,21.561,18.661001,83.57766,Sunny
2023-01-05 21:00:00+00:00,21.161001,18.561,85.117195,Sunny
2023-01-05 22:00:00+00:00,21.261,18.661001,85.12763,Sunny
2023-01-05 23:00:00+00:00,21.111,18.761,86.45354,Cloudy
2023-01-06 00:00:00+00:00,20.211,19.161001,93.69161,Cloudy
2023-01-06 01:00:00+00:00,20.661001,19.361,92.26759,Cloudy
2023-01-06 02:00:00+00:00,21.961,19.311,84.93568,Cloudy
2023-01-06 03:00:00+00:00,23.461,19.111,76.58922,Rainy
2023-01-06 04:00:00+00:00,25.211,18.661001,67.054146,Rainy
2023-01-06 05:00:00+00:00,26.911001,17.761,57.308792,Cloudy
2023-01-06 06:00:00+00:00,27.561,17.311,53.621452,Cloudy
2023-01-06 07:00:00+00:00,29.311,16.861,47.0752,Cloudy
2023-01-06 08:00:00+00:00,29.511,16.461,45.367683,Cloudy
2023-01-06 09:00:00+00:00,29.211,16.561,46.45469,Cloudy
2023-01-06 10:00:00+00:00,28.611,16.661001,48.40401,Cloudy
2023-01-06 11:00:00+00:00,28.661001,15.711,45.427704,Cloudy
2023-01-06 12:00:00+00:00,26.861,17.511,56.57879,Cloudy
2023-01-06 13:00:00+00:00,26.011,17.461,59.300564,Cloudy
2023-01-06 14:00:00+00:00,25.461,17.561,61.654217,Cloudy
2023-01-06 15:00:00+00:00,25.511,17.661001,61.86016,Cloudy
2023-01-06 16:00:00+00:00,24.811,17.711,64.69684,Cloudy
2023-01-06 17:00:00+00:00,23.761,17.961,69.99236,Cloudy
2023-01-06 18:00:00+00:00,23.011,18.311,74.860435,Cloudy
2023-01-06 19:00:00+00:00,22.311,18.711,80.08958,Cloudy
2023-01-06 20:00:00+00:00,21.761,18.861,83.60041,Cloudy
2023-01-06 21:00:00+00:00,22.061,19.161001,83.63448,Rainy
2023-01-06 22:00:00+00:00,22.011,19.461,85.470795,Rainy
2023-01-06 23:00:00+00:00,21.911001,19.411001,85.726814,Cloudy
2023-01-07 00:00:00+00:00,21.661001,19.161001,85.70177,Cloudy
2023-01-07 01:00:00+00:00,21.461,19.061,86.21783,Cloudy
2023-01-07 02:00:00+00:00,22.011,18.911001,82.59198,Sunny
2023-01-07 03:00:00+00:00,23.711,18.761,73.81392,Rainy
2023-01-07 04:00:00+00:00,25.311,17.961,63.79343,Rainy
2023-01-07 05:00:00+00:00,26.911001,17.361,55.88099,Rainy
2023-01-07 06:00:00+00:00,28.611,16.411001,47.64079,Cloudy
2023-01-07 07:00:00+00:00,29.661001,15.661,42.738876,Cloudy
2023-01-07 08:00:00+00:00,30.811,14.961,38.252953,Cloudy
2023-01-07 09:00:00+00:00,30.711,14.911,38.34855,Cloudy
2023-01-07 10:00:00+00:00,29.711,15.911,43.302723,Cloudy
2023-01-07 11:00:00+00:00,28.711,16.311,47.06458,Cloudy
2023-01-07 12:00:00+00:00,26.511,17.361,57.212452,Cloudy
2023-01-07 13:00:00+00:00,25.811,17.361,59.62934,Cloudy
2023-01-07 14:00:00+00:00,25.411001,17.611,62.032974,Cloudy
2023-01-07 15:00:00+00:00,24.961,17.861,64.72882,Cloudy
2023-01-07 16:00:00+00:00,24.111,18.111,69.18462,Cloudy
2023-01-07 17:00:00+00:00,23.461,18.261,72.62452,Cloudy
2023-01-07 18:00:00+00:00,22.811,18.411001,76.2492,Cloudy
2023-01-07 19:00:00+00:00,22.011,18.611,81.05785,Sunny
2023-01-07 20:00:00+00:00,21.511,18.861,84.88822,Cloudy
2023-01-07 21:00:00+00:00,21.161001,19.111,88.092125,Cloudy
2023-01-07 22:00:00+00:00,21.261,19.261,88.37534,Cloudy
2023-01-07 23:00:00+00:00,21.511,19.211,86.76156,Cloudy
2023-01-08 00:00:00+00:00,21.561,19.461,87.852554,Cloudy
2023-01-08 01:00:00+00:00,21.611,19.311,86.770905,Cloudy
2023-01-08 02:00:00+00:00,22.011,19.161001,83.88982,Cloudy
2023-01-08 03:00:00+00:00,23.411001,18.861,75.63164,Cloudy
2023-01-08 04:00:00+00:00,25.161001,18.211,65.38436,Sunny
2023-01-08 05:00:00+00:00,26.661001,17.411001,56.888374,Cloudy
2023-01-08 06:00:00+00:00,27.711,16.961,51.98893,Cloudy
2023-01-08 07:00:00+00:00,28.661001,16.761,48.571133,Cloudy
2023-01-08 08:00:00+00:00,29.061,16.411001,46.414455,Cloudy
2023-01-08 09:00:00+00:00,29.461,16.311,45.066387,Cloudy
2023-01-08 10:00:00+00:00,29.661001,15.961,43.566486,Cloudy
2023-01-08 11:00:00+00:00,29.361,16.061,44.610588,Cloudy
2023-01-08 12:00:00+00:00,27.311,17.111,53.728226,Cloudy
2023-01-08 13:00:00+00:00,26.511,17.611,58.122295,Cloudy
2023-01-08 14:00:00+00:00,25.411001,18.061,63.815105,Cloudy
2023-01-08 15:00:00+00:00,24.561,18.661001,69.70609,Cloudy
2023-01-08 16:00:00+00:00,23.961,19.211,74.78273,Sunny
2023-01-08 17:00:00+00:00,23.661001,19.411001,77.09824,Sunny
2023-01-08 18:00:00+00:00,23.111,19.311,79.20584,Cloudy
2023-01-08 19:00:00+00:00,22.461,19.111,81.369156,Sunny
2023-01-08 20:00:00+00:00,21.861,19.111,84.39765,Sunny
2023-01-08 21:00:00+00:00,21.911001,19.111,84.14048,Cloudy
2023-01-08 22:00:00+00:00,21.711,19.111,85.174446,Rainy
2023-01-08 23:00:00+00:00,21.561,19.111,85.95926,Rainy
2023-01-09 00:00:00+00:00,20.961,19.211,89.73821,Rainy
2023-01-09 01:00:00+00:00,21.161001,18.961,87.27185,Cloudy
2023-01-09 02:00:00+00:00,21.511,18.611,83.57195,Sunny
2023-01-09 03:00:00+00:00,22.811,18.161001,75.06284,Sunny
2023-01-09 04:00:00+00:00,24.661001,17.511,64.46118,Sunny
2023-01-09 05:00:00+00:00,26.361,16.661001,55.21754,Sunny
2023-01-09 06:00:00+00:00,27.511,15.911,49.201405,Sunny
2023-01-09 07:00:00+00:00,28.961,15.161,43.097713,Sunny
2023-01-09 08:00:00+00:00,30.011,14.361,38.526585,Cloudy
2023-01-09 09:00:00+00:00,29.861,14.161,38.3606,Cloudy
2023-01-09 10:00:00+00:00,29.761,13.911,37.961803,Sunny
2023-01-09 11:00:00+00:00,29.561,12.661,35.39622,Sunny
2023-01-09 12:00:00+00:00,27.561,12.261001,38.72547,Sunny
2023-01-09 13:00:00+00:00,25.211,13.061001,46.8798,Sunny
2023-01-09 14:00:00+00:00,23.961,14.461,55.328236,Sunny
2023-01-09 15:00:00+00:00,23.161001,14.911,59.770832,Sunny
2023-01-09 16:00:00+00:00,22.311,15.261001,64.36469,Sunny
2023-01-09 17:00:00+00:00,21.361,15.261001,68.208405,Sunny
2023-01-09 18:00:00+00:00,19.711,15.561001,76.97993,Sunny
2023-01-09 19:00:00+00:00,20.861,15.261001,70.33456,Sunny
2023-01-09 20:00:00+00:00,20.311,15.311001,72.99364,Sunny
2023-01-09 21:00:00+00:00,19.761,15.361,75.763916,Sunny
2023-01-09 22:00:00+00:00,18.911001,15.411,80.13555,Sunny
2023-01-09 23:00:00+00:00,18.361,15.461,83.20705,Sunny
2023-01-10 00:00:00+00:00,18.361,15.611,84.01053,Sunny
2023-01-10 01:00:00+00:00,17.261,15.761001,90.90276,Sunny
2023-01-10 02:00:00+00:00,19.011,16.011,82.753586,Sunny
2023-01-10 03:00:00+00:00,21.411001,15.861,70.664055,Sunny
2023-01-10 04:00:00+00:00,23.611,14.661,57.239937,Sunny
2023-01-10 05:00:00+00:00,25.261,13.811001,49.07996,Sunny
2023-01-10 06:00:00+00:00,26.761,12.661,41.66588,Sunny
2023-01-10 07:00:00+00:00,28.111,11.311001,35.223747,Sunny
2023-01-10 08:00:00+00:00,28.961,11.761001,34.539234,Sunny
2023-01-10 09:00:00+00:00,29.211,13.861,39.05838,Sunny
2023-01-10 10:00:00+00:00,29.211,14.711,41.266224,Sunny
2023-01-10 11:00:00+00:00,28.261,14.711,43.60356,Cloudy
2023-01-10 12:00:00+00:00,26.861,13.961,45.084526,Sunny
2023-01-10 13:00:00+00:00,24.861,14.111,51.251503,Sunny
2023-01-10 14:00:00+00:00,23.311,14.461,57.53739,Sunny
2023-01-10 15:00:00+00:00,21.811,14.861,64.67147,Sunny
2023-01-10 16:00:00+00:00,20.961,15.061001,69.01091,Sunny
2023-01-10 17:00:00+00:00,20.861,15.261001,70.33456,Sunny
2023-01-10 18:00:00+00:00,20.011,15.711,76.29095,Sunny
2023-01-10 19:00:00+00:00,20.611,15.661,73.28061,Sunny
2023-01-10 20:00:00+00:00,20.261,15.611,74.641174,Sunny
2023-01-10 21:00:00+00:00,19.711,15.561001,76.97993,Sunny
2023-01-10 22:00:00+00:00,19.261,15.561001,79.16335,Sunny
2023-01-10 23:00:00+00:00,18.811,15.511001,81.15614,Sunny
2023-01-11 00:00:00+00:00,19.011,15.911,82.22684,Sunny
2023-01-11 01:00:00+00:00,18.811,15.911,83.259895,Sunny
2023-01-11 02:00:00+00:00,19.011,16.061,83.018074,Sunny
2023-01-11 03:00:00+00:00,21.561,15.911,70.24221,Sunny
2023-01-11 04:00:00+00:00,24.261,13.611,51.42804,Sunny
2023-01-11 05:00:00+00:00,26.011,12.761001,43.83749,Sunny
2023-01-11 06:00:00+00:00,27.511,11.861,37.82966,Sunny
2023-01-11 07:00:00+00:00,28.811,10.761001,32.60763,Sunny
2023-01-11 08:00:00+00:00,29.761,9.811001,28.970036,Sunny
2023-01-11 09:00:00+00:00,30.461,9.361,27.000885,Sunny
2023-01-11 10:00:00+00:00,30.561,10.061001,28.136917,Sunny
2023-01-11 11:00:00+00:00,30.011,11.811001,32.61703,Sunny
2023-01-11 12:00:00+00:00,28.411001,14.161,41.71563,Sunny
2023-01-11 13:00:00+00:00,26.061,14.511001,48.975227,Sunny
2023-01-11 14:00:00+00:00,24.661001,15.161,55.502686,Sunny
2023-01-11 15:00:00+00:00,23.461,16.161001,63.591976,Sunny
2023-01-11 16:00:00+00:00,22.361,16.711,70.393326,Sunny
2023-01-11 17:00:00+00:00,20.511,16.861,79.59184,Sunny
2023-01-11 18:00:00+00:00,20.011,16.761,81.57,Sunny
2023-01-11 19:00:00+00:00,19.711,16.711,82.83746,Sunny
2023-01-11 20:00:00+00:00,19.211,16.711,85.45269,Sunny
2023-01-11 21:00:00+00:00,18.361,16.561,89.25947,Sunny
2023-01-11 22:00:00+00:00,18.911001,16.711,87.06624,Sunny
2023-01-11 23:00:00+00:00,18.361,16.711,90.11403,Sunny
2023-01-12 00:00:00+00:00,18.411001,16.961,91.267876,Sunny
2023-01-12 01:00:00+00:00,18.061,16.811,92.41144,Sunny
2023-01-12 02:00:00+00:00,19.061,17.111,88.47031,Cloudy
2023-01-12 03:00:00+00:00,21.611,17.611,78.00557,Cloudy
2023-01-12 04:00:00+00:00,23.961,16.661001,63.701305,Sunny
