Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,13.733001,13.133,96.168045,Sunny
2023-01-01 01:00:00+00:00,13.683001,13.183001,96.79638,Sunny
2023-01-01 02:00:00+00:00,15.133,13.583,90.4643,Sunny
2023-01-01 03:00:00+00:00,17.383,13.983001,80.44572,Sunny
2023-01-01 04:00:00+00:00,19.833,14.383,70.82253,Sunny
2023-01-01 05:00:00+00:00,21.932999,14.933001,64.489944,Sunny
2023-01-01 06:00:00+00:00,23.333,15.533,61.563774,Sunny
2023-01-01 07:00:00+00:00,24.083,15.133,57.354767,Rainy
2023-01-01 08:00:00+00:00,24.233,14.733001,55.396126,Rainy
2023-01-01 09:00:00+00:00,24.532999,14.583,53.885693,Sunny
2023-01-01 10:00:00+00:00,24.483,14.483001,53.699314,Sunny
2023-01-01 11:00:00+00:00,23.383,16.333,64.59597,Sunny
2023-01-01 12:00:00+00:00,21.383,14.733001,65.84158,Cloudy
2023-01-01 13:00:00+00:00,20.282999,14.483001,69.32405,Cloudy
2023-01-01 14:00:00+00:00,19.182999,14.283,73.2665,Cloudy
2023-01-01 15:00:00+00:00,18.383,14.333,77.271675,Sunny
2023-01-01 16:00:00+00:00,17.032999,14.483001,84.95123,Sunny
2023-01-01 17:00:00+00:00,16.583,14.483001,87.41138,Sunny
2023-01-01 18:00:00+00:00,16.133,14.383,89.372345,Sunny
2023-01-01 19:00:00+00:00,15.483001,14.183001,91.96689,Sunny
2023-01-01 20:00:00+00:00,14.533,13.633,94.33542,Sunny
2023-01-01 21:00:00+00:00,13.983001,13.183001,94.929436,Sunny
2023-01-01 22:00:00+00:00,13.433001,12.933001,96.790215,Sunny
2023-01-01 23:00:00+00:00,13.133,12.733001,97.41886,Sunny
2023-01-02 00:00:00+00:00,14.233001,13.833,97.44059,Sunny
2023-01-02 01:00:00+00:00,14.233001,13.733001,96.80984,Sunny
2023-01-02 02:00:00+00:00,15.533,13.883,89.90731,Sunny
2023-01-02 03:00:00+00:00,17.883,14.183001,78.96631,Sunny
2023-01-02 04:00:00+00:00,20.333,14.283,68.22253,Sunny
2023-01-02 05:00:00+00:00,22.083,14.483001,62.075256,Sunny
2023-01-02 06:00:00+00:00,23.333,14.433001,57.357166,Sunny
2023-01-02 07:00:00+00:00,24.083,13.883,52.906796,Rainy
2023-01-02 08:00:00+00:00,24.182999,13.283,50.577347,Cloudy
2023-01-02 09:00:00+00:00,24.333,13.133,49.636433,Cloudy
2023-01-02 10:00:00+00:00,24.282999,12.683001,48.341812,Cloudy
2023-01-02 11:00:00+00:00,23.432999,13.083,52.225517,Cloudy
2023-01-02 12:00:00+00:00,21.182999,13.383,61.07033,Sunny
2023-01-02 13:00:00+00:00,19.682999,13.583,67.87086,Sunny
2023-01-02 14:00:00+00:00,18.833,13.533,71.32704,Sunny
2023-01-02 15:00:00+00:00,18.083,13.433001,74.27305,Sunny
2023-01-02 16:00:00+00:00,16.983,13.383,79.35161,Sunny
2023-01-02 17:00:00+00:00,16.583,13.333,81.12668,Sunny
2023-01-02 18:00:00+00:00,16.032999,13.083,82.65954,Sunny
2023-01-02 19:00:00+00:00,15.183001,12.933001,86.431816,Sunny
2023-01-02 20:00:00+00:00,14.483001,12.933001,90.41834,Sunny
2023-01-02 21:00:00+00:00,13.783,12.783,93.68821,Sunny
2023-01-02 22:00:00+00:00,12.983001,12.283,95.516525,Sunny
2023-01-02 23:00:00+00:00,12.433001,11.833,96.129684,Sunny
2023-01-03 00:00:00+00:00,12.783,12.483001,98.05332,Sunny
2023-01-03 01:00:00+00:00,12.633,12.283,97.729485,Sunny
2023-01-03 02:00:00+00:00,14.383,13.083,91.90079,Sunny
2023-01-03 03:00:00+00:00,16.782999,13.283,79.84222,Sunny
2023-01-03 04:00:00+00:00,19.282999,13.383,68.6794,Sunny
2023-01-03 05:00:00+00:00,21.483,13.333,59.76269,Sunny
2023-01-03 06:00:00+00:00,23.032999,13.083,53.502995,Sunny
2023-01-03 07:00:00+00:00,24.032999,12.483001,48.4332,Sunny
2023-01-03 08:00:00+00:00,24.532999,11.933001,45.3338,Sunny
2023-01-03 09:00:00+00:00,24.583,11.433001,43.730774,Sunny
2023-01-03 10:00:00+00:00,24.383,10.883,42.672817,Sunny
2023-01-03 11:00:00+00:00,22.932999,11.483001,48.455925,Sunny
2023-01-03 12:00:00+00:00,18.883,11.983001,64.243515,Sunny
2023-01-03 13:00:00+00:00,17.333,12.483001,73.178795,Sunny
2023-01-03 14:00:00+00:00,16.233,12.533,78.726814,Sunny
2023-01-03 15:00:00+00:00,15.533,12.283,80.98784,Sunny
2023-01-03 16:00:00+00:00,15.483001,11.983001,79.65996,Sunny
2023-01-03 17:00:00+00:00,14.383,11.883,84.94308,Sunny
2023-01-03 18:00:00+00:00,13.733001,11.933001,88.890015,Sunny
2023-01-03 19:00:00+00:00,13.483001,11.983001,90.64509,Sunny
2023-01-03 20:00:00+00:00,13.433001,12.183001,92.145584,Sunny
2023-01-03 21:00:00+00:00,13.333,12.433001,94.28373,Sunny
2023-01-03 22:00:00+00:00,13.033,12.183001,94.58123,Sunny
2023-01-03 23:00:00+00:00,12.633,11.783,94.56469,Sunny
2023-01-04 00:00:00+00:00,12.333,11.883,97.082436,Sunny
2023-01-04 01:00:00+00:00,12.383,11.783,96.12819,Sunny
2023-01-04 02:00:00+00:00,13.583,11.833,89.17131,Sunny
2023-01-04 03:00:00+00:00,15.833,11.933001,77.63909,Sunny
2023-01-04 04:00:00+00:00,18.583,11.833,64.815735,Sunny
2023-01-04 05:00:00+00:00,20.782999,12.083,57.48269,Sunny
2023-01-04 06:00:00+00:00,22.333,12.383,53.323074,Sunny
2023-01-04 07:00:00+00:00,23.383,12.483001,50.365997,Sunny
2023-01-04 08:00:00+00:00,24.282999,12.233001,46.93521,Cloudy
2023-01-04 09:00:00+00:00,24.182999,12.033,46.60032,Sunny
2023-01-04 10:00:00+00:00,23.932999,11.733001,46.378857,Sunny
2023-01-04 11:00:00+00:00,22.633,11.983001,51.000607,Sunny
2023-01-04 12:00:00+00:00,18.483,12.683001,68.97011,Sunny
2023-01-04 13:00:00+00:00,18.083,12.333,69.11737,Sunny
2023-01-04 14:00:00+00:00,17.083,12.183001,72.89441,Sunny
2023-01-04 15:00:00+00:00,16.083,12.133,77.42225,Sunny
2023-01-04 16:00:00+00:00,15.233001,12.133,81.75112,Sunny
2023-01-04 17:00:00+00:00,14.633,11.983001,84.13525,Sunny
2023-01-04 18:00:00+00:00,14.033,11.683001,85.75062,Sunny
2023-01-04 19:00:00+00:00,13.233001,11.483001,89.14329,Sunny
2023-01-04 20:00:00+00:00,12.583,11.283,91.79086,Sunny
