Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,7.626,7.026,95.982704,Sunny
2023-01-01 01:00:00+00:00,7.076,6.576,96.62764,Sunny
2023-01-01 02:00:00+00:00,7.226,6.776,96.963875,Sunny
2023-01-01 03:00:00+00:00,9.876,8.126,88.86898,Sunny
2023-01-01 04:00:00+00:00,12.626,8.876,77.92625,Sunny
2023-01-01 05:00:00+00:00,15.576,9.526,67.24928,Sunny
2023-01-01 06:00:00+00:00,17.675999,9.576,59.047905,Sunny
2023-01-01 07:00:00+00:00,18.976,8.826,51.74547,Sunny
2023-01-01 08:00:00+00:00,19.876,7.926,46.034107,Sunny
2023-01-01 09:00:00+00:00,20.276,7.376,43.25637,Sunny
2023-01-01 10:00:00+00:00,20.226,7.276,43.094723,Sunny
2023-01-01 11:00:00+00:00,19.376,7.926,47.485573,Sunny
2023-01-01 12:00:00+00:00,14.676,8.976,68.664734,Sunny
2023-01-01 13:00:00+00:00,13.776,8.876,72.29372,Sunny
2023-01-01 14:00:00+00:00,12.126,8.576,78.910934,Sunny
2023-01-01 15:00:00+00:00,12.226,8.326,77.077515,Sunny
2023-01-01 16:00:00+00:00,13.126,8.276,72.41867,Sunny
2023-01-01 17:00:00+00:00,10.676,8.026,83.677185,Sunny
2023-01-01 18:00:00+00:00,11.126,8.176,82.0445,Sunny
2023-01-01 19:00:00+00:00,10.276,8.026,85.938,Sunny
2023-01-01 20:00:00+00:00,8.476,7.376,92.79177,Sunny
2023-01-01 21:00:00+00:00,8.026,7.226,94.69216,Sunny
2023-01-01 22:00:00+00:00,7.226,6.726,96.631615,Sunny
2023-01-01 23:00:00+00:00,6.726,6.326,97.28646,Sunny
2023-01-02 00:00:00+00:00,6.526,6.076,96.94706,Sunny
2023-01-02 01:00:00+00:00,7.176,6.626,96.29889,Sunny
2023-01-02 02:00:00+00:00,7.576,7.026,96.31049,Sunny
2023-01-02 03:00:00+00:00,9.476,8.026,90.6675,Sunny
2023-01-02 04:00:00+00:00,13.876,9.726,76.052635,Sunny
2023-01-02 05:00:00+00:00,16.325998,9.376,63.461395,Sunny
2023-01-02 06:00:00+00:00,17.776,8.876,55.976463,Sunny
2023-01-02 07:00:00+00:00,18.726,8.026,49.787205,Sunny
2023-01-02 08:00:00+00:00,19.276,7.376,46.023895,Sunny
2023-01-02 09:00:00+00:00,19.476,6.976,44.227734,Sunny
2023-01-02 10:00:00+00:00,19.325998,6.676,43.732777,Sunny
2023-01-02 11:00:00+00:00,18.626,6.726,45.842365,Sunny
2023-01-02 12:00:00+00:00,14.126,8.376,68.32118,Sunny
2023-01-02 13:00:00+00:00,12.676,8.476,75.59909,Sunny
2023-01-02 14:00:00+00:00,11.126,8.576,84.298904,Sunny
2023-01-02 15:00:00+00:00,9.976,8.126,88.276085,Sunny
2023-01-02 16:00:00+00:00,9.326,7.726,89.73585,Sunny
2023-01-02 17:00:00+00:00,8.776,7.426,91.23906,Sunny
2023-01-02 18:00:00+00:00,8.126,7.126,93.409805,Sunny
2023-01-02 19:00:00+00:00,8.026,7.126,94.04649,Sunny
2023-01-02 20:00:00+00:00,7.976,7.226,95.01453,Sunny
2023-01-02 21:00:00+00:00,7.576,7.026,96.31049,Sunny
2023-01-02 22:00:00+00:00,7.326,6.876,96.96626,Sunny
2023-01-02 23:00:00+00:00,6.476,6.176,97.95462,Sunny
2023-01-03 00:00:00+00:00,6.426,6.326,99.31378,Sunny
2023-01-03 01:00:00+00:00,6.526,6.326,98.63281,Sunny
2023-01-03 02:00:00+00:00,6.626,6.476,98.97388,Sunny
2023-01-03 03:00:00+00:00,8.976,7.926,93.135605,Sunny
2023-01-03 04:00:00+00:00,12.076,9.126,82.166,Sunny
2023-01-03 05:00:00+00:00,14.726,9.476,70.78644,Sunny
2023-01-03 06:00:00+00:00,16.276,8.776,61.140896,Sunny
2023-01-03 07:00:00+00:00,17.425999,7.776,53.11325,Sunny
2023-01-03 08:00:00+00:00,18.126,7.026,48.28518,Sunny
2023-01-03 09:00:00+00:00,18.476,6.426,45.33021,Sunny
2023-01-03 10:00:00+00:00,18.276,6.276,45.430298,Sunny
2023-01-03 11:00:00+00:00,17.476,6.526,48.605103,Sunny
2023-01-03 12:00:00+00:00,12.626,8.126,74.06829,Sunny
2023-01-03 13:00:00+00:00,10.926,8.126,82.85894,Sunny
2023-01-03 14:00:00+00:00,10.126,8.226,87.99022,Sunny
2023-01-03 15:00:00+00:00,9.626,8.176,90.67807,Sunny
2023-01-03 16:00:00+00:00,8.926,7.776,92.50121,Sunny
2023-01-03 17:00:00+00:00,8.026,7.226,94.69216,Sunny
2023-01-03 18:00:00+00:00,7.776,6.976,94.68184,Sunny
2023-01-03 19:00:00+00:00,7.676,6.876,94.677704,Sunny
2023-01-03 20:00:00+00:00,7.476,6.676,94.669426,Sunny
2023-01-03 21:00:00+00:00,7.026,6.376,95.633995,Sunny
2023-01-03 22:00:00+00:00,6.926,6.326,95.960594,Sunny
2023-01-03 23:00:00+00:00,6.876,6.326,96.29017,Sunny
2023-01-04 00:00:00+00:00,6.276,5.726,96.27259,Sunny
2023-01-04 01:00:00+00:00,6.326,5.776,96.27406,Sunny
2023-01-04 02:00:00+00:00,5.726,5.376,97.60311,Sunny
2023-01-04 03:00:00+00:00,7.926,6.526,90.869194,Sunny
2023-01-04 04:00:00+00:00,10.076,7.226,82.47115,Sunny
2023-01-04 05:00:00+00:00,12.626,7.826,72.57296,Sunny
2023-01-04 06:00:00+00:00,14.826,7.576,61.84408,Sunny
2023-01-04 07:00:00+00:00,16.325998,6.726,53.004555,Sunny
2023-01-04 08:00:00+00:00,17.476,6.076,47.12122,Sunny
2023-01-04 09:00:00+00:00,18.126,5.526,43.543175,Sunny
2023-01-04 10:00:00+00:00,18.175999,5.526,43.40669,Sunny
2023-01-04 11:00:00+00:00,17.325998,6.276,48.230434,Sunny
2023-01-04 12:00:00+00:00,11.676,7.026,73.145836,Sunny
2023-01-04 13:00:00+00:00,10.276,7.526,83.06141,Sunny
2023-01-04 14:00:00+00:00,9.226,7.826,90.95894,Sunny
2023-01-04 15:00:00+00:00,8.326,7.376,93.73963,Sunny
2023-01-04 16:00:00+00:00,7.326,6.726,95.97324,Sunny
2023-01-04 17:00:00+00:00,6.676,6.226,96.950676,Sunny
2023-01-04 18:00:00+00:00,6.176,5.876,97.94974,Sunny
2023-01-04 19:00:00+00:00,5.876,5.676,98.62572,Sunny
2023-01-04 20:00:00+00:00,5.576,5.476,99.30909,Sunny
2023-01-04 21:00:00+00:00,5.226,5.126,99.30715,Sunny
2023-01-04 22:00:00+00:00,4.626,4.626,100.0,Sunny
2023-01-04 23:00:00+00:00,5.026,5.026,100.0,Cloudy
2023-01-05 00:00:00+00:00,4.776,4.676,99.30465,Cloudy
2023-01-05 01:00:00+00:00,5.176,5.176,100.0,Cloudy
2023-01-05 02:00:00+00:00,5.626,5.176,96.925255,Cloudy
2023-01-05 03:00:00+00:00,6.876,5.876,93.34584,Cloudy
2023-01-05 04:00:00+00:00,7.826,7.376,96.97816,Cloudy
2023-01-05 05:00:00+00:00,9.876,7.876,87.371635,Cloudy
2023-01-05 06:00:00+00:00,12.676,8.226,74.32884,Cloudy
