Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,9.022,8.122,94.09212,Sunny
2023-01-01 01:00:00+00:00,8.572,7.822,95.03755,Sunny
2023-01-01 02:00:00+00:00,8.522,7.822,95.35967,Sunny
2023-01-01 03:00:00+00:00,10.772,8.572,86.28055,Sunny
2023-01-01 04:00:00+00:00,13.422,9.122,75.21486,Sunny
2023-01-01 05:00:00+00:00,16.172,9.472,64.50195,Sunny
2023-01-01 06:00:00+00:00,18.272001,8.772,53.878635,Sunny
2023-01-01 07:00:00+00:00,19.672,7.772,46.134167,Sunny
2023-01-01 08:00:00+00:00,20.472,7.072,41.856754,Sunny
2023-01-01 09:00:00+00:00,20.872002,6.3719997,38.92152,Sunny
2023-01-01 10:00:00+00:00,20.672,5.922,38.19917,Sunny
2023-01-01 11:00:00+00:00,19.972,5.922,39.88679,Sunny
2023-01-01 12:00:00+00:00,15.922,8.522,61.472294,Sunny
2023-01-01 13:00:00+00:00,14.072,8.222,67.8484,Sunny
2023-01-01 14:00:00+00:00,12.822,7.822,71.62797,Sunny
2023-01-01 15:00:00+00:00,12.022,7.722,74.97739,Sunny
2023-01-01 16:00:00+00:00,11.672,7.672,76.46681,Sunny
2023-01-01 17:00:00+00:00,10.572,7.772,82.81518,Sunny
2023-01-01 18:00:00+00:00,12.322,7.822,74.01487,Sunny
2023-01-01 19:00:00+00:00,11.922,7.8719997,76.24757,Sunny
2023-01-01 20:00:00+00:00,11.272,7.972,80.13626,Sunny
2023-01-01 21:00:00+00:00,8.422,6.972,90.592705,Sunny
2023-01-01 22:00:00+00:00,7.322,6.422,94.01393,Sunny
2023-01-01 23:00:00+00:00,6.822,6.1219997,95.29775,Sunny
2023-01-02 00:00:00+00:00,6.422,5.772,95.61327,Sunny
2023-01-02 01:00:00+00:00,7.722,6.572,92.43166,Sunny
2023-01-02 02:00:00+00:00,7.472,6.772,95.32156,Sunny
2023-01-02 03:00:00+00:00,9.522,7.772,88.839455,Sunny
2023-01-02 04:00:00+00:00,12.972,8.272,73.13096,Sunny
2023-01-02 05:00:00+00:00,15.872,8.522,61.66897,Sunny
