Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,14.052,14.002,99.67642,Cloudy
2023-01-01 01:00:00+00:00,12.252,12.252,100.0,Cloudy
2023-01-01 02:00:00+00:00,13.902,13.552,97.75163,Cloudy
2023-01-01 03:00:00+00:00,14.802,14.352,97.13727,Cloudy
2023-01-01 04:00:00+00:00,16.702,15.252,91.15754,Sunny
2023-01-01 05:00:00+00:00,19.502,15.452,77.44264,Sunny
2023-01-01 06:00:00+00:00,21.302,15.402,69.077675,Sunny
2023-01-01 07:00:00+00:00,22.352,15.102,63.551907,Sunny
2023-01-01 08:00:00+00:00,22.702,14.802,61.025505,Sunny
2023-01-01 09:00:00+00:00,22.802,14.752,60.461445,Sunny
2023-01-01 10:00:00+00:00,22.552,14.802,61.583588,Sunny
2023-01-01 11:00:00+00:00,20.452,15.952,75.39225,Sunny
2023-01-01 12:00:00+00:00,17.202,14.402,83.608696,Sunny
2023-01-01 13:00:00+00:00,16.552,13.952,84.62473,Sunny
2023-01-01 14:00:00+00:00,15.902,13.802,87.34918,Sunny
2023-01-01 15:00:00+00:00,15.352,13.652,89.602196,Sunny
2023-01-01 16:00:00+00:00,14.502,13.252,92.208206,Sunny
2023-01-01 17:00:00+00:00,14.452,13.102,91.60549,Sunny
2023-01-01 18:00:00+00:00,14.202,13.052,92.79507,Sunny
2023-01-01 19:00:00+00:00,13.302,12.652,95.840965,Sunny
2023-01-01 20:00:00+00:00,13.452,12.852,96.15982,Sunny
2023-01-01 21:00:00+00:00,13.302,12.752,96.47073,Sunny
2023-01-01 22:00:00+00:00,12.752,12.252,96.77336,Sunny
2023-01-01 23:00:00+00:00,12.202,11.752,97.07947,Sunny
2023-01-02 00:00:00+00:00,12.602,12.202,97.40825,Sunny
2023-01-02 01:00:00+00:00,12.402,12.102,98.047554,Sunny
2023-01-02 02:00:00+00:00,14.452,13.702,95.25651,Sunny
2023-01-02 03:00:00+00:00,16.452,14.652,89.1093,Sunny
2023-01-02 04:00:00+00:00,18.552,15.502,82.433754,Sunny
2023-01-02 05:00:00+00:00,20.552,15.702,73.74081,Sunny
2023-01-02 06:00:00+00:00,21.902,15.502,67.01687,Sunny
2023-01-02 07:00:00+00:00,22.702,14.252,58.89632,Rainy
2023-01-02 08:00:00+00:00,23.002,13.602,55.447422,Sunny
2023-01-02 09:00:00+00:00,23.152,13.452,54.412895,Sunny
2023-01-02 10:00:00+00:00,22.502,13.602,57.15419,Sunny
2023-01-02 11:00:00+00:00,20.202,15.052,72.27431,Sunny
2023-01-02 12:00:00+00:00,17.602,14.502,82.05154,Sunny
2023-01-02 13:00:00+00:00,17.202,14.252,82.801575,Sunny
2023-01-02 14:00:00+00:00,16.452,14.052,85.71856,Sunny
2023-01-02 15:00:00+00:00,15.852,13.902,88.199356,Sunny
2023-01-02 16:00:00+00:00,15.352,13.552,89.021355,Sunny
2023-01-02 17:00:00+00:00,14.852,13.202,89.85656,Sunny
2023-01-02 18:00:00+00:00,14.502,13.002,90.715645,Sunny
2023-01-02 19:00:00+00:00,14.102,12.702,91.28418,Sunny
2023-01-02 20:00:00+00:00,13.602,12.402,92.45858,Sunny
2023-01-02 21:00:00+00:00,12.852,11.852,93.6436,Sunny
2023-01-02 22:00:00+00:00,11.652,10.952,95.47057,Sunny
2023-01-02 23:00:00+00:00,11.052,10.452,96.08829,Sunny
2023-01-03 00:00:00+00:00,11.302,10.902,97.38203,Sunny
2023-01-03 01:00:00+00:00,11.902,11.402,96.752144,Sunny
2023-01-03 02:00:00+00:00,13.702,12.452,92.16142,Sunny
2023-01-03 03:00:00+00:00,15.252,13.302,88.14766,Sunny
2023-01-03 04:00:00+00:00,17.302,13.952,80.69604,Sunny
2023-01-03 05:00:00+00:00,19.202,14.252,73.03321,Sunny
2023-01-03 06:00:00+00:00,20.552,14.252,67.17199,Sunny
2023-01-03 07:00:00+00:00,21.602,13.752,60.968834,Sunny
2023-01-03 08:00:00+00:00,22.302,12.852,55.091316,Sunny
2023-01-03 09:00:00+00:00,22.402,12.102,52.12804,Sunny
2023-01-03 10:00:00+00:00,21.852,11.952,53.374523,Sunny
2023-01-03 11:00:00+00:00,19.452,13.102,66.72699,Sunny
2023-01-03 12:00:00+00:00,15.802,13.202,84.542366,Sunny
2023-01-03 13:00:00+00:00,15.552,12.752,83.41624,Sunny
2023-01-03 14:00:00+00:00,15.252,12.902,85.8754,Sunny
2023-01-03 15:00:00+00:00,14.602,12.802,88.96079,Sunny
2023-01-03 16:00:00+00:00,14.152,12.502,89.80403,Sunny
2023-01-03 17:00:00+00:00,13.802,12.402,91.26467,Sunny
2023-01-03 18:00:00+00:00,13.402,12.052,91.53942,Sunny
2023-01-03 19:00:00+00:00,12.352,11.252,93.00158,Sunny
2023-01-03 20:00:00+00:00,11.302,10.402,94.194626,Sunny
2023-01-03 21:00:00+00:00,11.002,10.152,94.49654,Sunny
2023-01-03 22:00:00+00:00,10.902,10.152,95.126076,Sunny
2023-01-03 23:00:00+00:00,10.652,9.952,95.43557,Sunny
2023-01-04 00:00:00+00:00,10.902,10.252,95.76358,Sunny
2023-01-04 01:00:00+00:00,11.252,10.452,94.82266,Sunny
2023-01-04 02:00:00+00:00,12.402,11.102,91.779686,Sunny
2023-01-04 03:00:00+00:00,14.452,11.952,84.95054,Sunny
2023-01-04 04:00:00+00:00,16.702,12.702,77.26398,Sunny
2023-01-04 05:00:00+00:00,18.402,12.702,69.40732,Sunny
2023-01-04 06:00:00+00:00,19.602,12.302,62.733402,Sunny
2023-01-04 07:00:00+00:00,20.452,11.802,57.59102,Sunny
2023-01-04 08:00:00+00:00,21.002,11.402,54.221558,Sunny
2023-01-04 09:00:00+00:00,21.102,10.602,51.102734,Sunny
2023-01-04 10:00:00+00:00,20.652,10.552,52.362087,Sunny
2023-01-04 11:00:00+00:00,17.902,12.902,72.56449,Sunny
2023-01-04 12:00:00+00:00,15.702,11.252,74.84788,Sunny
2023-01-04 13:00:00+00:00,14.602,11.202,80.064125,Sunny
2023-01-04 14:00:00+00:00,13.902,11.402,84.89089,Sunny
2023-01-04 15:00:00+00:00,13.402,11.452,87.98616,Sunny
2023-01-04 16:00:00+00:00,12.952,11.402,90.30883,Sunny
2023-01-04 17:00:00+00:00,12.702,11.252,90.891106,Sunny
2023-01-04 18:00:00+00:00,12.402,11.002,91.172775,Sunny
2023-01-04 19:00:00+00:00,12.052,10.702,91.45335,Sunny
2023-01-04 20:00:00+00:00,11.752,10.402,91.43406,Sunny
2023-01-04 21:00:00+00:00,11.402,10.102,91.71755,Sunny
2023-01-04 22:00:00+00:00,11.002,9.802,92.30919,Sunny
2023-01-04 23:00:00+00:00,10.052,9.152,94.138756,Sunny
2023-01-05 00:00:00+00:00,9.502,8.902,96.04104,Sunny
