Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,8.540999,7.691,94.39126,Cloudy
2023-01-01 01:00:00+00:00,8.441,7.591,94.38691,Cloudy
2023-01-01 02:00:00+00:00,8.841,7.8910003,93.76445,Sunny
2023-01-01 03:00:00+00:00,10.191,8.540999,89.49905,Sunny
2023-01-01 04:00:00+00:00,12.591,9.941,83.90123,Sunny
2023-01-01 05:00:00+00:00,14.941,10.591,75.21813,Sunny
2023-01-01 06:00:00+00:00,16.640999,10.591,67.47066,Sunny
2023-01-01 07:00:00+00:00,17.640999,10.641,63.544666,Sunny
2023-01-01 08:00:00+00:00,18.291,10.391,59.992188,Sunny
2023-01-01 09:00:00+00:00,18.640999,9.990999,57.14381,Sunny
2023-01-01 10:00:00+00:00,18.591,9.740999,56.371094,Sunny
2023-01-01 11:00:00+00:00,17.741,11.091,65.06209,Sunny
2023-01-01 12:00:00+00:00,14.691,10.240999,74.67611,Sunny
2023-01-01 13:00:00+00:00,14.240999,9.691,74.10072,Sunny
2023-01-01 14:00:00+00:00,14.891,9.391,69.63899,Sunny
2023-01-01 15:00:00+00:00,14.290999,9.191,71.42098,Sunny
2023-01-01 16:00:00+00:00,11.740999,8.691,81.57026,Sunny
2023-01-01 17:00:00+00:00,10.641,8.191,84.81745,Sunny
2023-01-01 18:00:00+00:00,11.290999,8.091,80.68532,Sunny
2023-01-01 19:00:00+00:00,12.891,8.391,74.11474,Sunny
2023-01-01 20:00:00+00:00,8.941,7.241,89.09494,Sunny
2023-01-01 21:00:00+00:00,8.191,7.191,93.41311,Sunny
2023-01-01 22:00:00+00:00,7.8910003,7.041,94.36294,Sunny
2023-01-01 23:00:00+00:00,7.541,6.741,94.67212,Sunny
2023-01-02 00:00:00+00:00,7.041,6.341,95.30579,Sunny
2023-01-02 01:00:00+00:00,6.991,6.341,95.632805,Sunny
2023-01-02 02:00:00+00:00,6.791,6.241,96.28769,Sunny
2023-01-02 03:00:00+00:00,9.490999,7.991,90.361,Sunny
2023-01-02 04:00:00+00:00,13.191,9.841,80.13444,Sunny
2023-01-02 05:00:00+00:00,15.391,10.490999,72.589355,Sunny
2023-01-02 06:00:00+00:00,16.791,10.191,65.07187,Sunny
2023-01-02 07:00:00+00:00,17.640999,9.641,59.437004,Sunny
2023-01-02 08:00:00+00:00,18.191,9.191,55.705307,Sunny
2023-01-02 09:00:00+00:00,18.441,8.790999,53.379284,Sunny
2023-01-02 10:00:00+00:00,18.241,8.490999,52.967323,Sunny
2023-01-02 11:00:00+00:00,17.291,10.091,62.623844,Sunny
2023-01-02 12:00:00+00:00,13.441,9.641,77.78924,Sunny
2023-01-02 13:00:00+00:00,12.191,9.040999,81.080956,Sunny
2023-01-02 14:00:00+00:00,12.841,8.691,75.88269,Sunny
2023-01-02 15:00:00+00:00,12.790999,8.591,75.61826,Sunny
2023-01-02 16:00:00+00:00,11.941,8.490999,79.41971,Sunny
2023-01-02 17:00:00+00:00,9.240999,7.6410003,89.729294,Sunny
2023-01-02 18:00:00+00:00,10.290999,8.240999,87.11447,Sunny
2023-01-02 19:00:00+00:00,10.540999,8.540999,87.43368,Sunny
2023-01-02 20:00:00+00:00,8.191,7.441,95.022835,Sunny
2023-01-02 21:00:00+00:00,6.8910003,6.741,98.976036,Sunny
2023-01-02 22:00:00+00:00,6.541,6.541,100.0,Cloudy
2023-01-02 23:00:00+00:00,6.3910003,6.341,99.656265,Cloudy
2023-01-03 00:00:00+00:00,5.941,5.791,98.96825,Cloudy
2023-01-03 01:00:00+00:00,6.6410003,6.491,98.97399,Cloudy
2023-01-03 02:00:00+00:00,7.041,6.941,99.31715,Cloudy
2023-01-03 03:00:00+00:00,8.191,7.941,98.31596,Cloudy
2023-01-03 04:00:00+00:00,10.040999,9.540999,96.70495,Cloudy
2023-01-03 05:00:00+00:00,12.240999,10.490999,89.06327,Sunny
2023-01-03 06:00:00+00:00,14.540999,10.240999,75.40238,Sunny
2023-01-03 07:00:00+00:00,15.990999,9.441,65.115326,Sunny
2023-01-03 08:00:00+00:00,16.841,8.691,58.64628,Sunny
2023-01-03 09:00:00+00:00,17.140999,8.141,55.437626,Sunny
2023-01-03 10:00:00+00:00,17.041,7.841,54.66349,Sunny
2023-01-03 11:00:00+00:00,16.191,8.441,60.095642,Sunny
2023-01-03 12:00:00+00:00,12.091,8.941,81.06756,Sunny
2023-01-03 13:00:00+00:00,10.490999,8.641,88.32094,Sunny
2023-01-03 14:00:00+00:00,9.990999,8.391,89.787056,Sunny
2023-01-03 15:00:00+00:00,9.391,7.941,90.661514,Sunny
2023-01-03 16:00:00+00:00,8.740999,7.441,91.548775,Sunny
2023-01-03 17:00:00+00:00,8.341,7.241,92.78432,Sunny
2023-01-03 18:00:00+00:00,7.991,7.1410003,94.36731,Sunny
2023-01-03 19:00:00+00:00,7.741,7.091,95.65835,Sunny
2023-01-03 20:00:00+00:00,7.6410003,7.091,96.31238,Sunny
2023-01-03 21:00:00+00:00,7.6410003,7.1410003,96.642586,Sunny
2023-01-03 22:00:00+00:00,7.341,6.941,97.29961,Sunny
2023-01-03 23:00:00+00:00,6.991,6.841,98.976845,Sunny
2023-01-04 00:00:00+00:00,5.941,5.791,98.96825,Sunny
2023-01-04 01:00:00+00:00,6.041,6.041,100.0,Cloudy
2023-01-04 02:00:00+00:00,6.041,6.041,100.0,Cloudy
2023-01-04 03:00:00+00:00,6.991,6.741,98.2999,Cloudy
2023-01-04 04:00:00+00:00,8.941,7.741,92.187645,Cloudy
2023-01-04 05:00:00+00:00,11.391,8.691,83.47879,Sunny
2023-01-04 06:00:00+00:00,13.391,9.091,75.209625,Sunny
2023-01-04 07:00:00+00:00,14.990999,9.191,68.26744,Sunny
2023-01-04 08:00:00+00:00,16.191,9.191,63.217777,Sunny
2023-01-04 09:00:00+00:00,16.890999,8.990999,59.656845,Sunny
2023-01-04 10:00:00+00:00,16.941,8.740999,58.472897,Sunny
2023-01-04 11:00:00+00:00,16.140999,9.441,64.4951,Sunny
2023-01-04 12:00:00+00:00,10.941,8.941,87.470795,Sunny
2023-01-04 13:00:00+00:00,9.790999,8.391,90.997536,Sunny
2023-01-04 14:00:00+00:00,9.191,8.040999,92.51638,Sunny
2023-01-04 15:00:00+00:00,8.790999,7.791,93.443474,Sunny
2023-01-04 16:00:00+00:00,8.040999,7.291,95.017044,Sunny
2023-01-04 17:00:00+00:00,6.741,6.341,97.28677,Sunny
2023-01-04 18:00:00+00:00,6.241,5.991,98.289734,Sunny
2023-01-04 19:00:00+00:00,6.041,5.8910003,98.96907,Sunny
2023-01-04 20:00:00+00:00,5.991,5.991,100.0,Sunny
2023-01-04 21:00:00+00:00,6.1410003,6.1410003,100.0,Cloudy
2023-01-04 22:00:00+00:00,6.3910003,6.3910003,99.99999,Cloudy
2023-01-04 23:00:00+00:00,6.341,6.291,99.656136,Cloudy
2023-01-05 00:00:00+00:00,5.8910003,5.791,99.310844,Cloudy
2023-01-05 01:00:00+00:00,6.291,6.1410003,98.971115,Cloudy
2023-01-05 02:00:00+00:00,6.591,6.541,99.65683,Cloudy
2023-01-05 03:00:00+00:00,7.191,6.941,98.30259,Cloudy
2023-01-05 04:00:00+00:00,8.290999,7.791,96.65965,Cloudy
2023-01-05 05:00:00+00:00,9.641,8.740999,94.1202,Cloudy
2023-01-05 06:00:00+00:00,12.191,8.891,80.26475,Sunny
2023-01-05 07:00:00+00:00,13.990999,9.391,73.808655,Sunny
2023-01-05 08:00:00+00:00,15.391,9.341,67.21063,Sunny
2023-01-05 09:00:00+00:00,16.091,9.040999,62.982475,Sunny
2023-01-05 10:00:00+00:00,16.140999,8.790999,61.73176,Sunny
2023-01-05 11:00:00+00:00,15.341,9.191,66.7494,Sunny
2023-01-05 12:00:00+00:00,11.540999,8.641,82.37585,Sunny
2023-01-05 13:00:00+00:00,9.290999,7.6410003,89.4279,Sunny
2023-01-05 14:00:00+00:00,7.941,7.1410003,94.68866,Sunny
2023-01-05 15:00:00+00:00,7.291,6.841,96.96542,Sunny
2023-01-05 16:00:00+00:00,6.8910003,6.491,97.28999,Sunny
2023-01-05 17:00:00+00:00,6.441,6.091,97.616684,Sunny
2023-01-05 18:00:00+00:00,6.541,6.191,97.61857,Sunny
2023-01-05 19:00:00+00:00,5.991,5.791,98.62697,Cloudy
2023-01-05 20:00:00+00:00,5.241,5.241,100.0,Cloudy
2023-01-05 21:00:00+00:00,5.1410003,5.091,99.65281,Cloudy
2023-01-05 22:00:00+00:00,5.491,5.441,99.65377,Cloudy
2023-01-05 23:00:00+00:00,5.1410003,5.091,99.65281,Cloudy
2023-01-06 00:00:00+00:00,6.591,6.1410003,96.94864,Cloudy
2023-01-06 01:00:00+00:00,7.291,7.091,98.641106,Cloudy
2023-01-06 02:00:00+00:00,7.341,7.091,98.30461,Cloudy
2023-01-06 03:00:00+00:00,7.741,6.491,91.79932,Cloudy
2023-01-06 04:00:00+00:00,8.341,6.241,86.62772,Cloudy
2023-01-06 05:00:00+00:00,9.490999,6.191,79.88381,Cloudy
2023-01-06 06:00:00+00:00,10.941,7.091,77.13628,Cloudy
2023-01-06 07:00:00+00:00,12.490999,7.591,72.0553,Cloudy
2023-01-06 08:00:00+00:00,13.691,8.040999,68.69734,Cloudy
2023-01-06 09:00:00+00:00,14.540999,8.540999,67.25945,Cloudy
2023-01-06 10:00:00+00:00,14.740999,8.740999,67.30134,Cloudy
2023-01-06 11:00:00+00:00,14.191,8.691,69.50029,Cloudy
2023-01-06 12:00:00+00:00,10.691,8.040999,83.67895,Sunny
2023-01-06 13:00:00+00:00,8.740999,7.041,89.078545,Sunny
2023-01-06 14:00:00+00:00,7.841,6.541,91.49055,Sunny
2023-01-06 15:00:00+00:00,7.691,6.741,93.708855,Sunny
2023-01-06 16:00:00+00:00,6.041,5.541,96.600006,Sunny
2023-01-06 17:00:00+00:00,5.941,5.491,96.932915,Sunny
2023-01-06 18:00:00+00:00,5.6410003,5.241,97.26305,Sunny
2023-01-06 19:00:00+00:00,4.741,4.591,98.95827,Sunny
2023-01-06 20:00:00+00:00,4.241,4.241,100.0,Cloudy
2023-01-06 21:00:00+00:00,4.941,4.941,100.0,Cloudy
2023-01-06 22:00:00+00:00,4.741,4.691,99.65169,Cloudy
2023-01-06 23:00:00+00:00,4.691,4.6410003,99.65155,Cloudy
2023-01-07 00:00:00+00:00,4.441,4.241,98.60983,Cloudy
2023-01-07 01:00:00+00:00,5.191,5.1410003,99.65295,Cloudy
2023-01-07 02:00:00+00:00,5.441,5.3910003,99.65364,Cloudy
2023-01-07 03:00:00+00:00,5.841,5.6410003,98.62533,Cloudy
2023-01-07 04:00:00+00:00,7.191,5.691,90.1915,Cloudy
2023-01-07 05:00:00+00:00,9.441,6.6410003,82.67429,Cloudy
2023-01-07 06:00:00+00:00,11.540999,7.441,75.92558,Sunny
2023-01-07 07:00:00+00:00,13.341,8.040999,70.28007,Sunny
2023-01-07 08:00:00+00:00,14.841,8.091,63.988373,Sunny
2023-01-07 09:00:00+00:00,15.790999,8.391,61.441566,Sunny
2023-01-07 10:00:00+00:00,15.990999,8.441,60.867283,Sunny
2023-01-07 11:00:00+00:00,15.391,9.091,66.08899,Sunny
2023-01-07 12:00:00+00:00,10.691,7.6410003,81.4317,Sunny
2023-01-07 13:00:00+00:00,8.990999,7.041,87.58787,Sunny
2023-01-07 14:00:00+00:00,8.691,6.991,89.07443,Sunny
2023-01-07 15:00:00+00:00,8.191,6.6410003,89.95619,Sunny
2023-01-07 16:00:00+00:00,7.941,6.3910003,89.93716,Sunny
2023-01-07 17:00:00+00:00,7.741,6.341,90.856316,Sunny
2023-01-07 18:00:00+00:00,7.3910003,6.341,93.05136,Sunny
2023-01-07 19:00:00+00:00,7.041,6.191,94.32561,Sunny
2023-01-07 20:00:00+00:00,6.741,5.991,94.96629,Sunny
2023-01-07 21:00:00+00:00,6.491,5.841,95.61565,Sunny
2023-01-07 22:00:00+00:00,6.441,5.841,95.94518,Sunny
2023-01-07 23:00:00+00:00,6.541,5.991,96.28038,Sunny
2023-01-08 00:00:00+00:00,6.3910003,6.241,98.97195,Cloudy
2023-01-08 01:00:00+00:00,6.541,6.541,100.0,Cloudy
2023-01-08 02:00:00+00:00,6.741,6.741,100.0,Cloudy
2023-01-08 03:00:00+00:00,7.541,7.341,98.6438,Cloudy
2023-01-08 04:00:00+00:00,8.540999,7.741,94.713326,Cloudy
2023-01-08 05:00:00+00:00,10.740999,8.641,86.8631,Sunny
2023-01-08 06:00:00+00:00,12.941,9.490999,79.56352,Sunny
2023-01-08 07:00:00+00:00,14.841,9.891,72.24692,Sunny
2023-01-08 08:00:00+00:00,16.441,10.141,66.31319,Sunny
2023-01-08 09:00:00+00:00,17.341,10.341,63.477337,Sunny
2023-01-08 10:00:00+00:00,17.591,10.540999,63.322216,Sunny
2023-01-08 11:00:00+00:00,16.890999,10.941,67.9724,Sunny
2023-01-08 12:00:00+00:00,12.540999,9.841,83.614975,Sunny
2023-01-08 13:00:00+00:00,10.740999,8.891,88.34261,Sunny
2023-01-08 14:00:00+00:00,9.290999,8.240999,93.15216,Sunny
2023-01-08 15:00:00+00:00,8.341,7.691,95.678635,Sunny
2023-01-08 16:00:00+00:00,8.091,7.591,96.6544,Sunny
2023-01-08 17:00:00+00:00,7.991,7.491,96.65177,Sunny
2023-01-08 18:00:00+00:00,7.741,7.091,95.65835,Sunny
2023-01-08 19:00:00+00:00,8.240999,7.1410003,92.77878,Sunny
2023-01-08 20:00:00+00:00,7.991,6.941,93.08343,Sunny
2023-01-08 21:00:00+00:00,6.791,6.1410003,95.62595,Sunny
2023-01-08 22:00:00+00:00,6.841,6.241,95.95791,Sunny
2023-01-08 23:00:00+00:00,6.1410003,6.1410003,100.0,Cloudy
2023-01-09 00:00:00+00:00,6.541,6.491,99.65668,Cloudy
2023-01-09 01:00:00+00:00,6.991,6.941,99.65792,Cloudy
2023-01-09 02:00:00+00:00,7.3910003,7.3910003,100.0,Cloudy
2023-01-09 03:00:00+00:00,8.591,8.441,98.98977,Cloudy
2023-01-09 04:00:00+00:00,9.790999,9.290999,96.69854,Cloudy
2023-01-09 05:00:00+00:00,11.790999,10.490999,91.7418,Cloudy
2023-01-09 06:00:00+00:00,14.490999,11.290999,81.1168,Cloudy
2023-01-09 07:00:00+00:00,16.741,11.591,71.641205,Cloudy
2023-01-09 08:00:00+00:00,18.140999,10.841,62.401382,Sunny
2023-01-09 09:00:00+00:00,18.390999,10.341,59.418716,Cloudy
2023-01-09 10:00:00+00:00,18.441,9.891,57.477776,Cloudy
2023-01-09 11:00:00+00:00,17.541,11.641,68.33009,Cloudy
2023-01-09 12:00:00+00:00,14.441,11.441,82.19115,Cloudy
2023-01-09 13:00:00+00:00,12.641,10.891,89.095634,Cloudy
2023-01-09 14:00:00+00:00,12.141,10.641,90.55098,Cloudy
2023-01-09 15:00:00+00:00,11.691,10.490999,92.349205,Cloudy
2023-01-09 16:00:00+00:00,10.990999,10.141,94.49607,Cloudy
2023-01-09 17:00:00+00:00,11.240999,10.290999,93.87814,Sunny
2023-01-09 18:00:00+00:00,10.490999,9.691,94.792305,Cloudy
2023-01-09 19:00:00+00:00,10.091,9.391,95.41576,Cloudy
2023-01-09 20:00:00+00:00,9.641,9.040999,96.045296,Sunny
2023-01-09 21:00:00+00:00,9.841,9.341,96.69983,Cloudy
2023-01-09 22:00:00+00:00,10.040999,9.540999,96.70495,Cloudy
2023-01-09 23:00:00+00:00,10.040999,9.441,96.05756,Cloudy
2023-01-10 00:00:00+00:00,8.040999,8.040999,100.0,Cloudy
2023-01-10 01:00:00+00:00,8.391,8.391,100.0,Cloudy
2023-01-10 02:00:00+00:00,8.391,8.341,99.6617,Cloudy
2023-01-10 03:00:00+00:00,9.191,9.040999,98.99452,Cloudy
2023-01-10 04:00:00+00:00,10.540999,10.191,97.69231,Cloudy
2023-01-10 05:00:00+00:00,11.490999,10.941,96.4212,Cloudy
2023-01-10 06:00:00+00:00,14.290999,11.990999,86.06014,Cloudy
2023-01-10 07:00:00+00:00,16.541,12.141,75.236275,Sunny
2023-01-10 08:00:00+00:00,18.191,11.691,65.808495,Sunny
2023-01-10 09:00:00+00:00,18.841,11.540999,62.56093,Sunny
2023-01-10 10:00:00+00:00,18.741,11.891,64.42426,Sunny
2023-01-10 11:00:00+00:00,17.991,12.191,68.872406,Sunny
2023-01-10 12:00:00+00:00,14.240999,11.441,83.26101,Sunny
2023-01-10 13:00:00+00:00,12.040999,10.490999,90.24277,Sunny
2023-01-10 14:00:00+00:00,11.341,10.141,92.32891,Sunny
2023-01-10 15:00:00+00:00,11.240999,10.040999,92.323105,Sunny
2023-01-10 16:00:00+00:00,10.990999,9.790999,92.30856,Sunny
2023-01-10 17:00:00+00:00,10.790999,9.641,92.607086,Sunny
