Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,11.448,11.448,100.0,Cloudy
2023-01-01 01:00:00+00:00,11.998,11.848,99.01643,Cloudy
2023-01-01 02:00:00+00:00,12.948,11.998,93.95716,Cloudy
2023-01-01 03:00:00+00:00,13.898,12.548,91.57073,Cloudy
2023-01-01 04:00:00+00:00,15.198,13.898,91.94984,Cloudy
2023-01-01 05:00:00+00:00,16.798,15.048,89.42386,Cloudy
2023-01-01 06:00:00+00:00,18.898,15.698,81.68869,Sunny
2023-01-01 07:00:00+00:00,20.348,15.398,73.23468,Sunny
2023-01-01 08:00:00+00:00,21.048,15.048,68.58563,Sunny
2023-01-01 09:00:00+00:00,21.298,14.598,65.611626,Sunny
2023-01-01 10:00:00+00:00,21.098,14.398,65.56922,Sunny
2023-01-01 11:00:00+00:00,20.548,14.398,67.82595,Sunny
2023-01-01 12:00:00+00:00,17.298,14.748,84.97953,Sunny
2023-01-01 13:00:00+00:00,15.648,14.048,90.20775,Sunny
2023-01-01 14:00:00+00:00,14.848,13.848,93.73867,Sunny
2023-01-01 15:00:00+00:00,14.448,13.548,94.331795,Sunny
2023-01-01 16:00:00+00:00,14.498,13.148,91.60835,Sunny
2023-01-01 17:00:00+00:00,13.748,12.648,93.07493,Sunny
2023-01-01 18:00:00+00:00,13.498,12.698,94.91072,Sunny
2023-01-01 19:00:00+00:00,15.048,14.198,94.663345,Sunny
2023-01-01 20:00:00+00:00,12.848,12.848,100.0,Sunny
2023-01-01 21:00:00+00:00,12.198,12.198,100.0,Cloudy
2023-01-01 22:00:00+00:00,11.798,11.798,100.0,Cloudy
2023-01-01 23:00:00+00:00,12.048,12.048,100.0,Cloudy
2023-01-02 00:00:00+00:00,13.148,13.148,100.0,Cloudy
2023-01-02 01:00:00+00:00,12.798,12.798,100.0,Cloudy
2023-01-02 02:00:00+00:00,13.198,13.048,99.025604,Cloudy
2023-01-02 03:00:00+00:00,13.898,13.598,98.07001,Cloudy
2023-01-02 04:00:00+00:00,15.198,14.198,93.75512,Cloudy
2023-01-02 05:00:00+00:00,17.648,15.298,86.11609,Sunny
2023-01-02 06:00:00+00:00,19.548,15.848,79.20404,Sunny
2023-01-02 07:00:00+00:00,20.798,15.448,71.459885,Sunny
2023-01-02 08:00:00+00:00,21.498,14.698,65.23216,Sunny
2023-01-02 09:00:00+00:00,21.548,13.998,62.154976,Sunny
2023-01-02 10:00:00+00:00,21.048,14.098,64.50635,Sunny
2023-01-02 11:00:00+00:00,18.498,14.748,78.80023,Sunny
2023-01-02 12:00:00+00:00,16.548,14.198,86.006325,Sunny
2023-01-02 13:00:00+00:00,14.948,13.348,90.15709,Sunny
2023-01-02 14:00:00+00:00,14.598,13.198,91.31631,Sunny
2023-01-02 15:00:00+00:00,14.598,13.148,91.01886,Sunny
2023-01-02 16:00:00+00:00,14.248,12.798,90.995476,Sunny
2023-01-02 17:00:00+00:00,13.798,12.498,91.865295,Sunny
2023-01-02 18:00:00+00:00,13.098,12.148,93.96403,Sunny
2023-01-02 19:00:00+00:00,11.898,11.398,96.75204,Sunny
2023-01-02 20:00:00+00:00,12.198,11.898,98.044464,Sunny
2023-01-02 21:00:00+00:00,12.248,12.248,100.0,Sunny
2023-01-02 22:00:00+00:00,11.948,11.948,100.0,Cloudy
2023-01-02 23:00:00+00:00,12.698,12.698,100.0,Cloudy
2023-01-03 00:00:00+00:00,12.198,12.198,100.0,Cloudy
2023-01-03 01:00:00+00:00,12.348,12.198,99.01913,Cloudy
2023-01-03 02:00:00+00:00,12.498,12.348,99.02026,Cloudy
2023-01-03 03:00:00+00:00,12.948,12.648,98.055786,Cloudy
2023-01-03 04:00:00+00:00,14.498,13.148,91.60835,Cloudy
2023-01-03 05:00:00+00:00,16.548,13.698,83.26185,Cloudy
2023-01-03 06:00:00+00:00,18.048,14.048,77.47081,Sunny
2023-01-03 07:00:00+00:00,19.398,13.748,69.828224,Sunny
2023-01-03 08:00:00+00:00,20.298,13.348,64.34306,Sunny
2023-01-03 09:00:00+00:00,20.598,12.898,61.33457,Sunny
2023-01-03 10:00:00+00:00,20.148,13.098,63.891914,Sunny
2023-01-03 11:00:00+00:00,17.798,14.048,78.698654,Sunny
2023-01-03 12:00:00+00:00,15.848,13.998,88.77294,Sunny
2023-01-03 13:00:00+00:00,14.548,13.298,92.210884,Sunny
2023-01-03 14:00:00+00:00,14.198,12.948,92.190475,Sunny
2023-01-03 15:00:00+00:00,13.948,12.648,91.87443,Sunny
2023-01-03 16:00:00+00:00,13.298,12.298,93.66503,Sunny
