Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,7.1,5.6,90.18471,Sunny
2023-01-01 01:00:00+00:00,5.7,4.95,94.92509,Cloudy
2023-01-01 02:00:00+00:00,5.15,5.15,100.0,Cloudy
2023-01-01 03:00:00+00:00,6.2,5.8,97.27514,Cloudy
2023-01-01 04:00:00+00:00,9.65,7.1,84.12952,Cloudy
2023-01-01 05:00:00+00:00,13.85,8.0,67.80236,Cloudy
2023-01-01 06:00:00+00:00,16.3,6.95,53.91458,Cloudy
2023-01-01 07:00:00+00:00,17.35,6.2,47.905712,Cloudy
2023-01-01 08:00:00+00:00,17.95,5.7,44.561417,Cloudy
2023-01-01 09:00:00+00:00,18.0,5.55,43.96234,Cloudy
2023-01-01 10:00:00+00:00,18.25,5.25,42.38576,Cloudy
2023-01-01 11:00:00+00:00,18.05,5.75,44.435707,Sunny
2023-01-01 12:00:00+00:00,14.55,7.7,63.489086,Sunny
2023-01-01 13:00:00+00:00,12.3,7.2,71.041794,Sunny
2023-01-01 14:00:00+00:00,11.05,6.7,74.554214,Sunny
2023-01-01 15:00:00+00:00,9.8,6.4,79.379776,Sunny
2023-01-01 16:00:00+00:00,8.85,6.55,85.4952,Sunny
2023-01-01 17:00:00+00:00,8.0,6.25,88.71124,Sunny
2023-01-01 18:00:00+00:00,8.2,6.1,86.61369,Sunny
2023-01-01 19:00:00+00:00,6.95,5.65,91.43231,Sunny
2023-01-01 20:00:00+00:00,6.5,5.5,93.326416,Sunny
2023-01-01 21:00:00+00:00,6.5,5.6,93.97558,Sunny
2023-01-01 22:00:00+00:00,6.65,5.55,92.689705,Sunny
2023-01-01 23:00:00+00:00,6.2,5.1,92.664215,Sunny
2023-01-02 00:00:00+00:00,5.35,4.45,93.92129,Sunny
2023-01-02 01:00:00+00:00,4.85,4.05,94.55885,Sunny
2023-01-02 02:00:00+00:00,4.4,3.8,95.879326,Sunny
2023-01-02 03:00:00+00:00,6.85,5.4,90.479485,Sunny
2023-01-02 04:00:00+00:00,10.1,6.6,78.87967,Sunny
2023-01-02 05:00:00+00:00,13.65,7.95,68.455925,Sunny
2023-01-02 06:00:00+00:00,16.25,7.6,56.544224,Sunny
2023-01-02 07:00:00+00:00,17.75,6.3,47.035168,Sunny
2023-01-02 08:00:00+00:00,18.55,5.4,42.031868,Sunny
2023-01-02 09:00:00+00:00,18.9,4.85,39.578762,Sunny
2023-01-02 10:00:00+00:00,18.85,4.75,39.426613,Sunny
2023-01-02 11:00:00+00:00,18.05,8.25,52.737984,Sunny
2023-01-02 12:00:00+00:00,14.55,7.25,61.568653,Sunny
2023-01-02 13:00:00+00:00,11.75,7.25,73.91393,Sunny
2023-01-02 14:00:00+00:00,10.95,7.25,77.93344,Sunny
2023-01-02 15:00:00+00:00,9.65,7.25,84.997375,Sunny
2023-01-02 16:00:00+00:00,8.65,6.75,87.85739,Sunny
2023-01-02 17:00:00+00:00,7.65,6.2,90.53735,Sunny
2023-01-02 18:00:00+00:00,6.8,5.8,93.34192,Sunny
2023-01-02 19:00:00+00:00,6.2,5.4,94.61612,Sunny
2023-01-02 20:00:00+00:00,5.75,4.95,94.597115,Sunny
2023-01-02 21:00:00+00:00,5.65,4.75,93.935524,Sunny
2023-01-02 22:00:00+00:00,4.95,4.2,94.89512,Sunny
2023-01-02 23:00:00+00:00,4.55,3.95,95.88423,Sunny
2023-01-03 00:00:00+00:00,4.5,3.95,96.219894,Sunny
2023-01-03 01:00:00+00:00,4.3,3.8,96.55276,Sunny
2023-01-03 02:00:00+00:00,4.8,4.1,95.22246,Sunny
2023-01-03 03:00:00+00:00,5.75,5.1,95.59004,Sunny
2023-01-03 04:00:00+00:00,9.15,6.95,86.11569,Sunny
2023-01-03 05:00:00+00:00,13.1,7.85,70.47236,Sunny
2023-01-03 06:00:00+00:00,15.6,7.7,59.344376,Sunny
2023-01-03 07:00:00+00:00,17.0,7.15,52.28114,Sunny
2023-01-03 08:00:00+00:00,17.95,6.05,45.65285,Sunny
2023-01-03 09:00:00+00:00,18.4,5.25,41.98896,Sunny
2023-01-03 10:00:00+00:00,18.25,5.05,41.800335,Sunny
2023-01-03 11:00:00+00:00,17.45,5.9,46.628304,Sunny
2023-01-03 12:00:00+00:00,14.6,8.05,64.80962,Sunny
2023-01-03 13:00:00+00:00,14.8,7.65,62.2611,Sunny
2023-01-03 14:00:00+00:00,13.55,7.7,67.74004,Sunny
2023-01-03 15:00:00+00:00,11.45,7.45,76.430725,Sunny
2023-01-03 16:00:00+00:00,10.25,7.1,80.81812,Sunny
2023-01-03 17:00:00+00:00,7.95,6.35,89.62872,Sunny
2023-01-03 18:00:00+00:00,7.35,6.0,91.14329,Sunny
2023-01-03 19:00:00+00:00,7.5,5.95,89.903465,Sunny
2023-01-03 20:00:00+00:00,7.95,6.2,88.707,Sunny
2023-01-03 21:00:00+00:00,7.85,6.2,89.31249,Sunny
2023-01-03 22:00:00+00:00,6.75,5.65,92.695366,Sunny
2023-01-03 23:00:00+00:00,6.0,5.2,94.60769,Sunny
2023-01-04 00:00:00+00:00,4.3,4.25,99.650444,Sunny
2023-01-04 01:00:00+00:00,4.5,4.4,99.3031,Cloudy
