Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,10.674,10.524,99.0062,Sunny
2023-01-01 01:00:00+00:00,10.224,10.224,100.0,Sunny
2023-01-01 02:00:00+00:00,11.624,11.624,100.0,Cloudy
2023-01-01 03:00:00+00:00,12.874,12.624,98.376564,Cloudy
2023-01-01 04:00:00+00:00,15.274,13.324,88.149574,Sunny
2023-01-01 05:00:00+00:00,17.724,13.624,76.919655,Sunny
2023-01-01 06:00:00+00:00,19.524,13.574,68.50417,Sunny
2023-01-01 07:00:00+00:00,20.674002,12.824,60.753235,Sunny
2023-01-01 08:00:00+00:00,21.424002,11.974,54.869267,Sunny
2023-01-01 09:00:00+00:00,21.674002,11.074,50.915363,Sunny
2023-01-01 10:00:00+00:00,21.474,10.574,49.857376,Sunny
2023-01-01 11:00:00+00:00,19.424002,13.824,70.06035,Sunny
2023-01-01 12:00:00+00:00,15.874,12.874,82.37032,Sunny
2023-01-01 13:00:00+00:00,14.574,12.474,87.22665,Sunny
2023-01-01 14:00:00+00:00,13.924,12.024,88.32241,Sunny
2023-01-01 15:00:00+00:00,13.224,11.624,90.030655,Sunny
2023-01-01 16:00:00+00:00,12.674,11.324,91.493164,Sunny
2023-01-01 17:00:00+00:00,11.974,11.024,93.912254,Sunny
2023-01-01 18:00:00+00:00,11.424,10.724,95.46262,Sunny
2023-01-01 19:00:00+00:00,10.974,10.424,96.40687,Sunny
2023-01-01 20:00:00+00:00,10.624,10.224,97.36817,Sunny
2023-01-01 21:00:00+00:00,10.224,10.024,98.6722,Sunny
2023-01-01 22:00:00+00:00,9.874,9.774,99.332306,Sunny
2023-01-01 23:00:00+00:00,11.724,11.674,99.67049,Sunny
2023-01-02 00:00:00+00:00,10.724,10.624,99.336754,Cloudy
2023-01-02 01:00:00+00:00,10.374,10.374,100.0,Cloudy
2023-01-02 02:00:00+00:00,10.974,10.974,100.0,Cloudy
2023-01-02 03:00:00+00:00,12.174,11.824,97.72142,Cloudy
2023-01-02 04:00:00+00:00,14.174,12.874,91.88813,Sunny
2023-01-02 05:00:00+00:00,16.874,13.224,79.07782,Sunny
