Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,11.3,11.3,100.0,Cloudy
2023-01-01 01:00:00+00:00,9.6,9.6,100.0,Cloudy
2023-01-01 02:00:00+00:00,10.3,10.2,99.334526,Cloudy
2023-01-01 03:00:00+00:00,11.25,10.95,98.02998,Cloudy
2023-01-01 04:00:00+00:00,13.35,12.7,95.84249,Cloudy
2023-01-01 05:00:00+00:00,16.05,14.0,87.646484,Cloudy
2023-01-01 06:00:00+00:00,18.45,14.15,76.04203,Sunny
2023-01-01 07:00:00+00:00,19.8,13.85,68.55923,Sunny
2023-01-01 08:00:00+00:00,20.5,13.4,63.76146,Sunny
2023-01-01 09:00:00+00:00,20.8,12.5,59.01765,Sunny
2023-01-01 10:00:00+00:00,20.7,12.4,58.993664,Sunny
2023-01-01 11:00:00+00:00,18.75,14.9,78.33087,Sunny
2023-01-01 12:00:00+00:00,15.15,13.15,87.851746,Sunny
2023-01-01 13:00:00+00:00,14.2,12.7,90.694824,Sunny
2023-01-01 14:00:00+00:00,13.3,12.1,92.44145,Sunny
2023-01-01 15:00:00+00:00,12.55,11.55,93.62903,Sunny
2023-01-01 16:00:00+00:00,12.0,11.2,94.85223,Sunny
2023-01-01 17:00:00+00:00,12.15,11.15,93.60966,Sunny
2023-01-01 18:00:00+00:00,12.5,11.45,93.317566,Sunny
2023-01-01 19:00:00+00:00,11.6,11.0,96.10478,Sunny
2023-01-01 20:00:00+00:00,10.3,10.1,98.67298,Sunny
2023-01-01 21:00:00+00:00,9.6,9.5,99.33086,Sunny
2023-01-01 22:00:00+00:00,9.5,9.5,100.0,Sunny
2023-01-01 23:00:00+00:00,9.25,9.25,100.0,Sunny
2023-01-02 00:00:00+00:00,8.9,8.9,99.99999,Cloudy
2023-01-02 01:00:00+00:00,9.1,9.1,100.0,Cloudy
2023-01-02 02:00:00+00:00,10.3,10.3,100.0,Cloudy
2023-01-02 03:00:00+00:00,11.55,11.15,97.387054,Cloudy
2023-01-02 04:00:00+00:00,14.05,12.55,90.684456,Sunny
2023-01-02 05:00:00+00:00,16.7,13.1,79.311325,Sunny
2023-01-02 06:00:00+00:00,18.4,12.65,69.17998,Sunny
2023-01-02 07:00:00+00:00,19.4,11.95,62.07164,Sunny
2023-01-02 08:00:00+00:00,20.05,11.2,56.73587,Sunny
2023-01-02 09:00:00+00:00,20.2,10.85,54.921352,Sunny
2023-01-02 10:00:00+00:00,19.9,10.9,56.136738,Sunny
2023-01-02 11:00:00+00:00,17.95,13.65,75.96153,Sunny
2023-01-02 12:00:00+00:00,14.25,11.95,86.056,Sunny
2023-01-02 13:00:00+00:00,12.85,11.15,89.40843,Sunny
2023-01-02 14:00:00+00:00,12.25,10.9,91.46606,Sunny
2023-01-02 15:00:00+00:00,11.45,10.5,93.8879,Sunny
2023-01-02 16:00:00+00:00,11.9,10.85,93.28709,Sunny
2023-01-02 17:00:00+00:00,11.65,11.0,95.78793,Sunny
2023-01-02 18:00:00+00:00,12.0,11.6,97.396164,Sunny
2023-01-02 19:00:00+00:00,11.6,11.6,100.0,Cloudy
2023-01-02 20:00:00+00:00,8.95,8.95,100.0,Cloudy
2023-01-02 21:00:00+00:00,9.0,9.0,100.0,Cloudy
2023-01-02 22:00:00+00:00,8.4,8.4,100.0,Cloudy
2023-01-02 23:00:00+00:00,8.15,8.15,100.0,Cloudy
2023-01-03 00:00:00+00:00,8.55,8.55,100.0,Cloudy
2023-01-03 01:00:00+00:00,8.8,8.8,100.0,Cloudy
2023-01-03 02:00:00+00:00,9.4,9.35,99.664406,Cloudy
2023-01-03 03:00:00+00:00,10.75,10.55,98.67766,Cloudy
2023-01-03 04:00:00+00:00,12.25,11.75,96.76086,Cloudy
2023-01-03 05:00:00+00:00,15.15,12.7,85.30471,Sunny
2023-01-03 06:00:00+00:00,17.45,12.6,73.19951,Sunny
2023-01-03 07:00:00+00:00,18.8,12.25,65.72189,Sunny
2023-01-03 08:00:00+00:00,19.5,11.95,61.68693,Sunny
2023-01-03 09:00:00+00:00,19.75,11.8,60.139225,Sunny
2023-01-03 10:00:00+00:00,19.5,11.9,61.48403,Sunny
2023-01-03 11:00:00+00:00,17.9,12.7,71.62056,Sunny
2023-01-03 12:00:00+00:00,13.45,11.35,87.12159,Sunny
2023-01-03 13:00:00+00:00,12.6,10.7,88.208145,Sunny
2023-01-03 14:00:00+00:00,11.7,10.25,90.8225,Sunny
2023-01-03 15:00:00+00:00,11.3,10.15,92.63558,Sunny
2023-01-03 16:00:00+00:00,10.7,9.85,94.48379,Sunny
2023-01-03 17:00:00+00:00,9.8,9.2,96.050186,Sunny
2023-01-03 18:00:00+00:00,9.1,8.75,97.66612,Sunny
2023-01-03 19:00:00+00:00,9.55,9.2,97.67435,Sunny
2023-01-03 20:00:00+00:00,9.55,9.15,97.34603,Sunny
2023-01-03 21:00:00+00:00,9.1,8.9,98.6604,Sunny
2023-01-03 22:00:00+00:00,8.7,8.6,99.32608,Sunny
2023-01-03 23:00:00+00:00,8.45,8.35,99.324745,Sunny
2023-01-04 00:00:00+00:00,8.4,8.3,99.324486,Sunny
2023-01-04 01:00:00+00:00,8.1,8.05,99.66093,Sunny
2023-01-04 02:00:00+00:00,9.1,9.0,99.32822,Sunny
2023-01-04 03:00:00+00:00,10.65,9.6,93.222946,Sunny
2023-01-04 04:00:00+00:00,12.6,10.5,87.04128,Sunny
2023-01-04 05:00:00+00:00,14.6,11.35,80.86323,Sunny
2023-01-04 06:00:00+00:00,16.3,11.45,72.99489,Sunny
2023-01-04 07:00:00+00:00,17.5,11.2,66.537285,Sunny
2023-01-04 08:00:00+00:00,18.35,10.75,61.216934,Sunny
2023-01-04 09:00:00+00:00,18.65,10.7,59.87812,Sunny
2023-01-04 10:00:00+00:00,18.5,10.7,60.442898,Sunny
2023-01-04 11:00:00+00:00,16.85,12.15,73.81819,Sunny
2023-01-04 12:00:00+00:00,12.5,10.7,88.78844,Sunny
2023-01-04 13:00:00+00:00,12.0,10.4,89.93945,Sunny
2023-01-04 14:00:00+00:00,11.15,10.0,92.627205,Sunny
2023-01-04 15:00:00+00:00,10.45,9.55,94.15664,Sunny
2023-01-04 16:00:00+00:00,9.85,9.25,96.05171,Sunny
2023-01-04 17:00:00+00:00,9.5,8.95,96.365524,Sunny
2023-01-04 18:00:00+00:00,9.05,8.6,97.00702,Sunny
2023-01-04 19:00:00+00:00,9.0,8.45,96.35134,Sunny
2023-01-04 20:00:00+00:00,8.85,8.25,96.0209,Sunny
2023-01-04 21:00:00+00:00,8.45,7.95,96.663795,Sunny
2023-01-04 22:00:00+00:00,8.25,7.75,96.65857,Sunny
2023-01-04 23:00:00+00:00,7.9,7.5,97.31146,Sunny
2023-01-05 00:00:00+00:00,7.55,7.45,99.3199,Sunny
2023-01-05 01:00:00+00:00,7.75,7.65,99.32099,Sunny
2023-01-05 02:00:00+00:00,8.2,8.05,98.98663,Sunny
2023-01-05 03:00:00+00:00,9.85,8.7,92.55393,Sunny
2023-01-05 04:00:00+00:00,11.7,9.55,86.6641,Sunny
2023-01-05 05:00:00+00:00,13.6,10.5,81.53981,Sunny
2023-01-05 06:00:00+00:00,15.3,11.35,77.30115,Sunny
2023-01-05 07:00:00+00:00,16.7,11.8,72.82577,Sunny
2023-01-05 08:00:00+00:00,17.75,11.9,68.59801,Sunny
2023-01-05 09:00:00+00:00,18.2,11.8,66.24609,Sunny
2023-01-05 10:00:00+00:00,18.0,11.7,66.642395,Sunny
2023-01-05 11:00:00+00:00,16.7,12.0,73.79207,Sunny
2023-01-05 12:00:00+00:00,12.85,10.95,88.22985,Sunny
2023-01-05 13:00:00+00:00,11.9,10.5,91.139465,Sunny
2023-01-05 14:00:00+00:00,11.2,9.95,92.01237,Sunny
2023-01-05 15:00:00+00:00,10.45,9.4,93.21259,Sunny
2023-01-05 16:00:00+00:00,9.45,8.65,94.75036,Sunny
2023-01-05 17:00:00+00:00,9.0,8.25,95.05398,Sunny
2023-01-05 18:00:00+00:00,9.05,8.25,94.73409,Sunny
2023-01-05 19:00:00+00:00,8.6,7.9,95.36249,Sunny
2023-01-05 20:00:00+00:00,8.0,7.45,96.32272,Sunny
2023-01-05 21:00:00+00:00,8.2,7.65,96.32848,Sunny
2023-01-05 22:00:00+00:00,8.15,7.6,96.32704,Sunny
2023-01-05 23:00:00+00:00,8.15,7.65,96.65595,Sunny
2023-01-06 00:00:00+00:00,7.75,7.55,98.64604,Sunny
2023-01-06 01:00:00+00:00,7.65,7.4,98.30876,Sunny
2023-01-06 02:00:00+00:00,8.1,7.8,97.980736,Sunny
2023-01-06 03:00:00+00:00,9.8,8.5,91.61655,Sunny
2023-01-06 04:00:00+00:00,11.65,9.5,86.65921,Sunny
2023-01-06 05:00:00+00:00,13.5,10.5,82.07205,Sunny
2023-01-06 06:00:00+00:00,15.2,11.35,77.79908,Sunny
2023-01-06 07:00:00+00:00,16.65,11.85,73.29869,Sunny
2023-01-06 08:00:00+00:00,17.6,12.0,69.70726,Sunny
2023-01-06 09:00:00+00:00,18.0,11.8,67.08359,Sunny
2023-01-06 10:00:00+00:00,17.8,11.6,67.04203,Sunny
2023-01-06 11:00:00+00:00,16.4,11.7,73.73972,Sunny
2023-01-06 12:00:00+00:00,12.9,10.7,86.49255,Sunny
2023-01-06 13:00:00+00:00,12.15,10.1,87.2898,Sunny
2023-01-06 14:00:00+00:00,11.45,9.8,89.597435,Sunny
2023-01-06 15:00:00+00:00,10.85,9.4,90.76371,Sunny
2023-01-06 16:00:00+00:00,10.35,9.05,91.65143,Sunny
2023-01-06 17:00:00+00:00,9.8,8.65,92.5511,Sunny
2023-01-06 18:00:00+00:00,9.3,8.3,93.46906,Sunny
2023-01-06 19:00:00+00:00,8.85,8.0,94.40463,Sunny
2023-01-06 20:00:00+00:00,8.6,7.85,95.03862,Sunny
2023-01-06 21:00:00+00:00,8.25,7.6,95.67555,Sunny
2023-01-06 22:00:00+00:00,7.9,7.35,96.31984,Sunny
2023-01-06 23:00:00+00:00,7.55,7.1,96.97161,Sunny
2023-01-07 00:00:00+00:00,7.4,7.3,99.31909,Cloudy
2023-01-07 01:00:00+00:00,7.25,7.2,99.65862,Cloudy
2023-01-07 02:00:00+00:00,7.45,7.15,97.970345,Cloudy
2023-01-07 03:00:00+00:00,8.55,7.3,91.84991,Cloudy
2023-01-07 04:00:00+00:00,9.7,7.75,87.65317,Cloudy
2023-01-07 05:00:00+00:00,11.0,8.4,83.99954,Cloudy
2023-01-07 06:00:00+00:00,12.65,9.25,79.78992,Cloudy
2023-01-07 07:00:00+00:00,14.25,10.3,77.137276,Cloudy
2023-01-07 08:00:00+00:00,15.5,11.15,75.3115,Sunny
2023-01-07 09:00:00+00:00,16.05,11.65,75.15441,Sunny
2023-01-07 10:00:00+00:00,16.0,11.6,75.14604,Sunny
2023-01-07 11:00:00+00:00,15.05,11.55,79.59873,Sunny
2023-01-07 12:00:00+00:00,11.7,10.15,90.21788,Sunny
2023-01-07 13:00:00+00:00,10.95,9.75,92.30616,Sunny
2023-01-07 14:00:00+00:00,10.4,9.35,93.21,Sunny
2023-01-07 15:00:00+00:00,9.85,8.95,94.12965,Sunny
2023-01-07 16:00:00+00:00,9.45,8.55,94.11156,Sunny
2023-01-07 17:00:00+00:00,9.1,8.15,93.77686,Sunny
2023-01-07 18:00:00+00:00,8.7,7.7,93.43889,Sunny
2023-01-07 19:00:00+00:00,8.25,7.3,93.735985,Sunny
2023-01-07 20:00:00+00:00,7.9,7.05,94.363335,Sunny
2023-01-07 21:00:00+00:00,7.6,6.9,95.32625,Sunny
2023-01-07 22:00:00+00:00,7.45,6.8,95.64847,Sunny
2023-01-07 23:00:00+00:00,7.25,6.6,95.64165,Sunny
2023-01-08 00:00:00+00:00,6.5,6.45,99.65657,Sunny
2023-01-08 01:00:00+00:00,6.1,6.05,99.65547,Sunny
2023-01-08 02:00:00+00:00,6.5,6.5,100.0,Cloudy
2023-01-08 03:00:00+00:00,8.25,7.3,93.735985,Cloudy
2023-01-08 04:00:00+00:00,10.75,8.6,86.57071,Cloudy
2023-01-08 05:00:00+00:00,12.55,9.75,83.05762,Cloudy
2023-01-08 06:00:00+00:00,14.25,10.6,78.69546,Sunny
2023-01-08 07:00:00+00:00,15.75,11.25,74.608505,Sunny
2023-01-08 08:00:00+00:00,16.8,11.85,72.604034,Sunny
2023-01-08 09:00:00+00:00,17.3,12.15,71.74482,Sunny
2023-01-08 10:00:00+00:00,17.25,12.25,72.44671,Sunny
2023-01-08 11:00:00+00:00,15.85,13.25,84.54767,Sunny
2023-01-08 12:00:00+00:00,11.45,10.5,93.8879,Sunny
2023-01-08 13:00:00+00:00,10.35,9.85,96.71286,Sunny
2023-01-08 14:00:00+00:00,9.75,9.25,96.69749,Sunny
2023-01-08 15:00:00+00:00,8.85,8.45,97.33145,Sunny
2023-01-08 16:00:00+00:00,8.7,8.45,98.32272,Sunny
2023-01-08 17:00:00+00:00,8.2,8.05,98.98663,Sunny
2023-01-08 18:00:00+00:00,7.55,7.55,99.99999,Cloudy
2023-01-08 19:00:00+00:00,7.45,7.45,100.0,Cloudy
2023-01-08 20:00:00+00:00,7.85,7.85,100.0,Cloudy
2023-01-08 21:00:00+00:00,7.5,7.5,100.0,Cloudy
2023-01-08 22:00:00+00:00,7.75,7.75,100.0,Cloudy
2023-01-08 23:00:00+00:00,8.1,8.1,100.0,Cloudy
2023-01-09 00:00:00+00:00,7.85,7.6,98.311424,Cloudy
2023-01-09 01:00:00+00:00,8.05,8.05,100.0,Cloudy
2023-01-09 02:00:00+00:00,8.55,8.35,98.65459,Cloudy
2023-01-09 03:00:00+00:00,9.35,8.85,96.68717,Cloudy
2023-01-09 04:00:00+00:00,10.2,9.65,96.38524,Cloudy
2023-01-09 05:00:00+00:00,12.0,10.15,88.45092,Cloudy
2023-01-09 06:00:00+00:00,13.9,11.05,82.94471,Cloudy
2023-01-09 07:00:00+00:00,15.45,11.55,77.58039,Sunny
2023-01-09 08:00:00+00:00,16.65,12.2,75.00745,Sunny
2023-01-09 09:00:00+00:00,17.45,12.35,72.00864,Sunny
2023-01-09 10:00:00+00:00,17.5,12.75,73.68941,Sunny
2023-01-09 11:00:00+00:00,16.25,13.3,82.68602,Sunny
2023-01-09 12:00:00+00:00,12.55,10.75,88.792595,Sunny
2023-01-09 13:00:00+00:00,11.85,10.0,88.43809,Sunny
2023-01-09 14:00:00+00:00,11.1,9.45,89.57023,Sunny
2023-01-09 15:00:00+00:00,10.0,9.0,93.50402,Sunny
2023-01-09 16:00:00+00:00,8.75,8.25,96.671616,Sunny
2023-01-09 17:00:00+00:00,8.5,8.3,98.65405,Sunny
2023-01-09 18:00:00+00:00,7.75,7.75,100.0,Sunny
2023-01-09 19:00:00+00:00,7.5,7.5,100.0,Cloudy
2023-01-09 20:00:00+00:00,7.05,7.05,100.0,Cloudy
2023-01-09 21:00:00+00:00,7.0,7.0,100.0,Cloudy
2023-01-09 22:00:00+00:00,7.25,7.25,100.0,Cloudy
2023-01-09 23:00:00+00:00,7.4,7.4,100.0,Cloudy
2023-01-10 00:00:00+00:00,7.45,7.3,98.98059,Cloudy
2023-01-10 01:00:00+00:00,7.7,7.6,99.32071,Cloudy
2023-01-10 02:00:00+00:00,8.0,7.85,98.98501,Cloudy
2023-01-10 03:00:00+00:00,8.8,8.55,98.324036,Cloudy
2023-01-10 04:00:00+00:00,9.9,9.5,97.35328,Cloudy
2023-01-10 05:00:00+00:00,12.25,10.3,87.88397,Cloudy
2023-01-10 06:00:00+00:00,14.7,11.7,82.223724,Sunny
2023-01-10 07:00:00+00:00,16.35,12.45,77.71798,Sunny
2023-01-10 08:00:00+00:00,17.5,12.9,74.41621,Sunny
2023-01-10 09:00:00+00:00,18.05,13.15,73.06664,Sunny
2023-01-10 10:00:00+00:00,18.05,12.95,72.11836,Sunny
