Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,9.637,8.837001,94.75793,Sunny
2023-01-01 01:00:00+00:00,9.587001,8.837001,95.07641,Sunny
2023-01-01 02:00:00+00:00,9.887,9.087001,94.76802,Sunny
2023-01-01 03:00:00+00:00,12.387,9.987,85.29378,Sunny
2023-01-01 04:00:00+00:00,15.487,10.337001,71.40689,Sunny
2023-01-01 05:00:00+00:00,17.837,8.887,55.803318,Sunny
2023-01-01 06:00:00+00:00,19.487,7.537,45.925785,Sunny
2023-01-01 07:00:00+00:00,20.536999,6.787,40.882687,Sunny
2023-01-01 08:00:00+00:00,21.237,6.187,37.5766,Sunny
2023-01-01 09:00:00+00:00,21.587,5.837,35.901264,Sunny
2023-01-01 10:00:00+00:00,21.487,5.487,35.2566,Sunny
2023-01-01 11:00:00+00:00,20.887,5.387,36.325798,Sunny
2023-01-01 12:00:00+00:00,17.437,7.637,52.576103,Sunny
2023-01-01 13:00:00+00:00,16.187,6.737,53.516438,Sunny
2023-01-01 14:00:00+00:00,15.137,5.637,53.05524,Sunny
2023-01-01 15:00:00+00:00,14.237,5.987,57.603527,Sunny
2023-01-01 16:00:00+00:00,13.237,7.737,69.30987,Sunny
2023-01-01 17:00:00+00:00,12.487,8.337001,75.82416,Sunny
2023-01-01 18:00:00+00:00,12.037001,8.337001,78.100075,Sunny
2023-01-01 19:00:00+00:00,11.487,8.437,81.53687,Sunny
2023-01-01 20:00:00+00:00,10.937,8.737,86.297165,Sunny
2023-01-01 21:00:00+00:00,10.437,8.987,90.73496,Sunny
2023-01-01 22:00:00+00:00,10.087001,8.987,92.88011,Sunny
2023-01-01 23:00:00+00:00,9.887,8.887,93.4984,Sunny
2023-01-02 00:00:00+00:00,9.387,8.637,95.06879,Sunny
2023-01-02 01:00:00+00:00,9.137,8.537001,96.029785,Sunny
2023-01-02 02:00:00+00:00,9.187,8.637,96.35666,Sunny
2023-01-02 03:00:00+00:00,11.287001,9.387,88.09322,Sunny
2023-01-02 04:00:00+00:00,14.487,10.187,75.39339,Sunny
2023-01-02 05:00:00+00:00,17.087,9.537001,61.125717,Sunny
2023-01-02 06:00:00+00:00,18.786999,8.237,50.313454,Sunny
2023-01-02 07:00:00+00:00,19.887,7.437,44.495087,Sunny
2023-01-02 08:00:00+00:00,20.637,6.937,41.05168,Sunny
2023-01-02 09:00:00+00:00,20.987,6.637,39.35828,Sunny
2023-01-02 10:00:00+00:00,20.887,6.437,39.060036,Sunny
2023-01-02 11:00:00+00:00,20.187,6.537,41.06435,Sunny
2023-01-02 12:00:00+00:00,16.987,8.187,56.1559,Sunny
2023-01-02 13:00:00+00:00,15.337001,7.737,60.50562,Sunny
2023-01-02 14:00:00+00:00,14.337001,7.537,63.657505,Sunny
2023-01-02 15:00:00+00:00,13.437,7.887,69.11446,Sunny
2023-01-02 16:00:00+00:00,12.487,8.237,75.3117,Sunny
2023-01-02 17:00:00+00:00,11.887,8.387,79.14338,Sunny
2023-01-02 18:00:00+00:00,11.237,8.437,82.897255,Sunny
2023-01-02 19:00:00+00:00,10.587001,8.437,86.5546,Sunny
