Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,21.536999,21.536999,100.0,Cloudy
2023-01-01 01:00:00+00:00,22.087,21.987,99.392235,Cloudy
2023-01-01 02:00:00+00:00,22.887,21.987,94.67683,Cloudy
2023-01-01 03:00:00+00:00,24.737,22.187,85.74434,Cloudy
2023-01-01 04:00:00+00:00,26.837,21.786999,73.88423,Sunny
2023-01-01 05:00:00+00:00,28.987,20.786999,61.29763,Cloudy
2023-01-01 06:00:00+00:00,30.437,19.387,51.709,Sunny
2023-01-01 07:00:00+00:00,31.337,18.187,45.57097,Sunny
2023-01-01 08:00:00+00:00,32.437,17.237,40.32934,Sunny
2023-01-01 09:00:00+00:00,32.737,16.437,37.691036,Sunny
2023-01-01 10:00:00+00:00,32.836998,15.937,36.303696,Cloudy
2023-01-01 11:00:00+00:00,32.437,15.537001,36.193462,Cloudy
2023-01-01 12:00:00+00:00,29.737,16.786999,45.717873,Cloudy
2023-01-01 13:00:00+00:00,26.437,20.687,70.71051,Sunny
2023-01-01 14:00:00+00:00,25.487,21.137,76.89942,Sunny
2023-01-01 15:00:00+00:00,24.987,20.637,76.8234,Sunny
2023-01-01 16:00:00+00:00,24.237,20.837,81.34252,Sunny
2023-01-01 17:00:00+00:00,23.286999,20.937,86.6595,Sunny
2023-01-01 18:00:00+00:00,22.587,21.036999,90.9688,Sunny
2023-01-01 19:00:00+00:00,22.887,21.137,89.87902,Sunny
2023-01-01 20:00:00+00:00,22.737,21.137,90.69982,Sunny
2023-01-01 21:00:00+00:00,21.937,21.187,95.51505,Sunny
2023-01-01 22:00:00+00:00,21.536999,21.137,97.57837,Sunny
2023-01-01 23:00:00+00:00,22.187,21.437,95.52332,Sunny
2023-01-02 00:00:00+00:00,22.187,21.737,97.292465,Sunny
2023-01-02 01:00:00+00:00,22.286999,21.937,97.89011,Sunny
2023-01-02 02:00:00+00:00,23.437,22.036999,91.86049,Sunny
2023-01-02 03:00:00+00:00,25.687,21.937,79.80457,Sunny
2023-01-02 04:00:00+00:00,27.437,21.437,69.81748,Rainy
2023-01-02 05:00:00+00:00,28.887,20.137,59.230194,Sunny
2023-01-02 06:00:00+00:00,30.286999,19.087,51.19014,Sunny
2023-01-02 07:00:00+00:00,31.237,18.337,46.26444,Sunny
2023-01-02 08:00:00+00:00,31.587,17.887,44.088783,Sunny
2023-01-02 09:00:00+00:00,31.587,17.587,43.26347,Sunny
2023-01-02 10:00:00+00:00,30.536999,17.837,46.661724,Cloudy
2023-01-02 11:00:00+00:00,28.587,19.286999,57.173477,Cloudy
2023-01-02 12:00:00+00:00,26.937,19.687,64.54303,Sunny
2023-01-02 13:00:00+00:00,26.137,19.987,68.92948,Sunny
2023-01-02 14:00:00+00:00,25.637,19.937,70.78182,Sunny
2023-01-02 15:00:00+00:00,25.036999,19.937,73.35317,Sunny
2023-01-02 16:00:00+00:00,24.387,20.036999,76.73173,Sunny
2023-01-02 17:00:00+00:00,23.687,20.187,80.77206,Cloudy
2023-01-02 18:00:00+00:00,23.487,20.337,82.51254,Sunny
2023-01-02 19:00:00+00:00,23.036999,20.387,85.04825,Sunny
2023-01-02 20:00:00+00:00,22.536999,20.536999,88.48049,Sunny
2023-01-02 21:00:00+00:00,22.536999,20.587,88.75366,Sunny
2023-01-02 22:00:00+00:00,21.937,20.587,92.05507,Sunny
2023-01-02 23:00:00+00:00,21.437,20.536999,94.61977,Sunny
2023-01-03 00:00:00+00:00,21.187,20.637,96.67495,Sunny
2023-01-03 01:00:00+00:00,21.587,20.887,95.797585,Sunny
2023-01-03 02:00:00+00:00,22.837,21.036999,89.59982,Sunny
2023-01-03 03:00:00+00:00,25.387,20.937,76.41328,Sunny
2023-01-03 04:00:00+00:00,27.237,19.536999,62.828365,Sunny
2023-01-03 05:00:00+00:00,28.536999,18.337,54.035645,Sunny
2023-01-03 06:00:00+00:00,29.487,17.937,49.876106,Sunny
2023-01-03 07:00:00+00:00,30.487,17.437,45.630257,Sunny
2023-01-03 08:00:00+00:00,31.137,17.036999,42.869102,Sunny
2023-01-03 09:00:00+00:00,31.286999,16.687,41.571453,Sunny
2023-01-03 10:00:00+00:00,30.687,16.687,43.01895,Cloudy
2023-01-03 11:00:00+00:00,29.036999,17.387,49.44567,Cloudy
2023-01-03 12:00:00+00:00,27.987,17.786999,53.898026,Cloudy
2023-01-03 13:00:00+00:00,26.587,18.587,61.520935,Sunny
2023-01-03 14:00:00+00:00,25.536999,19.337,68.5998,Sunny
2023-01-03 15:00:00+00:00,24.837,19.587,72.63943,Sunny
2023-01-03 16:00:00+00:00,24.137,19.937,77.40967,Sunny
2023-01-03 17:00:00+00:00,23.387,20.137,81.992096,Sunny
2023-01-03 18:00:00+00:00,22.536999,20.237,86.85706,Sunny
2023-01-03 19:00:00+00:00,22.487,20.237,87.121254,Sunny
2023-01-03 20:00:00+00:00,22.337,20.237,87.919304,Sunny
2023-01-03 21:00:00+00:00,21.987,19.487,85.73443,Rainy
2023-01-03 22:00:00+00:00,21.987,19.587,86.26874,Sunny
2023-01-03 23:00:00+00:00,21.887,19.637,87.06657,Cloudy
2023-01-04 00:00:00+00:00,22.036999,20.387,90.37359,Cloudy
2023-01-04 01:00:00+00:00,22.137,20.737,91.78369,Sunny
2023-01-04 02:00:00+00:00,22.737,21.036999,90.144615,Sunny
2023-01-04 03:00:00+00:00,24.487,20.687,79.39688,Sunny
2023-01-04 04:00:00+00:00,26.536999,19.887,66.90523,Sunny
2023-01-04 05:00:00+00:00,28.137,19.487,59.4241,Rainy
2023-01-04 06:00:00+00:00,29.137,18.737,53.51249,Rainy
2023-01-04 07:00:00+00:00,30.237,17.887,47.620304,Cloudy
2023-01-04 08:00:00+00:00,29.786999,18.137,49.64152,Rainy
2023-01-04 09:00:00+00:00,28.937,18.187,52.30206,Rainy
2023-01-04 10:00:00+00:00,28.087,18.687,56.69797,Rainy
2023-01-04 11:00:00+00:00,27.536999,18.487,57.820168,Rainy
2023-01-04 12:00:00+00:00,26.937,18.987,61.792118,Rainy
2023-01-04 13:00:00+00:00,26.087,19.187,65.782646,Cloudy
2023-01-04 14:00:00+00:00,25.387,19.786999,71.175934,Cloudy
2023-01-04 15:00:00+00:00,24.786999,20.137,75.382835,Sunny
2023-01-04 16:00:00+00:00,24.337,20.187,77.67933,Sunny
2023-01-04 17:00:00+00:00,23.887,20.036999,79.06887,Sunny
2023-01-04 18:00:00+00:00,23.437,19.786999,79.99237,Sunny
2023-01-04 19:00:00+00:00,23.087,19.536999,80.44346,Sunny
2023-01-04 20:00:00+00:00,22.587,19.337,81.89333,Sunny
2023-01-04 21:00:00+00:00,22.137,19.286999,83.90389,Sunny
2023-01-04 22:00:00+00:00,21.536999,19.437,87.8505,Sunny
2023-01-04 23:00:00+00:00,21.387,19.587,89.49133,Sunny
2023-01-05 00:00:00+00:00,21.987,20.137,89.26002,Sunny
2023-01-05 01:00:00+00:00,22.187,20.137,88.17874,Cloudy
2023-01-05 02:00:00+00:00,23.087,19.737,81.44851,Cloudy
2023-01-05 03:00:00+00:00,23.987,19.786999,77.3872,Cloudy
2023-01-05 04:00:00+00:00,25.687,19.687,69.48674,Cloudy
2023-01-05 05:00:00+00:00,27.087,19.637,63.778618,Cloudy
2023-01-05 06:00:00+00:00,28.286999,19.237,57.99832,Rainy
2023-01-05 07:00:00+00:00,29.087,19.137,55.02414,Rainy
2023-01-05 08:00:00+00:00,29.487,18.786999,52.605854,Rainy
2023-01-05 09:00:00+00:00,29.187,18.487,52.52988,Cloudy
2023-01-05 10:00:00+00:00,28.737,18.487,53.916477,Rainy
2023-01-05 11:00:00+00:00,28.237,18.437,55.332165,Rainy
2023-01-05 12:00:00+00:00,26.637,18.487,60.957188,Cloudy
2023-01-05 13:00:00+00:00,26.187,18.687,63.38562,Cloudy
2023-01-05 14:00:00+00:00,25.536999,19.337,68.5998,Cloudy
2023-01-05 15:00:00+00:00,24.987,19.637,72.21612,Sunny
2023-01-05 16:00:00+00:00,24.286999,19.587,75.069,Sunny
2023-01-05 17:00:00+00:00,23.536999,19.536999,78.28716,Sunny
2023-01-05 18:00:00+00:00,23.137,19.387,79.45624,Sunny
2023-01-05 19:00:00+00:00,22.687,18.937,79.393906,Sunny
2023-01-05 20:00:00+00:00,22.187,18.687,80.57533,Sunny
2023-01-05 21:00:00+00:00,21.487,18.687,84.09361,Sunny
2023-01-05 22:00:00+00:00,21.286999,18.737,85.39688,Sunny
2023-01-05 23:00:00+00:00,21.387,18.737,84.875114,Sunny
2023-01-06 00:00:00+00:00,20.937,18.937,88.34842,Sunny
2023-01-06 01:00:00+00:00,21.237,19.187,88.09857,Sunny
2023-01-06 02:00:00+00:00,22.286999,19.437,83.92062,Sunny
2023-01-06 03:00:00+00:00,24.237,19.286999,73.9029,Sunny
2023-01-06 04:00:00+00:00,26.286999,18.786999,63.4074,Sunny
2023-01-06 05:00:00+00:00,28.387,17.587,51.99772,Sunny
2023-01-06 06:00:00+00:00,29.887,17.237,46.635525,Sunny
2023-01-06 07:00:00+00:00,30.637,16.887,43.6931,Sunny
2023-01-06 08:00:00+00:00,31.187,16.387,41.019005,Rainy
2023-01-06 09:00:00+00:00,31.587,15.937,38.96225,Rainy
2023-01-06 10:00:00+00:00,31.786999,15.387,37.190006,Cloudy
2023-01-06 11:00:00+00:00,31.036999,15.437,38.93518,Cloudy
2023-01-06 12:00:00+00:00,28.687,16.587,47.964966,Sunny
2023-01-06 13:00:00+00:00,26.637,18.487,60.957188,Sunny
2023-01-06 14:00:00+00:00,25.286999,19.887,72.0457,Sunny
2023-01-06 15:00:00+00:00,24.487,20.036999,76.27367,Sunny
2023-01-06 16:00:00+00:00,23.587,20.187,81.260025,Sunny
2023-01-06 17:00:00+00:00,22.837,20.237,85.290596,Sunny
2023-01-06 18:00:00+00:00,22.237,20.387,89.279205,Sunny
2023-01-06 19:00:00+00:00,21.786999,20.387,91.76281,Sunny
2023-01-06 20:00:00+00:00,21.536999,20.437,93.46404,Sunny
2023-01-06 21:00:00+00:00,21.137,20.437,95.78357,Sunny
2023-01-06 22:00:00+00:00,21.036999,20.387,96.07656,Sunny
