Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,6.467,6.267,98.63218,Sunny
2023-01-01 01:00:00+00:00,6.4170003,6.217,98.63162,Cloudy
2023-01-01 02:00:00+00:00,6.967,6.617,97.62659,Sunny
2023-01-01 03:00:00+00:00,8.467,7.567,94.06676,Sunny
2023-01-01 04:00:00+00:00,11.167,8.766999,85.16271,Sunny
2023-01-01 05:00:00+00:00,13.867,9.516999,75.03733,Sunny
2023-01-01 06:00:00+00:00,15.967,9.867,67.10576,Sunny
2023-01-01 07:00:00+00:00,17.217001,9.717,61.361633,Sunny
2023-01-01 08:00:00+00:00,17.917,9.167,56.581196,Sunny
2023-01-01 09:00:00+00:00,18.217001,8.516999,53.1406,Sunny
2023-01-01 10:00:00+00:00,18.117,8.266999,52.577053,Sunny
2023-01-01 11:00:00+00:00,17.167,10.667,65.588936,Sunny
2023-01-01 12:00:00+00:00,16.567001,8.967,60.798027,Sunny
2023-01-01 13:00:00+00:00,15.667,8.667,63.098698,Sunny
2023-01-01 14:00:00+00:00,15.266999,8.367,63.43608,Sunny
2023-01-01 15:00:00+00:00,14.816999,8.167,64.41896,Sunny
2023-01-01 16:00:00+00:00,14.266999,7.967,65.84676,Sunny
2023-01-01 17:00:00+00:00,13.467,7.817,68.65179,Sunny
2023-01-01 18:00:00+00:00,12.467,7.717,72.791306,Sunny
2023-01-01 19:00:00+00:00,11.417,7.617,77.47545,Sunny
2023-01-01 20:00:00+00:00,10.066999,7.367,83.31997,Sunny
2023-01-01 21:00:00+00:00,7.6670003,6.467,92.111084,Sunny
2023-01-01 22:00:00+00:00,7.617,6.6670003,93.705246,Sunny
2023-01-01 23:00:00+00:00,8.516999,7.467,93.11137,Sunny
2023-01-02 00:00:00+00:00,5.717,5.467,98.28257,Sunny
2023-01-02 01:00:00+00:00,5.717,5.4170003,97.94224,Sunny
2023-01-02 02:00:00+00:00,5.567,5.217,97.6001,Sunny
2023-01-02 03:00:00+00:00,8.367,7.117,91.8385,Sunny
2023-01-02 04:00:00+00:00,11.717,8.967,83.23642,Sunny
2023-01-02 05:00:00+00:00,14.566999,9.667,72.43906,Sunny
2023-01-02 06:00:00+00:00,16.367,9.617,64.32887,Sunny
2023-01-02 07:00:00+00:00,17.367,8.516999,56.06209,Sunny
2023-01-02 08:00:00+00:00,17.867,7.867,51.97811,Sunny
2023-01-02 09:00:00+00:00,18.067001,7.267,49.270397,Sunny
2023-01-02 10:00:00+00:00,17.867,7.267,49.89392,Sunny
2023-01-02 11:00:00+00:00,16.967001,10.167,64.246635,Sunny
2023-01-02 12:00:00+00:00,15.316999,8.167,62.380844,Sunny
2023-01-02 13:00:00+00:00,14.417,8.066999,65.65587,Sunny
2023-01-02 14:00:00+00:00,13.617,8.017,68.91614,Sunny
2023-01-02 15:00:00+00:00,11.467,7.767,78.01292,Sunny
2023-01-02 16:00:00+00:00,10.667,7.617,81.428535,Sunny
2023-01-02 17:00:00+00:00,10.167,7.517,83.616875,Sunny
2023-01-02 18:00:00+00:00,9.867,7.517,85.311806,Sunny
2023-01-02 19:00:00+00:00,10.167,7.817,85.344055,Sunny
2023-01-02 20:00:00+00:00,9.217,7.567,89.42201,Sunny
2023-01-02 21:00:00+00:00,8.967,7.617,91.25176,Sunny
2023-01-02 22:00:00+00:00,8.367,7.517,94.3837,Sunny
2023-01-02 23:00:00+00:00,7.717,7.317,97.30759,Sunny
2023-01-03 00:00:00+00:00,5.817,5.6670003,98.967224,Sunny
2023-01-03 01:00:00+00:00,5.4170003,5.4170003,100.0,Cloudy
2023-01-03 02:00:00+00:00,5.6670003,5.6670003,100.0,Cloudy
2023-01-03 03:00:00+00:00,6.517,6.267,98.29349,Cloudy
2023-01-03 04:00:00+00:00,8.516999,8.167,97.655426,Cloudy
2023-01-03 05:00:00+00:00,11.417,9.467,87.80927,Sunny
2023-01-03 06:00:00+00:00,14.266999,9.617,73.60983,Sunny
2023-01-03 07:00:00+00:00,15.566999,8.967,64.803635,Sunny
2023-01-03 08:00:00+00:00,16.367,8.316999,58.928387,Sunny
2023-01-03 09:00:00+00:00,16.817001,7.767,55.166496,Sunny
2023-01-03 10:00:00+00:00,16.667,7.817,55.884167,Sunny
2023-01-03 11:00:00+00:00,15.867,8.417,61.251614,Sunny
2023-01-03 12:00:00+00:00,11.066999,8.667,85.15191,Sunny
2023-01-03 13:00:00+00:00,9.217,7.617,89.727425,Sunny
2023-01-03 14:00:00+00:00,8.316999,7.117,92.15029,Sunny
2023-01-03 15:00:00+00:00,7.6670003,6.767,94.02992,Sunny
2023-01-03 16:00:00+00:00,7.4170003,6.617,94.66698,Sunny
2023-01-03 17:00:00+00:00,7.217,6.4170003,94.65867,Sunny
2023-01-03 18:00:00+00:00,6.017,5.617,97.27119,Sunny
2023-01-03 19:00:00+00:00,5.467,5.317,98.964325,Sunny
2023-01-03 20:00:00+00:00,5.467,5.467,100.0,Sunny
2023-01-03 21:00:00+00:00,5.517,5.517,100.0,Cloudy
2023-01-03 22:00:00+00:00,5.367,5.367,100.0,Cloudy
2023-01-03 23:00:00+00:00,5.717,5.717,100.0,Cloudy
2023-01-04 00:00:00+00:00,4.717,4.717,99.99999,Cloudy
2023-01-04 01:00:00+00:00,5.267,5.1670003,99.30738,Cloudy
2023-01-04 02:00:00+00:00,5.517,5.4170003,99.30876,Cloudy
2023-01-04 03:00:00+00:00,6.617,6.367,98.29484,Cloudy
2023-01-04 04:00:00+00:00,7.867,7.4170003,96.97914,Cloudy
2023-01-04 05:00:00+00:00,10.867,8.617,85.99885,Cloudy
2023-01-04 06:00:00+00:00,13.066999,9.217,77.4706,Sunny
2023-01-04 07:00:00+00:00,14.667,9.367,70.53763,Sunny
2023-01-04 08:00:00+00:00,15.766999,9.266999,65.28566,Sunny
2023-01-04 09:00:00+00:00,16.367,9.066999,61.992977,Sunny
2023-01-04 10:00:00+00:00,16.417,8.917,61.174084,Sunny
2023-01-04 11:00:00+00:00,15.667,9.316999,65.92607,Sunny
2023-01-04 12:00:00+00:00,10.316999,8.717,89.81203,Sunny
2023-01-04 13:00:00+00:00,8.816999,7.717,92.81062,Sunny
2023-01-04 14:00:00+00:00,7.817,7.067,95.00835,Sunny
2023-01-04 15:00:00+00:00,6.867,6.4170003,96.95527,Sunny
2023-01-04 16:00:00+00:00,6.317,5.967,97.614334,Sunny
2023-01-04 17:00:00+00:00,6.467,6.217,98.29281,Sunny
2023-01-04 18:00:00+00:00,7.467,7.267,98.64299,Sunny
2023-01-04 19:00:00+00:00,7.4170003,7.4170003,100.0,Cloudy
2023-01-04 20:00:00+00:00,5.517,5.517,100.0,Cloudy
2023-01-04 21:00:00+00:00,5.517,5.517,100.0,Cloudy
2023-01-04 22:00:00+00:00,5.367,5.317,99.653435,Cloudy
2023-01-04 23:00:00+00:00,5.217,5.1670003,99.65302,Cloudy
2023-01-05 00:00:00+00:00,4.9170003,4.717,98.61512,Cloudy
2023-01-05 01:00:00+00:00,5.217,5.067,98.96224,Cloudy
2023-01-05 02:00:00+00:00,5.367,5.217,98.9635,Cloudy
2023-01-05 03:00:00+00:00,6.067,5.9170003,98.969284,Cloudy
2023-01-05 04:00:00+00:00,7.517,7.267,98.30697,Cloudy
2023-01-05 05:00:00+00:00,8.667,8.367,97.98972,Cloudy
2023-01-05 06:00:00+00:00,11.066999,8.667,85.15191,Cloudy
2023-01-05 07:00:00+00:00,13.066999,9.316999,77.99364,Cloudy
2023-01-05 08:00:00+00:00,14.516999,9.516999,71.94531,Sunny
2023-01-05 09:00:00+00:00,15.367,9.266999,66.97992,Sunny
2023-01-05 10:00:00+00:00,15.566999,9.367,66.57299,Sunny
2023-01-05 11:00:00+00:00,14.867,9.467,70.103836,Sunny
2023-01-05 12:00:00+00:00,12.117,8.717,79.71411,Sunny
2023-01-05 13:00:00+00:00,9.516999,7.6670003,88.2359,Sunny
2023-01-05 14:00:00+00:00,9.016999,7.1670003,88.1919,Sunny
