Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,7.8935003,7.3435,96.31965,Sunny
2023-01-01 01:00:00+00:00,8.143499,7.3435,94.69699,Sunny
2023-01-01 02:00:00+00:00,8.643499,7.7435,94.07485,Sunny
2023-01-01 03:00:00+00:00,11.0435,9.143499,88.07173,Sunny
2023-01-01 04:00:00+00:00,13.5935,9.6935,77.29275,Sunny
2023-01-01 05:00:00+00:00,15.6935,9.8435,68.18184,Sunny
2023-01-01 06:00:00+00:00,17.4435,9.643499,60.19224,Sunny
2023-01-01 07:00:00+00:00,18.6435,9.3435,54.706497,Sunny
2023-01-01 08:00:00+00:00,19.4935,9.143499,51.188934,Sunny
2023-01-01 09:00:00+00:00,19.8935,8.5935,48.114082,Sunny
2023-01-01 10:00:00+00:00,19.8435,8.0935,46.655033,Sunny
2023-01-01 11:00:00+00:00,19.1935,8.2935,49.24183,Sunny
2023-01-01 12:00:00+00:00,15.1935,9.893499,70.63904,Sunny
2023-01-01 13:00:00+00:00,14.143499,9.8435,75.336006,Sunny
2023-01-01 14:00:00+00:00,13.3435,9.8435,79.354836,Sunny
2023-01-01 15:00:00+00:00,11.7935,9.6935,86.96442,Sunny
2023-01-01 16:00:00+00:00,11.643499,9.2935,85.5013,Sunny
2023-01-01 17:00:00+00:00,12.893499,9.3435,79.02373,Sunny
2023-01-01 18:00:00+00:00,12.643499,9.1935,79.5209,Sunny
2023-01-01 19:00:00+00:00,12.4435,9.0435,79.7606,Sunny
2023-01-01 20:00:00+00:00,12.0935,8.893499,80.79484,Sunny
2023-01-01 21:00:00+00:00,11.7935,8.7435,81.57714,Sunny
2023-01-01 22:00:00+00:00,11.4935,8.643499,82.64889,Sunny
2023-01-01 23:00:00+00:00,10.4435,8.5435,88.01852,Sunny
2023-01-02 00:00:00+00:00,8.393499,8.2935,99.32445,Cloudy
2023-01-02 01:00:00+00:00,7.8935003,7.7935004,99.32175,Cloudy
2023-01-02 02:00:00+00:00,7.5435004,7.4935,99.65942,Cloudy
2023-01-02 03:00:00+00:00,9.3435,8.9935,97.670586,Sunny
2023-01-02 04:00:00+00:00,12.9435,9.5935,80.09989,Sunny
2023-01-02 05:00:00+00:00,15.4935,9.1935,66.11096,Sunny
2023-01-02 06:00:00+00:00,17.0935,9.0435,59.105255,Sunny
2023-01-02 07:00:00+00:00,18.043499,9.0935,55.85573,Sunny
2023-01-02 08:00:00+00:00,18.7435,8.6935,52.034393,Sunny
2023-01-02 09:00:00+00:00,19.043499,7.8935003,48.37218,Sunny
2023-01-02 10:00:00+00:00,18.9435,7.3435,46.883484,Sunny
2023-01-02 11:00:00+00:00,18.2435,7.2935004,48.815758,Sunny
2023-01-02 12:00:00+00:00,13.9435,9.1935,73.05914,Sunny
2023-01-02 13:00:00+00:00,12.143499,9.0435,81.34837,Sunny
2023-01-02 14:00:00+00:00,11.4435,8.8435,84.05083,Sunny
2023-01-02 15:00:00+00:00,10.3435,8.3435,87.415306,Sunny
2023-01-02 16:00:00+00:00,10.9435,8.143499,82.8611,Sunny
2023-01-02 17:00:00+00:00,11.7435,8.3435,79.66074,Sunny
2023-01-02 18:00:00+00:00,11.4435,8.2935,80.980354,Sunny
2023-01-02 19:00:00+00:00,11.2435,8.2935,82.05959,Sunny
2023-01-02 20:00:00+00:00,11.143499,8.1935,82.04676,Sunny
2023-01-02 21:00:00+00:00,8.9435,7.3435,89.70624,Sunny
2023-01-02 22:00:00+00:00,7.4935,6.8435,95.64995,Sunny
2023-01-02 23:00:00+00:00,6.9435,6.6435003,97.96218,Sunny
2023-01-03 00:00:00+00:00,6.7435,6.6935,99.657234,Cloudy
2023-01-03 01:00:00+00:00,6.9435,6.9435,100.0,Cloudy
2023-01-03 02:00:00+00:00,7.0435004,6.9435,99.317154,Cloudy
2023-01-03 03:00:00+00:00,8.0435,7.8435,98.649185,Cloudy
2023-01-03 04:00:00+00:00,10.4435,9.643499,94.7904,Cloudy
2023-01-03 05:00:00+00:00,13.5935,9.6935,77.29275,Sunny
2023-01-03 06:00:00+00:00,15.8435,9.2435,64.86446,Sunny
2023-01-03 07:00:00+00:00,17.1435,8.7435,57.737606,Sunny
2023-01-03 08:00:00+00:00,17.8435,8.1935,53.222893,Sunny
2023-01-03 09:00:00+00:00,18.1435,7.2935004,49.12314,Sunny
2023-01-03 10:00:00+00:00,17.9435,7.4435,50.256775,Sunny
2023-01-03 11:00:00+00:00,17.1935,8.393499,56.20822,Sunny
2023-01-03 12:00:00+00:00,13.143499,9.3435,77.743515,Sunny
2023-01-03 13:00:00+00:00,12.0435,9.393499,83.83762,Sunny
2023-01-03 14:00:00+00:00,10.5435,8.893499,89.52674,Sunny
2023-01-03 15:00:00+00:00,9.7935,8.2935,90.38296,Sunny
2023-01-03 16:00:00+00:00,9.5935,8.143499,90.6758,Sunny
2023-01-03 17:00:00+00:00,9.143499,7.9435,92.19972,Sunny
2023-01-03 18:00:00+00:00,8.8435,7.7935004,93.12862,Sunny
2023-01-03 19:00:00+00:00,7.8935003,7.0435004,94.363045,Sunny
2023-01-03 20:00:00+00:00,7.0935,6.3435,94.980125,Sunny
2023-01-03 21:00:00+00:00,6.8935003,6.1435003,94.97229,Sunny
2023-01-03 22:00:00+00:00,6.7935004,6.1435003,95.626045,Sunny
2023-01-03 23:00:00+00:00,6.6435003,6.1435003,96.616135,Sunny
2023-01-04 00:00:00+00:00,6.3435,6.0435004,97.95247,Sunny
2023-01-04 01:00:00+00:00,6.3935003,6.2435,98.97197,Cloudy
2023-01-04 02:00:00+00:00,6.1935,6.1935,100.0,Cloudy
2023-01-04 03:00:00+00:00,7.5935,7.1435003,96.97265,Cloudy
2023-01-04 04:00:00+00:00,9.6935,7.9935,89.15634,Sunny
2023-01-04 05:00:00+00:00,12.0435,8.4435,78.63206,Sunny
2023-01-04 06:00:00+00:00,13.7935,8.143499,68.71816,Sunny
2023-01-04 07:00:00+00:00,15.0935,7.4935,60.4474,Sunny
2023-01-04 08:00:00+00:00,16.043499,6.8435,54.4047,Sunny
2023-01-04 09:00:00+00:00,16.543499,6.2935004,50.74384,Sunny
2023-01-04 10:00:00+00:00,16.543499,6.0935,50.04879,Sunny
2023-01-04 11:00:00+00:00,15.8435,5.7935004,51.25884,Sunny
2023-01-04 12:00:00+00:00,11.3435,7.0435004,74.86115,Sunny
2023-01-04 13:00:00+00:00,9.7935,6.3935003,79.37882,Sunny
2023-01-04 14:00:00+00:00,8.893499,6.3935003,84.33153,Sunny
2023-01-04 15:00:00+00:00,7.8435,5.9435,87.78391,Sunny
2023-01-04 16:00:00+00:00,7.2435,5.6435003,89.57309,Sunny
2023-01-04 17:00:00+00:00,6.5935,5.4935,92.686516,Sunny
2023-01-04 18:00:00+00:00,6.0935,5.3935003,95.27082,Sunny
