Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,7.7675004,7.2675004,96.645905,Sunny
2023-01-01 01:00:00+00:00,7.5675,7.1175003,96.97203,Cloudy
2023-01-01 02:00:00+00:00,7.6675,7.2675004,97.30653,Cloudy
2023-01-01 03:00:00+00:00,9.367499,8.2675,92.84085,Sunny
2023-01-01 04:00:00+00:00,11.7175,9.5675,86.6658,Sunny
2023-01-01 05:00:00+00:00,14.2175,10.5675,78.69067,Sunny
2023-01-01 06:00:00+00:00,16.067501,11.0675,72.23131,Sunny
2023-01-01 07:00:00+00:00,17.2675,11.0175,66.7093,Sunny
2023-01-01 08:00:00+00:00,18.067501,10.5175,61.355045,Sunny
2023-01-01 09:00:00+00:00,18.417501,9.7175,56.89717,Sunny
2023-01-01 10:00:00+00:00,18.2675,9.3175,55.91249,Cloudy
2023-01-01 11:00:00+00:00,17.167501,12.0675,71.956764,Cloudy
2023-01-01 12:00:00+00:00,16.7675,9.9675,64.2024,Cloudy
2023-01-01 13:00:00+00:00,16.317501,9.7675,65.18656,Sunny
2023-01-01 14:00:00+00:00,15.117499,9.5675,69.450226,Cloudy
2023-01-01 15:00:00+00:00,12.3175,9.4175,82.473434,Sunny
2023-01-01 16:00:00+00:00,10.9675,8.867499,86.884995,Sunny
2023-01-01 17:00:00+00:00,11.617499,9.2675,85.49856,Sunny
2023-01-01 18:00:00+00:00,9.0175,7.9175,92.82165,Sunny
2023-01-01 19:00:00+00:00,8.5675,7.7175,94.3924,Sunny
2023-01-01 20:00:00+00:00,8.7175,7.8675003,94.398895,Sunny
2023-01-01 21:00:00+00:00,9.617499,8.5675,93.169266,Sunny
2023-01-01 22:00:00+00:00,7.9175,7.3675003,96.32034,Sunny
2023-01-01 23:00:00+00:00,7.3675003,7.1175003,98.30497,Sunny
2023-01-02 00:00:00+00:00,5.8175,5.8175,99.99999,Cloudy
2023-01-02 01:00:00+00:00,6.3175,6.2675004,99.65607,Cloudy
2023-01-02 02:00:00+00:00,7.0175004,7.0175004,100.0,Cloudy
2023-01-02 03:00:00+00:00,7.9175,7.6675,98.31233,Cloudy
2023-01-02 04:00:00+00:00,9.9175,9.617499,98.00938,Cloudy
2023-01-02 05:00:00+00:00,12.5175,11.4175,93.010345,Cloudy
2023-01-02 06:00:00+00:00,15.2675,12.2175,82.02478,Sunny
2023-01-02 07:00:00+00:00,16.8675,11.0175,68.420334,Sunny
2023-01-02 08:00:00+00:00,17.6175,9.6675,59.631023,Sunny
2023-01-02 09:00:00+00:00,17.817501,9.0675,56.55618,Sunny
2023-01-02 10:00:00+00:00,17.567501,8.6675,55.923565,Sunny
2023-01-02 11:00:00+00:00,16.417501,10.6675,68.78563,Sunny
2023-01-02 12:00:00+00:00,12.2175,9.367499,82.73865,Sunny
2023-01-02 13:00:00+00:00,11.367499,8.617499,83.19421,Sunny
2023-01-02 14:00:00+00:00,10.9675,8.2675,83.42823,Sunny
2023-01-02 15:00:00+00:00,10.0675,7.9675,86.79765,Sunny
2023-01-02 16:00:00+00:00,8.0675,7.1175003,93.72714,Sunny
2023-01-02 17:00:00+00:00,7.2675004,6.7175,96.30155,Sunny
2023-01-02 18:00:00+00:00,7.0175004,6.5675,96.95888,Sunny
2023-01-02 19:00:00+00:00,7.0675,6.5675,96.6274,Sunny
2023-01-02 20:00:00+00:00,6.6675,6.2175,96.950485,Sunny
2023-01-02 21:00:00+00:00,5.8175,5.5675,98.28395,Sunny
2023-01-02 22:00:00+00:00,5.5675,5.4675,99.309044,Sunny
2023-01-02 23:00:00+00:00,5.1675,5.1675,100.0,Cloudy
2023-01-03 00:00:00+00:00,4.7175,4.7175,100.0,Cloudy
2023-01-03 01:00:00+00:00,6.2175,6.1675,99.65579,Cloudy
2023-01-03 02:00:00+00:00,6.0175004,5.8675003,98.96888,Cloudy
2023-01-03 03:00:00+00:00,7.1175003,6.6175003,96.62873,Cloudy
2023-01-03 04:00:00+00:00,8.9675,8.5675,97.3339,Cloudy
2023-01-03 05:00:00+00:00,10.5175,9.6675,94.47604,Cloudy
2023-01-03 06:00:00+00:00,13.0675,10.5175,84.517746,Sunny
2023-01-03 07:00:00+00:00,15.117499,10.2675,72.78219,Sunny
2023-01-03 08:00:00+00:00,16.0175,9.9175,67.11632,Sunny
2023-01-03 09:00:00+00:00,16.417501,9.7675,64.77293,Sunny
2023-01-03 10:00:00+00:00,16.2675,9.5675,64.523056,Sunny
2023-01-03 11:00:00+00:00,15.4175,9.7675,69.0455,Sunny
2023-01-03 12:00:00+00:00,11.4675,8.4675,81.810905,Sunny
2023-01-03 13:00:00+00:00,10.4175,8.2175,86.244774,Sunny
2023-01-03 14:00:00+00:00,9.9175,8.0675,88.27097,Sunny
2023-01-03 15:00:00+00:00,9.2175,7.8175,90.95835,Sunny
2023-01-03 16:00:00+00:00,8.5675,7.5175004,93.11404,Sunny
2023-01-03 17:00:00+00:00,7.7675004,6.9675,94.68149,Sunny
2023-01-03 18:00:00+00:00,7.3675003,6.7675004,95.97456,Sunny
2023-01-03 19:00:00+00:00,7.1675,6.6175003,96.298645,Sunny
2023-01-03 20:00:00+00:00,6.9675,6.5175004,96.957695,Sunny
2023-01-03 21:00:00+00:00,6.8175,6.4175,97.28842,Sunny
2023-01-03 22:00:00+00:00,6.4175,6.1175003,97.95367,Sunny
