Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,13.22,13.17,99.67432,Cloudy
2023-01-01 01:00:00+00:00,12.92,12.87,99.67356,Cloudy
2023-01-01 02:00:00+00:00,13.32,13.07,98.38217,Cloudy
2023-01-01 03:00:00+00:00,17.17,14.32,83.33513,Sunny
2023-01-01 04:00:00+00:00,20.720001,13.87,64.854774,Sunny
2023-01-01 05:00:00+00:00,22.92,13.32,54.70961,Sunny
2023-01-01 06:00:00+00:00,24.52,13.07,48.882275,Sunny
2023-01-01 07:00:00+00:00,25.67,13.0199995,45.496323,Sunny
2023-01-01 08:00:00+00:00,26.52,12.62,42.148144,Sunny
2023-01-01 09:00:00+00:00,27.02,12.0199995,39.344456,Sunny
2023-01-01 10:00:00+00:00,27.02,11.5199995,38.067764,Sunny
2023-01-01 11:00:00+00:00,26.37,11.32,39.032936,Sunny
2023-01-01 12:00:00+00:00,25.12,12.0199995,44.0242,Sunny
2023-01-01 13:00:00+00:00,21.62,12.5199995,56.196003,Sunny
2023-01-01 14:00:00+00:00,20.62,13.12,62.146385,Sunny
2023-01-01 15:00:00+00:00,19.02,12.92,67.73612,Sunny
2023-01-01 16:00:00+00:00,18.87,12.32,65.736824,Sunny
2023-01-01 17:00:00+00:00,18.87,11.5199995,62.361103,Sunny
2023-01-01 18:00:00+00:00,18.67,11.37,62.52205,Sunny
2023-01-01 19:00:00+00:00,17.720001,11.5199995,67.02536,Sunny
2023-01-01 20:00:00+00:00,16.62,11.57,72.09371,Sunny
2023-01-01 21:00:00+00:00,15.919999,11.62,75.63077,Sunny
2023-01-01 22:00:00+00:00,15.5199995,11.42,76.57208,Sunny
2023-01-01 23:00:00+00:00,15.22,11.17,76.77828,Sunny
2023-01-02 00:00:00+00:00,15.2699995,12.2699995,82.29512,Sunny
2023-01-02 01:00:00+00:00,14.87,12.62,86.401085,Sunny
2023-01-02 02:00:00+00:00,15.82,13.22,84.54438,Sunny
2023-01-02 03:00:00+00:00,18.570002,13.87,74.11515,Sunny
2023-01-02 04:00:00+00:00,21.320002,12.57,57.425682,Sunny
2023-01-02 05:00:00+00:00,23.720001,11.42,46.01528,Sunny
2023-01-02 06:00:00+00:00,25.220001,10.87,40.557484,Sunny
2023-01-02 07:00:00+00:00,26.27,10.57,37.356503,Sunny
2023-01-02 08:00:00+00:00,26.820002,11.0199995,37.263203,Sunny
2023-01-02 09:00:00+00:00,27.220001,10.87,36.037228,Sunny
2023-01-02 10:00:00+00:00,27.17,10.97,36.383926,Sunny
2023-01-02 11:00:00+00:00,26.42,10.97,38.02527,Sunny
2023-01-02 12:00:00+00:00,25.220001,11.0199995,40.963474,Sunny
2023-01-02 13:00:00+00:00,21.570002,11.37,52.255096,Sunny
2023-01-02 14:00:00+00:00,20.42,11.32,55.895805,Sunny
2023-01-02 15:00:00+00:00,19.220001,11.22,59.81524,Sunny
2023-01-02 16:00:00+00:00,18.92,10.97,59.94242,Sunny
2023-01-02 17:00:00+00:00,17.77,11.42,66.37423,Sunny
2023-01-02 18:00:00+00:00,16.92,12.0199995,72.86523,Sunny
2023-01-02 19:00:00+00:00,17.02,12.07,72.64372,Sunny
2023-01-02 20:00:00+00:00,16.17,12.2699995,77.69056,Sunny
2023-01-02 21:00:00+00:00,14.92,12.42,85.00103,Sunny
2023-01-02 22:00:00+00:00,14.87,12.5199995,85.83648,Sunny
2023-01-02 23:00:00+00:00,14.82,12.82,87.822495,Sunny
2023-01-03 00:00:00+00:00,14.32,12.57,89.22999,Sunny
2023-01-03 01:00:00+00:00,14.22,12.72,90.6962,Sunny
2023-01-03 02:00:00+00:00,15.42,13.32,87.30492,Sunny
2023-01-03 03:00:00+00:00,18.220001,14.07,76.747856,Sunny
2023-01-03 04:00:00+00:00,20.62,14.5199995,68.05994,Sunny
2023-01-03 05:00:00+00:00,22.970001,12.87,52.96493,Sunny
2023-01-03 06:00:00+00:00,24.720001,10.47,40.687428,Sunny
2023-01-03 07:00:00+00:00,25.62,9.87,37.048973,Sunny
2023-01-03 08:00:00+00:00,26.12,10.12,36.574375,Sunny
2023-01-03 09:00:00+00:00,26.42,10.2699995,36.29388,Sunny
2023-01-03 10:00:00+00:00,26.37,9.82,35.32196,Sunny
2023-01-03 11:00:00+00:00,25.62,9.67,36.555664,Sunny
2023-01-03 12:00:00+00:00,24.17,10.37,41.77006,Sunny
2023-01-03 13:00:00+00:00,20.77,11.17,54.162094,Sunny
2023-01-03 14:00:00+00:00,20.77,10.92,53.271076,Cloudy
2023-01-03 15:00:00+00:00,19.67,11.42,58.94026,Sunny
2023-01-03 16:00:00+00:00,18.67,11.67,63.774303,Cloudy
2023-01-03 17:00:00+00:00,19.820002,10.87,56.30342,Cloudy
2023-01-03 18:00:00+00:00,19.67,10.17,54.240154,Cloudy
2023-01-03 19:00:00+00:00,18.17,10.7699995,61.994564,Sunny
2023-01-03 20:00:00+00:00,16.570002,11.32,71.137054,Sunny
2023-01-03 21:00:00+00:00,16.720001,11.87,73.06987,Sunny
2023-01-03 22:00:00+00:00,15.97,12.32,78.94721,Sunny
2023-01-03 23:00:00+00:00,15.0199995,12.7699995,86.41582,Sunny
2023-01-04 00:00:00+00:00,14.92,14.17,95.27332,Cloudy
2023-01-04 01:00:00+00:00,15.32,14.87,97.14859,Cloudy
2023-01-04 02:00:00+00:00,16.12,15.47,95.92918,Cloudy
2023-01-04 03:00:00+00:00,17.27,15.2699995,88.037224,Cloudy
2023-01-04 04:00:00+00:00,19.720001,14.72,72.88923,Cloudy
2023-01-04 05:00:00+00:00,21.87,14.17,61.626774,Sunny
2023-01-04 06:00:00+00:00,23.67,12.62,49.948788,Sunny
